"Mach","p","x","Points:0","Points:1","Points:2"
0.23961,0.96062,-1.2462,-8.1,0,0
0.24009,0.96048,-1.2349,-8.0269,0,0
0.24056,0.96034,-1.2237,-7.9538,0,0
0.24113,0.96015,-1.2124,-7.8807,0,0
0.24191,0.95985,-1.2012,-7.8076,0,0
0.24269,0.95954,-1.1899,-7.7345,0,0
0.24372,0.95917,-1.1787,-7.6614,0,0
0.24489,0.95876,-1.1674,-7.5883,0,0
0.24607,0.95835,-1.1562,-7.5152,0,0
0.24767,0.95775,-1.1449,-7.4421,0,0
0.2493,0.95715,-1.1337,-7.369,0,0
0.25105,0.9565,-1.1224,-7.2959,0,0
0.25314,0.95574,-1.1112,-7.2228,0,0
0.25523,0.95498,-1.1,-7.1497,0,0
0.25762,0.9541,-1.0887,-7.0766,0,0
0.26018,0.95315,-1.0775,-7.0035,0,0
0.26276,0.95219,-1.0662,-6.9304,0,0
0.26581,0.95108,-1.055,-6.8573,0,0
0.26886,0.94996,-1.0437,-6.7842,0,0
0.27213,0.94877,-1.0325,-6.7111,0,0
0.27568,0.94749,-1.0212,-6.638,0,0
0.27923,0.94621,-1.01,-6.5649,0,0
0.28322,0.94465,-0.99874,-6.4918,0,0
0.28728,0.94305,-0.98749,-6.4187,0,0
0.2915,0.94137,-0.97625,-6.3456,0,0
0.29601,0.93954,-0.965,-6.2725,0,0
0.30052,0.93772,-0.95375,-6.1994,0,0
0.30546,0.93548,-0.94251,-6.1263,0,0
0.31049,0.93315,-0.93126,-6.0532,0,0
0.31566,0.9309,-0.92002,-5.9801,0,0
0.32115,0.92883,-0.90877,-5.907,0,0
0.32664,0.92676,-0.89752,-5.8339,0,0
0.33264,0.92398,-0.88628,-5.7608,0,0
0.33877,0.92103,-0.87503,-5.6877,0,0
0.34504,0.9182,-0.86378,-5.6146,0,0
0.35156,0.91555,-0.85254,-5.5415,0,0
0.35808,0.9129,-0.84129,-5.4684,0,0
0.36528,0.90937,-0.83005,-5.3953,0,0
0.37253,0.90577,-0.8188,-5.3222,0,0
0.38001,0.90228,-0.80755,-5.2491,0,0
