"Mach","P","tp","Points:0","Points:1","Points:2"
0.23653,0.96139,0.99904,-1.2462,0,0
0.23705,0.96132,0.99913,-1.2349,0,0
0.23757,0.96125,0.99923,-1.2237,0,0
0.23817,0.96109,0.99925,-1.2124,0,0
0.23891,0.96075,0.99913,-1.2012,0,0
0.23965,0.96041,0.99902,-1.1899,0,0
0.24066,0.96004,0.99897,-1.1787,0,0
0.24179,0.95967,0.99894,-1.1674,0,0
0.24294,0.95928,0.99892,-1.1562,0,0
0.24453,0.95869,0.99882,-1.1449,0,0
0.24612,0.9581,0.99873,-1.1337,0,0
0.24785,0.95747,0.99864,-1.1224,0,0
0.24979,0.95676,0.99856,-1.1112,0,0
0.25174,0.95606,0.99847,-1.1,0,0
0.25406,0.95523,0.99839,-1.0887,0,0
0.25649,0.95436,0.99831,-1.0775,0,0
0.25899,0.95346,0.99823,-1.0662,0,0
0.26195,0.95239,0.99814,-1.055,0,0
0.26491,0.95131,0.99805,-1.0437,0,0
0.26817,0.95009,0.99792,-1.0325,0,0
0.27179,0.94869,0.99776,-1.0212,0,0
0.27541,0.94729,0.99759,-1.01,0,0
0.27925,0.94579,0.99743,-0.99874,0,0
0.28315,0.94428,0.99728,-0.98749,0,0
0.28716,0.94275,0.99717,-0.97625,0,0
0.29171,0.94119,0.99727,-0.965,0,0
0.29626,0.93962,0.99736,-0.95375,0,0
0.30111,0.93763,0.99715,-0.94251,0,0
0.30623,0.93524,0.99665,-0.93126,0,0
0.31135,0.93285,0.99616,-0.92002,0,0
0.31691,0.9307,0.99615,-0.90877,0,0
0.32254,0.92857,0.99622,-0.89752,0,0
0.32831,0.92629,0.99619,-0.88628,0,0
0.33456,0.92346,0.99585,-0.87503,0,0
0.34082,0.92063,0.9955,-0.86378,0,0
0.34764,0.91765,0.99531,-0.85254,0,0
0.35489,0.91455,0.99522,-0.84129,0,0
0.36214,0.91145,0.99513,-0.83005,0,0
0.36912,0.90805,0.99469,-0.8188,0,0
0.37608,0.90463,0.99422,-0.80755,0,0
0.38327,0.90112,0.99379,-0.79631,0,0
0.39101,0.89737,0.99345,-0.78506,0,0
0.39875,0.89363,0.99311,-0.77382,0,0
0.40708,0.88949,0.9927,-0.76257,0,0
0.41574,0.88513,0.99226,-0.75132,0,0
0.4244,0.88077,0.99182,-0.74008,0,0
0.43451,0.87571,0.99149,-0.72883,0,0
0.44464,0.87063,0.99116,-0.71758,0,0
0.4546,0.86544,0.99066,-0.70634,0,0
0.46425,0.86002,0.98981,-0.69509,0,0
0.4739,0.8546,0.98896,-0.68385,0,0
0.4842,0.84892,0.98827,-0.6726,0,0
0.4948,0.84312,0.98765,-0.66135,0,0
0.50544,0.83727,0.987,-0.65011,0,0
0.5169,0.83064,0.98603,-0.63886,0,0
0.52837,0.824,0.98505,-0.62762,0,0
0.54001,0.81723,0.98406,-0.61637,0,0
0.5519,0.81026,0.98305,-0.60512,0,0
0.5638,0.8033,0.98204,-0.59388,0,0
0.57556,0.79614,0.98076,-0.58263,0,0
0.58728,0.78892,0.9794,-0.57138,0,0
0.59913,0.78163,0.97803,-0.56014,0,0
0.6121,0.77377,0.97671,-0.54889,0,0
0.62508,0.76591,0.97539,-0.53765,0,0
0.63837,0.75767,0.9738,-0.5264,0,0
0.65203,0.749,0.97189,-0.51515,0,0
0.66569,0.74033,0.96998,-0.50391,0,0
0.67911,0.73179,0.968,-0.49266,0,0
0.69246,0.72327,0.96601,-0.48142,0,0
0.70588,0.7147,0.96396,-0.47017,0,0
0.71972,0.70578,0.96164,-0.45892,0,0
0.73355,0.69686,0.95931,-0.44768,0,0
