"Mach","p","tp","x","Points:0","Points:1","Points:2"
0.23962,0.96062,1.0035,-1.2462,-8.1,0,0
0.24009,0.96048,1.0035,-1.2349,-8.0269,0,0
0.24056,0.96034,1.0036,-1.2237,-7.9538,0,0
0.24113,0.96015,1.0035,-1.2124,-7.8807,0,0
0.24191,0.95985,1.0035,-1.2012,-7.8076,0,0
0.24269,0.95955,1.0034,-1.1899,-7.7345,0,0
0.24372,0.95916,1.0034,-1.1787,-7.6614,0,0
0.2449,0.95872,1.0033,-1.1674,-7.5883,0,0
0.24608,0.95829,1.0033,-1.1562,-7.5152,0,0
0.24768,0.95772,1.0032,-1.1449,-7.4421,0,0
0.24931,0.95715,1.0032,-1.1337,-7.369,0,0
0.25106,0.95651,1.0031,-1.1224,-7.2959,0,0
0.25315,0.95571,1.003,-1.1112,-7.2228,0,0
0.25524,0.95491,1.0029,-1.1,-7.1497,0,0
0.25764,0.95405,1.0029,-1.0887,-7.0766,0,0
0.26019,0.95317,1.0029,-1.0775,-7.0035,0,0
0.26277,0.95227,1.0028,-1.0662,-6.9304,0,0
0.26582,0.95112,1.0027,-1.055,-6.8573,0,0
0.26887,0.94996,1.0027,-1.0437,-6.7842,0,0
0.27214,0.94875,1.0026,-1.0325,-6.7111,0,0
0.27569,0.94747,1.0026,-1.0212,-6.638,0,0
0.27923,0.94618,1.0026,-1.01,-6.5649,0,0
0.28322,0.94467,1.0025,-0.99874,-6.4918,0,0
0.28728,0.94312,1.0025,-0.98749,-6.4187,0,0
0.29151,0.94149,1.0024,-0.97625,-6.3456,0,0
0.29605,0.93974,1.0024,-0.965,-6.2725,0,0
0.30059,0.93798,1.0024,-0.95375,-6.1994,0,0
0.30551,0.93592,1.0023,-0.94251,-6.1263,0,0
0.31052,0.9338,1.0021,-0.93126,-6.0532,0,0
0.31569,0.93152,1.0019,-0.92002,-5.9801,0,0
0.32122,0.92887,1.0015,-0.90877,-5.907,0,0
0.32676,0.92622,1.0011,-0.89752,-5.8339,0,0
0.33265,0.92378,1.0011,-0.88628,-5.7608,0,0
