"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,     -0.3630859435,       2.436736303,       1.928994698,         5.1727824,      -1.479147949
          0,           0,           1,     -0.3841976718,       2.394101306,       1.865754988,       5.131942279,      -1.117750198
          0,           0,           2,     -0.4403212788,       2.323497524,       1.837297588,        5.05959055,     -0.8577665112
          0,           0,           3,     -0.4110248021,       2.322620438,       1.919333959,       5.085774688,     -0.8587490138
          0,           0,           4,     -0.4406243586,        2.27170696,       1.862834862,        5.04134796,     -0.8054505646
          0,           0,           5,     -0.4551415381,       2.268462407,       1.812399434,       5.021581136,     -0.7513234026
          0,           0,           6,     -0.3741598191,       2.346033861,       1.911516007,       5.118722166,     -0.7359359784
          0,           0,           7,     -0.3863859148,       2.318008579,       1.851473117,       5.094556123,     -0.7234969359
          0,           0,           8,     -0.3797591011,       2.328508638,       1.873708397,       5.103209667,      -0.690461243
          0,           0,           9,     -0.3045689543,       2.388437526,       2.003616957,       5.198508171,     -0.6821648949
          0,           0,          10,     -0.3242502723,       2.356169288,       1.915962009,       5.166572262,     -0.7160596031
          0,           0,          11,     -0.3371418963,       2.336379607,       1.923753092,       5.155268845,     -0.7018186069
          0,           0,          12,     -0.2747688094,       2.416332211,       2.024917506,       5.232203326,     -0.6932233872
          0,           0,          13,     -0.3130493057,       2.367743916,        1.93397059,       5.177527224,     -0.6966931617
          0,           0,          14,     -0.3252378589,       2.356288248,       1.913991567,         5.1570991,     -0.6586225091
          0,           0,          15,     -0.2421811758,       2.431440658,       2.061569752,       5.256384943,     -0.6351795888
          0,           0,          16,     -0.2758938358,       2.366784883,       1.982368652,       5.209349118,     -0.6452145755
          0,           0,          17,     -0.2905548688,       2.360475769,       1.955849955,       5.189796692,      -0.661816045
          0,           0,          18,     -0.2014454318,       2.476300091,       2.100163698,        5.30221226,     -0.6576301526
          0,           0,          19,     -0.2321404227,       2.438753803,        2.02513285,       5.251559612,     -0.6581717652
          0,           0,          20,     -0.2306795656,       2.459027433,       2.023480504,       5.252383306,     -0.6256198504
          0,           0,          21,     -0.1554474856,       2.554881268,       2.136655414,       5.346768897,      -0.614007512
          0,           0,          22,     -0.1926192828,       2.474356113,       2.071411686,        5.28597864,     -0.6072995431
          0,           0,          23,     -0.1878794674,       2.485391849,       2.044292444,        5.29829308,     -0.5705542087
          0,           0,          24,    -0.07364779979,        2.63918233,        2.21378872,       5.449803864,     -0.5697345159
          0,           0,          25,     -0.1471157669,       2.534547277,       2.090606789,       5.334393138,      -0.569642092
          0,           0,          26,      -0.167610849,       2.526808653,       2.086852426,       5.313062008,     -0.5373637629
          0,           0,          27,     -0.1286388885,       2.555456693,       2.208968002,       5.375968423,     -0.5383478269
          0,           0,          28,     -0.1430113574,       2.529288223,       2.101356195,       5.343663743,     -0.5402244863
          0,           0,          29,     -0.1580277568,       2.524766944,       2.090157941,        5.33086849,     -0.5107983634
          0,           0,          30,     -0.1119440046,       2.564439268,       2.198428509,        5.39099549,     -0.5124238231
          0,           0,          31,      -0.157704782,       2.500465972,        2.10045605,       5.323498206,     -0.5030705515
          0,           0,          32,     -0.1848652769,       2.481511142,       2.082371929,       5.291738786,     -0.4850498329
          0,           0,          33,     -0.1188852242,       2.567355763,       2.198832974,        5.38264153,     -0.4860211557
          0,           0,          34,     -0.1449302043,       2.515423697,        2.11558359,       5.337475808,     -0.4745698271
          0,           0,          35,     -0.1726109537,       2.494517783,       2.099202207,       5.306189666,     -0.4451453579
          0,           0,          36,     -0.1264656331,        2.56015326,       2.205810668,       5.370838133,     -0.4478892147
          0,           0,          37,     -0.1587402018,       2.506255178,        2.10931771,       5.319747985,     -0.4300160779
          0,           0,          38,     -0.1759326931,       2.495379283,       2.089499508,       5.303523917,     -0.3800821199
          0,           0,          39,     -0.1099597297,        2.58258867,       2.203688593,       5.389235341,     -0.3907215108
          0,           0,          40,     -0.1630829809,       2.506857767,       2.113710315,       5.309938393,     -0.3621464851
          0,           0,          41,      -0.177672867,       2.492022015,       2.080996746,       5.295635345,     -0.3073037146
          0,           0,          42,     -0.1159913996,        2.57752408,       2.189600123,       5.380062736,     -0.3266706756
          0,           0,          43,     -0.1698497387,       2.498836471,       2.093557242,       5.304400061,     -0.2975679458
          0,           0,          44,     -0.1943517446,       2.468029852,       2.056392381,       5.270199997,     -0.2529125667
          0,           0,          45,     -0.1484912915,       2.545556641,       2.136638485,       5.337345774,     -0.2768001937
          0,           0,          46,     -0.1867004064,       2.487226751,       2.038844365,       5.280340106,     -0.2495161472
          0,           0,          47,     -0.2212013475,       2.446987505,        2.01001016,       5.230663516,     -0.2011911716
          0,           0,          48,     -0.1990576527,       2.507631065,       2.088183692,       5.277617151,     -0.2263913149
          0,           0,          49,      -0.245961458,       2.427531992,       1.980995743,        5.22274673,     -0.2020952071
          0,           0,          50,     -0.2744890903,       2.403715251,       1.953767671,       5.184690378,     -0.1555448384
          0,           0,          51,     -0.2585944878,        2.44904392,        2.02736891,       5.231580575,     -0.1799790946
          0,           0,          52,     -0.3179177259,       2.365374692,       1.915044227,       5.155885007,     -0.1607806465
          0,           0,          53,       -0.36942787,       2.322460031,        1.86680998,       5.101327174,     -0.1267163219
          0,           0,          54,     -0.3621416252,       2.341792513,       1.920384381,       5.147816543,     -0.1519183873
          0,           0,          55,     -0.4208832073,       2.268357269,        1.81509915,       5.067758246,     -0.1391119039
          0,           0,          56,     -0.4658167236,       2.211842374,       1.775846362,       5.014899613,     -0.1146360793
          0,           0,          57,     -0.4233474377,        2.25018632,       1.809151162,       5.077309421,     -0.1441482812
          0,           0,          58,     -0.4560350719,       2.182432001,       1.733767712,       5.033906113,     -0.1373336958
          0,           0,          59,     -0.4952296433,       2.163198115,       1.712437241,       4.998571548,     -0.1178174505
          0,           0,          60,     -0.4426311247,       2.241644893,       1.797451545,       5.075112357,     -0.1422191857
          0,           0,          61,     -0.5061083966,       2.173105073,       1.732756758,       4.996202319,     -0.1357756822
          0,           0,          62,     -0.5153708644,       2.171030422,       1.710094274,        4.98212083,     -0.1198104109
          0,           0,          63,     -0.4459417401,       2.233873441,       1.787364575,         5.0665794,     -0.1326260772
          0,           0,          64,     -0.4898118012,       2.179987807,       1.708778888,       5.005802731,     -0.1232201282
          0,           0,          65,      -0.504151228,       2.166560553,       1.700081187,       4.989896371,     -0.1037680338
          0,           0,          66,     -0.4811706205,       2.181489323,       1.759210125,       5.028134205,     -0.1140239105
          0,           0,          67,     -0.5459813983,       2.092710381,       1.646492045,       4.951194047,     -0.1035297111
          0,           0,          68,     -0.5736159986,       2.091595252,       1.648061527,       4.927785612,    -0.07943569159
          0,           0,          69,     -0.4921987475,        2.19361808,       1.766489439,       5.032824545,    -0.09629830938
          0,           0,          70,      -0.560862781,       2.120017122,       1.670458444,       4.945664026,    -0.08749974323
          0,           0,          71,     -0.5639314656,       2.120253637,       1.643886823,       4.935157959,    -0.07034431133
          0,           0,          72,     -0.4818233137,       2.216571789,       1.769178202,       5.035854408,    -0.09160147819
          0,           0,          73,     -0.5357806483,       2.142809464,       1.703560523,       4.963368517,    -0.08476084004
          0,           0,          74,     -0.5593701809,       2.104938478,       1.681684768,       4.933029903,    -0.07709208009
          0,           0,          75,     -0.5164306201,        2.15778999,       1.754439971,       5.001843503,     -0.1041279874
          0,           0,          76,     -0.5745587436,       2.078182691,       1.661563027,       4.933409346,     -0.1001093997
          0,           0,          77,     -0.5998927017,       2.054801476,       1.668075731,       4.911949187,    -0.09042530072
          0,           0,          78,     -0.5379531646,       2.138221226,       1.763156422,       4.994066415,     -0.1185370384
          0,           0,          79,     -0.6169883619,       2.051742541,       1.643958358,       4.903464764,     -0.1146420205
