"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.753989103,      -3.442571214,      -3.931950575,      -3.208537083,      -4.933418288
          0,           0,           1,      -3.802415176,      -3.488670504,      -3.997730681,      -3.279913664,      -4.778874322
          0,           0,           2,      -3.887320375,      -3.575315301,      -4.023157767,      -3.374881346,      -4.587063604
          0,           0,           3,      -3.803778567,      -3.529566795,      -3.925969282,      -3.291878341,      -4.615511437
          0,           0,           4,      -3.797898179,      -3.493410297,       -4.05092173,      -3.296044527,      -4.564587599
          0,           0,           5,      -3.840494351,      -3.594179295,      -4.007360288,      -3.353342397,      -4.499842231
          0,           0,           6,      -3.686933694,       -3.50108625,      -3.902687012,      -3.181087483,      -4.520324855
          0,           0,           7,      -3.724534941,      -3.589823727,       -4.00222376,      -3.231390509,      -4.487692609
          0,           0,           8,      -3.741919118,      -3.585808521,      -4.019843328,      -3.245649709,      -4.417057421
          0,           0,           9,      -3.659918764,      -3.517109965,      -3.929902063,      -3.141442342,      -4.433599682
          0,           0,          10,      -3.729158682,      -3.587652675,       -4.01142463,      -3.226154199,      -4.396278054
          0,           0,          11,      -3.740128442,      -3.575314731,      -4.004335135,      -3.240432008,      -4.319264406
          0,           0,          12,      -3.652513719,      -3.509933457,      -3.870932768,      -3.146297094,      -4.346707742
          0,           0,          13,      -3.673124133,      -3.559220194,      -3.952988619,      -3.178315989,      -4.304877662
          0,           0,          14,      -3.690199505,       -3.57391774,      -3.972365952,      -3.202462649,      -4.216832879
          0,           0,          15,      -3.623579124,      -3.473151216,      -3.828008104,       -3.12774643,       -4.26319042
          0,           0,          16,      -3.627201141,      -3.512024862,      -3.919875399,      -3.150220111,       -4.21274746
          0,           0,          17,      -3.639486822,      -3.500876214,      -3.906168512,      -3.162566152,      -4.115206732
          0,           0,          18,      -3.561020007,      -3.400443524,      -3.792333312,       -3.06881098,      -4.187127982
          0,           0,          19,      -3.582142694,      -3.448823642,      -3.886602727,      -3.105017238,      -4.130093003
          0,           0,          20,      -3.593756014,      -3.439845814,      -3.899964709,      -3.121274123,      -4.040474158
          0,           0,          21,      -3.550208308,      -3.351796013,      -3.766182169,      -3.052702695,      -4.018371796
          0,           0,          22,      -3.503017299,      -3.250102413,      -3.724999344,      -2.988019615,      -3.922532093
          0,           0,          23,      -3.447251687,      -3.198114211,      -3.635835525,      -2.916738357,      -4.073734456
          0,           0,          24,      -3.499747258,      -3.343450394,      -3.753532346,      -2.981488591,      -4.038606212
          0,           0,          25,      -3.589156283,      -3.466935083,      -3.858853395,      -3.066770188,      -4.008980065
          0,           0,          26,      -3.577670302,      -3.494243861,      -3.817003652,      -3.034287195,      -4.004468959
          0,           0,          27,      -3.549369902,      -3.429296617,      -3.746871434,      -2.998697527,      -4.009923475
          0,           0,          28,      -3.598761558,      -3.512435896,      -3.846078246,        -3.0566013,      -4.007838862
          0,           0,          29,      -3.616624793,      -3.534097184,      -3.883182774,      -3.061664544,      -3.999349942
          0,           0,          30,      -3.556992026,      -3.511498136,       -3.79975923,      -2.996027603,      -3.986672223
          0,           0,          31,      -3.493168357,      -3.438094944,      -3.690120838,      -2.929422547,      -3.961469225
          0,           0,          32,       -3.50529883,      -3.460842783,      -3.748450899,      -2.936215701,      -3.959121631
          0,           0,          33,      -3.557905086,      -3.480675834,      -3.803962555,      -2.991338319,      -3.953982345
          0,           0,          34,      -3.546106767,      -3.483697122,      -3.759121019,      -2.975985388,      -3.940509553
          0,           0,          35,      -3.490137135,       -3.40538074,      -3.666125795,      -2.914558481,      -3.935089805
          0,           0,          36,      -3.533288004,      -3.471589364,      -3.753128436,      -2.960789478,      -3.936521703
          0,           0,          37,      -3.535118399,      -3.467966157,      -3.813123856,      -2.952167956,      -3.936453043
          0,           0,          38,      -3.520389874,      -3.468801393,      -3.763219554,      -2.949761517,      -3.921312246
          0,           0,          39,      -3.465184046,       -3.37736007,      -3.632542474,      -2.888635553,      -3.937055215
          0,           0,          40,      -3.506098427,      -3.439556897,      -3.704995709,      -2.918816708,      -3.941254176
          0,           0,          41,       -3.56590479,      -3.490876894,      -3.795690106,      -2.984266833,      -3.944067713
          0,           0,          42,      -3.538865348,      -3.471512783,      -3.773045016,      -2.956890283,      -3.929200254
          0,           0,          43,      -3.482891902,      -3.387553145,      -3.651114842,      -2.899466217,        -3.9558786
          0,           0,          44,      -3.500416841,      -3.444903371,      -3.704432684,      -2.913818277,      -3.961680776
          0,           0,          45,      -3.520217324,      -3.448609466,      -3.749161667,      -2.929165058,      -3.966244743
          0,           0,          46,       -3.51325603,        -3.4288921,      -3.730639886,      -2.923204159,      -3.952794497
          0,           0,          47,      -3.467040483,      -3.351957576,      -3.649546447,      -2.874248893,      -3.981553455
          0,           0,          48,      -3.499186568,      -3.397975692,      -3.719996625,      -2.904494334,      -3.988413324
          0,           0,          49,      -3.503080581,      -3.401178582,      -3.730310765,      -2.905618656,      -3.995309674
          0,           0,          50,       -3.47786294,      -3.375529047,      -3.672058826,       -2.87536225,      -3.984220362
          0,           0,          51,       -3.46201955,      -3.338754451,      -3.628858132,      -2.859981385,      -4.018371775
          0,           0,          52,        -3.4911924,      -3.368618442,      -3.695465313,      -2.884417528,      -4.021725958
          0,           0,          53,      -3.501496485,      -3.379579984,      -3.734246798,      -2.890654941,      -4.032931972
          0,           0,          54,      -3.477013585,      -3.361716454,      -3.687922602,        -2.8630538,      -4.024648459
          0,           0,          55,      -3.436664957,      -3.300881333,      -3.622714125,      -2.818854392,      -4.077983884
          0,           0,          56,      -3.459146994,      -3.321917545,      -3.655321852,      -2.841771359,      -4.084485769
          0,           0,          57,      -3.472065017,      -3.317789774,      -3.673332641,      -2.850763457,       -4.09517796
          0,           0,          58,      -3.474799983,      -3.322598952,      -3.645372307,      -2.856063079,      -4.086412824
          0,           0,          59,      -3.447274017,      -3.284948797,      -3.608844073,      -2.826009942,      -4.168812757
          0,           0,          60,      -3.463201348,      -3.303601203,       -3.63167903,      -2.838111535,       -4.17644507
          0,           0,          61,      -3.466338305,      -3.298177984,      -3.656335151,       -2.83588032,       -4.18721945
          0,           0,          62,       -3.46465431,      -3.288215973,      -3.635505213,      -2.843139143,      -4.171103766
          0,           0,          63,      -3.462907482,      -3.279119055,      -3.599693208,      -2.844871838,      -4.287412893
          0,           0,          64,      -3.473312811,      -3.285654452,      -3.618374813,      -2.841859635,      -4.294413041
          0,           0,          65,      -3.479501126,      -3.299256827,      -3.617401926,      -2.852679027,      -4.299881128
          0,           0,          66,      -3.471321813,      -3.280302192,      -3.602360529,      -2.834607187,      -4.262336243
          0,           0,          67,      -3.470083284,      -3.275758443,      -3.555336835,      -2.840255848,      -4.416365218
          0,           0,          68,      -3.500311507,      -3.295652993,      -3.593515572,      -2.866112206,       -4.41643278
          0,           0,          69,      -3.504763838,      -3.291702844,      -3.597540677,      -2.865105928,      -4.407562362
          0,           0,          70,      -3.527744871,      -3.322713373,      -3.600591166,      -2.901530701,      -4.336439557
          0,           0,          71,      -3.508048934,      -3.296179541,      -3.570691975,      -2.879737234,      -4.522965371
          0,           0,          72,      -3.516113981,      -3.308339788,      -3.588405928,      -2.884071328,      -4.510557213
          0,           0,          73,      -3.511540757,      -3.312745908,      -3.581040371,      -2.879704491,      -4.477501885
