"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.1104161406,       2.693507952,       2.431270174,       5.425787524
          0,           0,           1,    -0.02035556435,       2.772783736,       2.438859117,       5.484270429
          0,           0,           2,     -0.0111412797,       2.778597456,       2.432732158,       5.475551951
          0,           0,           3,   -0.002124584945,       2.800030478,       2.552549005,        5.47275302
          0,           0,           4,    -0.03916307258,       2.744385496,       2.434516633,       5.438459579
          0,           0,           5,    -0.03015353633,        2.75392573,       2.398408385,       5.457278191
          0,           0,           6,     0.00731157555,       2.793308803,       2.514586457,        5.49929904
          0,           0,           7,    -0.02901444093,       2.744328599,       2.463743475,       5.445929737
          0,           0,           8,    -0.03482292766,       2.735797741,       2.427218339,       5.452801299
          0,           0,           9,    -0.02953009191,       2.748678929,       2.466973657,        5.46224312
          0,           0,          10,     -0.1141115906,       2.647128253,       2.405149246,       5.368197027
          0,           0,          11,     -0.1916161273,       2.572533746,        2.34357475,       5.300137986
          0,           0,          12,     -0.1360795206,       2.644559672,       2.296990522,       5.373586628
          0,           0,          13,     -0.2005843121,       2.556872508,       2.170917907,       5.287744636
          0,           0,          14,     -0.2965484862,       2.453446752,       2.197746353,       5.196277467
          0,           0,          15,     -0.2964167825,       2.467383703,       2.273414508,        5.20371447
          0,           0,          16,     -0.3542210159,       2.400340567,       2.080027133,       5.131359968
          0,           0,          17,      -0.348072677,       2.418990685,       2.030875261,       5.148369792
          0,           0,          18,     -0.2473243313,       2.527778091,         2.1684245,       5.264672242
          0,           0,          19,     -0.2912010374,       2.461628732,       2.051295826,       5.202858807
          0,           0,          20,     -0.3304323449,       2.428879457,       2.046508697,       5.175637926
          0,           0,          21,     -0.2611741896,       2.501483371,       2.153377397,       5.256384395
          0,           0,          22,     -0.3532483028,        2.39857966,         2.0195558,       5.138519817
          0,           0,          23,     -0.4032118633,       2.348683997,       1.971800804,       5.097782594
          0,           0,          24,     -0.3807987625,       2.385162262,       2.039073853,       5.133652989
          0,           0,          25,     -0.4418325783,       2.309955553,       1.915743867,       5.051855376
          0,           0,          26,     -0.4687628338,       2.294237693,       1.920191545,       5.032207829
          0,           0,          27,     -0.4022560064,       2.366274959,        2.05216288,       5.102929557
          0,           0,          28,     -0.4235610789,       2.332571253,       1.923630205,       5.070743506
          0,           0,          29,     -0.4559092795,       2.300137337,       1.938127144,       5.048676091
          0,           0,          30,     -0.3732064108,       2.378257943,       2.179198401,        5.14369634
          0,           0,          31,     -0.3609737708,       2.378621926,       2.004588144,       5.125151109
          0,           0,          32,     -0.3411589828,       2.401291503,       2.152626226,       5.162721351
          0,           0,          33,     -0.2209628012,       2.550485483,       2.255985333,       5.253943125
          0,           0,          34,     -0.2923503771,        2.45693441,       2.293718206,       5.204348179
          0,           0,          35,     -0.2582414954,       2.462831607,       2.242178393,        5.27708918
          0,           0,          36,     -0.3284732413,       2.415451636,        2.06219358,       5.175338234
          0,           0,          37,     -0.3672832816,        2.39908782,       2.143961095,       5.147087492
          0,           0,          38,     -0.3536108568,       2.405730592,       2.045823728,       5.162663825
          0,           0,          39,     -0.3462688611,       2.419320891,       2.185205075,       5.172977372
          0,           0,          40,     -0.3825688417,       2.360582961,       2.022135946,       5.124008598
          0,           0,          41,     -0.4257883385,       2.328176069,       2.048410536,       5.098193702
          0,           0,          42,     -0.3631063313,       2.384409839,        2.05805384,       5.170081666
          0,           0,          43,     -0.3460518151,       2.397798001,       2.078985398,       5.186124833
          0,           0,          44,     -0.3347846204,       2.411780808,       2.116157741,       5.194177578
          0,           0,          45,     -0.2995573154,       2.448656138,        2.11086031,       5.234514157
          0,           0,          46,     -0.2016703928,        2.52753738,       2.253552611,       5.324839285
          0,           0,          47,     -0.2951546964,       2.429165898,        2.08142023,       5.208107228
          0,           0,          48,     -0.3430577876,       2.373781702,       2.071473679,       5.174707693
          0,           0,          49,     -0.2481119096,       2.471980282,       2.130259509,        5.27459605
          0,           0,          50,     -0.3348329562,       2.380248394,       2.021515237,       5.167760493
          0,           0,          51,     -0.3283714669,       2.386715264,        2.04009135,       5.190693382
          0,           0,          52,      -0.218080805,       2.487795235,       2.139602704,       5.301772036
          0,           0,          53,     -0.3034794359,        2.40153874,          2.020278,       5.195569308
          0,           0,          54,     -0.3501164122,       2.364853389,       2.006746363,       5.159802855
          0,           0,          55,     -0.2438884032,        2.47529928,       2.129397631,       5.277347969
          0,           0,          56,     -0.3447221542,       2.360616202,       1.987101387,       5.152992039
          0,           0,          57,     -0.3563453172,       2.357375955,       1.993480749,       5.150923868
          0,           0,          58,     -0.2493400901,       2.465165942,       2.093031432,       5.263922166
          0,           0,          59,     -0.3526692289,       2.356867559,       1.946153892,       5.137407206
          0,           0,          60,     -0.3820832924,        2.34247758,       1.947498115,        5.12578492
          0,           0,          61,     -0.2768113785,       2.451969023,       2.082958747,       5.240218874
          0,           0,          62,     -0.3752941606,       2.331575897,       1.923765882,       5.116659812
          0,           0,          63,      -0.393386695,       2.320297307,       1.949399056,       5.110703347
          0,           0,          64,     -0.2760868179,       2.437119017,       2.096378297,       5.233604226
          0,           0,          65,     -0.3612348196,       2.347011899,       1.939348042,        5.13173839
          0,           0,          66,     -0.3901322316,       2.331467171,       2.000515834,       5.115375032
          0,           0,          67,     -0.2805018228,       2.430809793,       2.127708007,       5.231952892
          0,           0,          68,       -0.35886358,        2.31712676,       1.972978419,       5.128253622
          0,           0,          69,     -0.3807794284,       2.304798877,       2.011514593,       5.118808713
          0,           0,          70,     -0.2081955439,       2.445516219,       2.161215452,       5.304850145
          0,           0,          71,     -0.2930777515,       2.360631492,       1.986501051,       5.201849541
          0,           0,          72,     -0.3048999773,        2.37349139,       2.093979804,       5.212013386
          0,           0,          73,     -0.2292703318,       2.449527597,       2.199707398,       5.285917504
          0,           0,          74,    -0.06789931327,       2.539751669,       2.271766766,       5.429571743
          0,           0,          75,     -0.1698814353,         2.4072139,          2.116773,       5.312439205
          0,           0,          76,     -0.2309043266,       2.359572403,       2.107590522,       5.272185204
          0,           0,          77,      -0.231014205,       2.410322615,       2.104906808,       5.285204229
          0,           0,          78,     -0.2121193913,       2.436649812,       2.192128503,       5.301752918
          0,           0,          79,     -0.2869029072,       2.380807872,       2.005398958,       5.213655271
