"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.44354,7.1025e-06,1.416e+05,0,7.3077e-06,3.3179,307.87,3.4472,0,193.3,13894,-1.4038e+06,0,0,0,105.37,0.0030953,0,,0,10,0,0
0.44268,7.0888e-06,1.4133e+05,0,7.3034e-06,3.3192,307.29,3.8515,0,193.52,13859,-1.4038e+06,0,0,0,105.3,0.0030989,0,,0.016,10,0.016,0
0.44182,7.0751e-06,1.4105e+05,0,7.2991e-06,3.3205,306.71,4.2558,0,193.74,13824,-1.4039e+06,0,0,0,105.24,0.0031024,0,,0.032,10,0.032,0
0.44096,7.0615e-06,1.4078e+05,0,7.2948e-06,3.3218,306.13,4.66,0,193.96,13789,-1.4039e+06,0,0,0,105.18,0.003106,0,,0.048,10,0.048,0
0.4401,7.0478e-06,1.4051e+05,0,7.2905e-06,3.3231,305.55,5.0643,0,194.18,13754,-1.404e+06,0,0,0,105.12,0.0031095,0,,0.064,10,0.064,0
0.43924,7.0341e-06,1.4024e+05,0,7.2861e-06,3.3244,304.97,5.4685,0,194.39,13719,-1.4041e+06,0,0,0,105.06,0.0031131,0,,0.08,10,0.08,0
0.43838,7.0204e-06,1.3996e+05,0,7.2818e-06,3.3257,304.39,5.8728,0,194.61,13684,-1.4041e+06,0,0,0,105,0.0031166,0,,0.096,10,0.096,0
0.43752,7.0067e-06,1.3969e+05,0,7.2775e-06,3.327,303.8,6.277,0,194.83,13650,-1.4042e+06,0,0,0,104.93,0.0031202,0,,0.112,10,0.112,0
0.43666,6.993e-06,1.3942e+05,0,7.2732e-06,3.3283,303.22,6.6813,0,195.05,13615,-1.4043e+06,0,0,0,104.87,0.0031237,0,,0.128,10,0.128,0
0.4358,6.9793e-06,1.3914e+05,0,7.2689e-06,3.3296,302.64,7.0856,0,195.27,13580,-1.4043e+06,0,0,0,104.81,0.0031273,0,,0.144,10,0.144,0
0.43494,6.9656e-06,1.3887e+05,0,7.2646e-06,3.3309,302.06,7.4898,0,195.49,13545,-1.4044e+06,0,0,0,104.75,0.0031308,0,,0.16,10,0.16,0
0.43408,6.9519e-06,1.386e+05,0,7.2603e-06,3.3322,301.48,7.8941,0,195.71,13510,-1.4044e+06,0,0,0,104.69,0.0031344,0,,0.176,10,0.176,0
0.43322,6.9383e-06,1.3832e+05,0,7.256e-06,3.3335,300.9,8.2983,0,195.93,13475,-1.4045e+06,0,0,0,104.63,0.0031379,0,,0.192,10,0.192,0
0.43236,6.9246e-06,1.3805e+05,0,7.2516e-06,3.3348,300.32,8.7026,0,196.15,13440,-1.4046e+06,0,0,0,104.57,0.0031415,0,,0.208,10,0.208,0
0.4315,6.9109e-06,1.3778e+05,0,7.2473e-06,3.3361,299.74,9.1069,0,196.37,13405,-1.4046e+06,0,0,0,104.5,0.003145,0,,0.224,10,0.224,0
0.43064,6.8972e-06,1.3751e+05,0,7.243e-06,3.3374,299.16,9.5111,0,196.58,13370,-1.4047e+06,0,0,0,104.44,0.0031486,0,,0.24,10,0.24,0
0.42978,6.8835e-06,1.3723e+05,0,7.2387e-06,3.3387,298.57,9.9154,0,196.8,13336,-1.4048e+06,0,0,0,104.38,0.0031521,0,,0.256,10,0.256,0
0.42891,6.8698e-06,1.3696e+05,0,7.2344e-06,3.34,297.99,10.32,0,197.02,13301,-1.4048e+06,0,0,0,104.32,0.0031557,0,,0.272,10,0.272,0
0.42805,6.8561e-06,1.3669e+05,0,7.2301e-06,3.3413,297.41,10.724,0,197.24,13266,-1.4049e+06,0,0,0,104.26,0.0031592,0,,0.288,10,0.288,0
0.42719,6.8424e-06,1.3641e+05,0,7.2258e-06,3.3426,296.83,11.128,0,197.46,13231,-1.4049e+06,0,0,0,104.2,0.0031628,0,,0.304,10,0.304,0
0.42633,6.8287e-06,1.3614e+05,0,7.2215e-06,3.3439,296.25,11.532,0,197.68,13196,-1.405e+06,0,0,0,104.14,0.0031663,0,,0.32,10,0.32,0
0.42547,6.815e-06,1.3587e+05,0,7.2171e-06,3.3452,295.67,11.937,0,197.9,13161,-1.4051e+06,0,0,0,104.07,0.0031699,0,,0.336,10,0.336,0
0.42461,6.8014e-06,1.356e+05,0,7.2128e-06,3.3465,295.09,12.341,0,198.12,13126,-1.4051e+06,0,0,0,104.01,0.0031734,0,,0.352,10,0.352,0
0.42375,6.7877e-06,1.3532e+05,0,7.2085e-06,3.3478,294.51,12.745,0,198.34,13091,-1.4052e+06,0,0,0,103.95,0.003177,0,,0.368,10,0.368,0
0.42289,6.774e-06,1.3505e+05,0,7.2042e-06,3.3491,293.92,13.149,0,198.56,13056,-1.4053e+06,0,0,0,103.89,0.0031805,0,,0.384,10,0.384,0
0.42203,6.7603e-06,1.3478e+05,0,7.1999e-06,3.3504,293.34,13.554,0,198.77,13021,-1.4053e+06,0,0,0,103.83,0.0031841,0,,0.4,10,0.4,0
0.42117,6.7466e-06,1.345e+05,0,7.1956e-06,3.3517,292.76,13.958,0,198.99,12987,-1.4054e+06,0,0,0,103.77,0.0031876,0,,0.416,10,0.416,0
0.42031,6.7329e-06,1.3423e+05,0,7.1913e-06,3.353,292.18,14.362,0,199.21,12952,-1.4054e+06,0,0,0,103.71,0.0031912,0,,0.432,10,0.432,0
0.41945,6.7192e-06,1.3396e+05,0,7.187e-06,3.3543,291.6,14.766,0,199.43,12917,-1.4055e+06,0,0,0,103.64,0.0031947,0,,0.448,10,0.448,0
