"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.40218,0.0024779,1.3015e+05,0,7.1683e-06,3.3919,282.33,6.9852,0,242.15,12392,-1.4064e+06,0,0,0,103.4,1.5145,0,,0,10,0,0
0.40191,0.0025084,1.3002e+05,0,7.1676e-06,3.3914,282.08,7.3749,0,242.58,12381,-1.4065e+06,0,0,0,103.38,1.537,0,,0.016,10,0.016,0
0.40164,0.0025389,1.299e+05,0,7.1668e-06,3.391,281.83,7.7646,0,243.02,12370,-1.4065e+06,0,0,0,103.37,1.5596,0,,0.032,10,0.032,0
0.40136,0.0025695,1.2978e+05,0,7.1661e-06,3.3906,281.59,8.1544,0,243.45,12359,-1.4065e+06,0,0,0,103.36,1.5821,0,,0.048,10,0.048,0
0.40109,0.0026,1.2966e+05,0,7.1653e-06,3.3901,281.34,8.5441,0,243.89,12348,-1.4065e+06,0,0,0,103.35,1.6047,0,,0.064,10,0.064,0
0.40081,0.0026306,1.2954e+05,0,7.1646e-06,3.3897,281.09,8.9338,0,244.33,12337,-1.4065e+06,0,0,0,103.34,1.6272,0,,0.08,10,0.08,0
0.40054,0.0026611,1.2942e+05,0,7.1638e-06,3.3893,280.84,9.3235,0,244.76,12325,-1.4066e+06,0,0,0,103.33,1.6498,0,,0.096,10,0.096,0
0.40027,0.0026916,1.293e+05,0,7.1631e-06,3.3889,280.59,9.7132,0,245.2,12314,-1.4066e+06,0,0,0,103.32,1.6723,0,,0.112,10,0.112,0
0.39999,0.0027222,1.2918e+05,0,7.1623e-06,3.3884,280.35,10.103,0,245.63,12303,-1.4066e+06,0,0,0,103.31,1.6949,0,,0.128,10,0.128,0
0.39972,0.0027527,1.2905e+05,0,7.1616e-06,3.388,280.1,10.493,0,246.07,12292,-1.4066e+06,0,0,0,103.3,1.7174,0,,0.144,10,0.144,0
0.39945,0.0027833,1.2893e+05,0,7.1608e-06,3.3876,279.85,10.882,0,246.5,12281,-1.4066e+06,0,0,0,103.28,1.74,0,,0.16,10,0.16,0
0.39917,0.0028138,1.2881e+05,0,7.1601e-06,3.3871,279.6,11.272,0,246.94,12270,-1.4067e+06,0,0,0,103.27,1.7625,0,,0.176,10,0.176,0
0.3989,0.0028443,1.2869e+05,0,7.1593e-06,3.3867,279.35,11.662,0,247.37,12259,-1.4067e+06,0,0,0,103.26,1.7851,0,,0.192,10,0.192,0
0.39862,0.0028749,1.2857e+05,0,7.1586e-06,3.3863,279.11,12.051,0,247.81,12248,-1.4067e+06,0,0,0,103.25,1.8076,0,,0.208,10,0.208,0
0.39835,0.0029054,1.2845e+05,0,7.1578e-06,3.3859,278.86,12.441,0,248.24,12237,-1.4067e+06,0,0,0,103.24,1.8302,0,,0.224,10,0.224,0
0.39808,0.002936,1.2833e+05,0,7.1571e-06,3.3854,278.61,12.831,0,248.68,12226,-1.4067e+06,0,0,0,103.23,1.8527,0,,0.24,10,0.24,0
0.3978,0.0029665,1.2821e+05,0,7.1563e-06,3.385,278.36,13.221,0,249.12,12215,-1.4068e+06,0,0,0,103.22,1.8753,0,,0.256,10,0.256,0
0.39753,0.002997,1.2808e+05,0,7.1556e-06,3.3846,278.11,13.61,0,249.55,12204,-1.4068e+06,0,0,0,103.21,1.8978,0,,0.272,10,0.272,0
0.39725,0.0030276,1.2796e+05,0,7.1548e-06,3.3841,277.87,14,0,249.99,12193,-1.4068e+06,0,0,0,103.19,1.9204,0,,0.288,10,0.288,0
0.39698,0.0030581,1.2784e+05,0,7.1541e-06,3.3837,277.62,14.39,0,250.42,12181,-1.4068e+06,0,0,0,103.18,1.9429,0,,0.304,10,0.304,0
0.39671,0.0030887,1.2772e+05,0,7.1533e-06,3.3833,277.37,14.779,0,250.86,12170,-1.4068e+06,0,0,0,103.17,1.9655,0,,0.32,10,0.32,0
0.39643,0.0031192,1.276e+05,0,7.1526e-06,3.3829,277.12,15.169,0,251.29,12159,-1.4069e+06,0,0,0,103.16,1.988,0,,0.336,10,0.336,0
0.39616,0.0031497,1.2748e+05,0,7.1518e-06,3.3824,276.87,15.559,0,251.73,12148,-1.4069e+06,0,0,0,103.15,2.0106,0,,0.352,10,0.352,0
