"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7708,0.00018506,1.9533e+06,0,1.999e-05,0.2388,690.72,0.71623,0,88489,7.6902e+05,-55320,0,0,0,333.21,2.1074,0,,0,-8.1,0,0
7.7687,0.00018282,1.9528e+06,0,1.9989e-05,0.23954,692.63,0.27856,0,76873,7.6875e+05,-55810,0,0,0,333.18,1.8282,0,,0.0731,-8.0269,0,0
7.7666,0.00018058,1.9522e+06,0,1.9987e-05,0.24028,694.55,-0.15911,0,65257,7.6847e+05,-56300,0,0,0,333.15,1.549,0,,0.1462,-7.9538,0,0
7.7645,0.00017833,1.9517e+06,0,1.9986e-05,0.24102,696.46,-0.59678,0,53642,7.682e+05,-56791,0,0,0,333.12,1.2697,0,,0.2193,-7.8807,0,0
7.7625,0.00017609,1.9512e+06,0,1.9985e-05,0.24175,698.37,-1.0345,0,42026,7.6792e+05,-57281,0,0,0,333.09,0.99051,0,,0.2924,-7.8076,0,0
7.7604,0.00017385,1.9507e+06,0,1.9983e-05,0.24249,700.29,-1.4721,0,30410,7.6765e+05,-57771,0,0,0,333.06,0.71129,0,,0.3655,-7.7345,0,0
7.7583,0.0001716,1.9502e+06,0,1.9982e-05,0.24323,702.2,-1.9098,0,18795,7.6737e+05,-58261,0,0,0,333.03,0.43206,0,,0.4386,-7.6614,0,0
7.7561,0.00016951,1.9497e+06,0,1.9981e-05,0.24408,704.41,-2.3343,0,9019.6,7.6708e+05,-58788,0,0,0,333,0.19728,0,,0.5117,-7.5883,0,0
7.7531,0.00016813,1.949e+06,0,1.9979e-05,0.24545,708.05,-2.6943,0,8216.9,7.6668e+05,-59497,0,0,0,332.95,0.17909,0,,0.5848,-7.5152,0,0
7.7501,0.00016676,1.9484e+06,0,1.9977e-05,0.24683,711.69,-3.0544,0,7414.2,7.6629e+05,-60205,0,0,0,332.91,0.16091,0,,0.6579,-7.4421,0,0
7.7471,0.00016538,1.9478e+06,0,1.9974e-05,0.2482,715.33,-3.4144,0,6611.5,7.6589e+05,-60913,0,0,0,332.86,0.14273,0,,0.731,-7.369,0,0
7.7442,0.00016401,1.9471e+06,0,1.9972e-05,0.24958,718.97,-3.7745,0,5808.8,7.6549e+05,-61621,0,0,0,332.82,0.12454,0,,0.8041,-7.2959,0,0
7.7412,0.00016264,1.9465e+06,0,1.997e-05,0.25096,722.61,-4.1345,0,5006,7.651e+05,-62329,0,0,0,332.78,0.10636,0,,0.8772,-7.2228,0,0
7.7382,0.00016126,1.9458e+06,0,1.9968e-05,0.25233,726.25,-4.4946,0,4203.3,7.647e+05,-63038,0,0,0,332.73,0.088178,0,,0.9503,-7.1497,0,0
7.7348,0.00015982,1.9451e+06,0,1.9966e-05,0.25403,730.77,-4.6146,0,3528.2,7.6424e+05,-63863,0,0,0,332.68,0.072973,0,,1.0234,-7.0766,0,0
7.7305,0.00015824,1.9442e+06,0,1.9962e-05,0.25647,737.28,-4.1869,0,3144,7.6362e+05,-64956,0,0,0,332.6,0.064565,0,,1.0965,-7.0035,0,0
7.7261,0.00015666,1.9433e+06,0,1.9959e-05,0.25891,743.79,-3.7591,0,2759.9,7.6301e+05,-66049,0,0,0,332.52,0.056156,0,,1.1696,-6.9304,0,0
7.7218,0.00015507,1.9425e+06,0,1.9955e-05,0.26135,750.29,-3.3314,0,2375.8,7.624e+05,-67142,0,0,0,332.44,0.047748,0,,1.2427,-6.8573,0,0
7.7139,0.0001538,1.9406e+06,0,1.995e-05,0.2644,758.11,-3.5349,0,2170.4,7.6134e+05,-69028,0,0,0,332.32,0.043326,0,,1.3158,-6.7842,0,0
7.7053,0.00015258,1.9386e+06,0,1.9944e-05,0.26755,766.14,-3.8468,0,1995.8,7.6021e+05,-71051,0,0,0,332.19,0.039589,0,,1.3889,-6.7111,0,0
7.6968,0.00015136,1.9366e+06,0,1.9938e-05,0.27071,774.18,-4.1587,0,1821.1,7.5908e+05,-73073,0,0,0,332.06,0.035851,0,,1.462,-6.638,0,0
7.6893,0.00015018,1.935e+06,0,1.9933e-05,0.27402,782.76,-4.121,0,1664.9,7.5807e+05,-74880,0,0,0,331.94,0.032526,0,,1.5351,-6.5649,0,0
7.6834,0.00014907,1.9339e+06,0,1.9928e-05,0.27756,792.15,-3.564,0,1536.1,7.5723e+05,-76366,0,0,0,331.84,0.029811,0,,1.6082,-6.4918,0,0
7.6746,0.00014797,1.9321e+06,0,1.9922e-05,0.28147,802.2,-3.5538,0,1424.6,7.5605e+05,-78487,0,0,0,331.69,0.027476,0,,1.6813,-6.4187,0,0
7.6644,0.00014688,1.9298e+06,0,1.9915e-05,0.28555,812.58,-3.8245,0,1322,7.5468e+05,-80933,0,0,0,331.53,0.025335,0,,1.7544,-6.3456,0,0
7.6556,0.00014582,1.9279e+06,0,1.9907e-05,0.28985,823.65,-3.5941,0,1231.4,7.5345e+05,-83132,0,0,0,331.37,0.023463,0,,1.8275,-6.2725,0,0
7.6466,0.00014481,1.926e+06,0,1.99e-05,0.29421,834.86,-3.3441,0,1147.5,7.5218e+05,-85391,0,0,0,331.21,0.021733,0,,1.9006,-6.1994,0,0
7.6356,0.00014397,1.9237e+06,0,1.9892e-05,0.29882,846.48,-3.208,0,1089.8,7.507e+05,-88027,0,0,0,331.03,0.020552,0,,1.9737,-6.1263,0,0
