"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.766,0.00018502,1.9524e+06,0,1.9988e-05,0.2411,696.89,0.89885,0,89827,7.6846e+05,-56316,0,0,0,333.17,2.14,0,,0,-8.1,0,0
7.7637,0.00018278,1.9518e+06,0,1.9986e-05,0.24194,699.07,0.35233,0,78049,7.6813e+05,-56916,0,0,0,333.12,1.8568,0,,0.0731,-8.0269,0,0
7.7615,0.00018055,1.9512e+06,0,1.9984e-05,0.24279,701.25,-0.1942,0,66270,7.6779e+05,-57516,0,0,0,333.08,1.5735,0,,0.1462,-7.9538,0,0
7.7592,0.00017832,1.9505e+06,0,1.9982e-05,0.24363,703.44,-0.74071,0,54492,7.6746e+05,-58115,0,0,0,333.03,1.2903,0,,0.2193,-7.8807,0,0
7.7569,0.00017608,1.9499e+06,0,1.998e-05,0.24448,705.62,-1.2872,0,42714,7.6712e+05,-58715,0,0,0,332.98,1.0071,0,,0.2924,-7.8076,0,0
7.7546,0.00017385,1.9493e+06,0,1.9978e-05,0.24532,707.8,-1.8338,0,30936,7.6678e+05,-59315,0,0,0,332.93,0.72381,0,,0.3655,-7.7345,0,0
7.7523,0.00017162,1.9486e+06,0,1.9975e-05,0.24617,709.98,-2.3803,0,19157,7.6645e+05,-59915,0,0,0,332.88,0.44057,0,,0.4386,-7.6614,0,0
7.7497,0.00016951,1.9479e+06,0,1.9973e-05,0.24717,712.58,-2.9252,0,9233.5,7.6607e+05,-60584,0,0,0,332.83,0.20215,0,,0.5117,-7.5883,0,0
7.7456,0.00016801,1.947e+06,0,1.997e-05,0.24894,717.22,-3.4622,0,8349.7,7.6551e+05,-61592,0,0,0,332.77,0.18218,0,,0.5848,-7.5152,0,0
7.7415,0.00016652,1.946e+06,0,1.9967e-05,0.25072,721.86,-3.9992,0,7465.8,7.6494e+05,-62599,0,0,0,332.7,0.16222,0,,0.6579,-7.4421,0,0
7.7374,0.00016502,1.9451e+06,0,1.9964e-05,0.25249,726.5,-4.5362,0,6581.9,7.6438e+05,-63606,0,0,0,332.63,0.14225,0,,0.731,-7.369,0,0
7.7333,0.00016352,1.9441e+06,0,1.9961e-05,0.25427,731.14,-5.0732,0,5698,7.6382e+05,-64613,0,0,0,332.56,0.12229,0,,0.8041,-7.2959,0,0
7.7291,0.00016203,1.9432e+06,0,1.9958e-05,0.25604,735.78,-5.6102,0,4814.2,7.6325e+05,-65621,0,0,0,332.49,0.10233,0,,0.8772,-7.2228,0,0
7.725,0.00016053,1.9422e+06,0,1.9955e-05,0.25782,740.41,-6.1472,0,3930.3,7.6269e+05,-66628,0,0,0,332.42,0.082363,0,,0.9503,-7.1497,0,0
7.7199,0.00015916,1.9411e+06,0,1.9951e-05,0.25995,745.94,-6.6845,0,3249.1,7.62e+05,-67851,0,0,0,332.34,0.06704,0,,1.0234,-7.0766,0,0
7.7127,0.0001581,1.9394e+06,0,1.9946e-05,0.26289,753.51,-7.2228,0,3030.5,7.6104e+05,-69568,0,0,0,332.23,0.062308,0,,1.0965,-7.0035,0,0
7.7055,0.00015703,1.9378e+06,0,1.9941e-05,0.26583,761.07,-7.761,0,2811.9,7.6008e+05,-71286,0,0,0,332.13,0.057577,0,,1.1696,-6.9304,0,0
7.6983,0.00015596,1.9362e+06,0,1.9936e-05,0.26878,768.63,-8.2993,0,2593.3,7.5912e+05,-73003,0,0,0,332.02,0.052845,0,,1.2427,-6.8573,0,0
7.691,0.00015489,1.9346e+06,0,1.9931e-05,0.27172,776.19,-8.8375,0,2374.7,7.5816e+05,-74720,0,0,0,331.91,0.048114,0,,1.3158,-6.7842,0,0
7.6838,0.00015382,1.933e+06,0,1.9927e-05,0.27466,783.75,-9.3757,0,2156.1,7.572e+05,-76437,0,0,0,331.8,0.043382,0,,1.3889,-6.7111,0,0
7.6766,0.00015275,1.9314e+06,0,1.9922e-05,0.2776,791.31,-9.914,0,1937.5,7.5623e+05,-78154,0,0,0,331.69,0.038651,0,,1.462,-6.638,0,0
