"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7732,0.00018534,1.9537e+06,0,1.9992e-05,0.23694,685.58,0.31227,0,1.0747e+05,7.6936e+05,-54716,0,0,0,333.25,2.5625,0,,0,-8.1,0,0
7.7723,0.00018156,1.9534e+06,0,1.9991e-05,0.23742,686.89,0.10105,0,81241,7.6923e+05,-54944,0,0,0,333.24,1.9284,0,,0.0731,-8.0269,0,0
7.7713,0.00017778,1.9532e+06,0,1.9991e-05,0.23791,688.2,-0.11017,0,55008,7.691e+05,-55171,0,0,0,333.22,1.2943,0,,0.1462,-7.9538,0,0
7.7703,0.000174,1.953e+06,0,1.999e-05,0.2384,689.51,-0.32139,0,28775,7.6898e+05,-55398,0,0,0,333.21,0.66014,0,,0.2193,-7.8807,0,0
7.7687,0.00017051,1.9527e+06,0,1.9989e-05,0.23908,691.33,-0.53651,0,15843,7.6876e+05,-55783,0,0,0,333.19,0.35014,0,,0.2924,-7.8076,0,0
7.7665,0.00016722,1.9522e+06,0,1.9988e-05,0.23991,693.5,-0.75439,0,12343,7.6848e+05,-56280,0,0,0,333.16,0.26998,0,,0.3655,-7.7345,0,0
7.7644,0.00016393,1.9517e+06,0,1.9986e-05,0.24074,695.68,-0.97228,0,8841.8,7.682e+05,-56777,0,0,0,333.13,0.18981,0,,0.4386,-7.6614,0,0
7.7622,0.00016086,1.9512e+06,0,1.9985e-05,0.24166,698.1,-1.1644,0,5803,7.6791e+05,-57295,0,0,0,333.1,0.12037,0,,0.5117,-7.5883,0,0
7.7596,0.00015884,1.9506e+06,0,1.9983e-05,0.24301,701.73,-1.2309,0,5015.7,7.6756e+05,-57920,0,0,0,333.06,0.1032,0,,0.5848,-7.5152,0,0
7.7571,0.00015682,1.9501e+06,0,1.9981e-05,0.24437,705.36,-1.2975,0,4228.4,7.6722e+05,-58544,0,0,0,333.02,0.086029,0,,0.6579,-7.4421,0,0
7.7545,0.0001548,1.9496e+06,0,1.9979e-05,0.24572,708.99,-1.364,0,3441.1,7.6687e+05,-59168,0,0,0,332.97,0.068859,0,,0.731,-7.369,0,0
