"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.42975,7.001e-06,1.3744e+05,0,7.2172e-06,3.3491,299.23,2.0834,0,188.59,13302,-1.4048e+06,0,0,0,104.08,0.0030729,0,,0,10,0,0
0.42866,6.9879e-06,1.3709e+05,0,7.213e-06,3.3503,298.49,2.5218,0,188.79,13260,-1.4049e+06,0,0,0,104.02,0.0030784,0,,0.016,10,0.016,0
0.42756,6.9747e-06,1.3673e+05,0,7.2087e-06,3.3514,297.74,2.9603,0,188.99,13218,-1.405e+06,0,0,0,103.96,0.0030839,0,,0.032,10,0.032,0
0.42646,6.9616e-06,1.3638e+05,0,7.2045e-06,3.3526,296.99,3.3987,0,189.2,13175,-1.405e+06,0,0,0,103.9,0.0030894,0,,0.048,10,0.048,0
0.42536,6.9484e-06,1.3602e+05,0,7.2003e-06,3.3538,296.24,3.8372,0,189.4,13133,-1.4051e+06,0,0,0,103.84,0.003095,0,,0.064,10,0.064,0
0.42426,6.9353e-06,1.3567e+05,0,7.1961e-06,3.3549,295.49,4.2756,0,189.61,13091,-1.4052e+06,0,0,0,103.78,0.0031005,0,,0.08,10,0.08,0
0.42317,6.9222e-06,1.3531e+05,0,7.1919e-06,3.3561,294.74,4.7141,0,189.81,13049,-1.4053e+06,0,0,0,103.72,0.003106,0,,0.096,10,0.096,0
0.42207,6.909e-06,1.3496e+05,0,7.1877e-06,3.3573,293.99,5.1525,0,190.01,13007,-1.4053e+06,0,0,0,103.66,0.0031115,0,,0.112,10,0.112,0
0.42097,6.8959e-06,1.346e+05,0,7.1835e-06,3.3584,293.24,5.591,0,190.22,12965,-1.4054e+06,0,0,0,103.6,0.003117,0,,0.128,10,0.128,0
0.41987,6.8827e-06,1.3425e+05,0,7.1793e-06,3.3596,292.49,6.0294,0,190.42,12922,-1.4055e+06,0,0,0,103.54,0.0031225,0,,0.144,10,0.144,0
0.41877,6.8696e-06,1.339e+05,0,7.1751e-06,3.3608,291.74,6.4679,0,190.62,12880,-1.4056e+06,0,0,0,103.48,0.003128,0,,0.16,10,0.16,0
0.41768,6.8564e-06,1.3354e+05,0,7.1708e-06,3.3619,291,6.9063,0,190.83,12838,-1.4056e+06,0,0,0,103.42,0.0031336,0,,0.176,10,0.176,0
0.41658,6.8433e-06,1.3319e+05,0,7.1666e-06,3.3631,290.25,7.3448,0,191.03,12796,-1.4057e+06,0,0,0,103.36,0.0031391,0,,0.192,10,0.192,0
0.41548,6.8302e-06,1.3283e+05,0,7.1624e-06,3.3643,289.5,7.7832,0,191.23,12754,-1.4058e+06,0,0,0,103.3,0.0031446,0,,0.208,10,0.208,0
0.41438,6.817e-06,1.3248e+05,0,7.1582e-06,3.3654,288.75,8.2217,0,191.44,12712,-1.4059e+06,0,0,0,103.24,0.0031501,0,,0.224,10,0.224,0
0.41328,6.8039e-06,1.3212e+05,0,7.154e-06,3.3666,288,8.6601,0,191.64,12669,-1.4059e+06,0,0,0,103.18,0.0031556,0,,0.24,10,0.24,0
0.41219,6.7907e-06,1.3177e+05,0,7.1498e-06,3.3678,287.25,9.0986,0,191.85,12627,-1.406e+06,0,0,0,103.12,0.0031611,0,,0.256,10,0.256,0
0.41109,6.7776e-06,1.3142e+05,0,7.1456e-06,3.3689,286.5,9.537,0,192.05,12585,-1.4061e+06,0,0,0,103.06,0.0031666,0,,0.272,10,0.272,0
0.41008,6.7665e-06,1.3109e+05,0,7.1416e-06,3.37,285.81,9.9811,0,192.28,12546,-1.4062e+06,0,0,0,103,0.0031729,0,,0.288,10,0.288,0
0.40966,6.772e-06,1.3096e+05,0,7.1398e-06,3.3707,285.53,10.37,0,192.52,12529,-1.4062e+06,0,0,0,102.97,0.0031825,0,,0.304,10,0.304,0
0.40945,6.7831e-06,1.3091e+05,0,7.1388e-06,3.3712,285.39,10.731,0,192.74,12521,-1.4062e+06,0,0,0,102.96,0.0031931,0,,0.32,10,0.32,0
0.40924,6.7935e-06,1.3085e+05,0,7.1377e-06,3.3717,285.24,11.083,0,192.97,12513,-1.4062e+06,0,0,0,102.94,0.0032036,0,,0.336,10,0.336,0
0.40902,6.8039e-06,1.3079e+05,0,7.1365e-06,3.3722,285.09,11.435,0,193.19,12504,-1.4062e+06,0,0,0,102.93,0.0032141,0,,0.352,10,0.352,0
0.4088,6.8143e-06,1.3072e+05,0,7.1354e-06,3.3727,284.94,11.787,0,193.42,12496,-1.4063e+06,0,0,0,102.91,0.0032246,0,,0.368,10,0.368,0
0.40858,6.8246e-06,1.3066e+05,0,7.1343e-06,3.3732,284.79,12.139,0,193.65,12488,-1.4063e+06,0,0,0,102.9,0.0032351,0,,0.384,10,0.384,0
0.40836,6.835e-06,1.306e+05,0,7.1332e-06,3.3737,284.64,12.49,0,193.87,12479,-1.4063e+06,0,0,0,102.88,0.0032456,0,,0.4,10,0.4,0
0.40814,6.8454e-06,1.3054e+05,0,7.1321e-06,3.3743,284.49,12.842,0,194.1,12471,-1.4063e+06,0,0,0,102.86,0.0032561,0,,0.416,10,0.416,0
0.40792,6.8558e-06,1.3048e+05,0,7.131e-06,3.3748,284.34,13.194,0,194.33,12463,-1.4063e+06,0,0,0,102.85,0.0032666,0,,0.432,10,0.432,0
0.40771,6.8661e-06,1.3042e+05,0,7.1298e-06,3.3753,284.2,13.546,0,194.55,12454,-1.4063e+06,0,0,0,102.83,0.0032771,0,,0.448,10,0.448,0
0.40749,6.8765e-06,1.3036e+05,0,7.1287e-06,3.3758,284.05,13.898,0,194.78,12446,-1.4063e+06,0,0,0,102.82,0.0032876,0,,0.464,10,0.464,0
0.40727,6.8869e-06,1.303e+05,0,7.1276e-06,3.3763,283.9,14.25,0,195.01,12438,-1.4064e+06,0,0,0,102.8,0.0032981,0,,0.48,10,0.48,0
0.40705,6.8973e-06,1.3024e+05,0,7.1265e-06,3.3768,283.75,14.602,0,195.23,12430,-1.4064e+06,0,0,0,102.79,0.0033086,0,,0.496,10,0.496,0
0.40683,6.9077e-06,1.3018e+05,0,7.1254e-06,3.3773,283.6,14.954,0,195.46,12421,-1.4064e+06,0,0,0,102.77,0.0033191,0,,0.512,10,0.512,0
0.40661,6.918e-06,1.3012e+05,0,7.1243e-06,3.3779,283.45,15.306,0,195.69,12413,-1.4064e+06,0,0,0,102.75,0.0033296,0,,0.528,10,0.528,0
0.4064,6.9284e-06,1.3006e+05,0,7.1231e-06,3.3784,283.3,15.658,0,195.91,12405,-1.4064e+06,0,0,0,102.74,0.0033401,0,,0.544,10,0.544,0
0.4063,6.9472e-06,1.3003e+05,0,7.1221e-06,3.3788,283.23,16.033,0,196.03,12400,-1.4064e+06,0,0,0,102.72,0.0033521,0,,0.56,10,0.56,0
0.40623,6.9677e-06,1.3002e+05,0,7.121e-06,3.3792,283.17,16.413,0,196.12,12396,-1.4064e+06,0,0,0,102.71,0.0033643,0,,0.576,10,0.576,0
