"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.847225449,      0.2566053188,      0.1290893922,       4.243703645
          0,           0,           1,      -1.960020286,      0.1308795821,     0.04254681639,        4.12758735
          0,           0,           2,      -2.091579109,     0.01333193792,    -0.07613339696,       3.994713835
          0,           0,           3,      -2.195678487,    -0.09344259867,     -0.1666599529,       3.887062931
          0,           0,           4,      -2.262294882,     -0.1826099292,     -0.2214389995,       3.817411884
          0,           0,           5,      -2.307518301,     -0.2549476953,     -0.2625160554,       3.768729506
          0,           0,           6,       -2.34927304,     -0.3278796862,     -0.3036376444,       3.724186197
          0,           0,           7,      -2.386662172,     -0.3963165253,     -0.3417455887,       3.685441493
          0,           0,           8,      -2.422335838,     -0.4604994384,     -0.3808155705,       3.648730244
          0,           0,           9,      -2.450826987,     -0.5189230127,     -0.4141326785,       3.619808595
          0,           0,          10,      -2.469774862,     -0.5630557756,     -0.4379684924,       3.601203866
          0,           0,          11,      -2.470852606,     -0.5660057212,      -0.455486844,       3.600098535
          0,           0,          12,      -2.447698027,     -0.4741927453,     -0.4604128527,       3.625201722
          0,           0,          13,      -2.405030474,     -0.3120796381,      -0.458702289,       3.671752622
          0,           0,          14,      -2.353175669,     -0.1519139342,     -0.4607222804,       3.729914354
          0,           0,          15,      -2.302866317,    -0.02239692939,     -0.4684373069,       3.786887258
          0,           0,          16,      -2.265065695,     0.06694792693,     -0.4824920672,       3.830355064
          0,           0,          17,      -2.245509486,      0.1213189596,     -0.4906250711,       3.853706117
          0,           0,          18,      -2.248260046,      0.1414866812,     -0.4801499713,       3.853846822
          0,           0,          19,      -2.274464087,      0.1311593145,     -0.4544901724,       3.829594716
          0,           0,          20,      -2.324831184,     0.09105089981,     -0.4234726328,        3.78058739
          0,           0,          21,       -2.39768256,     0.02273328778,     -0.4004478085,       3.708430238
          0,           0,          22,      -2.481554396,    -0.06211966853,     -0.3932995006,       3.624668286
          0,           0,          23,       -2.54769123,     -0.1348532135,      -0.402741798,       3.557262704
          0,           0,          24,      -2.551261234,     -0.1377255541,     -0.4252662106,       3.553101566
          0,           0,          25,      -2.508551814,    -0.08923266031,     -0.4599048436,       3.596292451
          0,           0,          26,      -2.468173389,    -0.04657408259,     -0.5011671723,       3.637466927
          0,           0,          27,      -2.452067111,    -0.03416185116,     -0.5349998092,       3.653583259
          0,           0,          28,      -2.463897277,    -0.05497733874,     -0.5586599434,       3.641210863
          0,           0,          29,      -2.497948798,     -0.1020408422,     -0.5687405977,       3.606067552
          0,           0,          30,      -2.542179767,     -0.1551328802,     -0.5821134361,       3.560688823
          0,           0,          31,      -2.585350368,     -0.1970005826,     -0.5943674011,       3.517144614
          0,           0,          32,      -2.617091877,     -0.2185193593,     -0.6156292196,       3.485969213
          0,           0,          33,      -2.637955549,     -0.2299135007,     -0.6394627533,       3.466007638
          0,           0,          34,      -2.656027073,     -0.2471843438,     -0.6600796865,       3.448369195
          0,           0,          35,      -2.672478638,     -0.2734725203,     -0.6839468926,        3.43158005
          0,           0,          36,      -2.690137527,       -0.30827432,     -0.7037850153,       3.412510789
          0,           0,          37,      -2.708838685,     -0.3494393637,     -0.7267408911,         3.3915054
          0,           0,          38,      -2.725138366,     -0.3882491168,     -0.7551704717,         3.3731525
          0,           0,          39,      -2.737728525,     -0.4196938109,     -0.7757011449,       3.359294956
          0,           0,          40,      -2.746877298,     -0.4382556925,     -0.7729129575,       3.349422621
          0,           0,          41,      -2.749889855,     -0.4367512668,     -0.7646267178,       3.346462164
          0,           0,          42,      -2.751554002,     -0.4302117541,     -0.7585993233,        3.34646298
          0,           0,          43,      -2.740860312,     -0.4046529802,      -0.742126857,       3.360046934
          0,           0,          44,      -2.730825279,     -0.3648681619,     -0.7306060881,       3.372424975
          0,           0,          45,      -2.716500818,     -0.3398726384,     -0.7058267541,        3.38988246
