"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.709,0.00024683,4.779e+07,0,2.6688e-05,0.26178,1285.2,-0.41317,0,43750,7.7758e+05,-68730,0,0,0,499.56,0.28638,0,,0,-8.1,0,0
37.703,0.00024197,4.7782e+07,0,2.6688e-05,0.26249,1288.6,-0.65227,0,33202,7.7748e+05,-69036,0,0,0,499.56,0.21634,0,,0.0731,-8.0269,0,0
37.697,0.0002371,4.7775e+07,0,2.6688e-05,0.26321,1291.9,-0.89137,0,22653,7.7738e+05,-69342,0,0,0,499.56,0.1463,0,,0.1462,-7.9538,0,0
37.691,0.00023223,4.7767e+07,0,2.6688e-05,0.26392,1295.3,-1.1305,0,12105,7.7728e+05,-69649,0,0,0,499.56,0.076267,0,,0.2193,-7.8807,0,0
37.68,0.00022797,4.7753e+07,0,2.6688e-05,0.26473,1298.9,-1.7376,0,6847.3,7.7709e+05,-70235,0,0,0,499.55,0.041676,0,,0.2924,-7.8076,0,0
37.664,0.00022415,4.7734e+07,0,2.6688e-05,0.2656,1302.8,-2.6057,0,5340.9,7.7683e+05,-71019,0,0,0,499.55,0.032218,0,,0.3655,-7.7345,0,0
37.649,0.00022032,4.7714e+07,0,2.6688e-05,0.26647,1306.6,-3.4737,0,3834.6,7.7657e+05,-71804,0,0,0,499.54,0.02276,0,,0.4386,-7.6614,0,0
37.634,0.00021692,4.7695e+07,0,2.6687e-05,0.26746,1311,-4.2875,0,2552.1,7.7632e+05,-72585,0,0,0,499.54,0.014717,0,,0.5117,-7.5883,0,0
37.619,0.00021559,4.7676e+07,0,2.6687e-05,0.26897,1318,-4.8364,0,2360.8,7.7607e+05,-73350,0,0,0,499.54,0.013571,0,,0.5848,-7.5152,0,0
37.605,0.00021427,4.7658e+07,0,2.6687e-05,0.27049,1325,-5.3854,0,2169.6,7.7582e+05,-74116,0,0,0,499.53,0.012426,0,,0.6579,-7.4421,0,0
37.59,0.00021294,4.7639e+07,0,2.6687e-05,0.272,1332,-5.9343,0,1978.3,7.7557e+05,-74881,0,0,0,499.53,0.01128,0,,0.731,-7.369,0,0
37.575,0.00021162,4.762e+07,0,2.6687e-05,0.27351,1339,-6.4832,0,1787,7.7532e+05,-75646,0,0,0,499.52,0.010135,0,,0.8041,-7.2959,0,0
37.561,0.00021029,4.7602e+07,0,2.6687e-05,0.27503,1346,-7.0322,0,1595.8,7.7507e+05,-76411,0,0,0,499.52,0.0089895,0,,0.8772,-7.2228,0,0
37.546,0.00020897,4.7583e+07,0,2.6686e-05,0.27654,1353,-7.5811,0,1404.5,7.7482e+05,-77177,0,0,0,499.51,0.0078441,0,,0.9503,-7.1497,0,0
37.526,0.00020744,4.7558e+07,0,2.6686e-05,0.27839,1361.5,-7.8677,0,1232,7.7449e+05,-78200,0,0,0,499.51,0.0068163,0,,1.0234,-7.0766,0,0
37.495,0.00020546,4.7518e+07,0,2.6686e-05,0.281,1373.3,-7.5559,0,1102.2,7.7396e+05,-79814,0,0,0,499.5,0.0060572,0,,1.0965,-7.0035,0,0
37.464,0.00020348,4.7479e+07,0,2.6685e-05,0.28361,1385.1,-7.244,0,972.42,7.7343e+05,-81427,0,0,0,499.49,0.0052981,0,,1.1696,-6.9304,0,0
37.433,0.0002015,4.7439e+07,0,2.6685e-05,0.28622,1397,-6.9321,0,842.64,7.7291e+05,-83040,0,0,0,499.48,0.004539,0,,1.2427,-6.8573,0,0
37.397,0.00019968,4.7394e+07,0,2.6685e-05,0.28943,1411.6,-5.8454,0,758.74,7.723e+05,-84910,0,0,0,499.46,0.0040537,0,,1.3158,-6.7842,0,0
37.359,0.00019793,4.7345e+07,0,2.6684e-05,0.2928,1426.8,-4.8197,0,685.98,7.7165e+05,-86894,0,0,0,499.45,0.0036348,0,,1.3889,-6.7111,0,0
37.312,0.00019654,4.7285e+07,0,2.6684e-05,0.29661,1443.9,-5.1168,0,635.49,7.7085e+05,-89358,0,0,0,499.44,0.0033484,0,,1.462,-6.638,0,0
37.263,0.00019515,4.7223e+07,0,2.6683e-05,0.30067,1462.2,-5.368,0,588.66,7.7002e+05,-91899,0,0,0,499.42,0.0030835,0,,1.5351,-6.5649,0,0
37.212,0.00019377,4.7159e+07,0,2.6682e-05,0.30513,1482.2,-5.551,0,547.29,7.6915e+05,-94556,0,0,0,499.4,0.0028504,0,,1.6082,-6.4918,0,0
37.159,0.0001924,4.7091e+07,0,2.6682e-05,0.3096,1502.2,-5.7297,0,509.73,7.6824e+05,-97342,0,0,0,499.38,0.00264,0,,1.6813,-6.4187,0,0
37.104,0.00019104,4.7021e+07,0,2.6681e-05,0.31407,1522.1,-5.9063,0,474.12,7.6731e+05,-1.002e+05,0,0,0,499.37,0.0024412,0,,1.7544,-6.3456,0,0
37.048,0.0001899,4.695e+07,0,2.668e-05,0.31851,1541.8,-6.0346,0,448.13,7.6635e+05,-1.0313e+05,0,0,0,499.35,0.0022974,0,,1.8275,-6.2725,0,0
36.992,0.00018878,4.6878e+07,0,2.668e-05,0.32308,1561.9,-6.0981,0,423.71,7.6539e+05,-1.0609e+05,0,0,0,499.33,0.0021624,0,,1.9006,-6.1994,0,0
36.933,0.00018769,4.6804e+07,0,2.6679e-05,0.32821,1584.7,-5.8811,0,402.63,7.6438e+05,-1.0917e+05,0,0,0,499.31,0.0020464,0,,1.9737,-6.1263,0,0
36.867,0.00018661,4.6721e+07,0,2.6678e-05,0.33339,1607.4,-5.917,0,383.19,7.6327e+05,-1.1259e+05,0,0,0,499.29,0.0019397,0,,2.0468,-6.0532,0,0
36.794,0.00018556,4.6627e+07,0,2.6677e-05,0.33862,1630,-6.281,0,365.87,7.6201e+05,-1.1645e+05,0,0,0,499.26,0.0018453,0,,2.1199,-5.9801,0,0
36.727,0.00018462,4.6542e+07,0,2.6676e-05,0.34391,1653,-6.089,0,351.57,7.6086e+05,-1.1998e+05,0,0,0,499.24,0.0017674,0,,2.193,-5.907,0,0
36.663,0.00018374,4.646e+07,0,2.6676e-05,0.34922,1676.2,-5.6391,0,338.67,7.5976e+05,-1.2335e+05,0,0,0,499.22,0.0016973,0,,2.2661,-5.8339,0,0
36.592,0.00018275,4.637e+07,0,2.6675e-05,0.35551,1703.8,-3.514,0,325.16,7.5854e+05,-1.2707e+05,0,0,0,499.19,0.0016239,0,,2.3392,-5.7608,0,0
36.489,0.00018169,4.6239e+07,0,2.6673e-05,0.36215,1731.6,-4.4224,0,313.63,7.5678e+05,-1.3249e+05,0,0,0,499.16,0.0015617,0,,2.4123,-5.6877,0,0
36.404,0.00018069,4.6132e+07,0,2.6672e-05,0.36912,1761.7,-3.3319,0,301.9,7.5532e+05,-1.3693e+05,0,0,0,499.13,0.0014985,0,,2.4854,-5.6146,0,0
36.3,0.00017962,4.6e+07,0,2.6671e-05,0.3761,1790.9,-4.0685,0,290.89,7.5354e+05,-1.4242e+05,0,0,0,499.09,0.0014394,0,,2.5585,-5.5415,0,0
36.201,0.00017861,4.5873e+07,0,2.667e-05,0.38309,1820.1,-4.2394,0,280.6,7.5182e+05,-1.4768e+05,0,0,0,499.06,0.0013845,0,,2.6316,-5.4684,0,0
36.096,0.0001776,4.574e+07,0,2.6669e-05,0.39037,1850.4,-3.8706,0,271.47,7.5001e+05,-1.5322e+05,0,0,0,499.02,0.0013357,0,,2.7047,-5.3953,0,0
35.988,0.0001767,4.5603e+07,0,2.6667e-05,0.39824,1883.1,-3.821,0,265.05,7.4815e+05,-1.5892e+05,0,0,0,498.99,0.0013014,0,,2.7778,-5.3222,0,0
35.855,0.0001756,4.5434e+07,0,2.6666e-05,0.40637,1915.8,-4.6583,0,257.24,7.4586e+05,-1.6595e+05,0,0,0,498.94,0.0012598,0,,2.8509,-5.2491,0,0
35.746,0.00017468,4.5296e+07,0,2.6664e-05,0.41404,1947.1,-3.73,0,250.34,7.4397e+05,-1.7173e+05,0,0,0,498.9,0.0012233,0,,2.924,-5.176,0,0
35.614,0.00017365,4.5128e+07,0,2.6662e-05,0.4226,1981.4,-3.8157,0,243.84,7.4169e+05,-1.7873e+05,0,0,0,498.86,0.0011889,0,,2.9971,-5.1029,0,0
35.476,0.00017262,4.4952e+07,0,2.6661e-05,0.43139,2016.3,-3.9521,0,238.02,7.3929e+05,-1.861e+05,0,0,0,498.81,0.0011582,0,,3.0702,-5.0298,0,0
35.331,0.00017157,4.4768e+07,0,2.6659e-05,0.44038,2051.4,-4.2159,0,232.16,7.3677e+05,-1.938e+05,0,0,0,498.76,0.0011274,0,,3.1433,-4.9567,0,0
35.185,0.00017054,4.4583e+07,0,2.6657e-05,0.44918,2085.4,-4.3502,0,226.76,7.3424e+05,-2.0156e+05,0,0,0,498.71,0.0010991,0,,3.2164,-4.8836,0,0
35.036,0.00016951,4.4393e+07,0,2.6655e-05,0.45819,2119.8,-4.401,0,221.86,7.3163e+05,-2.0957e+05,0,0,0,498.65,0.0010734,0,,3.2895,-4.8105,0,0
34.881,0.00016851,4.4197e+07,0,2.6653e-05,0.46736,2154.6,-4.8386,0,217.95,7.2894e+05,-2.1781e+05,0,0,0,498.6,0.0010529,0,,3.3626,-4.7374,0,0
34.712,0.00016742,4.3982e+07,0,2.6651e-05,0.47719,2191.1,-3.9184,0,213.66,7.2598e+05,-2.2687e+05,0,0,0,498.54,0.0010305,0,,3.4357,-4.6643,0,0
34.538,0.0001663,4.376e+07,0,2.6649e-05,0.48746,2229.1,-3.4662,0,209.5,7.2292e+05,-2.3625e+05,0,0,0,498.48,0.0010088,0,,3.5088,-4.5912,0,0
34.362,0.00016518,4.3537e+07,0,2.6646e-05,0.49722,2264.2,-3.3609,0,205.47,7.1984e+05,-2.4571e+05,0,0,0,498.41,0.00098771,0,,3.5819,-4.5181,0,0
34.174,0.00016404,4.3298e+07,0,2.6644e-05,0.50812,2303.5,-2.7782,0,202.02,7.1654e+05,-2.5583e+05,0,0,0,498.35,0.00096975,0,,3.655,-4.445,0,0
33.979,0.00016287,4.305e+07,0,2.6641e-05,0.51832,2338.8,-2.9081,0,198.34,7.131e+05,-2.6637e+05,0,0,0,498.28,0.0009507,0,,3.7281,-4.3719,0,0
33.777,0.00016167,4.2793e+07,0,2.6639e-05,0.52924,2376.3,-2.4913,0,195.02,7.0953e+05,-2.7731e+05,0,0,0,498.2,0.00093345,0,,3.8012,-4.2988,0,0
33.561,0.00016042,4.252e+07,0,2.6636e-05,0.54064,2414.8,-2.8633,0,191.98,7.0572e+05,-2.8898e+05,0,0,0,498.12,0.00091766,0,,3.8743,-4.2257,0,0
33.352,0.00015919,4.2254e+07,0,2.6633e-05,0.55141,2450.2,-2.3429,0,188.43,7.0201e+05,-3.0034e+05,0,0,0,498.05,0.0008994,0,,3.9474,-4.1526,0,0
33.124,0.00015793,4.1964e+07,0,2.663e-05,0.56325,2488.7,-2.1358,0,186.11,6.9795e+05,-3.1278e+05,0,0,0,497.96,0.00088732,0,,4.0205,-4.0795,0,0
32.888,0.00015662,4.1666e+07,0,2.6627e-05,0.57501,2525.8,-2.5464,0,183.66,6.9376e+05,-3.2563e+05,0,0,0,497.88,0.00087461,0,,4.0936,-4.0064,0,0
32.651,0.00015531,4.1364e+07,0,2.6624e-05,0.58671,2561.7,-2.4972,0,181.12,6.8952e+05,-3.3865e+05,0,0,0,497.79,0.00086156,0,,4.1667,-3.9333,0,0
32.404,0.00015396,4.105e+07,0,2.662e-05,0.59883,2598.2,-2.5334,0,178.63,6.851e+05,-3.522e+05,0,0,0,497.7,0.00084874,0,,4.2398,-3.8602,0,0
