"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1467,0.0009778,1.4553e+06,0,2.5427e-05,2.5471,451.95,10.045,0,119.67,27125,-2.369e+06,0,0,0,465.55,0.1029,0,,0,9,0,0
1.1472,0.0010033,1.4558e+06,0,2.5426e-05,2.5466,452.01,10.639,0,119.75,27135,-2.3689e+06,0,0,0,465.52,0.10518,0,,0.016,9,0.016,0
1.1477,0.0010288,1.4563e+06,0,2.5425e-05,2.5461,452.07,11.232,0,119.83,27144,-2.3689e+06,0,0,0,465.49,0.10746,0,,0.032,9,0.032,0
1.1482,0.0010542,1.4568e+06,0,2.5424e-05,2.5457,452.14,11.826,0,119.9,27154,-2.3689e+06,0,0,0,465.46,0.10974,0,,0.048,9,0.048,0
1.1487,0.0010797,1.4573e+06,0,2.5423e-05,2.5452,452.2,12.42,0,119.98,27164,-2.3688e+06,0,0,0,465.43,0.11203,0,,0.064,9,0.064,0
1.1521,0.0011507,1.4614e+06,0,2.5422e-05,2.5441,453.28,12.794,0,120.04,27241,-2.3686e+06,0,0,0,465.41,0.11893,0,,0.08,9,0.08,0
1.1559,0.0012287,1.4661e+06,0,2.5421e-05,2.5429,454.52,13.134,0,120.1,27330,-2.3683e+06,0,0,0,465.39,0.12656,0,,0.096,9,0.096,0
1.1597,0.0013067,1.4707e+06,0,2.5421e-05,2.5417,455.76,13.473,0,120.16,27418,-2.3681e+06,0,0,0,465.37,0.13418,0,,0.112,9,0.112,0
1.1635,0.0013847,1.4754e+06,0,2.542e-05,2.5405,457,13.813,0,120.21,27506,-2.3678e+06,0,0,0,465.35,0.1418,0,,0.128,9,0.128,0
1.1673,0.0014627,1.4801e+06,0,2.5419e-05,2.5393,458.24,14.153,0,120.27,27594,-2.3675e+06,0,0,0,465.33,0.14942,0,,0.144,9,0.144,0
1.1711,0.0015407,1.4848e+06,0,2.5418e-05,2.5382,459.48,14.493,0,120.33,27682,-2.3673e+06,0,0,0,465.31,0.15705,0,,0.16,9,0.16,0
1.1749,0.0016187,1.4894e+06,0,2.5418e-05,2.537,460.72,14.832,0,120.38,27771,-2.367e+06,0,0,0,465.29,0.16467,0,,0.176,9,0.176,0
1.1788,0.0016967,1.4941e+06,0,2.5417e-05,2.5358,461.96,15.172,0,120.44,27859,-2.3667e+06,0,0,0,465.27,0.17229,0,,0.192,9,0.192,0
1.1826,0.0017747,1.4988e+06,0,2.5416e-05,2.5346,463.2,15.512,0,120.5,27947,-2.3664e+06,0,0,0,465.25,0.17992,0,,0.208,9,0.208,0
1.1864,0.0018527,1.5035e+06,0,2.5415e-05,2.5334,464.44,15.852,0,120.56,28035,-2.3662e+06,0,0,0,465.23,0.18754,0,,0.224,9,0.224,0
