"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.5482648684,       2.336114432,        1.63783736,        4.92816859,       3.103276139,       3.491716092
          0,           0,           1,     -0.6853733147,       2.188520966,       1.479559392,        4.79668287,       2.983784325,       3.109602098
          0,           0,           2,     -0.8139357933,       2.038377877,       1.381897545,       4.675652479,       2.857817229,       2.882765924
          0,           0,           3,     -0.9241440572,        1.89632274,       1.324755974,       4.572450032,       2.735003897,       2.803470779
          0,           0,           4,       -1.01361693,       1.768241801,       1.257136664,       4.479907408,       2.624490836,       2.785947766
          0,           0,           5,      -1.063246359,       1.668023389,       1.302927883,       4.434490536,       2.531802141,       2.788114148
          0,           0,           6,      -1.085165736,       1.616720658,       1.394552712,       4.419483073,       2.454996862,       2.877287133
          0,           0,           7,      -1.132438564,        1.54822956,       1.348317385,       4.380255403,       2.384619885,       2.934631579
          0,           0,           8,      -1.177029878,       1.505609626,       1.367242591,        4.33944842,       2.310180461,        2.97134822
          0,           0,           9,      -1.178913172,       1.511679084,       1.567770599,       4.377522227,       2.253116404,       3.074582267
          0,           0,          10,      -1.174598478,       1.563943611,       1.567883616,       4.405157936,       2.214836385,       3.236733641
          0,           0,          11,      -1.256568052,       1.541929835,       1.434388562,       4.331414335,       2.188530627,       3.340447614
          0,           0,          12,      -1.297741392,       1.554969188,        1.40094394,       4.303299548,       2.170368476,       3.289202851
          0,           0,          13,      -1.315372282,       1.542020452,       1.367420922,       4.293692313,       2.155636226,       3.208236258
          0,           0,          14,      -1.324910375,       1.550054396,       1.341853083,       4.279510667,        2.14233265,       3.142675228
          0,           0,          15,      -1.329096103,       1.546047108,       1.356653571,       4.281395602,       2.128115777,       3.091421272
          0,           0,          16,      -1.311083457,       1.548745392,       1.487390135,       4.295842115,       2.112540376,        3.12294659
          0,           0,          17,      -1.257143958,       1.543405359,       1.544393797,        4.33282646,       2.097839342,       3.203426803
          0,           0,          18,      -1.280503579,       1.564707006,       1.440210786,       4.316749091,       2.087165072,       3.169170177
          0,           0,          19,      -1.327417413,       1.559565366,       1.381776721,       4.301170149,       2.079375228,       2.903411698
          0,           0,          20,      -1.367407965,       1.552273757,       1.290806415,       4.269763645,       2.074968842,       2.935153661
          0,           0,          21,      -1.346894663,       1.561709732,       1.309356645,       4.268324274,        2.07470305,       3.092285926
          0,           0,          22,       -1.31714127,       1.566682225,       1.412048311,       4.293588749,       2.077385539,       3.237436062
          0,           0,          23,      -1.273502097,       1.561033871,       1.549381692,       4.331553492,       2.077536933,       3.239012678
          0,           0,          24,      -1.260173001,       1.553722283,       1.495246392,       4.341659753,       2.074422308,       3.152755384
          0,           0,          25,      -1.307754918,       1.562141837,       1.411314759,       4.295972415,       2.069265234,       3.156593333
          0,           0,          26,      -1.325339329,       1.577603703,       1.402647996,       4.281371846,       2.062722983,       3.023402084
          0,           0,          27,      -1.330617043,       1.564056884,       1.352552525,        4.28639567,       2.051212331,       3.033662297
          0,           0,          28,      -1.376451672,       1.553945611,       1.268270149,       4.242049122,       2.035884574,       3.219151522
          0,           0,          29,      -1.396514431,       1.550463166,        1.21367466,       4.196135581,       2.020368004,       3.305156898
          0,           0,          30,      -1.281788568,       1.578278006,       1.491466548,       4.310422955,       2.007497646,       3.325389293
          0,           0,          31,      -1.234973293,       1.573080833,       1.594094073,        4.36391762,       1.992528949,       3.238694645
          0,           0,          32,      -1.273934656,       1.558949487,       1.475139866,       4.319688379,       1.976681511,       3.221024345
          0,           0,          33,      -1.362198859,       1.553282668,       1.354355311,       4.245933182,       1.964295326,       3.197960178
          0,           0,          34,      -1.334407892,       1.562630745,       1.373033146,       4.284464444,       1.957114255,       3.106039864
          0,           0,          35,      -1.323151294,       1.561300119,        1.35112677,       4.311665873,       1.949540935,       3.088950576
          0,           0,          36,      -1.363150248,       1.557969421,       1.288597635,       4.274224727,       1.942274117,       3.214752737
          0,           0,          37,      -1.345985649,       1.563665556,       1.322262866,       4.289914213,       1.936826424,       3.296568426
          0,           0,          38,       -1.30427802,       1.569576258,       1.434093359,       4.308363726,       1.931574183,       3.307038636
          0,           0,          39,      -1.260581648,       1.568614859,       1.580057478,       4.347240274,       1.926575415,       3.256717595
          0,           0,          40,      -1.237781553,       1.572574835,        1.53057976,       4.351264425,       1.923128314,       3.268701436
          0,           0,          41,       -1.30301365,       1.564568479,       1.426533419,       4.295982076,       1.915775546,       3.251435359
          0,           0,          42,      -1.376627037,       1.553155713,       1.317913167,       4.253405976,       1.906989942,       3.159263274
          0,           0,          43,      -1.364194221,       1.554533718,       1.292146604,       4.255204057,        1.90052444,       3.102966897
          0,           0,          44,      -1.335747211,       1.562064363,       1.336234218,       4.277820251,         1.8959258,       3.162886668
          0,           0,          45,      -1.362089534,       1.556536364,       1.286008329,       4.254346014,       1.888201394,       3.212868176
          0,           0,          46,      -1.298327268,       1.580333308,       1.461766969,       4.303559265,        1.87899776,       3.199514791
          0,           0,          47,      -1.251189477,       1.570758427,       1.585112216,       4.344223306,       1.872080716,       3.186278517
          0,           0,          48,      -1.235158173,       1.572439091,       1.529755295,       4.352539319,        1.86853043,        3.27723316
          0,           0,          49,      -1.307349143,       1.565522081,       1.428827114,       4.311096392,       1.862781421,        3.31116817
          0,           0,          50,      -1.358035722,        1.55801716,       1.342521814,       4.281966061,       1.855414109,        3.20973251
          0,           0,          51,       -1.37224512,       1.553941937,       1.272941588,       4.249773989,       1.849424694,       3.086925787
          0,           0,          52,      -1.367159605,        1.55876692,       1.282763175,       4.235668716,       1.845511133,       3.126792741
          0,           0,          53,      -1.335579958,       1.564665029,       1.334911116,       4.280063637,       1.842784678,       3.191953109
          0,           0,          54,        -1.2901939,       1.579318173,       1.459985018,       4.318624884,       1.843190634,       3.174984083
          0,           0,          55,      -1.241369834,       1.579000467,       1.592801772,       4.356306069,       1.838113073,       3.096680298
