"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13215,0.00018347,29522,0,1.8352e-05,0.19276,8.9632,-0.0062858,0,12413,11686,-37360,0,0,0,297.75,17.233,0,,0,-0.02052,0,0
0.13214,0.00018342,29520,0,1.8352e-05,0.1934,8.9918,-0.0077688,0,12396,11685,-37511,0,0,0,297.74,17.206,0,,9.8519e-05,-0.020421,0,0
0.13213,0.00018336,29519,0,1.8351e-05,0.19403,9.0204,-0.0092518,0,12379,11684,-37663,0,0,0,297.73,17.179,0,,0.00019704,-0.020323,0,0
0.13212,0.00018331,29518,0,1.8351e-05,0.19467,9.049,-0.010735,0,12363,11682,-37814,0,0,0,297.72,17.152,0,,0.00029556,-0.020224,0,0
0.13211,0.00018325,29517,0,1.8351e-05,0.1953,9.0776,-0.012218,0,12346,11681,-37965,0,0,0,297.71,17.125,0,,0.00039408,-0.020126,0,0
0.1321,0.0001832,29516,0,1.835e-05,0.19593,9.1063,-0.013701,0,12329,11680,-38117,0,0,0,297.7,17.098,0,,0.0004926,-0.020027,0,0
0.13207,0.00018313,29508,0,1.8349e-05,0.19675,9.1413,-0.019533,0,12309,11676,-38592,0,0,0,297.67,17.068,0,,0.00059112,-0.019929,0,0
0.13203,0.00018306,29500,0,1.8348e-05,0.19757,9.1766,-0.025597,0,12288,11672,-39084,0,0,0,297.65,17.038,0,,0.00068964,-0.01983,0,0
0.132,0.00018299,29493,0,1.8346e-05,0.19839,9.212,-0.03166,0,12268,11668,-39576,0,0,0,297.62,17.007,0,,0.00078816,-0.019732,0,0
0.13196,0.00018292,29485,0,1.8345e-05,0.19922,9.2473,-0.037724,0,12247,11663,-40069,0,0,0,297.6,16.976,0,,0.00088668,-0.019633,0,0
0.13192,0.00018285,29477,0,1.8344e-05,0.20004,9.2827,-0.043787,0,12227,11659,-40561,0,0,0,297.57,16.946,0,,0.0009852,-0.019535,0,0
0.13189,0.00018277,29471,0,1.8343e-05,0.20114,9.331,-0.046405,0,12206,11655,-41024,0,0,0,297.54,16.915,0,,0.0010837,-0.019436,0,0
0.13186,0.0001827,29465,0,1.8341e-05,0.20227,9.3808,-0.048636,0,12186,11652,-41484,0,0,0,297.52,16.884,0,,0.0011822,-0.019337,0,0
0.13183,0.00018262,29459,0,1.834e-05,0.2034,9.4306,-0.050866,0,12166,11648,-41944,0,0,0,297.49,16.854,0,,0.0012808,-0.019239,0,0
0.1318,0.00018254,29453,0,1.8339e-05,0.20454,9.4803,-0.053097,0,12146,11644,-42404,0,0,0,297.46,16.823,0,,0.0013793,-0.01914,0,0
0.13176,0.00018247,29447,0,1.8338e-05,0.20567,9.5301,-0.055328,0,12126,11640,-42864,0,0,0,297.44,16.792,0,,0.0014778,-0.019042,0,0
0.13172,0.00018238,29438,0,1.8336e-05,0.20715,9.5947,-0.056542,0,12106,11634,-43534,0,0,0,297.4,16.762,0,,0.0015763,-0.018943,0,0
0.13167,0.00018228,29428,0,1.8334e-05,0.2087,9.6619,-0.057575,0,12086,11628,-44242,0,0,0,297.36,16.733,0,,0.0016748,-0.018845,0,0
0.13162,0.00018219,29418,0,1.8332e-05,0.21024,9.7291,-0.058608,0,12067,11622,-44950,0,0,0,297.32,16.703,0,,0.0017734,-0.018746,0,0
0.13157,0.0001821,29408,0,1.833e-05,0.21179,9.7963,-0.05964,0,12047,11616,-45658,0,0,0,297.29,16.674,0,,0.0018719,-0.018648,0,0
0.13152,0.000182,29398,0,1.8329e-05,0.21334,9.8635,-0.060673,0,12027,11611,-46366,0,0,0,297.25,16.644,0,,0.0019704,-0.018549,0,0
0.13146,0.0001819,29389,0,1.8327e-05,0.21511,9.9408,-0.056404,0,12004,11604,-47095,0,0,0,297.21,16.609,0,,0.0020689,-0.018451,0,0
0.13141,0.0001818,29380,0,1.8325e-05,0.21693,10.021,-0.050792,0,11980,11598,-47830,0,0,0,297.16,16.573,0,,0.0021674,-0.018352,0,0
0.13136,0.00018169,29370,0,1.8322e-05,0.21894,10.109,-0.046371,0,11957,11592,-48604,0,0,0,297.12,16.539,0,,0.002266,-0.018254,0,0
0.1313,0.00018158,29361,0,1.832e-05,0.22144,10.218,-0.045123,0,11938,11584,-49484,0,0,0,297.06,16.509,0,,0.0023645,-0.018155,0,0
0.13124,0.00018146,29351,0,1.8317e-05,0.22394,10.328,-0.043876,0,11919,11577,-50364,0,0,0,297,16.48,0,,0.002463,-0.018057,0,0
0.13114,0.00018128,29331,0,1.8313e-05,0.22668,10.445,-0.045327,0,11904,11565,-51763,0,0,0,296.92,16.454,0,,0.0025615,-0.017958,0,0
0.13103,0.00018106,29308,0,1.8309e-05,0.22951,10.565,-0.04769,0,11889,11552,-53337,0,0,0,296.84,16.429,0,,0.00266,-0.01786,0,0
0.13093,0.00018087,29288,0,1.8305e-05,0.23229,10.683,-0.048747,0,11875,11540,-54783,0,0,0,296.76,16.404,0,,0.0027586,-0.017761,0,0
0.13087,0.00018075,29276,0,1.8302e-05,0.23492,10.798,-0.045237,0,11857,11531,-55781,0,0,0,296.69,16.376,0,,0.0028571,-0.017663,0,0
0.1308,0.00018062,29265,0,1.8299e-05,0.23755,10.912,-0.041726,0,11839,11523,-56778,0,0,0,296.62,16.349,0,,0.0029556,-0.017564,0,0
0.13071,0.00018046,29249,0,1.8295e-05,0.24051,11.039,-0.041296,0,11825,11512,-58076,0,0,0,296.54,16.326,0,,0.0030541,-0.017466,0,0
0.13062,0.00018028,29230,0,1.8291e-05,0.24363,11.172,-0.042204,0,11813,11500,-59504,0,0,0,296.45,16.305,0,,0.0031526,-0.017367,0,0
0.13052,0.0001801,29211,0,1.8287e-05,0.24675,11.305,-0.043304,0,11800,11488,-60964,0,0,0,296.36,16.283,0,,0.0032512,-0.017269,0,0
0.1304,0.00017989,29190,0,1.8282e-05,0.24989,11.437,-0.045326,0,11785,11474,-62584,0,0,0,296.27,16.258,0,,0.0033497,-0.01717,0,0
0.13029,0.00017969,29168,0,1.8278e-05,0.25304,11.569,-0.047347,0,11770,11461,-64204,0,0,0,296.18,16.233,0,,0.0034482,-0.017072,0,0
0.13018,0.00017952,29147,0,1.8273e-05,0.2562,11.702,-0.049433,0,11756,11448,-65767,0,0,0,296.08,16.211,0,,0.0035467,-0.016973,0,0
0.13008,0.00017937,29127,0,1.8269e-05,0.25936,11.835,-0.051555,0,11742,11435,-67300,0,0,0,295.99,16.192,0,,0.0036452,-0.016874,0,0
0.12997,0.00017922,29108,0,1.8264e-05,0.26255,11.969,-0.052312,0,11729,11422,-68832,0,0,0,295.89,16.173,0,,0.0037437,-0.016776,0,0
0.12987,0.00017903,29090,0,1.8259e-05,0.266,12.115,-0.043182,0,11717,11409,-70364,0,0,0,295.79,16.152,0,,0.0038423,-0.016677,0,0
0.12973,0.00017877,29061,0,1.8254e-05,0.26943,12.255,-0.047074,0,11703,11392,-72366,0,0,0,295.67,16.128,0,,0.0039408,-0.016579,0,0
0.12961,0.00017856,29039,0,1.8249e-05,0.27276,12.393,-0.04398,0,11688,11378,-74089,0,0,0,295.57,16.102,0,,0.0040393,-0.01648,0,0
0.12951,0.00017837,29021,0,1.8244e-05,0.27621,12.538,-0.036589,0,11675,11365,-75643,0,0,0,295.47,16.08,0,,0.0041378,-0.016382,0,0
0.12939,0.00017815,29000,0,1.8238e-05,0.2801,12.701,-0.033213,0,11666,11350,-77383,0,0,0,295.35,16.063,0,,0.0042363,-0.016283,0,0
0.12924,0.00017789,28972,0,1.8231e-05,0.28456,12.885,-0.032858,0,11661,11331,-79624,0,0,0,295.2,16.05,0,,0.0043349,-0.016185,0,0
0.12907,0.00017759,28940,0,1.8224e-05,0.2889,13.061,-0.034456,0,11657,11311,-82068,0,0,0,295.06,16.039,0,,0.0044334,-0.016086,0,0
0.12891,0.00017732,28909,0,1.8218e-05,0.29294,13.224,-0.036394,0,11646,11291,-84370,0,0,0,294.92,16.019,0,,0.0045319,-0.015988,0,0
0.12876,0.00017706,28879,0,1.8211e-05,0.29683,13.38,-0.038485,0,11631,11273,-86570,0,0,0,294.79,15.995,0,,0.0046304,-0.015889,0,0
0.1286,0.00017677,28848,0,1.8205e-05,0.3009,13.544,-0.041014,0,11624,11253,-88908,0,0,0,294.64,15.978,0,,0.0047289,-0.015791,0,0
0.12846,0.00017655,28823,0,1.8198e-05,0.30475,13.699,-0.033096,0,11608,11236,-90930,0,0,0,294.51,15.953,0,,0.0048275,-0.015692,0,0
0.12831,0.00017628,28796,0,1.8191e-05,0.30898,13.87,-0.028717,0,11594,11218,-93141,0,0,0,294.37,15.929,0,,0.004926,-0.015594,0,0
0.12814,0.00017599,28764,0,1.8183e-05,0.31362,14.056,-0.026477,0,11588,11197,-95653,0,0,0,294.2,15.915,0,,0.0050245,-0.015495,0,0
0.12795,0.00017567,28728,0,1.8175e-05,0.31845,14.247,-0.026397,0,11583,11173,-98433,0,0,0,294.02,15.903,0,,0.005123,-0.015397,0,0
0.12775,0.00017537,28689,0,1.8167e-05,0.32293,14.42,-0.030073,0,11563,11149,-1.0129e+05,0,0,0,293.85,15.873,0,,0.0052215,-0.015298,0,0
0.12757,0.00017507,28654,0,1.8158e-05,0.32767,14.606,-0.032441,0,11557,11126,-1.0402e+05,0,0,0,293.67,15.861,0,,0.0053201,-0.0152,0,0
0.12736,0.00017476,28616,0,1.8149e-05,0.33238,14.788,-0.034454,0,11544,11102,-1.0691e+05,0,0,0,293.49,15.839,0,,0.0054186,-0.015101,0,0
0.12716,0.00017443,28576,0,1.8141e-05,0.33722,14.975,-0.03617,0,11532,11077,-1.0988e+05,0,0,0,293.3,15.819,0,,0.0055171,-0.015003,0,0
0.12695,0.0001741,28537,0,1.8131e-05,0.34219,15.165,-0.038031,0,11525,11052,-1.1291e+05,0,0,0,293.11,15.805,0,,0.0056156,-0.014904,0,0
0.12673,0.00017373,28492,0,1.8122e-05,0.34703,15.348,-0.041489,0,11515,11024,-1.1614e+05,0,0,0,292.91,15.786,0,,0.0057141,-0.014806,0,0
0.12652,0.00017342,28454,0,1.8113e-05,0.35172,15.525,-0.040333,0,11502,11000,-1.191e+05,0,0,0,292.72,15.765,0,,0.0058127,-0.014707,0,0
0.12631,0.0001731,28414,0,1.8103e-05,0.35659,15.708,-0.039035,0,11489,10974,-1.2213e+05,0,0,0,292.53,15.745,0,,0.0059112,-0.014609,0,0
0.12609,0.00017276,28372,0,1.8094e-05,0.36164,15.897,-0.037943,0,11478,10947,-1.2533e+05,0,0,0,292.32,15.726,0,,0.0060097,-0.01451,0,0
0.12586,0.0001724,28328,0,1.8083e-05,0.36682,16.09,-0.03702,0,11467,10919,-1.287e+05,0,0,0,292.11,15.708,0,,0.0061082,-0.014411,0,0
