"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7601,0.00019824,1.9643e+06,0,2.0103e-05,0.23403,678.55,0.15936,0,9.2934e+05,7.7378e+05,-46820,0,0,0,335.73,23.741,0,,0,-0.0081,0,0
7.7591,0.00019764,1.9642e+06,0,2.0103e-05,0.23479,680.65,-0.16473,0,8.9705e+05,7.7366e+05,-47030,0,0,0,335.73,22.864,0,,7.31e-05,-0.0080269,0,0
7.7581,0.00019704,1.9641e+06,0,2.0102e-05,0.23555,682.75,-0.48883,0,8.6477e+05,7.7355e+05,-47240,0,0,0,335.72,21.986,0,,0.0001462,-0.0079538,0,0
7.7571,0.00019645,1.964e+06,0,2.0102e-05,0.23631,684.85,-0.81292,0,8.3249e+05,7.7343e+05,-47450,0,0,0,335.71,21.109,0,,0.0002193,-0.0078807,0,0
7.7561,0.00019585,1.9639e+06,0,2.0102e-05,0.23706,686.95,-1.137,0,8.002e+05,7.7331e+05,-47661,0,0,0,335.7,20.232,0,,0.0002924,-0.0078076,0,0
7.7552,0.00019525,1.9637e+06,0,2.0101e-05,0.23782,689.05,-1.4611,0,7.6792e+05,7.7319e+05,-47871,0,0,0,335.69,19.355,0,,0.0003655,-0.0077345,0,0
7.7542,0.00019465,1.9636e+06,0,2.0101e-05,0.23858,691.15,-1.7852,0,7.3563e+05,7.7307e+05,-48081,0,0,0,335.68,18.477,0,,0.0004386,-0.0076614,0,0
7.7526,0.00019404,1.9634e+06,0,2.01e-05,0.23951,693.68,-2.0674,0,7.0489e+05,7.7287e+05,-48439,0,0,0,335.67,17.644,0,,0.0005117,-0.0075883,0,0
7.749,0.00019336,1.9626e+06,0,2.0098e-05,0.24096,697.52,-2.219,0,6.7895e+05,7.7242e+05,-49255,0,0,0,335.62,16.947,0,,0.0005848,-0.0075152,0,0
7.7453,0.00019268,1.9618e+06,0,2.0096e-05,0.24242,701.36,-2.3707,0,6.5301e+05,7.7196e+05,-50071,0,0,0,335.58,16.25,0,,0.0006579,-0.0074421,0,0
7.7417,0.000192,1.961e+06,0,2.0094e-05,0.24387,705.2,-2.5224,0,6.2707e+05,7.715e+05,-50887,0,0,0,335.54,15.553,0,,0.000731,-0.007369,0,0
7.7367,0.00019141,1.9598e+06,0,2.0092e-05,0.24552,709.43,-3.0028,0,6.0642e+05,7.7087e+05,-52025,0,0,0,335.48,15.006,0,,0.0008041,-0.0072959,0,0
7.7315,0.00019084,1.9586e+06,0,2.0089e-05,0.2472,713.71,-3.5345,0,5.8659e+05,7.702e+05,-53214,0,0,0,335.42,14.482,0,,0.0008772,-0.0072228,0,0
7.7262,0.00019027,1.9573e+06,0,2.0086e-05,0.24887,718,-4.0663,0,5.6676e+05,7.6953e+05,-54402,0,0,0,335.35,13.959,0,,0.0009503,-0.0071497,0,0
7.7225,0.00018976,1.9565e+06,0,2.0083e-05,0.25088,723.38,-4.2026,0,5.4853e+05,7.6901e+05,-55338,0,0,0,335.29,13.48,0,,0.0010234,-0.0070766,0,0
7.7203,0.0001893,1.9562e+06,0,2.008e-05,0.25324,729.9,-3.9213,0,5.32e+05,7.6864e+05,-56007,0,0,0,335.22,13.047,0,,0.0010965,-0.0070035,0,0
7.7182,0.00018885,1.9559e+06,0,2.0077e-05,0.2556,736.42,-3.64,0,5.1547e+05,7.6826e+05,-56676,0,0,0,335.15,12.614,0,,0.0011696,-0.0069304,0,0
7.7153,0.00018838,1.9554e+06,0,2.0073e-05,0.25806,743.14,-3.3766,0,4.9921e+05,7.6779e+05,-57516,0,0,0,335.07,12.189,0,,0.0012427,-0.0068573,0,0
7.706,0.00018779,1.9531e+06,0,2.0067e-05,0.26132,751.46,-3.2605,0,4.8518e+05,7.6653e+05,-59769,0,0,0,334.92,11.824,0,,0.0013158,-0.0067842,0,0
7.6974,0.00018726,1.951e+06,0,2.0061e-05,0.2645,759.62,-3.1853,0,4.7207e+05,7.6538e+05,-61825,0,0,0,334.79,11.485,0,,0.0013889,-0.0067111,0,0
7.6898,0.00018683,1.9493e+06,0,2.0056e-05,0.26757,767.56,-3.1668,0,4.6023e+05,7.6438e+05,-63607,0,0,0,334.69,11.182,0,,0.001462,-0.006638,0,0
7.6836,0.00018645,1.9482e+06,0,2.0051e-05,0.27133,777.58,-2.9223,0,4.4997e+05,7.635e+05,-65185,0,0,0,334.57,10.919,0,,0.0015351,-0.0065649,0,0
7.6777,0.00018609,1.9471e+06,0,2.0045e-05,0.27536,788.37,-2.6364,0,4.4036e+05,7.6262e+05,-66743,0,0,0,334.44,10.673,0,,0.0016082,-0.0064918,0,0
7.6659,0.00018571,1.9442e+06,0,2.0036e-05,0.27965,799.17,-3.3494,0,4.3221e+05,7.61e+05,-69652,0,0,0,334.24,10.471,0,,0.0016813,-0.0064187,0,0
7.6553,0.00018534,1.9417e+06,0,2.0028e-05,0.28382,809.74,-3.8172,0,4.2355e+05,7.5954e+05,-72257,0,0,0,334.07,10.255,0,,0.0017544,-0.0063456,0,0
7.647,0.000185,1.94e+06,0,2.0022e-05,0.28774,819.88,-3.8324,0,4.1394e+05,7.5839e+05,-74302,0,0,0,333.92,10.014,0,,0.0018275,-0.0062725,0,0
7.6377,0.00018467,1.938e+06,0,2.0015e-05,0.29206,830.97,-3.8104,0,4.0555e+05,7.571e+05,-76616,0,0,0,333.76,9.8061,0,,0.0019006,-0.0061994,0,0
7.6277,0.00018437,1.9359e+06,0,2.0007e-05,0.29658,842.53,-3.7694,0,3.978e+05,7.5572e+05,-79066,0,0,0,333.59,9.615,0,,0.0019737,-0.0061263,0,0
