"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.38419,3.3286,0.13403,0.34887,1,0,10,0,0
0.38304,3.3275,0.13368,0.34899,1,0.016,10,0.016,0
0.38285,3.3251,0.13376,0.34938,1,0.032,10,0.032,0
0.38277,3.323,0.13386,0.3497,1,0.048,10,0.048,0
0.38275,3.3214,0.13395,0.34997,1,0.064,10,0.064,0
0.38276,3.3203,0.13403,0.35017,1,0.08,10,0.08,0
0.38264,3.3201,0.13402,0.35024,1,0.096,10,0.096,0
0.38251,3.32,0.134,0.35032,1,0.112,10,0.112,0
0.3823,3.3197,0.13395,0.35037,1,0.128,10,0.128,0
0.38213,3.3192,0.13392,0.35045,1,0.144,10,0.144,0
0.38192,3.3187,0.13387,0.35051,1,0.16,10,0.16,0
0.38173,3.3188,0.1338,0.35051,1,0.176,10,0.176,0
0.38156,3.3189,0.13374,0.35051,1,0.192,10,0.192,0
0.38139,3.3192,0.13367,0.35049,1,0.208,10,0.208,0
0.38128,3.3195,0.13362,0.35046,1,0.224,10,0.224,0
0.3812,3.3198,0.13359,0.35043,1,0.24,10,0.24,0
0.38113,3.3201,0.13355,0.35041,1,0.256,10,0.256,0
0.38104,3.3205,0.13351,0.35037,1,0.272,10,0.272,0
0.38102,3.3208,0.13349,0.35035,1,0.288,10,0.288,0
0.381,3.3211,0.13347,0.35032,1,0.304,10,0.304,0
0.38098,3.3214,0.13346,0.35029,1,0.32,10,0.32,0
0.38096,3.3217,0.13344,0.35026,1,0.336,10,0.336,0
0.38096,3.322,0.13342,0.35022,1,0.352,10,0.352,0
0.38095,3.3223,0.13341,0.35019,1,0.368,10,0.368,0
0.38095,3.3227,0.1334,0.35015,1,0.384,10,0.384,0
0.38094,3.3229,0.13338,0.35012,1,0.4,10,0.4,0
0.38092,3.3231,0.13336,0.35009,1,0.416,10,0.416,0
0.3809,3.3234,0.13334,0.35005,1,0.432,10,0.432,0
0.38087,3.3237,0.13331,0.35001,1,0.448,10,0.448,0
0.38083,3.3241,0.13327,0.34995,1,0.464,10,0.464,0
0.38078,3.3246,0.13324,0.34989,1,0.48,10,0.48,0
0.38074,3.325,0.1332,0.34983,1,0.496,10,0.496,0
0.38069,3.3254,0.13316,0.34978,1,0.512,10,0.512,0
0.38063,3.3258,0.13312,0.34972,1,0.528,10,0.528,0
0.38054,3.3263,0.13307,0.34966,1,0.544,10,0.544,0
0.38046,3.3267,0.13301,0.34959,1,0.56,10,0.56,0
0.38038,3.3272,0.13295,0.34952,1,0.576,10,0.576,0
0.3803,3.3277,0.1329,0.34945,1,0.592,10,0.592,0
0.3802,3.3282,0.13284,0.34938,1,0.608,10,0.608,0
0.38011,3.3286,0.13278,0.34932,1,0.624,10,0.624,0
0.38002,3.3291,0.13272,0.34925,1,0.64,10,0.64,0
0.37992,3.3296,0.13266,0.34918,1,0.656,10,0.656,0
0.3798,3.3301,0.1326,0.34911,1,0.672,10,0.672,0
0.37969,3.3306,0.13253,0.34904,1,0.688,10,0.688,0
0.37958,3.331,0.13247,0.34898,1,0.704,10,0.704,0
0.37947,3.3315,0.13241,0.34891,1,0.72,10,0.72,0
0.37933,3.332,0.13233,0.34884,1,0.736,10,0.736,0
0.37916,3.3326,0.13224,0.34876,1,0.752,10,0.752,0
0.37899,3.3331,0.13215,0.34868,1,0.768,10,0.768,0
0.37884,3.3337,0.13207,0.3486,1,0.784,10,0.784,0
0.37868,3.3343,0.13199,0.34852,1,0.8,10,0.8,0
0.37848,3.3349,0.13189,0.34843,1,0.816,10,0.816,0
0.37825,3.3356,0.13176,0.34833,1,0.832,10,0.832,0
0.37801,3.3362,0.13164,0.34823,1,0.848,10,0.848,0
0.37777,3.337,0.13151,0.34813,1,0.864,10,0.864,0
0.37755,3.3377,0.1314,0.34803,1,0.88,10,0.88,0
0.37726,3.3385,0.13126,0.34791,1,0.896,10,0.896,0
0.37698,3.3393,0.13112,0.3478,1,0.912,10,0.912,0
0.37671,3.3401,0.13098,0.34769,1,0.928,10,0.928,0
0.37641,3.3409,0.13083,0.34757,1,0.944,10,0.944,0
0.37609,3.3418,0.13067,0.34744,1,0.96,10,0.96,0
0.37576,3.3427,0.13051,0.34731,1,0.976,10,0.976,0
0.37541,3.3437,0.13034,0.34718,1,0.992,10,0.992,0
0.37506,3.3446,0.13016,0.34704,1,1.008,10,1.008,0
0.3747,3.3456,0.12999,0.3469,1,1.024,10,1.024,0
0.37432,3.3466,0.1298,0.34676,1,1.04,10,1.04,0
0.37392,3.3477,0.12961,0.34661,1,1.056,10,1.056,0
0.37353,3.3487,0.12942,0.34646,1,1.072,10,1.072,0
0.3731,3.3499,0.12921,0.3463,1,1.088,10,1.088,0
0.37264,3.351,0.12899,0.34614,1,1.104,10,1.104,0
0.3722,3.3522,0.12878,0.34598,1,1.12,10,1.12,0
0.37173,3.3534,0.12855,0.3458,1,1.136,10,1.136,0
0.37128,3.3547,0.12833,0.34563,1,1.152,10,1.152,0
0.37081,3.3559,0.1281,0.34546,1,1.168,10,1.168,0
0.37031,3.3573,0.12786,0.34528,1,1.184,10,1.184,0
0.36982,3.3586,0.12763,0.3451,1,1.2,10,1.2,0
0.36933,3.36,0.12739,0.34492,1,1.216,10,1.216,0
0.36885,3.3613,0.12716,0.34474,1,1.232,10,1.232,0
0.36838,3.3627,0.12693,0.34455,1,1.248,10,1.248,0
0.3679,3.3641,0.12671,0.34437,1,1.264,10,1.264,0
0.36745,3.3656,0.12649,0.34419,1,1.28,10,1.28,0
0.367,3.367,0.12627,0.34401,1,1.296,10,1.296,0
0.36656,3.3684,0.12605,0.34383,1,1.312,10,1.312,0
0.36618,3.3697,0.12586,0.34366,1,1.328,10,1.328,0
0.36584,3.371,0.12568,0.34349,1,1.344,10,1.344,0
0.36549,3.3724,0.1255,0.34333,1,1.36,10,1.36,0
0.36515,3.3737,0.12531,0.34317,1,1.376,10,1.376,0
0.3648,3.375,0.12513,0.343,1,1.392,10,1.392,0
0.3645,3.3763,0.12497,0.34285,1,1.408,10,1.408,0
0.36429,3.3774,0.12486,0.34273,1,1.424,10,1.424,0
0.36442,3.3779,0.12489,0.3427,1,1.44,10,1.44,0
0.36457,3.3784,0.12493,0.34266,1,1.456,10,1.456,0
0.36472,3.3789,0.12497,0.34263,1,1.472,10,1.472,0
0.36488,3.3794,0.12501,0.3426,1,1.488,10,1.488,0
0.36532,3.3791,0.12519,0.34267,1,1.504,10,1.504,0
0.36671,3.376,0.12581,0.34308,1,1.52,10,1.52,0
0.3681,3.373,0.12644,0.34349,1,1.536,10,1.536,0
0.36945,3.37,0.12706,0.34391,1,1.552,10,1.552,0
0.37079,3.367,0.12768,0.34433,1,1.568,10,1.568,0
0.37331,3.36,0.12887,0.34516,1,1.584,10,1.584,0
0.37768,3.348,0.13098,0.34667,1,1.6,10,1.6,0
0.38322,3.3329,0.13365,0.34861,1,1.616,10,1.616,0
0.38877,3.3178,0.13633,0.35056,1,1.632,10,1.632,0
0.39431,3.3027,0.13901,0.3525,1,1.648,10,1.648,0
0.40533,3.2729,0.14479,0.35664,1,1.664,10,1.664,0
0.41722,3.2407,0.15106,0.36113,1,1.68,10,1.68,0
0.42911,3.2086,0.15733,0.36563,1,1.696,10,1.696,0
0.44099,3.1765,0.1636,0.37012,1,1.712,10,1.712,0
0.44879,3.1556,0.16756,0.37295,1,1.728,10,1.728,0
0.46092,3.1244,0.17415,0.37754,1,1.744,10,1.744,0
0.47986,3.0782,0.18505,0.38484,1,1.76,10,1.76,0
0.50394,3.0241,0.19958,0.39408,1,1.776,10,1.776,0
0.52802,2.9699,0.21411,0.40332,1,1.792,10,1.792,0
0.5521,2.9157,0.22864,0.41256,1,1.808,10,1.808,0
0.57689,2.865,0.24438,0.42182,1,1.824,10,1.824,0
0.60179,2.8148,0.26031,0.43109,1,1.84,10,1.84,0
0.62688,2.765,0.27641,0.44035,1,1.856,10,1.856,0
0.65464,2.7207,0.29488,0.44937,1,1.872,10,1.872,0
0.68178,2.6799,0.31295,0.45782,1,1.888,10,1.888,0
0.70697,2.6496,0.32975,0.46449,1,1.904,10,1.904,0
0.73224,2.6191,0.34659,0.47118,1,1.92,10,1.92,0
0.75832,2.5871,0.36385,0.47817,1,1.936,10,1.936,0
0.78441,2.5551,0.3811,0.48515,1,1.952,10,1.952,0
0.80695,2.531,0.39616,0.49062,1,1.968,10,1.968,0
0.82569,2.5155,0.40885,0.49449,1,1.984,10,1.984,0
0.84443,2.5001,0.42155,0.49835,1,2,10,2,0
0.86317,2.4846,0.43424,0.50222,1,2.016,10,2.016,0
0.88018,2.4709,0.44586,0.50563,1,2.032,10,2.032,0
0.89714,2.4573,0.45745,0.50903,1,2.048,10,2.048,0
0.9141,2.4436,0.46903,0.51243,1,2.064,10,2.064,0
0.93106,2.43,0.48062,0.51583,1,2.08,10,2.08,0
0.94528,2.4202,0.4903,0.51838,1,2.096,10,2.096,0
0.95886,2.4113,0.49954,0.52073,1,2.112,10,2.112,0
0.97245,2.4024,0.50878,0.52307,1,2.128,10,2.128,0
0.98421,2.395,0.51671,0.52499,1,2.144,10,2.144,0
0.99172,2.3912,0.52159,0.52592,1,2.16,10,2.16,0
0.99788,2.3874,0.52569,0.52674,1,2.176,10,2.176,0
1.004,2.3836,0.52975,0.52755,1,2.192,10,2.192,0
1.0108,2.3793,0.53423,0.52844,1,2.208,10,2.208,0
1.0176,2.3751,0.53873,0.52933,1,2.224,10,2.224,0
1.0244,2.3709,0.54324,0.53023,1,2.24,10,2.24,0
1.0313,2.3666,0.54775,0.53112,1,2.256,10,2.256,0
1.0379,2.3625,0.55224,0.53207,1,2.272,10,2.272,0
1.0443,2.3584,0.55672,0.53305,1,2.288,10,2.288,0
1.0508,2.3542,0.5612,0.53403,1,2.304,10,2.304,0
1.0572,2.3501,0.56568,0.53501,1,2.32,10,2.32,0
1.0637,2.346,0.57017,0.536,1,2.336,10,2.336,0
1.0701,2.3419,0.57465,0.53698,1,2.352,10,2.352,0
1.0764,2.3378,0.57906,0.53795,1,2.368,10,2.368,0
1.0825,2.3339,0.58341,0.53891,1,2.384,10,2.384,0
1.0885,2.3299,0.58776,0.53987,1,2.4,10,2.4,0
1.0946,2.3259,0.5921,0.54083,1,2.416,10,2.416,0
1.1007,2.3219,0.59645,0.54179,1,2.432,10,2.432,0
1.1067,2.3179,0.6008,0.54275,1,2.448,10,2.448,0
1.1128,2.314,0.60515,0.54371,1,2.464,10,2.464,0
1.1189,2.31,0.6095,0.54467,1,2.48,10,2.48,0
1.1249,2.306,0.61383,0.54563,1,2.496,10,2.496,0
1.1309,2.3022,0.61813,0.54656,1,2.512,10,2.512,0
1.1368,2.2983,0.62243,0.5475,1,2.528,10,2.528,0
1.1427,2.2945,0.62666,0.54841,1,2.544,10,2.544,0
1.1484,2.2909,0.63084,0.5493,1,2.56,10,2.56,0
1.1541,2.2874,0.63496,0.55016,1,2.576,10,2.576,0
1.1596,2.284,0.63901,0.55101,1,2.592,10,2.592,0
1.1651,2.2806,0.64303,0.55185,1,2.608,10,2.608,0
1.1706,2.2772,0.64705,0.55269,1,2.624,10,2.624,0
1.176,2.2739,0.65105,0.55353,1,2.64,10,2.64,0
1.1814,2.2706,0.65505,0.55436,1,2.656,10,2.656,0
1.1868,2.2673,0.65905,0.55519,1,2.672,10,2.672,0
1.1922,2.2639,0.66305,0.55602,1,2.688,10,2.688,0
1.1976,2.2606,0.66706,0.55686,1,2.704,10,2.704,0
1.2031,2.2572,0.67116,0.55772,1,2.72,10,2.72,0
1.2087,2.2538,0.67526,0.55857,1,2.736,10,2.736,0
1.2142,2.2504,0.67936,0.55943,1,2.752,10,2.752,0
1.2198,2.247,0.68346,0.56028,1,2.768,10,2.768,0
1.2251,2.2437,0.68743,0.56111,1,2.784,10,2.784,0
1.23,2.2406,0.69122,0.5619,1,2.8,10,2.8,0
1.235,2.2375,0.69501,0.56268,1,2.816,10,2.816,0
1.24,2.2344,0.69881,0.56347,1,2.832,10,2.832,0
1.2449,2.2314,0.7026,0.56425,1,2.848,10,2.848,0
1.2499,2.2283,0.7064,0.56504,1,2.864,10,2.864,0
1.2548,2.2252,0.71019,0.56582,1,2.88,10,2.88,0
1.2598,2.2221,0.714,0.56661,1,2.896,10,2.896,0
1.2648,2.219,0.71783,0.5674,1,2.912,10,2.912,0
1.2699,2.2159,0.72166,0.56819,1,2.928,10,2.928,0
1.2749,2.2128,0.72549,0.56898,1,2.944,10,2.944,0
1.2799,2.2097,0.72933,0.56977,1,2.96,10,2.96,0
1.2849,2.2066,0.73315,0.57056,1,2.976,10,2.976,0
1.2897,2.2035,0.7369,0.57134,1,2.992,10,2.992,0
1.2945,2.2005,0.74066,0.57213,1,3.008,10,3.008,0
1.2993,2.1974,0.74442,0.57291,1,3.024,10,3.024,0
1.3038,2.1945,0.74794,0.57365,1,3.04,10,3.04,0
1.3081,2.1917,0.7514,0.57437,1,3.056,10,3.056,0
1.3125,2.1889,0.75486,0.5751,1,3.072,10,3.072,0
1.3167,2.1862,0.75827,0.57581,1,3.088,10,3.088,0
1.3208,2.1837,0.76151,0.57647,1,3.104,10,3.104,0
1.3248,2.1812,0.76476,0.57714,1,3.12,10,3.12,0
1.3289,2.1786,0.76801,0.57781,1,3.136,10,3.136,0
1.3329,2.1761,0.77126,0.57847,1,3.152,10,3.152,0
1.3369,2.1736,0.77446,0.57913,1,3.168,10,3.168,0
1.3409,2.1712,0.7776,0.57977,1,3.184,10,3.184,0
1.3448,2.1688,0.78075,0.5804,1,3.2,10,3.2,0
1.3488,2.1663,0.78389,0.58104,1,3.216,10,3.216,0
1.3527,2.1639,0.78703,0.58168,1,3.232,10,3.232,0
1.3566,2.1615,0.79017,0.58232,1,3.248,10,3.248,0
1.3606,2.159,0.79332,0.58296,1,3.264,10,3.264,0
1.3645,2.1566,0.79646,0.58359,1,3.28,10,3.28,0
1.3684,2.1542,0.7996,0.58423,1,3.296,10,3.296,0
1.3724,2.1518,0.80275,0.58487,1,3.312,10,3.312,0
1.3763,2.1493,0.80589,0.58551,1,3.328,10,3.328,0
1.3802,2.1469,0.80901,0.58614,1,3.344,10,3.344,0
1.3838,2.1448,0.81191,0.5867,1,3.36,10,3.36,0
1.3874,2.1427,0.81482,0.58727,1,3.376,10,3.376,0
1.391,2.1407,0.81765,0.5878,1,3.392,10,3.392,0
1.3944,2.1388,0.82042,0.58832,1,3.408,10,3.408,0
1.3979,2.1368,0.8232,0.58884,1,3.424,10,3.424,0
1.4014,2.1349,0.82597,0.58936,1,3.44,10,3.44,0
1.4048,2.1329,0.82875,0.58988,1,3.456,10,3.456,0
1.4083,2.131,0.83152,0.5904,1,3.472,10,3.472,0
1.4118,2.129,0.83429,0.59091,1,3.488,10,3.488,0
1.4152,2.1271,0.83707,0.59143,1,3.504,10,3.504,0
1.4187,2.1251,0.83984,0.59195,1,3.52,10,3.52,0
1.4222,2.1232,0.84262,0.59247,1,3.536,10,3.536,0
1.4256,2.1213,0.84536,0.59298,1,3.552,10,3.552,0
1.429,2.1196,0.848,0.59343,1,3.568,10,3.568,0
1.4322,2.118,0.85059,0.59387,1,3.584,10,3.584,0
1.4355,2.1163,0.85316,0.59431,1,3.6,10,3.6,0
1.4388,2.1147,0.85572,0.59474,1,3.616,10,3.616,0
1.442,2.1131,0.85829,0.59518,1,3.632,10,3.632,0
1.4453,2.1115,0.86086,0.59561,1,3.648,10,3.648,0
1.4486,2.1099,0.86343,0.59604,1,3.664,10,3.664,0
1.4518,2.1083,0.866,0.59648,1,3.68,10,3.68,0
1.4551,2.1067,0.86852,0.5969,1,3.696,10,3.696,0
1.4581,2.1053,0.87094,0.59729,1,3.712,10,3.712,0
1.4611,2.1038,0.87332,0.59769,1,3.728,10,3.728,0
1.4641,2.1023,0.87568,0.59809,1,3.744,10,3.744,0
1.4671,2.1009,0.87805,0.5985,1,3.76,10,3.76,0
