"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9216,0.23933,7.6875,1.1106,1,0,-8.1,0,0
6.9197,0.24017,7.6843,1.1105,1,0.0731,-8.0269,0,0
6.9178,0.24101,7.6811,1.1103,1,0.1462,-7.9538,0,0
6.9158,0.24184,7.6779,1.1102,1,0.2193,-7.8807,0,0
6.9139,0.24268,7.6747,1.11,1,0.2924,-7.8076,0,0
6.9119,0.24352,7.6715,1.1099,1,0.3655,-7.7345,0,0
6.91,0.24435,7.6683,1.1097,1,0.4386,-7.6614,0,0
6.9077,0.24535,7.6647,1.1096,1,0.5117,-7.5883,0,0
6.9039,0.24713,7.6589,1.1094,1,0.5848,-7.5152,0,0
6.9,0.24891,7.653,1.1091,1,0.6579,-7.4421,0,0
6.8961,0.2507,7.6472,1.1089,1,0.731,-7.369,0,0
6.8922,0.25248,7.6414,1.1087,1,0.8041,-7.2959,0,0
6.8884,0.25426,7.6356,1.1085,1,0.8772,-7.2228,0,0
6.8845,0.25604,7.6298,1.1083,1,0.9503,-7.1497,0,0
6.8798,0.25818,7.6228,1.108,1,1.0234,-7.0766,0,0
6.8733,0.26112,7.6131,1.1076,1,1.0965,-7.0035,0,0
6.8668,0.26406,7.6034,1.1073,1,1.1696,-6.9304,0,0
6.8603,0.26701,7.5937,1.1069,1,1.2427,-6.8573,0,0
6.8538,0.26995,7.584,1.1065,1,1.3158,-6.7842,0,0
6.8474,0.2729,7.5743,1.1062,1,1.3889,-6.7111,0,0
6.8409,0.27584,7.5646,1.1058,1,1.462,-6.638,0,0
6.8331,0.27931,7.5531,1.1054,1,1.5351,-6.5649,0,0
6.8236,0.28356,7.5389,1.1048,1,1.6082,-6.4918,0,0
6.814,0.2878,7.5248,1.1043,1,1.6813,-6.4187,0,0
6.8044,0.29205,7.5106,1.1038,1,1.7544,-6.3456,0,0
6.7948,0.29629,7.4965,1.1033,1,1.8275,-6.2725,0,0
