"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9185,0.2407,7.6821,1.1104,1,0,-8.1,0,0
6.9171,0.24149,7.6799,1.1103,1,0.0731,-8.0269,0,0
6.9157,0.24228,7.6777,1.1102,1,0.1462,-7.9538,0,0
6.9143,0.24307,7.6755,1.1101,1,0.2193,-7.8807,0,0
6.9129,0.24387,7.6733,1.11,1,0.2924,-7.8076,0,0
6.9115,0.24466,7.6711,1.1099,1,0.3655,-7.7345,0,0
6.9101,0.24545,7.6689,1.1098,1,0.4386,-7.6614,0,0
6.9083,0.24643,7.6661,1.1097,1,0.5117,-7.5883,0,0
6.9044,0.24829,7.6602,1.1095,1,0.5848,-7.5152,0,0
6.9004,0.25015,7.6542,1.1092,1,0.6579,-7.4421,0,0
6.8965,0.25202,7.6483,1.109,1,0.731,-7.369,0,0
6.8925,0.25388,7.6424,1.1088,1,0.8041,-7.2959,0,0
6.8886,0.25575,7.6365,1.1086,1,0.8772,-7.2228,0,0
6.8846,0.25761,7.6306,1.1083,1,0.9503,-7.1497,0,0
6.8799,0.25978,7.6235,1.1081,1,1.0234,-7.0766,0,0
6.8733,0.26266,7.6139,1.1077,1,1.0965,-7.0035,0,0
6.8668,0.26554,7.6043,1.1074,1,1.1696,-6.9304,0,0
6.8602,0.26841,7.5947,1.1071,1,1.2427,-6.8573,0,0
6.8537,0.27129,7.5851,1.1067,1,1.3158,-6.7842,0,0
6.8471,0.27416,7.5755,1.1064,1,1.3889,-6.7111,0,0
6.8405,0.27704,7.5659,1.106,1,1.462,-6.638,0,0
6.8331,0.28038,7.5548,1.1056,1,1.5351,-6.5649,0,0
6.8244,0.28442,7.5417,1.1051,1,1.6082,-6.4918,0,0
6.8156,0.28846,7.5286,1.1046,1,1.6813,-6.4187,0,0
6.8069,0.2925,7.5154,1.1041,1,1.7544,-6.3456,0,0
6.7982,0.29654,7.5023,1.1036,1,1.8275,-6.2725,0,0
6.7894,0.30058,7.4891,1.103,1,1.9006,-6.1994,0,0
6.7807,0.30461,7.476,1.1025,1,1.9737,-6.1263,0,0
6.7709,0.30921,7.461,1.1019,1,2.0468,-6.0532,0,0
6.7596,0.31454,7.4435,1.1012,1,2.1199,-5.9801,0,0
6.7483,0.31986,7.4261,1.1004,1,2.193,-5.907,0,0
6.7371,0.32518,7.4087,1.0997,1,2.2661,-5.8339,0,0
6.7258,0.33051,7.3912,1.0989,1,2.3392,-5.7608,0,0
6.7145,0.33583,7.3738,1.0982,1,2.4123,-5.6877,0,0
6.7032,0.34116,7.3564,1.0974,1,2.4854,-5.6146,0,0
6.6883,0.34732,7.3339,1.0965,1,2.5585,-5.5415,0,0
6.6685,0.35461,7.3046,1.0954,1,2.6316,-5.4684,0,0
6.6487,0.3619,7.2754,1.0943,1,2.7047,-5.3953,0,0
6.6289,0.36919,7.2461,1.0931,1,2.7778,-5.3222,0,0
6.6079,0.37683,7.2151,1.0919,1,2.8509,-5.2491,0,0
6.5868,0.38451,7.1839,1.0906,1,2.924,-5.176,0,0
6.5658,0.39219,7.1527,1.0894,1,2.9971,-5.1029,0,0
6.545,0.40013,7.1215,1.0881,1,3.0702,-5.0298,0,0
6.5248,0.40849,7.0903,1.0866,1,3.1433,-4.9567,0,0
6.5046,0.41685,7.0591,1.0852,1,3.2164,-4.8836,0,0
6.4844,0.42521,7.028,1.0838,1,3.2895,-4.8105,0,0
6.4581,0.43426,6.9887,1.0821,1,3.3626,-4.7374,0,0
6.4305,0.44345,6.9477,1.0804,1,3.4357,-4.6643,0,0
6.403,0.45264,6.9068,1.0787,1,3.5088,-4.5912,0,0
6.3758,0.46196,6.8662,1.0769,1,3.5819,-4.5181,0,0
6.3498,0.47162,6.8266,1.0751,1,3.655,-4.445,0,0
6.3238,0.48127,6.787,1.0732,1,3.7281,-4.3719,0,0
6.2977,0.49092,6.7474,1.0714,1,3.8012,-4.2988,0,0
6.2651,0.50157,6.6989,1.0692,1,3.8743,-4.2257,0,0
6.2296,0.51266,6.6465,1.0669,1,3.9474,-4.1526,0,0
6.1941,0.52374,6.5941,1.0645,1,4.0205,-4.0795,0,0
6.1584,0.53492,6.5414,1.0622,1,4.0936,-4.0064,0,0
6.1213,0.54681,6.486,1.0595,1,4.1667,-3.9333,0,0
6.0841,0.5587,6.4307,1.0569,1,4.2398,-3.8602,0,0
6.047,0.57059,6.3754,1.0543,1,4.3129,-3.7871,0,0
6.0067,0.58286,6.3161,1.0515,1,4.386,-3.714,0,0
5.9636,0.59549,6.2531,1.0485,1,4.4591,-3.6409,0,0
5.9204,0.60813,6.1901,1.0455,1,4.5322,-3.5678,0,0
5.8773,0.62076,6.1272,1.0425,1,4.6053,-3.4947,0,0
5.833,0.6341,6.0628,1.0393,1,4.6784,-3.4216,0,0
5.7887,0.64749,5.9982,1.0361,1,4.7515,-3.3485,0,0
5.7443,0.66089,5.9337,1.0329,1,4.8246,-3.2754,0,0
5.6965,0.67446,5.8651,1.0295,1,4.8977,-3.2023,0,0
5.6407,0.68844,5.7868,1.0258,1,4.9708,-3.1292,0,0
5.5849,0.70241,5.7085,1.022,1,5.0439,-3.0561,0,0
5.5291,0.71638,5.6303,1.0183,1,5.117,-2.983,0,0
5.4767,0.73066,5.5563,1.0144,1,5.1901,-2.9099,0,0
5.4259,0.74507,5.4844,1.0104,1,5.2632,-2.8368,0,0
5.3751,0.75948,5.4125,1.0065,1,5.3363,-2.7637,0,0
5.3244,0.77389,5.3405,1.0025,1,5.4094,-2.6906,0,0
5.2736,0.78831,5.2686,0.99859,1,5.4825,-2.6175,0,0
5.2228,0.80272,5.1967,0.99465,1,5.5556,-2.5444,0,0
5.172,0.81713,5.1247,0.9907,1,5.6287,-2.4713,0,0
5.1187,0.83196,5.0503,0.98651,1,5.7018,-2.3982,0,0
5.0611,0.84749,4.9717,0.9819,1,5.7749,-2.3251,0,0
5.0035,0.86301,4.893,0.9773,1,5.848,-2.252,0,0
4.9459,0.87854,4.8144,0.97269,1,5.9211,-2.1789,0,0
4.8883,0.89407,4.7357,0.96808,1,5.9942,-2.1058,0,0
4.8307,0.90959,4.6571,0.96347,1,6.0673,-2.0327,0,0
4.7731,0.92512,4.5784,0.95887,1,6.1404,-1.9596,0,0
4.7155,0.94066,4.4998,0.95425,1,6.2135,-1.8865,0,0
4.6554,0.95687,4.421,0.94921,1,6.2866,-1.8134,0,0
4.5954,0.97307,4.3422,0.94418,1,6.3597,-1.7403,0,0
4.5354,0.98928,4.2634,0.93915,1,6.4328,-1.6672,0,0
4.4754,1.0055,4.1846,0.93411,1,6.5059,-1.5941,0,0
4.4154,1.0217,4.1058,0.92908,1,6.579,-1.521,0,0
4.3554,1.0379,4.027,0.92404,1,6.6521,-1.4479,0,0
4.2954,1.0541,3.9482,0.91901,1,6.7252,-1.3748,0,0
4.2346,1.0707,3.8707,0.91374,1,6.7983,-1.3017,0,0
4.1734,1.0874,3.794,0.90834,1,6.8714,-1.2286,0,0
4.1122,1.1041,3.7172,0.90293,1,6.9445,-1.1555,0,0
4.051,1.1209,3.6405,0.89753,1,7.0176,-1.0824,0,0
3.9898,1.1376,3.5637,0.89213,1,7.0907,-1.0093,0,0
3.9286,1.1544,3.4869,0.88672,1,7.1638,-0.9362,0,0
3.8674,1.1711,3.4102,0.88132,1,7.2369,-0.8631,0,0
3.8067,1.188,3.3346,0.87586,1,7.31,-0.79,0,0
3.7486,1.2056,3.2644,0.87018,1,7.3831,-0.7169,0,0
3.6905,1.2231,3.1943,0.86449,1,7.4562,-0.6438,0,0
3.6324,1.2407,3.1241,0.85881,1,7.5293,-0.5707,0,0
3.5743,1.2582,3.0539,0.85312,1,7.6024,-0.4976,0,0
3.5162,1.2758,2.9837,0.84744,1,7.6755,-0.4245,0,0
3.4581,1.2933,2.9136,0.84175,1,7.7486,-0.3514,0,0
3.4,1.3109,2.8434,0.83607,1,7.8217,-0.2783,0,0
3.3392,1.3293,2.7724,0.83002,1,7.8948,-0.2052,0,0
3.2773,1.3482,2.7011,0.82379,1,7.9679,-0.1321,0,0
3.2153,1.3671,2.6298,0.81756,1,8.041,-0.059,0,0
3.1533,1.386,2.5585,0.81133,1,8.1141,0.0141,0,0
3.0928,1.4058,2.4906,0.80499,1,8.1872,0.0872,0,0
3.0323,1.4257,2.4231,0.79864,1,8.2603,0.1603,0,0
2.9719,1.4456,2.3556,0.79228,1,8.3334,0.2334,0,0
2.911,1.4657,2.2878,0.78584,1,8.4065,0.3065,0,0
2.8469,1.487,2.2186,0.77882,1,8.4796,0.3796,0,0
2.7828,1.5083,2.1493,0.7718,1,8.5527,0.4527,0,0
2.7186,1.5297,2.0801,0.76478,1,8.6258,0.5258,0,0
2.6575,1.5511,2.0145,0.75788,1,8.6989,0.5989,0,0
