"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9237,0.23807,7.6904,1.1107,1,0,-8.1,0,0
6.9233,0.23819,7.6898,1.1107,1,0.0731,-8.0269,0,0
6.9227,0.23847,7.689,1.1107,1,0.1462,-7.9538,0,0
6.9219,0.23895,7.6878,1.1106,1,0.2193,-7.8807,0,0
6.9208,0.23951,7.6861,1.1106,1,0.2924,-7.8076,0,0
6.9196,0.24021,7.6843,1.1105,1,0.3655,-7.7345,0,0
6.9181,0.24102,7.6821,1.1104,1,0.4386,-7.6614,0,0
6.9163,0.24182,7.6794,1.1103,1,0.5117,-7.5883,0,0
6.9153,0.24282,7.6777,1.1102,1,0.5848,-7.5152,0,0
6.913,0.24422,7.674,1.1101,1,0.6579,-7.4421,0,0
6.9099,0.24591,7.6694,1.1099,1,0.731,-7.369,0,0
6.9068,0.24788,7.6645,1.1097,1,0.8041,-7.2959,0,0
6.9028,0.25024,7.6581,1.1094,1,0.8772,-7.2228,0,0
6.8981,0.25248,7.651,1.1092,1,0.9503,-7.1497,0,0
6.8928,0.25455,7.6433,1.1089,1,1.0234,-7.0766,0,0
6.8892,0.25677,7.6375,1.1086,1,1.0965,-7.0035,0,0
6.8848,0.25919,7.6308,1.1084,1,1.1696,-6.9304,0,0
6.8798,0.26173,7.6233,1.1081,1,1.2427,-6.8573,0,0
6.8741,0.26438,7.6145,1.1077,1,1.3158,-6.7842,0,0
6.869,0.26777,7.6068,1.1074,1,1.3889,-6.7111,0,0
6.8612,0.27168,7.5946,1.1069,1,1.462,-6.638,0,0
6.8539,0.27546,7.5833,1.1064,1,1.5351,-6.5649,0,0
6.8466,0.2793,7.572,1.1059,1,1.6082,-6.4918,0,0
6.8386,0.28332,7.5596,1.1054,1,1.6813,-6.4187,0,0
6.8307,0.28758,7.5476,1.105,1,1.7544,-6.3456,0,0
6.8208,0.29221,7.5321,1.1043,1,1.8275,-6.2725,0,0
6.8111,0.29732,7.5173,1.1037,1,1.9006,-6.1994,0,0
6.7998,0.30264,7.5001,1.103,1,1.9737,-6.1263,0,0
6.7875,0.30766,7.4813,1.1022,1,2.0468,-6.0532,0,0
6.7782,0.31265,7.4672,1.1016,1,2.1199,-5.9801,0,0
6.767,0.31801,7.4499,1.1009,1,2.193,-5.907,0,0
6.7549,0.32354,7.4311,1.1001,1,2.2661,-5.8339,0,0
