"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9187,0.24136,7.6822,1.1104,1,0,-8.1,0,0
6.9169,0.24213,7.6795,1.1103,1,0.0731,-8.0269,0,0
6.915,0.2429,7.6767,1.1102,1,0.1462,-7.9538,0,0
6.9132,0.24367,7.674,1.1101,1,0.2193,-7.8807,0,0
6.9113,0.24444,7.6713,1.11,1,0.2924,-7.8076,0,0
6.9094,0.24521,7.6685,1.1099,1,0.3655,-7.7345,0,0
6.9076,0.24597,7.6658,1.1098,1,0.4386,-7.6614,0,0
6.9055,0.24686,7.6627,1.1097,1,0.5117,-7.5883,0,0
6.902,0.2483,7.6577,1.1095,1,0.5848,-7.5152,0,0
6.8986,0.24975,7.6528,1.1093,1,0.6579,-7.4421,0,0
6.8951,0.2512,7.6478,1.1092,1,0.731,-7.369,0,0
6.8917,0.25264,7.6428,1.109,1,0.8041,-7.2959,0,0
6.8882,0.25409,7.6379,1.1088,1,0.8772,-7.2228,0,0
6.8848,0.25554,7.6329,1.1087,1,0.9503,-7.1497,0,0
6.8813,0.25726,7.6279,1.1085,1,1.0234,-7.0766,0,0
6.878,0.2596,7.6227,1.1083,1,1.0965,-7.0035,0,0
6.8747,0.26194,7.6175,1.108,1,1.1696,-6.9304,0,0
6.8714,0.26429,7.6123,1.1078,1,1.2427,-6.8573,0,0
6.8646,0.26743,7.6022,1.1074,1,1.3158,-6.7842,0,0
6.8573,0.27072,7.5913,1.107,1,1.3889,-6.7111,0,0
6.8499,0.274,7.5804,1.1066,1,1.462,-6.638,0,0
6.842,0.27758,7.5686,1.1062,1,1.5351,-6.5649,0,0
6.8333,0.28158,7.5556,1.1057,1,1.6082,-6.4918,0,0
6.8246,0.28559,7.5426,1.1052,1,1.6813,-6.4187,0,0
6.8158,0.28959,7.5296,1.1047,1,1.7544,-6.3456,0,0
6.8079,0.29428,7.5167,1.1041,1,1.8275,-6.2725,0,0
6.7999,0.29902,7.5038,1.1035,1,1.9006,-6.1994,0,0
6.792,0.30376,7.4909,1.1029,1,1.9737,-6.1263,0,0
6.7817,0.30861,7.4748,1.1022,1,2.0468,-6.0532,0,0
6.7683,0.3136,7.4545,1.1014,1,2.1199,-5.9801,0,0
6.7568,0.31877,7.4369,1.1006,1,2.193,-5.907,0,0
6.7462,0.32402,7.4204,1.0999,1,2.2661,-5.8339,0,0
6.7325,0.3302,7.3996,1.0991,1,2.3392,-5.7608,0,0
6.7185,0.33646,7.3782,1.0982,1,2.4123,-5.6877,0,0
6.7036,0.34286,7.3555,1.0973,1,2.4854,-5.6146,0,0
6.6886,0.34937,7.3326,1.0963,1,2.5585,-5.5415,0,0
6.6735,0.356,7.3093,1.0953,1,2.6316,-5.4684,0,0
6.6574,0.36289,7.2847,1.0942,1,2.7047,-5.3953,0,0
6.6408,0.3699,7.2593,1.0931,1,2.7778,-5.3222,0,0
6.6229,0.37722,7.232,1.092,1,2.8509,-5.2491,0,0
6.6048,0.38462,7.2044,1.0908,1,2.924,-5.176,0,0
6.5861,0.39228,7.1757,1.0895,1,2.9971,-5.1029,0,0
6.5665,0.40014,7.1458,1.0882,1,3.0702,-5.0298,0,0
6.5448,0.40838,7.113,1.0868,1,3.1433,-4.9567,0,0
6.5225,0.41702,7.0791,1.0853,1,3.2164,-4.8836,0,0
6.4983,0.42601,7.0426,1.0838,1,3.2895,-4.8105,0,0
6.4752,0.4355,7.0071,1.0822,1,3.3626,-4.7374,0,0
6.4473,0.44479,6.9654,1.0804,1,3.4357,-4.6643,0,0
6.4221,0.45411,6.9272,1.0786,1,3.5088,-4.5912,0,0
6.3936,0.46433,6.8842,1.0767,1,3.5819,-4.5181,0,0
6.3643,0.47464,6.84,1.0747,1,3.655,-4.445,0,0
6.3337,0.4851,6.7939,1.0727,1,3.7281,-4.3719,0,0
6.3027,0.49553,6.7473,1.0705,1,3.8012,-4.2988,0,0
6.2711,0.5062,6.6997,1.0683,1,3.8743,-4.2257,0,0
6.2378,0.51717,6.6499,1.0661,1,3.9474,-4.1526,0,0
6.2033,0.52839,6.5984,1.0637,1,4.0205,-4.0795,0,0
6.1673,0.53987,6.5449,1.0612,1,4.0936,-4.0064,0,0
6.1304,0.55155,6.4901,1.0587,1,4.1667,-3.9333,0,0
6.0923,0.56343,6.4337,1.056,1,4.2398,-3.8602,0,0
6.0532,0.57549,6.3759,1.0533,1,4.3129,-3.7871,0,0
6.0129,0.58774,6.3166,1.0505,1,4.386,-3.714,0,0
5.9717,0.60012,6.2561,1.0476,1,4.4591,-3.6409,0,0
5.9297,0.61252,6.1948,1.0447,1,4.5322,-3.5678,0,0
5.8883,0.62496,6.134,1.0417,1,4.6053,-3.4947,0,0
5.8433,0.63811,6.0684,1.0385,1,4.6784,-3.4216,0,0
5.7976,0.6512,6.0023,1.0353,1,4.7515,-3.3485,0,0
5.7524,0.66433,5.9368,1.0321,1,4.8246,-3.2754,0,0
5.703,0.67823,5.8659,1.0285,1,4.8977,-3.2023,0,0
5.6552,0.69211,5.7967,1.025,1,4.9708,-3.1292,0,0
5.6069,0.70534,5.7278,1.0216,1,5.0439,-3.0561,0,0
5.557,0.71934,5.6562,1.0179,1,5.117,-2.983,0,0
5.5058,0.73351,5.5833,1.0141,1,5.1901,-2.9099,0,0
5.4541,0.74764,5.5101,1.0103,1,5.2632,-2.8368,0,0
5.401,0.762,5.4352,1.0063,1,5.3363,-2.7637,0,0
5.3498,0.77596,5.3631,1.0025,1,5.4094,-2.6906,0,0
5.2947,0.79087,5.2857,0.99831,1,5.4825,-2.6175,0,0
5.2417,0.80514,5.2118,0.99429,1,5.5556,-2.5444,0,0
5.1868,0.81985,5.1355,0.9901,1,5.6287,-2.4713,0,0
