"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9189,0.24048,7.6824,1.1103,1,0,-8.1,0,0
6.9173,0.24126,7.68,1.1103,1,0.0731,-8.0269,0,0
6.9157,0.24205,7.6776,1.1102,1,0.1462,-7.9538,0,0
6.9141,0.24284,7.6753,1.1101,1,0.2193,-7.8807,0,0
6.9125,0.24363,7.6729,1.11,1,0.2924,-7.8076,0,0
6.9109,0.24441,7.6706,1.1099,1,0.3655,-7.7345,0,0
6.9093,0.2452,7.6682,1.1098,1,0.4386,-7.6614,0,0
6.9074,0.24616,7.6654,1.1097,1,0.5117,-7.5883,0,0
6.9039,0.24792,7.6602,1.1095,1,0.5848,-7.5152,0,0
6.9005,0.24968,7.6551,1.1094,1,0.6579,-7.4421,0,0
6.8971,0.25144,7.65,1.1092,1,0.731,-7.369,0,0
6.8937,0.25321,7.6449,1.109,1,0.8041,-7.2959,0,0
6.8903,0.25497,7.6397,1.1088,1,0.8772,-7.2228,0,0
6.8868,0.25673,7.6346,1.1086,1,0.9503,-7.1497,0,0
6.8826,0.25885,7.6283,1.1083,1,1.0234,-7.0766,0,0
6.8768,0.2618,7.6194,1.108,1,1.0965,-7.0035,0,0
6.8709,0.26475,7.6106,1.1077,1,1.1696,-6.9304,0,0
6.865,0.2677,7.6017,1.1073,1,1.2427,-6.8573,0,0
6.8591,0.27065,7.5928,1.107,1,1.3158,-6.7842,0,0
6.8532,0.2736,7.5839,1.1066,1,1.3889,-6.7111,0,0
6.8473,0.27655,7.5751,1.1063,1,1.462,-6.638,0,0
6.8401,0.27995,7.5644,1.1059,1,1.5351,-6.5649,0,0
6.8312,0.28402,7.551,1.1054,1,1.6082,-6.4918,0,0
6.8222,0.28809,7.5376,1.1049,1,1.6813,-6.4187,0,0
6.8133,0.29216,7.5242,1.1043,1,1.7544,-6.3456,0,0
6.8043,0.29623,7.5109,1.1038,1,1.8275,-6.2725,0,0
6.7954,0.3003,7.4975,1.1033,1,1.9006,-6.1994,0,0
6.7864,0.30437,7.4841,1.1028,1,1.9737,-6.1263,0,0
6.7775,0.30887,7.4703,1.1022,1,2.0468,-6.0532,0,0
6.7686,0.31392,7.456,1.1016,1,2.1199,-5.9801,0,0
6.7598,0.31898,7.4418,1.1009,1,2.193,-5.907,0,0
6.7509,0.32403,7.4275,1.1002,1,2.2661,-5.8339,0,0
6.742,0.32908,7.4132,1.0995,1,2.3392,-5.7608,0,0
6.7331,0.33413,7.3989,1.0989,1,2.4123,-5.6877,0,0
6.7243,0.33919,7.3846,1.0982,1,2.4854,-5.6146,0,0
6.704,0.34605,7.3538,1.0969,1,2.5585,-5.5415,0,0
6.6738,0.35476,7.3098,1.0953,1,2.6316,-5.4684,0,0
6.653,0.36255,7.2791,1.0941,1,2.7047,-5.3953,0,0
6.6347,0.37013,7.2513,1.0929,1,2.7778,-5.3222,0,0
6.6162,0.37754,7.2232,1.0917,1,2.8509,-5.2491,0,0
6.5978,0.38494,7.1952,1.0905,1,2.924,-5.176,0,0
6.5793,0.39234,7.1671,1.0893,1,2.9971,-5.1029,0,0
6.5613,0.39979,7.1396,1.0881,1,3.0702,-5.0298,0,0
6.5439,0.40733,7.1131,1.087,1,3.1433,-4.9567,0,0
6.5219,0.41586,7.0797,1.0855,1,3.2164,-4.8836,0,0
6.4968,0.42504,7.042,1.0839,1,3.2895,-4.8105,0,0
6.4697,0.43488,7.0011,1.0821,1,3.3626,-4.7374,0,0
6.4421,0.44485,6.9594,1.0803,1,3.4357,-4.6643,0,0
6.4127,0.45467,6.9159,1.0785,1,3.5088,-4.5912,0,0
6.3845,0.46446,6.8738,1.0766,1,3.5819,-4.5181,0,0
6.3592,0.47419,6.8356,1.0749,1,3.655,-4.445,0,0
6.3284,0.48446,6.79,1.0729,1,3.7281,-4.3719,0,0
6.2917,0.49531,6.7366,1.0707,1,3.8012,-4.2988,0,0
6.2584,0.50629,6.6868,1.0684,1,3.8743,-4.2257,0,0
6.2265,0.51733,6.6384,1.0661,1,3.9474,-4.1526,0,0
6.1946,0.52837,6.59,1.0638,1,4.0205,-4.0795,0,0
6.1623,0.5395,6.5411,1.0615,1,4.0936,-4.0064,0,0
6.1268,0.55121,6.488,1.059,1,4.1667,-3.9333,0,0
6.0876,0.56325,6.4304,1.0563,1,4.2398,-3.8602,0,0
6.041,0.576,6.3633,1.0533,1,4.3129,-3.7871,0,0
5.9968,0.58872,6.2989,1.0503,1,4.386,-3.714,0,0
5.9548,0.60141,6.2371,1.0473,1,4.4591,-3.6409,0,0
5.9127,0.61411,6.1753,1.0443,1,4.5322,-3.5678,0,0
5.8707,0.6268,6.1135,1.0414,1,4.6053,-3.4947,0,0
5.8269,0.63975,6.0497,1.0382,1,4.6784,-3.4216,0,0
5.783,0.65271,5.9857,1.035,1,4.7515,-3.3485,0,0
5.7391,0.66568,5.9217,1.0318,1,4.8246,-3.2754,0,0
5.6932,0.67895,5.8552,1.0284,1,4.8977,-3.2023,0,0
5.6425,0.69291,5.7827,1.0247,1,4.9708,-3.1292,0,0
5.5919,0.70688,5.7103,1.0211,1,5.0439,-3.0561,0,0
5.5412,0.72084,5.6378,1.0174,1,5.117,-2.983,0,0
5.4904,0.73506,5.5657,1.0137,1,5.1901,-2.9099,0,0
5.4394,0.74938,5.4938,1.0099,1,5.2632,-2.8368,0,0
5.3885,0.76371,5.4219,1.0061,1,5.3363,-2.7637,0,0
5.3373,0.77805,5.3496,1.0023,1,5.4094,-2.6906,0,0
5.2773,0.79312,5.2669,0.99788,1,5.4825,-2.6175,0,0
5.2174,0.80818,5.1842,0.99346,1,5.5556,-2.5444,0,0
5.1574,0.82325,5.1014,0.98904,1,5.6287,-2.4713,0,0
5.0998,0.83809,5.0223,0.98468,1,5.7018,-2.3982,0,0
5.0461,0.85257,4.9491,0.9804,1,5.7749,-2.3251,0,0
4.9924,0.86704,4.8759,0.97612,1,5.848,-2.252,0,0
4.9387,0.88151,4.8027,0.97184,1,5.9211,-2.1789,0,0
4.885,0.89599,4.7295,0.96756,1,5.9942,-2.1058,0,0
4.8313,0.91046,4.6563,0.96328,1,6.0673,-2.0327,0,0
4.7776,0.92493,4.5831,0.959,1,6.1404,-1.9596,0,0
4.7238,0.93943,4.5099,0.95471,1,6.2135,-1.8865,0,0
4.6669,0.95476,4.4351,0.94995,1,6.2866,-1.8134,0,0
4.61,0.9701,4.3603,0.9452,1,6.3597,-1.7403,0,0
4.5532,0.98543,4.2856,0.94044,1,6.4328,-1.6672,0,0
4.4963,1.0008,4.2108,0.93568,1,6.5059,-1.5941,0,0
4.4395,1.0161,4.136,0.93092,1,6.579,-1.521,0,0
4.3826,1.0314,4.0612,0.92616,1,6.6521,-1.4479,0,0
