"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.3752,3.3545,0.12957,0.34533,1,0,10,0,0
0.37406,3.3538,0.1292,0.34539,1,0.016,10,0.016,0
0.37364,3.3522,0.12915,0.34564,1,0.032,10,0.032,0
0.37348,3.3507,0.12918,0.34587,1,0.048,10,0.048,0
0.37335,3.3497,0.12919,0.34602,1,0.064,10,0.064,0
0.37323,3.3489,0.12918,0.34612,1,0.08,10,0.08,0
0.37311,3.3484,0.12917,0.34619,1,0.096,10,0.096,0
0.373,3.3481,0.12914,0.34622,1,0.112,10,0.112,0
0.37289,3.348,0.12911,0.34624,1,0.128,10,0.128,0
0.37278,3.348,0.12907,0.34623,1,0.144,10,0.144,0
0.37268,3.3481,0.12902,0.34621,1,0.16,10,0.16,0
0.37259,3.3484,0.12898,0.34618,1,0.176,10,0.176,0
0.37251,3.3487,0.12894,0.34613,1,0.192,10,0.192,0
0.37244,3.349,0.1289,0.34609,1,0.208,10,0.208,0
0.37235,3.3494,0.12885,0.34604,1,0.224,10,0.224,0
0.37225,3.3499,0.1288,0.34599,1,0.24,10,0.24,0
0.37215,3.3503,0.12874,0.34594,1,0.256,10,0.256,0
0.37205,3.3507,0.12869,0.34588,1,0.272,10,0.272,0
0.37191,3.3512,0.12862,0.34582,1,0.288,10,0.288,0
0.37177,3.3518,0.12854,0.34575,1,0.304,10,0.304,0
0.37164,3.3523,0.12847,0.34569,1,0.32,10,0.32,0
0.3715,3.3528,0.1284,0.34562,1,0.336,10,0.336,0
0.37136,3.3534,0.12833,0.34556,1,0.352,10,0.352,0
0.37121,3.3539,0.12825,0.34549,1,0.368,10,0.368,0
0.37107,3.3544,0.12818,0.34543,1,0.384,10,0.384,0
0.37093,3.355,0.12811,0.34536,1,0.4,10,0.4,0
0.3708,3.3555,0.12804,0.3453,1,0.416,10,0.416,0
0.37067,3.356,0.12797,0.34524,1,0.432,10,0.432,0
0.37054,3.3565,0.12791,0.34518,1,0.448,10,0.448,0
0.37042,3.357,0.12784,0.34513,1,0.464,10,0.464,0
0.37033,3.3574,0.12779,0.34508,1,0.48,10,0.48,0
0.37026,3.3578,0.12775,0.34504,1,0.496,10,0.496,0
0.37019,3.3581,0.12772,0.345,1,0.512,10,0.512,0
0.37012,3.3585,0.12768,0.34496,1,0.528,10,0.528,0
0.37011,3.3586,0.12767,0.34495,1,0.544,10,0.544,0
0.37011,3.3587,0.12767,0.34494,1,0.56,10,0.56,0
0.37013,3.3588,0.12767,0.34495,1,0.576,10,0.576,0
0.37015,3.3588,0.12769,0.34495,1,0.592,10,0.592,0
0.3702,3.3588,0.1277,0.34496,1,0.608,10,0.608,0
0.37024,3.3588,0.12772,0.34497,1,0.624,10,0.624,0
0.37027,3.3588,0.12773,0.34497,1,0.64,10,0.64,0
0.37031,3.3589,0.12774,0.34497,1,0.656,10,0.656,0
0.37031,3.359,0.12774,0.34496,1,0.672,10,0.672,0
0.37032,3.3592,0.12774,0.34495,1,0.688,10,0.688,0
0.37029,3.3594,0.12772,0.34492,1,0.704,10,0.704,0
0.37025,3.3597,0.1277,0.34489,1,0.72,10,0.72,0
0.37021,3.36,0.12767,0.34486,1,0.736,10,0.736,0
0.37011,3.3604,0.12762,0.34481,1,0.752,10,0.752,0
0.36999,3.3609,0.12755,0.34475,1,0.768,10,0.768,0
0.36989,3.3613,0.1275,0.3447,1,0.784,10,0.784,0
0.36979,3.3617,0.12745,0.34465,1,0.8,10,0.8,0
0.36964,3.3623,0.12737,0.34458,1,0.816,10,0.816,0
0.36948,3.3628,0.12729,0.3445,1,0.832,10,0.832,0
0.36931,3.3634,0.1272,0.34442,1,0.848,10,0.848,0
0.36912,3.3641,0.1271,0.34434,1,0.864,10,0.864,0
0.36891,3.3647,0.127,0.34425,1,0.88,10,0.88,0
0.36871,3.3654,0.1269,0.34416,1,0.896,10,0.896,0
0.3685,3.366,0.1268,0.34408,1,0.912,10,0.912,0
