"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.9229,0.23906,7.6888,1.1106,1,0,-8.1,0,0
6.9211,0.23984,7.6859,1.1105,1,0.0731,-8.0269,0,0
6.9192,0.24062,7.6831,1.1104,1,0.1462,-7.9538,0,0
6.9173,0.24139,7.6802,1.1103,1,0.2193,-7.8807,0,0
6.9154,0.24217,7.6773,1.1102,1,0.2924,-7.8076,0,0
6.9135,0.24295,7.6745,1.1101,1,0.3655,-7.7345,0,0
6.9116,0.24373,7.6716,1.11,1,0.4386,-7.6614,0,0
6.9094,0.24466,7.6683,1.1098,1,0.5117,-7.5883,0,0
6.9059,0.24631,7.6632,1.1097,1,0.5848,-7.5152,0,0
6.9023,0.24796,7.658,1.1095,1,0.6579,-7.4421,0,0
6.8988,0.24961,7.6529,1.1093,1,0.731,-7.369,0,0
6.8953,0.25126,7.6478,1.1091,1,0.8041,-7.2959,0,0
6.8917,0.25291,7.6426,1.109,1,0.8772,-7.2228,0,0
6.8882,0.25456,7.6375,1.1088,1,0.9503,-7.1497,0,0
6.8839,0.25654,7.6312,1.1086,1,1.0234,-7.0766,0,0
6.878,0.25928,7.6223,1.1082,1,1.0965,-7.0035,0,0
6.8721,0.26201,7.6135,1.1079,1,1.1696,-6.9304,0,0
6.8662,0.26474,7.6046,1.1075,1,1.2427,-6.8573,0,0
6.8603,0.26748,7.5957,1.1072,1,1.3158,-6.7842,0,0
6.8544,0.27021,7.5869,1.1069,1,1.3889,-6.7111,0,0
6.8485,0.27294,7.578,1.1065,1,1.462,-6.638,0,0
6.8413,0.2763,7.5672,1.1061,1,1.5351,-6.5649,0,0
6.8323,0.28057,7.5537,1.1056,1,1.6082,-6.4918,0,0
6.8232,0.28485,7.5402,1.1051,1,1.6813,-6.4187,0,0
6.8142,0.28913,7.5266,1.1046,1,1.7544,-6.3456,0,0
6.8051,0.2934,7.5131,1.104,1,1.8275,-6.2725,0,0
