"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.721,0.26168,7.7755e+05,499.45,1,0,-8.1,0,0
37.709,0.26247,7.7734e+05,499.44,1,0.0731,-8.0269,0,0
37.697,0.26326,7.7714e+05,499.44,1,0.1462,-7.9538,0,0
37.685,0.26405,7.7693e+05,499.43,1,0.2193,-7.8807,0,0
37.673,0.26484,7.7672e+05,499.43,1,0.2924,-7.8076,0,0
37.661,0.26562,7.7652e+05,499.42,1,0.3655,-7.7345,0,0
37.649,0.26641,7.7631e+05,499.42,1,0.4386,-7.6614,0,0
37.635,0.26736,7.7608e+05,499.41,1,0.5117,-7.5883,0,0
37.613,0.26909,7.757e+05,499.4,1,0.5848,-7.5152,0,0
37.591,0.27082,7.7532e+05,499.39,1,0.6579,-7.4421,0,0
37.569,0.27256,7.7494e+05,499.39,1,0.731,-7.369,0,0
37.547,0.27429,7.7457e+05,499.38,1,0.8041,-7.2959,0,0
37.525,0.27602,7.7419e+05,499.37,1,0.8772,-7.2228,0,0
37.503,0.27775,7.7381e+05,499.36,1,0.9503,-7.1497,0,0
37.477,0.27988,7.7337e+05,499.35,1,1.0234,-7.0766,0,0
37.443,0.28292,7.7278e+05,499.33,1,1.0965,-7.0035,0,0
37.409,0.28595,7.7219e+05,499.32,1,1.1696,-6.9304,0,0
37.375,0.28899,7.716e+05,499.3,1,1.2427,-6.8573,0,0
37.34,0.29202,7.7101e+05,499.29,1,1.3158,-6.7842,0,0
37.306,0.29506,7.7043e+05,499.28,1,1.3889,-6.7111,0,0
37.272,0.29809,7.6984e+05,499.26,1,1.462,-6.638,0,0
37.226,0.3019,7.6904e+05,499.24,1,1.5351,-6.5649,0,0
37.162,0.30687,7.6794e+05,499.21,1,1.6082,-6.4918,0,0
37.098,0.31183,7.6683e+05,499.19,1,1.6813,-6.4187,0,0
37.034,0.31679,7.6573e+05,499.16,1,1.7544,-6.3456,0,0
36.97,0.32175,7.6462e+05,499.13,1,1.8275,-6.2725,0,0
36.906,0.32672,7.6352e+05,499.11,1,1.9006,-6.1994,0,0
36.842,0.33168,7.6241e+05,499.08,1,1.9737,-6.1263,0,0
36.765,0.33726,7.6108e+05,499.05,1,2.0468,-6.0532,0,0
36.672,0.34365,7.5947e+05,499.01,1,2.1199,-5.9801,0,0
36.579,0.35004,7.5785e+05,498.97,1,2.193,-5.907,0,0
36.486,0.35643,7.5624e+05,498.93,1,2.2661,-5.8339,0,0
36.393,0.36282,7.5462e+05,498.89,1,2.3392,-5.7608,0,0
36.3,0.36921,7.53e+05,498.85,1,2.4123,-5.6877,0,0
36.207,0.3756,7.5139e+05,498.81,1,2.4854,-5.6146,0,0
36.103,0.38249,7.4957e+05,498.76,1,2.5585,-5.5415,0,0
35.984,0.39006,7.475e+05,498.71,1,2.6316,-5.4684,0,0
35.865,0.39763,7.4542e+05,498.66,1,2.7047,-5.3953,0,0
35.746,0.4052,7.4334e+05,498.61,1,2.7778,-5.3222,0,0
35.628,0.41277,7.4127e+05,498.56,1,2.8509,-5.2491,0,0
35.509,0.42034,7.3919e+05,498.5,1,2.924,-5.176,0,0
35.39,0.42791,7.3712e+05,498.45,1,2.9971,-5.1029,0,0
35.257,0.43606,7.3478e+05,498.39,1,3.0702,-5.0298,0,0
35.101,0.44518,7.3202e+05,498.33,1,3.1433,-4.9567,0,0
34.944,0.45429,7.2926e+05,498.26,1,3.2164,-4.8836,0,0
34.788,0.46341,7.265e+05,498.19,1,3.2895,-4.8105,0,0
34.631,0.47252,7.2373e+05,498.12,1,3.3626,-4.7374,0,0
34.475,0.48164,7.2097e+05,498.05,1,3.4357,-4.6643,0,0
34.319,0.49075,7.1821e+05,497.98,1,3.5088,-4.5912,0,0
34.148,0.50033,7.1519e+05,497.9,1,3.5819,-4.5181,0,0
33.941,0.51113,7.1149e+05,497.81,1,3.655,-4.445,0,0
33.734,0.52193,7.0778e+05,497.71,1,3.7281,-4.3719,0,0
33.527,0.53272,7.0408e+05,497.62,1,3.8012,-4.2988,0,0
33.32,0.54352,7.0038e+05,497.52,1,3.8743,-4.2257,0,0
33.113,0.55432,6.9667e+05,497.43,1,3.9474,-4.1526,0,0
32.906,0.56512,6.9297e+05,497.33,1,4.0205,-4.0795,0,0
32.693,0.57608,6.8915e+05,497.23,1,4.0936,-4.0064,0,0
32.434,0.5883,6.8443e+05,497.11,1,4.1667,-3.9333,0,0
32.175,0.60052,6.7971e+05,496.99,1,4.2398,-3.8602,0,0
31.915,0.61274,6.7499e+05,496.86,1,4.3129,-3.7871,0,0
31.656,0.62495,6.7028e+05,496.74,1,4.386,-3.714,0,0
