"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.49338,0.58068,0.96019,1.6311,1,0,8,0,0
0.49326,0.56921,0.96001,1.6313,1,0.016,8,0.016,0
0.49314,0.55775,0.95982,1.6314,1,0.032,8,0.032,0
0.49301,0.54628,0.95963,1.6315,1,0.048,8,0.048,0
0.49289,0.53481,0.95945,1.6316,1,0.064,8,0.064,0
0.49276,0.52334,0.95926,1.6317,1,0.08,8,0.08,0
0.49233,0.50915,0.95845,1.6318,1,0.096,8,0.096,0
0.49136,0.49031,0.95659,1.6317,1,0.112,8,0.112,0
0.4904,0.47146,0.95472,1.6316,1,0.128,8,0.128,0
0.48943,0.45262,0.95285,1.6315,1,0.144,8,0.144,0
0.48846,0.43378,0.95098,1.6315,1,0.16,8,0.16,0
0.4875,0.41493,0.94912,1.6314,1,0.176,8,0.176,0
0.48653,0.39609,0.94725,1.6313,1,0.192,8,0.192,0
0.48557,0.37724,0.94538,1.6312,1,0.208,8,0.208,0
0.48437,0.38256,0.94305,1.6311,1,0.224,8,0.224,0
0.48307,0.39843,0.94051,1.6309,1,0.24,8,0.24,0
0.48178,0.41429,0.93797,1.6307,1,0.256,8,0.256,0
0.48048,0.43015,0.93543,1.6306,1,0.272,8,0.272,0
0.47919,0.44602,0.93289,1.6304,1,0.288,8,0.288,0
0.47789,0.46188,0.93036,1.6302,1,0.304,8,0.304,0
0.47659,0.47774,0.92782,1.6301,1,0.32,8,0.32,0
0.4753,0.49361,0.92528,1.6299,1,0.336,8,0.336,0
0.474,0.50947,0.92274,1.6297,1,0.352,8,0.352,0
0.47282,0.51707,0.92048,1.6296,1,0.368,8,0.368,0
0.4718,0.5138,0.91858,1.6297,1,0.384,8,0.384,0
0.47078,0.51053,0.91669,1.6297,1,0.4,8,0.4,0
0.46976,0.50726,0.91479,1.6297,1,0.416,8,0.416,0
0.4699,0.49463,0.91518,1.6299,1,0.432,8,0.432,0
0.4726,0.46149,0.92057,1.6305,1,0.448,8,0.448,0
0.4753,0.42834,0.92597,1.631,1,0.464,8,0.464,0
0.47682,0.42214,0.92896,1.6313,1,0.48,8,0.48,0
0.47702,0.44597,0.92929,1.6312,1,0.496,8,0.496,0
0.47723,0.4698,0.92961,1.6311,1,0.512,8,0.512,0
0.47743,0.49363,0.92994,1.631,1,0.528,8,0.528,0
0.47763,0.51746,0.93026,1.6309,1,0.544,8,0.544,0
0.47784,0.54129,0.93059,1.6308,1,0.56,8,0.56,0
0.47729,0.56728,0.9294,1.6306,1,0.576,8,0.576,0
0.47339,0.60284,0.92155,1.6296,1,0.592,8,0.592,0
0.46949,0.63839,0.9137,1.6286,1,0.608,8,0.608,0
0.46559,0.67394,0.90585,1.6277,1,0.624,8,0.624,0
0.46169,0.70949,0.898,1.6267,1,0.64,8,0.64,0
0.45779,0.74505,0.89015,1.6257,1,0.656,8,0.656,0
0.45389,0.7806,0.8823,1.6248,1,0.672,8,0.672,0
0.44963,0.81473,0.87377,1.6238,1,0.688,8,0.688,0
0.44438,0.84496,0.86337,1.6228,1,0.704,8,0.704,0
0.43913,0.87518,0.85298,1.6218,1,0.72,8,0.72,0
0.43388,0.90541,0.84258,1.6209,1,0.736,8,0.736,0
0.42864,0.93563,0.83218,1.6199,1,0.752,8,0.752,0
0.42339,0.96586,0.82179,1.6189,1,0.768,8,0.768,0
0.41814,0.99608,0.81139,1.618,1,0.784,8,0.784,0
0.4129,1.0263,0.801,1.617,1,0.8,8,0.8,0
0.40765,1.0565,0.7906,1.616,1,0.816,8,0.816,0
0.4024,1.0868,0.78021,1.615,1,0.832,8,0.832,0
0.39716,1.117,0.76981,1.6141,1,0.848,8,0.848,0
0.39103,1.1403,0.7578,1.6127,1,0.864,8,0.864,0
0.38431,1.1587,0.74465,1.611,1,0.88,8,0.88,0
0.37758,1.1772,0.7315,1.6093,1,0.896,8,0.896,0
0.37085,1.1956,0.71835,1.6076,1,0.912,8,0.912,0
0.36412,1.2141,0.70521,1.6058,1,0.928,8,0.928,0
0.3574,1.2325,0.69206,1.6041,1,0.944,8,0.944,0
0.35304,1.2546,0.68339,1.6031,1,0.96,8,0.96,0
0.3487,1.2766,0.67476,1.6021,1,0.976,8,0.976,0
0.34436,1.2987,0.66613,1.6011,1,0.992,8,0.992,0
0.34003,1.3208,0.65751,1.6002,1,1.008,8,1.008,0
0.33617,1.343,0.64979,1.5992,1,1.024,8,1.024,0
0.33272,1.3652,0.64285,1.5982,1,1.04,8,1.04,0
0.32928,1.3874,0.63592,1.5972,1,1.056,8,1.056,0
0.32583,1.4096,0.62899,1.5962,1,1.072,8,1.072,0
0.32239,1.4319,0.62206,1.5953,1,1.088,8,1.088,0
0.31894,1.4541,0.61513,1.5943,1,1.104,8,1.104,0
0.3155,1.4763,0.6082,1.5933,1,1.12,8,1.12,0
0.31205,1.4985,0.60126,1.5923,1,1.136,8,1.136,0
0.30861,1.5207,0.59433,1.5914,1,1.152,8,1.152,0
0.30547,1.5437,0.588,1.5904,1,1.168,8,1.168,0
0.30254,1.5671,0.58207,1.5895,1,1.184,8,1.184,0
0.2996,1.5906,0.57614,1.5886,1,1.2,8,1.2,0
0.29667,1.614,0.5702,1.5876,1,1.216,8,1.216,0
0.29374,1.6375,0.56427,1.5867,1,1.232,8,1.232,0
0.29081,1.6609,0.55834,1.5858,1,1.248,8,1.248,0
0.28773,1.6834,0.55211,1.5847,1,1.264,8,1.264,0
0.28446,1.7045,0.54546,1.5834,1,1.28,8,1.28,0
0.28118,1.7256,0.53881,1.5821,1,1.296,8,1.296,0
0.27791,1.7468,0.53217,1.5808,1,1.312,8,1.312,0
0.27464,1.7679,0.52552,1.5795,1,1.328,8,1.328,0
0.27137,1.789,0.51887,1.5782,1,1.344,8,1.344,0
0.26809,1.8101,0.51223,1.5769,1,1.36,8,1.36,0
0.26596,1.8274,0.5079,1.5756,1,1.376,8,1.376,0
0.26384,1.8447,0.50358,1.5744,1,1.392,8,1.392,0
0.26172,1.862,0.49927,1.5731,1,1.408,8,1.408,0
0.25959,1.8792,0.49496,1.5718,1,1.424,8,1.424,0
0.25747,1.8965,0.49065,1.5706,1,1.44,8,1.44,0
0.25534,1.9122,0.48633,1.5694,1,1.456,8,1.456,0
0.25321,1.9246,0.48202,1.5683,1,1.472,8,1.472,0
0.25107,1.9371,0.47771,1.5673,1,1.488,8,1.488,0
0.24894,1.9495,0.4734,1.5662,1,1.504,8,1.504,0
0.24683,1.962,0.46916,1.5652,1,1.52,8,1.52,0
0.24585,1.9746,0.46702,1.5642,1,1.536,8,1.536,0
0.24487,1.9871,0.46488,1.5632,1,1.552,8,1.552,0
0.24389,1.9997,0.46275,1.5622,1,1.568,8,1.568,0
0.24291,2.0123,0.46061,1.5612,1,1.584,8,1.584,0
0.24193,2.0248,0.45848,1.5602,1,1.6,8,1.6,0
0.24094,2.0374,0.45634,1.5592,1,1.616,8,1.616,0
0.23975,2.0491,0.45381,1.5582,1,1.632,8,1.632,0
0.23781,2.0579,0.4499,1.5573,1,1.648,8,1.648,0
0.23588,2.0668,0.44598,1.5565,1,1.664,8,1.664,0
0.23395,2.0756,0.44207,1.5556,1,1.68,8,1.68,0
0.23201,2.0845,0.43816,1.5547,1,1.696,8,1.696,0
0.23039,2.0923,0.43486,1.5539,1,1.712,8,1.712,0
0.23239,2.0896,0.43864,1.5541,1,1.728,8,1.728,0
0.23531,2.0848,0.44419,1.5545,1,1.744,8,1.744,0
0.23823,2.0801,0.44974,1.555,1,1.76,8,1.76,0
0.24115,2.0753,0.45529,1.5554,1,1.776,8,1.776,0
0.24407,2.0706,0.46084,1.5558,1,1.792,8,1.792,0
0.24699,2.0658,0.46639,1.5562,1,1.808,8,1.808,0
0.24908,2.0632,0.47033,1.5565,1,1.824,8,1.824,0
0.25113,2.0608,0.47418,1.5568,1,1.84,8,1.84,0
0.25317,2.0584,0.47803,1.5571,1,1.856,8,1.856,0
0.25521,2.0559,0.48188,1.5574,1,1.872,8,1.872,0
0.25725,2.0535,0.48573,1.5577,1,1.888,8,1.888,0
0.25929,2.0511,0.48958,1.558,1,1.904,8,1.904,0
0.26134,2.0486,0.49343,1.5583,1,1.92,8,1.92,0
0.26405,2.0468,0.49854,1.5585,1,1.936,8,1.936,0
0.26692,2.0451,0.50393,1.5587,1,1.952,8,1.952,0
0.2698,2.0434,0.50933,1.559,1,1.968,8,1.968,0
0.27267,2.0417,0.51473,1.5592,1,1.984,8,1.984,0
0.27324,2.0438,0.51573,1.5591,1,2,8,2,0
0.27348,2.0464,0.5161,1.559,1,2.016,8,2.016,0
0.27371,2.0491,0.51646,1.5588,1,2.032,8,2.032,0
0.27504,2.0493,0.51892,1.5589,1,2.048,8,2.048,0
0.27845,2.045,0.52538,1.5594,1,2.064,8,2.064,0
0.28187,2.0407,0.53185,1.5599,1,2.08,8,2.08,0
0.28529,2.0364,0.53832,1.5604,1,2.096,8,2.096,0
0.2887,2.0321,0.54479,1.5609,1,2.112,8,2.112,0
0.29212,2.0277,0.55125,1.5613,1,2.128,8,2.128,0
0.29554,2.0234,0.55772,1.5618,1,2.144,8,2.144,0
0.29896,2.0191,0.56419,1.5623,1,2.16,8,2.16,0
0.30237,2.0148,0.57066,1.5628,1,2.176,8,2.176,0
0.3052,2.0118,0.57598,1.5631,1,2.192,8,2.192,0
0.30778,2.0094,0.58082,1.5634,1,2.208,8,2.208,0
0.31035,2.007,0.58566,1.5637,1,2.224,8,2.224,0
0.31293,2.0046,0.5905,1.5639,1,2.24,8,2.24,0
0.31551,2.0022,0.59534,1.5642,1,2.256,8,2.256,0
0.31808,1.9998,0.60018,1.5645,1,2.272,8,2.272,0
0.32066,1.9974,0.60501,1.5647,1,2.288,8,2.288,0
0.32324,1.9951,0.60985,1.565,1,2.304,8,2.304,0
0.32582,1.9927,0.61469,1.5653,1,2.32,8,2.32,0
0.32839,1.9903,0.61953,1.5655,1,2.336,8,2.336,0
0.3315,1.9866,0.62537,1.5659,1,2.352,8,2.352,0
0.33526,1.9812,0.63246,1.5663,1,2.368,8,2.368,0
0.33903,1.9759,0.63955,1.5667,1,2.384,8,2.384,0
0.3428,1.9706,0.64664,1.5672,1,2.4,8,2.4,0
0.34656,1.9653,0.65373,1.5676,1,2.416,8,2.416,0
0.34897,1.9631,0.65822,1.5678,1,2.432,8,2.432,0
0.35115,1.9614,0.66228,1.568,1,2.448,8,2.448,0
0.35333,1.9597,0.66634,1.5681,1,2.464,8,2.464,0
0.35551,1.958,0.6704,1.5683,1,2.48,8,2.48,0
0.35768,1.9563,0.67445,1.5684,1,2.496,8,2.496,0
0.35967,1.9551,0.67815,1.5686,1,2.512,8,2.512,0
0.36164,1.9538,0.68181,1.5687,1,2.528,8,2.528,0
0.3636,1.9526,0.68547,1.5689,1,2.544,8,2.544,0
0.36557,1.9513,0.68913,1.569,1,2.56,8,2.56,0
0.36754,1.9501,0.69279,1.5691,1,2.576,8,2.576,0
0.3695,1.9488,0.69644,1.5693,1,2.592,8,2.592,0
0.37147,1.9476,0.7001,1.5694,1,2.608,8,2.608,0
0.37344,1.9464,0.70376,1.5695,1,2.624,8,2.624,0
0.37525,1.9451,0.70712,1.5697,1,2.64,8,2.64,0
0.37687,1.9438,0.71013,1.5698,1,2.656,8,2.656,0
0.37849,1.9425,0.71314,1.5699,1,2.672,8,2.672,0
0.38011,1.9412,0.71615,1.57,1,2.688,8,2.688,0
0.38173,1.9399,0.71917,1.5701,1,2.704,8,2.704,0
0.38335,1.9387,0.72218,1.5702,1,2.72,8,2.72,0
0.38522,1.9369,0.72566,1.5704,1,2.736,8,2.736,0
0.38727,1.9347,0.72949,1.5706,1,2.752,8,2.752,0
0.38933,1.9325,0.73332,1.5707,1,2.768,8,2.768,0
0.39138,1.9303,0.73715,1.5709,1,2.784,8,2.784,0
0.39343,1.9281,0.74098,1.5711,1,2.8,8,2.8,0
0.39546,1.926,0.74476,1.5713,1,2.816,8,2.816,0
