"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.739,0.2593,7.7786e+05,499.46,1,0,-8.1,0,0
37.735,0.25977,7.7779e+05,499.45,1,0.0731,-8.0269,0,0
37.729,0.26055,7.7768e+05,499.45,1,0.1462,-7.9538,0,0
37.722,0.26126,7.7757e+05,499.45,1,0.2193,-7.8807,0,0
37.713,0.2621,7.7742e+05,499.45,1,0.2924,-7.8076,0,0
37.704,0.26301,7.7726e+05,499.44,1,0.3655,-7.7345,0,0
37.686,0.26397,7.7696e+05,499.43,1,0.4386,-7.6614,0,0
37.668,0.26502,7.7664e+05,499.43,1,0.5117,-7.5883,0,0
37.653,0.26649,7.7638e+05,499.42,1,0.5848,-7.5152,0,0
37.638,0.26797,7.7612e+05,499.41,1,0.6579,-7.4421,0,0
37.622,0.26944,7.7586e+05,499.41,1,0.731,-7.369,0,0
37.6,0.27135,7.7548e+05,499.4,1,0.8041,-7.2959,0,0
37.575,0.27341,7.7505e+05,499.39,1,0.8772,-7.2228,0,0
37.55,0.27547,7.7462e+05,499.38,1,0.9503,-7.1497,0,0
37.523,0.27777,7.7415e+05,499.37,1,1.0234,-7.0766,0,0
37.49,0.28062,7.7359e+05,499.35,1,1.0965,-7.0035,0,0
37.458,0.28347,7.7303e+05,499.34,1,1.1696,-6.9304,0,0
37.425,0.28631,7.7247e+05,499.32,1,1.2427,-6.8573,0,0
37.384,0.28969,7.7176e+05,499.31,1,1.3158,-6.7842,0,0
37.34,0.29316,7.7101e+05,499.29,1,1.3889,-6.7111,0,0
37.297,0.29663,7.7026e+05,499.27,1,1.462,-6.638,0,0
37.25,0.30048,7.6946e+05,499.25,1,1.5351,-6.5649,0,0
37.198,0.30489,7.6857e+05,499.23,1,1.6082,-6.4918,0,0
37.147,0.3093,7.6767e+05,499.21,1,1.6813,-6.4187,0,0
37.095,0.31371,7.6678e+05,499.18,1,1.7544,-6.3456,0,0
37.025,0.31863,7.6557e+05,499.15,1,1.8275,-6.2725,0,0
36.954,0.3236,7.6434e+05,499.12,1,1.9006,-6.1994,0,0
36.882,0.32856,7.6311e+05,499.09,1,1.9737,-6.1263,0,0
36.81,0.33408,7.6186e+05,499.06,1,2.0468,-6.0532,0,0
36.736,0.34032,7.6058e+05,499.03,1,2.1199,-5.9801,0,0
36.662,0.34656,7.593e+05,499,1,2.193,-5.907,0,0
36.588,0.3528,7.5802e+05,498.97,1,2.2661,-5.8339,0,0
36.486,0.35977,7.5624e+05,498.92,1,2.3392,-5.7608,0,0
36.382,0.3668,7.5443e+05,498.88,1,2.4123,-5.6877,0,0
36.277,0.37382,7.5261e+05,498.84,1,2.4854,-5.6146,0,0
36.171,0.38057,7.5076e+05,498.79,1,2.5585,-5.5415,0,0
36.062,0.38696,7.4887e+05,498.74,1,2.6316,-5.4684,0,0
35.954,0.39335,7.4697e+05,498.7,1,2.7047,-5.3953,0,0
35.845,0.39973,7.4508e+05,498.65,1,2.7778,-5.3222,0,0
35.742,0.407,7.4328e+05,498.6,1,2.8509,-5.2491,0,0
35.639,0.41436,7.4149e+05,498.56,1,2.924,-5.176,0,0
35.537,0.42173,7.3969e+05,498.52,1,2.9971,-5.1029,0,0
35.419,0.42968,7.3762e+05,498.46,1,3.0702,-5.0298,0,0
35.275,0.43861,7.3509e+05,498.4,1,3.1433,-4.9567,0,0
35.131,0.44755,7.3256e+05,498.34,1,3.2164,-4.8836,0,0
34.987,0.45648,7.3003e+05,498.28,1,3.2895,-4.8105,0,0
34.823,0.46596,7.2714e+05,498.2,1,3.3626,-4.7374,0,0
34.654,0.4756,7.2415e+05,498.13,1,3.4357,-4.6643,0,0
34.477,0.48593,7.2102e+05,498.05,1,3.5088,-4.5912,0,0
34.292,0.49685,7.1773e+05,497.96,1,3.5819,-4.5181,0,0
34.086,0.5093,7.1407e+05,497.87,1,3.655,-4.445,0,0
33.858,0.52263,7.1002e+05,497.76,1,3.7281,-4.3719,0,0
33.607,0.53691,7.0554e+05,497.65,1,3.8012,-4.2988,0,0
33.337,0.55102,7.007e+05,497.53,1,3.8743,-4.2257,0,0
33.057,0.56506,6.957e+05,497.4,1,3.9474,-4.1526,0,0
32.744,0.57618,6.9007e+05,497.26,1,4.0205,-4.0795,0,0
32.435,0.58712,6.8452e+05,497.12,1,4.0936,-4.0064,0,0
32.182,0.59884,6.799e+05,497,1,4.1667,-3.9333,0,0
31.929,0.61057,6.7528e+05,496.88,1,4.2398,-3.8602,0,0
31.677,0.62229,6.7067e+05,496.75,1,4.3129,-3.7871,0,0
31.424,0.63401,6.6605e+05,496.63,1,4.386,-3.714,0,0
31.171,0.64574,6.6144e+05,496.5,1,4.4591,-3.6409,0,0
30.918,0.65746,6.5682e+05,496.38,1,4.5322,-3.5678,0,0
30.665,0.66918,6.522e+05,496.26,1,4.6053,-3.4947,0,0
30.373,0.68193,6.4678e+05,496.11,1,4.6784,-3.4216,0,0
30.078,0.69477,6.4129e+05,495.96,1,4.7515,-3.3485,0,0
29.783,0.7076,6.358e+05,495.8,1,4.8246,-3.2754,0,0
29.488,0.72044,6.3031e+05,495.65,1,4.8977,-3.2023,0,0
29.193,0.73327,6.2482e+05,495.5,1,4.9708,-3.1292,0,0
28.898,0.74611,6.1933e+05,495.35,1,5.0439,-3.0561,0,0
28.603,0.75894,6.1384e+05,495.2,1,5.117,-2.983,0,0
28.276,0.77253,6.0767e+05,495.02,1,5.1901,-2.9099,0,0
27.936,0.78646,6.0118e+05,494.83,1,5.2632,-2.8368,0,0
27.595,0.80039,5.9469e+05,494.64,1,5.3363,-2.7637,0,0
27.254,0.81432,5.882e+05,494.45,1,5.4094,-2.6906,0,0
26.913,0.82825,5.8171e+05,494.26,1,5.4825,-2.6175,0,0
26.572,0.84219,5.7522e+05,494.07,1,5.5556,-2.5444,0,0
26.232,0.85612,5.6873e+05,493.88,1,5.6287,-2.4713,0,0
25.88,0.87032,5.6197e+05,493.68,1,5.7018,-2.3982,0,0
25.509,0.88496,5.5474e+05,493.47,1,5.7749,-2.3251,0,0
25.139,0.89961,5.4752e+05,493.25,1,5.848,-2.252,0,0
24.769,0.91426,5.403e+05,493.04,1,5.9211,-2.1789,0,0
24.398,0.92891,5.3307e+05,492.82,1,5.9942,-2.1058,0,0
24.028,0.94355,5.2585e+05,492.61,1,6.0673,-2.0327,0,0
