"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.716,0.26242,7.7747e+05,499.45,1,0,-8.1,0,0
37.707,0.26311,7.7731e+05,499.44,1,0.0731,-8.0269,0,0
37.698,0.2638,7.7716e+05,499.44,1,0.1462,-7.9538,0,0
37.689,0.2645,7.77e+05,499.44,1,0.2193,-7.8807,0,0
37.68,0.26519,7.7685e+05,499.43,1,0.2924,-7.8076,0,0
37.671,0.26588,7.7669e+05,499.43,1,0.3655,-7.7345,0,0
37.662,0.26657,7.7654e+05,499.42,1,0.4386,-7.6614,0,0
37.651,0.26736,7.7635e+05,499.42,1,0.5117,-7.5883,0,0
37.633,0.26867,7.7604e+05,499.41,1,0.5848,-7.5152,0,0
37.615,0.26999,7.7573e+05,499.4,1,0.6579,-7.4421,0,0
37.597,0.2713,7.7542e+05,499.4,1,0.731,-7.369,0,0
37.574,0.27332,7.7503e+05,499.39,1,0.8041,-7.2959,0,0
37.55,0.27559,7.7461e+05,499.38,1,0.8772,-7.2228,0,0
37.525,0.27786,7.7419e+05,499.37,1,0.9503,-7.1497,0,0
37.497,0.28036,7.7371e+05,499.35,1,1.0234,-7.0766,0,0
37.46,0.28337,7.7307e+05,499.34,1,1.0965,-7.0035,0,0
37.423,0.28639,7.7243e+05,499.32,1,1.1696,-6.9304,0,0
37.385,0.2894,7.7178e+05,499.31,1,1.2427,-6.8573,0,0
37.343,0.2929,7.7105e+05,499.29,1,1.3158,-6.7842,0,0
37.3,0.29649,7.7031e+05,499.27,1,1.3889,-6.7111,0,0
37.257,0.30008,7.6957e+05,499.25,1,1.462,-6.638,0,0
37.21,0.30392,7.6876e+05,499.23,1,1.5351,-6.5649,0,0
37.157,0.30814,7.6786e+05,499.21,1,1.6082,-6.4918,0,0
37.105,0.31236,7.6695e+05,499.19,1,1.6813,-6.4187,0,0
37.053,0.31658,7.6605e+05,499.17,1,1.7544,-6.3456,0,0
36.991,0.32139,7.6498e+05,499.14,1,1.8275,-6.2725,0,0
36.928,0.32626,7.6389e+05,499.11,1,1.9006,-6.1994,0,0
36.865,0.33112,7.628e+05,499.08,1,1.9737,-6.1263,0,0
36.797,0.33626,7.6163e+05,499.06,1,2.0468,-6.0532,0,0
36.724,0.34175,7.6037e+05,499.02,1,2.1199,-5.9801,0,0
36.651,0.34724,7.591e+05,498.99,1,2.193,-5.907,0,0
36.579,0.35273,7.5784e+05,498.96,1,2.2661,-5.8339,0,0
36.494,0.35852,7.5638e+05,498.93,1,2.3392,-5.7608,0,0
36.409,0.36433,7.549e+05,498.89,1,2.4123,-5.6877,0,0
36.324,0.37013,7.5342e+05,498.85,1,2.4854,-5.6146,0,0
36.243,0.37627,7.5201e+05,498.82,1,2.5585,-5.5415,0,0
36.169,0.38285,7.5072e+05,498.78,1,2.6316,-5.4684,0,0
36.066,0.39037,7.4893e+05,498.74,1,2.7047,-5.3953,0,0
35.95,0.39837,7.469e+05,498.69,1,2.7778,-5.3222,0,0
35.812,0.40738,7.4448e+05,498.63,1,2.8509,-5.2491,0,0
35.671,0.41643,7.4203e+05,498.57,1,2.924,-5.176,0,0
35.534,0.42505,7.3961e+05,498.51,1,2.9971,-5.1029,0,0
35.395,0.43372,7.3718e+05,498.44,1,3.0702,-5.0298,0,0
35.256,0.44247,7.3473e+05,498.38,1,3.1433,-4.9567,0,0
35.108,0.45151,7.3214e+05,498.32,1,3.2164,-4.8836,0,0
34.956,0.46075,7.2945e+05,498.25,1,3.2895,-4.8105,0,0
34.792,0.47036,7.2655e+05,498.17,1,3.3626,-4.7374,0,0
34.625,0.48006,7.2361e+05,498.1,1,3.4357,-4.6643,0,0
34.448,0.4901,7.2047e+05,498.02,1,3.5088,-4.5912,0,0
34.268,0.5002,7.1727e+05,497.94,1,3.5819,-4.5181,0,0
34.079,0.51043,7.1391e+05,497.85,1,3.655,-4.445,0,0
33.887,0.52071,7.105e+05,497.76,1,3.7281,-4.3719,0,0
33.693,0.53104,7.0704e+05,497.67,1,3.8012,-4.2988,0,0
33.491,0.54206,7.0343e+05,497.58,1,3.8743,-4.2257,0,0
33.286,0.55339,6.9975e+05,497.48,1,3.9474,-4.1526,0,0
33.056,0.5651,6.9562e+05,497.38,1,4.0205,-4.0795,0,0
32.819,0.57654,6.9135e+05,497.26,1,4.0936,-4.0064,0,0
32.588,0.58826,6.8719e+05,497.15,1,4.1667,-3.9333,0,0
32.338,0.60061,6.8266e+05,497.03,1,4.2398,-3.8602,0,0
