"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13413,2.4119,0.25124,1.5299,1,0,8,0,0
0.13378,2.4119,0.25058,1.5298,1,0.016,8,0.016,0
0.13346,2.4119,0.24995,1.5297,1,0.032,8,0.032,0
0.13318,2.4119,0.24942,1.5296,1,0.048,8,0.048,0
0.1329,2.4119,0.24889,1.5295,1,0.064,8,0.064,0
0.13263,2.4119,0.24835,1.5293,1,0.08,8,0.08,0
0.13235,2.412,0.24782,1.5292,1,0.096,8,0.096,0
0.13207,2.412,0.24729,1.5291,1,0.112,8,0.112,0
0.13179,2.412,0.24676,1.529,1,0.128,8,0.128,0
0.13169,2.4117,0.24656,1.529,1,0.144,8,0.144,0
0.13163,2.4113,0.24644,1.5289,1,0.16,8,0.16,0
0.13157,2.4109,0.24633,1.5289,1,0.176,8,0.176,0
0.13157,2.4106,0.24631,1.5288,1,0.192,8,0.192,0
0.1316,2.4102,0.24636,1.5288,1,0.208,8,0.208,0
0.13163,2.4099,0.24642,1.5288,1,0.224,8,0.224,0
0.13166,2.4096,0.24648,1.5288,1,0.24,8,0.24,0
0.13168,2.4094,0.2465,1.5288,1,0.256,8,0.256,0
0.13169,2.4092,0.24652,1.5287,1,0.272,8,0.272,0
0.13172,2.409,0.24657,1.5287,1,0.288,8,0.288,0
0.13179,2.4088,0.2467,1.5287,1,0.304,8,0.304,0
0.13186,2.4085,0.24684,1.5287,1,0.32,8,0.32,0
0.13194,2.4082,0.24698,1.5287,1,0.336,8,0.336,0
0.13203,2.408,0.24714,1.5287,1,0.352,8,0.352,0
0.13211,2.4078,0.2473,1.5287,1,0.368,8,0.368,0
0.1322,2.4077,0.24746,1.5287,1,0.384,8,0.384,0
0.13228,2.4075,0.24762,1.5287,1,0.4,8,0.4,0
0.13236,2.4074,0.24776,1.5287,1,0.416,8,0.416,0
0.13243,2.4073,0.24789,1.5287,1,0.432,8,0.432,0
0.1325,2.4073,0.24802,1.5287,1,0.448,8,0.448,0
0.13258,2.4072,0.24816,1.5287,1,0.464,8,0.464,0
0.13263,2.4072,0.24826,1.5287,1,0.48,8,0.48,0
0.13267,2.4073,0.24833,1.5287,1,0.496,8,0.496,0
0.13271,2.4074,0.2484,1.5287,1,0.512,8,0.512,0
0.13275,2.4074,0.24847,1.5287,1,0.528,8,0.528,0
0.13279,2.4075,0.24854,1.5287,1,0.544,8,0.544,0
0.13279,2.4077,0.24855,1.5287,1,0.56,8,0.56,0
0.1328,2.4079,0.24856,1.5287,1,0.576,8,0.576,0
0.13281,2.4081,0.24857,1.5287,1,0.592,8,0.592,0
0.13282,2.4082,0.24859,1.5286,1,0.608,8,0.608,0
0.13281,2.4084,0.24858,1.5286,1,0.624,8,0.624,0
0.13278,2.4087,0.24851,1.5286,1,0.64,8,0.64,0
0.13275,2.4089,0.24845,1.5286,1,0.656,8,0.656,0
0.13272,2.4092,0.2484,1.5286,1,0.672,8,0.672,0
0.13269,2.4094,0.24834,1.5285,1,0.688,8,0.688,0
0.13263,2.4097,0.24822,1.5285,1,0.704,8,0.704,0
0.13256,2.4099,0.2481,1.5285,1,0.72,8,0.72,0
0.1325,2.4102,0.24798,1.5285,1,0.736,8,0.736,0
0.13244,2.4105,0.24785,1.5284,1,0.752,8,0.752,0
0.13236,2.4108,0.24771,1.5284,1,0.768,8,0.768,0
0.13229,2.4111,0.24757,1.5284,1,0.784,8,0.784,0
0.13222,2.4114,0.24743,1.5283,1,0.8,8,0.8,0
0.13214,2.4117,0.24729,1.5283,1,0.816,8,0.816,0
0.13207,2.4121,0.24714,1.5283,1,0.832,8,0.832,0
0.13199,2.4124,0.247,1.5283,1,0.848,8,0.848,0
0.13191,2.4127,0.24685,1.5282,1,0.864,8,0.864,0
0.13183,2.413,0.24669,1.5282,1,0.88,8,0.88,0
0.13175,2.4134,0.24653,1.5282,1,0.896,8,0.896,0
0.13166,2.4137,0.24637,1.5281,1,0.912,8,0.912,0
0.13158,2.414,0.24621,1.5281,1,0.928,8,0.928,0
0.13149,2.4143,0.24604,1.5281,1,0.944,8,0.944,0
0.1314,2.4147,0.24587,1.5281,1,0.96,8,0.96,0
0.1313,2.415,0.24569,1.528,1,0.976,8,0.976,0
0.13121,2.4154,0.24551,1.528,1,0.992,8,0.992,0
0.13111,2.4158,0.24533,1.528,1,1.008,8,1.008,0
0.13101,2.4161,0.24514,1.5279,1,1.024,8,1.024,0
0.13091,2.4165,0.24495,1.5279,1,1.04,8,1.04,0
0.13081,2.4169,0.24475,1.5279,1,1.056,8,1.056,0
0.1307,2.4173,0.24455,1.5278,1,1.072,8,1.072,0
0.1306,2.4176,0.24436,1.5278,1,1.088,8,1.088,0
0.1305,2.418,0.24416,1.5278,1,1.104,8,1.104,0
0.13039,2.4184,0.24396,1.5277,1,1.12,8,1.12,0
0.13029,2.4188,0.24376,1.5277,1,1.136,8,1.136,0
0.13018,2.4192,0.24356,1.5277,1,1.152,8,1.152,0
0.13007,2.4196,0.24335,1.5276,1,1.168,8,1.168,0
0.12996,2.42,0.24314,1.5276,1,1.184,8,1.184,0
0.12986,2.4203,0.24295,1.5276,1,1.2,8,1.2,0
0.12976,2.4207,0.24275,1.5276,1,1.216,8,1.216,0
0.12965,2.4211,0.24255,1.5275,1,1.232,8,1.232,0
0.12955,2.4214,0.24236,1.5275,1,1.248,8,1.248,0
0.12945,2.4218,0.24217,1.5275,1,1.264,8,1.264,0
0.12935,2.4221,0.24198,1.5274,1,1.28,8,1.28,0
0.12926,2.4224,0.2418,1.5274,1,1.296,8,1.296,0
0.12916,2.4227,0.24162,1.5274,1,1.312,8,1.312,0
0.12907,2.423,0.24145,1.5273,1,1.328,8,1.328,0
0.12899,2.4233,0.24129,1.5273,1,1.344,8,1.344,0
0.1289,2.4236,0.24112,1.5273,1,1.36,8,1.36,0
0.12882,2.4239,0.24096,1.5273,1,1.376,8,1.376,0
0.12873,2.4242,0.24081,1.5272,1,1.392,8,1.392,0
0.12865,2.4244,0.24065,1.5272,1,1.408,8,1.408,0
0.12857,2.4247,0.24049,1.5272,1,1.424,8,1.424,0
0.12848,2.425,0.24034,1.5272,1,1.44,8,1.44,0
0.1284,2.4253,0.24018,1.5271,1,1.456,8,1.456,0
0.12831,2.4256,0.24001,1.5271,1,1.472,8,1.472,0
0.12823,2.4259,0.23985,1.5271,1,1.488,8,1.488,0
0.12814,2.4262,0.23968,1.5271,1,1.504,8,1.504,0
0.12804,2.4266,0.2395,1.527,1,1.52,8,1.52,0
0.12794,2.427,0.23931,1.527,1,1.536,8,1.536,0
0.12784,2.4274,0.23912,1.527,1,1.552,8,1.552,0
0.12774,2.4278,0.23892,1.5269,1,1.568,8,1.568,0
0.12764,2.4282,0.23873,1.5269,1,1.584,8,1.584,0
0.12753,2.4287,0.23852,1.5269,1,1.6,8,1.6,0
0.12741,2.4291,0.2383,1.5268,1,1.616,8,1.616,0
0.1273,2.4296,0.23808,1.5268,1,1.632,8,1.632,0
0.12717,2.4301,0.23784,1.5268,1,1.648,8,1.648,0
0.12704,2.4307,0.23759,1.5267,1,1.664,8,1.664,0
0.12689,2.4313,0.2373,1.5267,1,1.68,8,1.68,0
0.12671,2.4321,0.23697,1.5266,1,1.696,8,1.696,0
0.12651,2.4329,0.23658,1.5266,1,1.712,8,1.712,0
0.12627,2.4339,0.23613,1.5265,1,1.728,8,1.728,0
0.12601,2.435,0.23563,1.5264,1,1.744,8,1.744,0
0.12575,2.436,0.23514,1.5263,1,1.76,8,1.76,0
0.12549,2.4369,0.23465,1.5262,1,1.776,8,1.776,0
0.12539,2.4373,0.23446,1.5262,1,1.792,8,1.792,0
0.12548,2.4369,0.23462,1.5262,1,1.808,8,1.808,0
0.12573,2.436,0.2351,1.5263,1,1.824,8,1.824,0
0.12607,2.4349,0.23576,1.5264,1,1.84,8,1.84,0
0.12679,2.4325,0.23712,1.5267,1,1.856,8,1.856,0
0.12755,2.4299,0.23856,1.5269,1,1.872,8,1.872,0
0.12832,2.4273,0.24002,1.5271,1,1.888,8,1.888,0
0.12998,2.4221,0.24319,1.5277,1,1.904,8,1.904,0
0.13203,2.4151,0.24708,1.5283,1,1.92,8,1.92,0
0.13524,2.4047,0.25318,1.5293,1,1.936,8,1.936,0
0.13931,2.3923,0.26093,1.5306,1,1.952,8,1.952,0
0.14582,2.3736,0.27333,1.5325,1,1.968,8,1.968,0
0.15388,2.3526,0.28866,1.5348,1,1.984,8,1.984,0
0.16395,2.3282,0.30786,1.5375,1,2,8,2,0
0.17692,2.3014,0.33256,1.5408,1,2.016,8,2.016,0
0.19275,2.2723,0.36271,1.5445,1,2.032,8,2.032,0
0.2128,2.243,0.40089,1.5487,1,2.048,8,2.048,0
0.23262,2.2189,0.43858,1.5524,1,2.064,8,2.064,0
0.24941,2.199,0.47047,1.5554,1,2.08,8,2.08,0
0.25992,2.1842,0.49041,1.5571,1,2.096,8,2.096,0
0.26523,2.1733,0.50047,1.5579,1,2.112,8,2.112,0
0.26744,2.1654,0.50466,1.5582,1,2.128,8,2.128,0
0.26757,2.1617,0.50489,1.5582,1,2.144,8,2.144,0
0.26699,2.1605,0.50379,1.5581,1,2.16,8,2.16,0
0.26614,2.1613,0.50217,1.5579,1,2.176,8,2.176,0
0.26537,2.1621,0.5007,1.5578,1,2.192,8,2.192,0
0.26461,2.162,0.49926,1.5577,1,2.208,8,2.208,0
0.26369,2.1617,0.49752,1.5576,1,2.224,8,2.224,0
0.26258,2.162,0.49543,1.5574,1,2.24,8,2.24,0
0.26149,2.1628,0.49336,1.5572,1,2.256,8,2.256,0
0.26039,2.164,0.49127,1.557,1,2.272,8,2.272,0
0.25953,2.1648,0.48962,1.5569,1,2.288,8,2.288,0
0.25901,2.1651,0.48864,1.5568,1,2.304,8,2.304,0
0.25872,2.1653,0.48808,1.5567,1,2.32,8,2.32,0
0.25867,2.1651,0.48798,1.5567,1,2.336,8,2.336,0
0.25889,2.1649,0.4884,1.5567,1,2.352,8,2.352,0
0.25962,2.164,0.48976,1.5568,1,2.368,8,2.368,0
0.26089,2.1632,0.49216,1.557,1,2.384,8,2.384,0
0.26223,2.1627,0.49469,1.5571,1,2.4,8,2.4,0
0.26388,2.1627,0.49779,1.5573,1,2.416,8,2.416,0
0.26579,2.1624,0.5014,1.5575,1,2.432,8,2.432,0
0.26805,2.1624,0.50565,1.5578,1,2.448,8,2.448,0
0.27031,2.1623,0.5099,1.5581,1,2.464,8,2.464,0
0.27258,2.1623,0.51418,1.5583,1,2.48,8,2.48,0
0.27485,2.1621,0.51844,1.5586,1,2.496,8,2.496,0
0.27715,2.1618,0.52278,1.5589,1,2.512,8,2.512,0
0.27946,2.1614,0.52713,1.5591,1,2.528,8,2.528,0
0.28179,2.1608,0.53153,1.5594,1,2.544,8,2.544,0
0.28407,2.1604,0.53582,1.5597,1,2.56,8,2.56,0
0.28634,2.1599,0.5401,1.56,1,2.576,8,2.576,0
0.28858,2.1589,0.54435,1.5603,1,2.592,8,2.592,0
0.29083,2.158,0.54861,1.5606,1,2.608,8,2.608,0
0.29313,2.1561,0.55296,1.561,1,2.624,8,2.624,0
0.29543,2.1541,0.55732,1.5613,1,2.64,8,2.64,0
0.29773,2.1521,0.56167,1.5616,1,2.656,8,2.656,0
0.29998,2.1497,0.56593,1.562,1,2.672,8,2.672,0
0.30226,2.1468,0.57025,1.5623,1,2.688,8,2.688,0
0.30458,2.1438,0.57464,1.5626,1,2.704,8,2.704,0
0.30694,2.1408,0.57911,1.563,1,2.72,8,2.72,0
0.30975,2.1368,0.58441,1.5634,1,2.736,8,2.736,0
0.31258,2.1325,0.58978,1.5637,1,2.752,8,2.752,0
0.31542,2.1282,0.59514,1.5641,1,2.768,8,2.768,0
0.31825,2.1239,0.6005,1.5645,1,2.784,8,2.784,0
0.32173,2.1183,0.60708,1.565,1,2.8,8,2.8,0
0.32525,2.1124,0.61373,1.5654,1,2.816,8,2.816,0
0.32871,2.1065,0.62027,1.5659,1,2.832,8,2.832,0
0.33303,2.0991,0.62844,1.5665,1,2.848,8,2.848,0
0.33871,2.0897,0.63916,1.5672,1,2.864,8,2.864,0
0.344,2.0806,0.64914,1.5678,1,2.88,8,2.88,0
0.34886,2.0721,0.65832,1.5684,1,2.896,8,2.896,0
0.35577,2.0609,0.67134,1.5693,1,2.912,8,2.912,0
0.36327,2.0486,0.68548,1.5702,1,2.928,8,2.928,0
0.37114,2.0356,0.7003,1.5711,1,2.944,8,2.944,0
0.37814,2.0235,0.71348,1.5719,1,2.96,8,2.96,0
0.38373,2.0137,0.72399,1.5725,1,2.976,8,2.976,0
0.38815,2.0057,0.73231,1.573,1,2.992,8,2.992,0
0.39136,1.9991,0.73836,1.5734,1,3.008,8,3.008,0
0.39332,1.9939,0.74204,1.5736,1,3.024,8,3.024,0
0.39509,1.9889,0.74537,1.5738,1,3.04,8,3.04,0
0.3962,1.9853,0.74746,1.5739,1,3.056,8,3.056,0
0.39719,1.9819,0.74932,1.574,1,3.072,8,3.072,0
0.39816,1.9786,0.75113,1.5741,1,3.088,8,3.088,0
0.3987,1.9757,0.75214,1.5741,1,3.104,8,3.104,0
0.39906,1.9725,0.75279,1.5742,1,3.12,8,3.12,0
0.39933,1.9695,0.7533,1.5742,1,3.136,8,3.136,0
0.39956,1.9664,0.75371,1.5742,1,3.152,8,3.152,0
0.39985,1.9639,0.75424,1.5742,1,3.168,8,3.168,0
0.40066,1.9614,0.75573,1.5742,1,3.184,8,3.184,0
0.4015,1.9591,0.75729,1.5743,1,3.2,8,3.2,0
0.40238,1.9566,0.75892,1.5743,1,3.216,8,3.216,0
0.40357,1.9535,0.76115,1.5744,1,3.232,8,3.232,0
0.4051,1.9502,0.76401,1.5745,1,3.248,8,3.248,0
0.40678,1.9466,0.76714,1.5747,1,3.264,8,3.264,0
0.4087,1.9427,0.77073,1.5749,1,3.28,8,3.28,0
0.41062,1.9388,0.77432,1.575,1,3.296,8,3.296,0
0.41263,1.9348,0.77809,1.5752,1,3.312,8,3.312,0
0.41469,1.9306,0.78193,1.5754,1,3.328,8,3.328,0
0.41685,1.9262,0.78598,1.5756,1,3.344,8,3.344,0
0.41907,1.9216,0.79014,1.5758,1,3.36,8,3.36,0
0.42148,1.9167,0.79464,1.5761,1,3.376,8,3.376,0
0.42392,1.9118,0.79922,1.5763,1,3.392,8,3.392,0
0.42607,1.9064,0.80327,1.5766,1,3.408,8,3.408,0
0.42823,1.9004,0.80735,1.5769,1,3.424,8,3.424,0
0.43022,1.8945,0.8111,1.5771,1,3.44,8,3.44,0
0.4322,1.8888,0.81485,1.5774,1,3.456,8,3.456,0
0.43418,1.883,0.8186,1.5777,1,3.472,8,3.472,0
0.43597,1.8784,0.82201,1.5779,1,3.488,8,3.488,0
0.43775,1.8738,0.82539,1.5782,1,3.504,8,3.504,0
0.43959,1.8689,0.82888,1.5784,1,3.52,8,3.52,0
0.44121,1.8654,0.83196,1.5787,1,3.536,8,3.536,0
0.44278,1.8621,0.83495,1.5789,1,3.552,8,3.552,0
0.4441,1.8592,0.83747,1.5791,1,3.568,8,3.568,0
0.44523,1.8566,0.83963,1.5793,1,3.584,8,3.584,0
0.44595,1.8552,0.84103,1.5795,1,3.6,8,3.6,0
0.44669,1.8538,0.84246,1.5796,1,3.616,8,3.616,0
0.4475,1.8523,0.84402,1.5798,1,3.632,8,3.632,0
0.44811,1.8514,0.84522,1.5799,1,3.648,8,3.648,0
0.44868,1.8504,0.84632,1.5801,1,3.664,8,3.664,0
0.44926,1.8494,0.84745,1.5802,1,3.68,8,3.68,0
0.44977,1.8487,0.84843,1.5803,1,3.696,8,3.696,0
0.45028,1.848,0.84942,1.5804,1,3.712,8,3.712,0
0.45099,1.847,0.85076,1.5805,1,3.728,8,3.728,0
0.45169,1.8461,0.8521,1.5806,1,3.744,8,3.744,0
0.45239,1.8451,0.85343,1.5807,1,3.76,8,3.76,0
0.45361,1.8435,0.85573,1.5808,1,3.776,8,3.776,0
0.45509,1.8417,0.8585,1.581,1,3.792,8,3.792,0
0.45664,1.8397,0.86137,1.5811,1,3.808,8,3.808,0
