"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.9233,0.26099,4.86,1.6648,1,0,-8.1,0,0
2.9223,0.26188,4.8586,1.6648,1,0.0731,-8.0269,0,0
2.9213,0.26276,4.8572,1.6648,1,0.1462,-7.9538,0,0
2.9203,0.26365,4.8558,1.6648,1,0.2193,-7.8807,0,0
2.9193,0.26453,4.8544,1.6648,1,0.2924,-7.8076,0,0
2.9183,0.26541,4.853,1.6647,1,0.3655,-7.7345,0,0
2.9173,0.2663,4.8516,1.6647,1,0.4386,-7.6614,0,0
2.9161,0.26736,4.85,1.6647,1,0.5117,-7.5883,0,0
2.9142,0.26926,4.8474,1.6647,1,0.5848,-7.5152,0,0
2.9123,0.27117,4.8447,1.6646,1,0.6579,-7.4421,0,0
2.9105,0.27307,4.8421,1.6646,1,0.731,-7.369,0,0
2.9086,0.27498,4.8395,1.6646,1,0.8041,-7.2959,0,0
2.9067,0.27688,4.8369,1.6645,1,0.8772,-7.2228,0,0
2.9048,0.27879,4.8343,1.6645,1,0.9503,-7.1497,0,0
2.9025,0.28108,4.8312,1.6645,1,1.0234,-7.0766,0,0
2.8994,0.28423,4.8267,1.6644,1,1.0965,-7.0035,0,0
2.8962,0.28739,4.8223,1.6643,1,1.1696,-6.9304,0,0
2.893,0.29055,4.8179,1.6643,1,1.2427,-6.8573,0,0
2.8898,0.2937,4.8135,1.6642,1,1.3158,-6.7842,0,0
2.8866,0.29686,4.8091,1.6642,1,1.3889,-6.7111,0,0
2.8834,0.30002,4.8047,1.6641,1,1.462,-6.638,0,0
2.8796,0.30373,4.7994,1.664,1,1.5351,-6.5649,0,0
2.8749,0.30828,4.7928,1.664,1,1.6082,-6.4918,0,0
2.8702,0.31283,4.7863,1.6639,1,1.6813,-6.4187,0,0
2.8655,0.31738,4.7797,1.6638,1,1.7544,-6.3456,0,0
2.8608,0.32192,4.7732,1.6637,1,1.8275,-6.2725,0,0
2.8561,0.32647,4.7666,1.6636,1,1.9006,-6.1994,0,0
2.8514,0.33102,4.7601,1.6635,1,1.9737,-6.1263,0,0
2.8459,0.33621,4.7523,1.6634,1,2.0468,-6.0532,0,0
2.8392,0.34224,4.7429,1.6633,1,2.1199,-5.9801,0,0
2.8325,0.34827,4.7336,1.6632,1,2.193,-5.907,0,0
2.8258,0.35431,4.7242,1.6631,1,2.2661,-5.8339,0,0
2.8191,0.36034,4.7148,1.6629,1,2.3392,-5.7608,0,0
2.8124,0.36637,4.7055,1.6628,1,2.4123,-5.6877,0,0
2.8057,0.3724,4.6961,1.6627,1,2.4854,-5.6146,0,0
2.798,0.37911,4.6852,1.6626,1,2.5585,-5.5415,0,0
2.7887,0.38672,4.6722,1.6624,1,2.6316,-5.4684,0,0
2.7795,0.39434,4.6591,1.6622,1,2.7047,-5.3953,0,0
2.7703,0.40195,4.6461,1.662,1,2.7778,-5.3222,0,0
2.761,0.40956,4.6331,1.6619,1,2.8509,-5.2491,0,0
2.7518,0.41718,4.6201,1.6617,1,2.924,-5.176,0,0
2.7425,0.42479,4.6071,1.6615,1,2.9971,-5.1029,0,0
