"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
177.76,0.22616,8.6018e+06,197.4,1,0,-8.1,0,0
177.72,0.22694,8.5977e+06,197.38,1,0.0731,-8.0269,0,0
177.67,0.22772,8.5936e+06,197.35,1,0.1462,-7.9538,0,0
177.62,0.2285,8.5896e+06,197.32,1,0.2193,-7.8807,0,0
177.58,0.22928,8.5855e+06,197.3,1,0.2924,-7.8076,0,0
177.53,0.23006,8.5814e+06,197.27,1,0.3655,-7.7345,0,0
177.48,0.23084,8.5774e+06,197.24,1,0.4386,-7.6614,0,0
177.43,0.23176,8.5728e+06,197.21,1,0.5117,-7.5883,0,0
177.35,0.23342,8.5656e+06,197.16,1,0.5848,-7.5152,0,0
177.26,0.23507,8.5585e+06,197.12,1,0.6579,-7.4421,0,0
177.18,0.23673,8.5514e+06,197.07,1,0.731,-7.369,0,0
177.1,0.23838,8.5442e+06,197.02,1,0.8041,-7.2959,0,0
177.01,0.24004,8.5371e+06,196.98,1,0.8772,-7.2228,0,0
176.93,0.24169,8.53e+06,196.93,1,0.9503,-7.1497,0,0
176.83,0.24368,8.5213e+06,196.87,1,1.0234,-7.0766,0,0
176.69,0.24643,8.5093e+06,196.79,1,1.0965,-7.0035,0,0
176.55,0.24917,8.4973e+06,196.71,1,1.1696,-6.9304,0,0
176.41,0.25192,8.4853e+06,196.63,1,1.2427,-6.8573,0,0
176.27,0.25467,8.4733e+06,196.55,1,1.3158,-6.7842,0,0
176.13,0.25741,8.4613e+06,196.47,1,1.3889,-6.7111,0,0
175.98,0.26016,8.4493e+06,196.39,1,1.462,-6.638,0,0
175.82,0.26336,8.435e+06,196.3,1,1.5351,-6.5649,0,0
175.61,0.26724,8.4173e+06,196.18,1,1.6082,-6.4918,0,0
175.4,0.27112,8.3996e+06,196.06,1,1.6813,-6.4187,0,0
175.19,0.275,8.3819e+06,195.94,1,1.7544,-6.3456,0,0
174.98,0.27887,8.3642e+06,195.82,1,1.8275,-6.2725,0,0
