"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
13.465,3.1617,2.0674e+05,61.604,1,0,10,0,0
13.433,3.1637,2.0604e+05,61.534,1,0.016,10,0.016,0
13.4,3.1658,2.0534e+05,61.463,1,0.032,10,0.032,0
13.368,3.1679,2.0464e+05,61.393,1,0.048,10,0.048,0
13.335,3.1699,2.0394e+05,61.323,1,0.064,10,0.064,0
13.303,3.172,2.0324e+05,61.252,1,0.08,10,0.08,0
13.27,3.1741,2.0253e+05,61.182,1,0.096,10,0.096,0
13.238,3.1761,2.0183e+05,61.111,1,0.112,10,0.112,0
13.205,3.1782,2.0113e+05,61.041,1,0.128,10,0.128,0
13.173,3.1803,2.0043e+05,60.971,1,0.144,10,0.144,0
13.14,3.1823,1.9973e+05,60.9,1,0.16,10,0.16,0
13.107,3.1844,1.9903e+05,60.83,1,0.176,10,0.176,0
13.075,3.1865,1.9832e+05,60.76,1,0.192,10,0.192,0
13.042,3.1886,1.9762e+05,60.689,1,0.208,10,0.208,0
13.01,3.1906,1.9692e+05,60.619,1,0.224,10,0.224,0
12.977,3.1927,1.9622e+05,60.548,1,0.24,10,0.24,0
12.945,3.1948,1.9552e+05,60.478,1,0.256,10,0.256,0
12.912,3.1968,1.9482e+05,60.408,1,0.272,10,0.272,0
12.88,3.1989,1.9411e+05,60.337,1,0.288,10,0.288,0
12.844,3.201,1.9336e+05,60.265,1,0.304,10,0.304,0
12.809,3.2031,1.926e+05,60.193,1,0.32,10,0.32,0
12.774,3.2052,1.9184e+05,60.121,1,0.336,10,0.336,0
12.738,3.2073,1.9109e+05,60.049,1,0.352,10,0.352,0
12.718,3.2088,1.9064e+05,60.004,1,0.368,10,0.368,0
12.706,3.21,1.9034e+05,59.973,1,0.384,10,0.384,0
12.693,3.2111,1.9005e+05,59.942,1,0.4,10,0.4,0
12.681,3.2123,1.8975e+05,59.91,1,0.416,10,0.416,0
12.669,3.2135,1.8946e+05,59.879,1,0.432,10,0.432,0
12.657,3.2147,1.8917e+05,59.848,1,0.448,10,0.448,0
12.647,3.2158,1.8893e+05,59.818,1,0.464,10,0.464,0
12.636,3.217,1.8869e+05,59.788,1,0.48,10,0.48,0
12.626,3.2182,1.8845e+05,59.758,1,0.496,10,0.496,0
12.616,3.2193,1.8821e+05,59.728,1,0.512,10,0.512,0
12.606,3.2205,1.8797e+05,59.698,1,0.528,10,0.528,0
