"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
13.89,3.1416,2.1495e+05,62.268,1,0,10,0,0
13.845,3.144,2.14e+05,62.178,1,0.016,10,0.016,0
13.801,3.1464,2.1305e+05,62.089,1,0.032,10,0.032,0
13.756,3.1488,2.121e+05,62,1,0.048,10,0.048,0
13.712,3.1513,2.1115e+05,61.91,1,0.064,10,0.064,0
13.668,3.1537,2.102e+05,61.821,1,0.08,10,0.08,0
13.623,3.1561,2.0925e+05,61.732,1,0.096,10,0.096,0
13.579,3.1585,2.083e+05,61.642,1,0.112,10,0.112,0
13.534,3.161,2.0735e+05,61.553,1,0.128,10,0.128,0
13.49,3.1634,2.064e+05,61.464,1,0.144,10,0.144,0
13.446,3.1658,2.0545e+05,61.374,1,0.16,10,0.16,0
13.401,3.1682,2.045e+05,61.285,1,0.176,10,0.176,0
13.357,3.1707,2.0355e+05,61.196,1,0.192,10,0.192,0
13.313,3.173,2.0262e+05,61.112,1,0.208,10,0.208,0
13.271,3.1752,2.017e+05,61.031,1,0.224,10,0.224,0
13.229,3.1774,2.0078e+05,60.951,1,0.24,10,0.24,0
13.186,3.1796,1.9986e+05,60.87,1,0.256,10,0.256,0
13.16,3.1813,1.9929e+05,60.817,1,0.272,10,0.272,0
13.143,3.1827,1.9891e+05,60.777,1,0.288,10,0.288,0
13.125,3.184,1.9853e+05,60.738,1,0.304,10,0.304,0
13.108,3.1854,1.9815e+05,60.698,1,0.32,10,0.32,0
13.091,3.1868,1.9777e+05,60.659,1,0.336,10,0.336,0
13.073,3.1881,1.9739e+05,60.619,1,0.352,10,0.352,0
13.056,3.1895,1.9701e+05,60.58,1,0.368,10,0.368,0
13.039,3.1909,1.9664e+05,60.541,1,0.384,10,0.384,0
13.021,3.1922,1.9626e+05,60.501,1,0.4,10,0.4,0
13.004,3.1936,1.9588e+05,60.462,1,0.416,10,0.416,0
12.987,3.195,1.955e+05,60.422,1,0.432,10,0.432,0
12.971,3.1964,1.9515e+05,60.384,1,0.448,10,0.448,0
12.955,3.1977,1.9481e+05,60.346,1,0.464,10,0.464,0
12.94,3.1991,1.9447e+05,60.307,1,0.48,10,0.48,0
12.936,3.1997,1.9438e+05,60.295,1,0.496,10,0.496,0
12.934,3.2003,1.9432e+05,60.286,1,0.512,10,0.512,0
12.929,3.2011,1.942e+05,60.272,1,0.528,10,0.528,0
12.923,3.2019,1.9408e+05,60.258,1,0.544,10,0.544,0
12.918,3.2027,1.9397e+05,60.244,1,0.56,10,0.56,0
12.913,3.2035,1.9385e+05,60.23,1,0.576,10,0.576,0
12.908,3.2043,1.9373e+05,60.216,1,0.592,10,0.592,0
12.903,3.2052,1.9361e+05,60.202,1,0.608,10,0.608,0
12.898,3.206,1.935e+05,60.187,1,0.624,10,0.624,0
12.893,3.2068,1.9338e+05,60.173,1,0.64,10,0.64,0
12.887,3.2076,1.9326e+05,60.159,1,0.656,10,0.656,0
12.882,3.2084,1.9315e+05,60.145,1,0.672,10,0.672,0
12.877,3.2092,1.9303e+05,60.131,1,0.688,10,0.688,0
12.872,3.21,1.9291e+05,60.117,1,0.704,10,0.704,0
12.867,3.2108,1.928e+05,60.103,1,0.72,10,0.72,0
12.869,3.2111,1.9283e+05,60.104,1,0.736,10,0.736,0
12.884,3.2105,1.931e+05,60.129,1,0.752,10,0.752,0
12.899,3.21,1.9338e+05,60.154,1,0.768,10,0.768,0
12.914,3.2095,1.9365e+05,60.179,1,0.784,10,0.784,0
12.929,3.2089,1.9393e+05,60.204,1,0.8,10,0.8,0
12.94,3.2086,1.9415e+05,60.224,1,0.816,10,0.816,0
12.95,3.2085,1.9434e+05,60.24,1,0.832,10,0.832,0
12.96,3.2083,1.9454e+05,60.257,1,0.848,10,0.848,0
12.97,3.2082,1.9473e+05,60.273,1,0.864,10,0.864,0
