"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
12.33,3.2386,1.8458e+05,59.615,1,0,10,0,0
12.318,3.2391,1.843e+05,59.583,1,0.016,10,0.016,0
12.305,3.2397,1.8403e+05,59.55,1,0.032,10,0.032,0
12.293,3.2403,1.8375e+05,59.518,1,0.048,10,0.048,0
12.281,3.2408,1.8347e+05,59.486,1,0.064,10,0.064,0
12.269,3.2414,1.8319e+05,59.454,1,0.08,10,0.08,0
12.257,3.2419,1.8291e+05,59.422,1,0.096,10,0.096,0
12.245,3.2425,1.8263e+05,59.39,1,0.112,10,0.112,0
12.233,3.243,1.8235e+05,59.358,1,0.128,10,0.128,0
12.221,3.2436,1.8207e+05,59.326,1,0.144,10,0.144,0
12.209,3.2441,1.8179e+05,59.293,1,0.16,10,0.16,0
12.197,3.2447,1.8151e+05,59.261,1,0.176,10,0.176,0
12.185,3.2452,1.8123e+05,59.229,1,0.192,10,0.192,0
12.173,3.2458,1.8095e+05,59.197,1,0.208,10,0.208,0
12.161,3.2463,1.8067e+05,59.165,1,0.224,10,0.224,0
12.149,3.2469,1.8039e+05,59.133,1,0.24,10,0.24,0
12.137,3.2474,1.8011e+05,59.101,1,0.256,10,0.256,0
12.125,3.248,1.7983e+05,59.069,1,0.272,10,0.272,0
12.113,3.2485,1.7955e+05,59.036,1,0.288,10,0.288,0
12.1,3.2491,1.7927e+05,59.004,1,0.304,10,0.304,0
12.088,3.2496,1.7899e+05,58.972,1,0.32,10,0.32,0
12.076,3.2502,1.7871e+05,58.94,1,0.336,10,0.336,0
12.064,3.2507,1.7843e+05,58.908,1,0.352,10,0.352,0
12.052,3.2513,1.7815e+05,58.876,1,0.368,10,0.368,0
12.04,3.2518,1.7788e+05,58.844,1,0.384,10,0.384,0
12.028,3.2524,1.776e+05,58.812,1,0.4,10,0.4,0
12.016,3.2529,1.7732e+05,58.779,1,0.416,10,0.416,0
12.004,3.2535,1.7704e+05,58.747,1,0.432,10,0.432,0
11.992,3.254,1.7676e+05,58.715,1,0.448,10,0.448,0
11.98,3.2546,1.7648e+05,58.683,1,0.464,10,0.464,0
11.968,3.2551,1.762e+05,58.651,1,0.48,10,0.48,0
11.956,3.2557,1.7592e+05,58.619,1,0.496,10,0.496,0
11.972,3.2548,1.7622e+05,58.645,1,0.512,10,0.512,0
11.993,3.2537,1.7663e+05,58.681,1,0.528,10,0.528,0
12.015,3.2526,1.7703e+05,58.718,1,0.544,10,0.544,0
