"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
177.78,0.22549,8.6034e+06,197.41,1,0,-8.1,0,0
177.73,0.22629,8.5992e+06,197.39,1,0.0731,-8.0269,0,0
177.69,0.2271,8.595e+06,197.36,1,0.1462,-7.9538,0,0
177.64,0.22791,8.5907e+06,197.33,1,0.2193,-7.8807,0,0
177.59,0.22872,8.5865e+06,197.3,1,0.2924,-7.8076,0,0
177.54,0.22953,8.5823e+06,197.28,1,0.3655,-7.7345,0,0
177.49,0.23033,8.5781e+06,197.25,1,0.4386,-7.6614,0,0
177.44,0.23129,8.5734e+06,197.22,1,0.5117,-7.5883,0,0
177.35,0.233,8.5659e+06,197.17,1,0.5848,-7.5152,0,0
177.26,0.23471,8.5584e+06,197.12,1,0.6579,-7.4421,0,0
177.17,0.23641,8.5509e+06,197.07,1,0.731,-7.369,0,0
177.09,0.23812,8.5434e+06,197.02,1,0.8041,-7.2959,0,0
177,0.23982,8.5359e+06,196.97,1,0.8772,-7.2228,0,0
176.91,0.24153,8.5284e+06,196.92,1,0.9503,-7.1497,0,0
176.81,0.24358,8.5194e+06,196.86,1,1.0234,-7.0766,0,0
176.66,0.2464,8.507e+06,196.78,1,1.0965,-7.0035,0,0
176.51,0.24923,8.4946e+06,196.69,1,1.1696,-6.9304,0,0
176.37,0.25205,8.4822e+06,196.61,1,1.2427,-6.8573,0,0
176.22,0.25488,8.4699e+06,196.53,1,1.3158,-6.7842,0,0
176.08,0.2577,8.4575e+06,196.45,1,1.3889,-6.7111,0,0
175.93,0.26053,8.4451e+06,196.37,1,1.462,-6.638,0,0
175.76,0.26386,8.4303e+06,196.27,1,1.5351,-6.5649,0,0
175.54,0.26793,8.4122e+06,196.15,1,1.6082,-6.4918,0,0
175.33,0.27201,8.394e+06,196.03,1,1.6813,-6.4187,0,0
175.11,0.27608,8.3758e+06,195.9,1,1.7544,-6.3456,0,0
174.89,0.28016,8.3576e+06,195.78,1,1.8275,-6.2725,0,0
174.68,0.28423,8.3395e+06,195.66,1,1.9006,-6.1994,0,0
174.46,0.28831,8.3213e+06,195.54,1,1.9737,-6.1263,0,0
174.21,0.29299,8.2999e+06,195.4,1,2.0468,-6.0532,0,0
173.9,0.29847,8.2744e+06,195.22,1,2.1199,-5.9801,0,0
173.6,0.30394,8.2489e+06,195.05,1,2.193,-5.907,0,0
173.29,0.30941,8.2234e+06,194.88,1,2.2661,-5.8339,0,0
172.98,0.31488,8.1979e+06,194.7,1,2.3392,-5.7608,0,0
172.68,0.32035,8.1723e+06,194.53,1,2.4123,-5.6877,0,0
172.37,0.32582,8.1468e+06,194.36,1,2.4854,-5.6146,0,0
172.02,0.33193,8.1175e+06,194.15,1,2.5585,-5.5415,0,0
171.6,0.33891,8.083e+06,193.91,1,2.6316,-5.4684,0,0
171.18,0.34588,8.0485e+06,193.67,1,2.7047,-5.3953,0,0
170.76,0.35285,8.014e+06,193.43,1,2.7778,-5.3222,0,0
170.34,0.35982,7.9795e+06,193.19,1,2.8509,-5.2491,0,0
169.92,0.3668,7.945e+06,192.95,1,2.924,-5.176,0,0
169.51,0.37377,7.9105e+06,192.71,1,2.9971,-5.1029,0,0
169.03,0.38138,7.8717e+06,192.44,1,3.0702,-5.0298,0,0
168.47,0.39004,7.8261e+06,192.11,1,3.1433,-4.9567,0,0
167.9,0.39869,7.7805e+06,191.79,1,3.2164,-4.8836,0,0
167.34,0.40735,7.7349e+06,191.46,1,3.2895,-4.8105,0,0
166.78,0.41601,7.6893e+06,191.13,1,3.3626,-4.7374,0,0
166.21,0.42466,7.6437e+06,190.8,1,3.4357,-4.6643,0,0
165.65,0.43332,7.5981e+06,190.48,1,3.5088,-4.5912,0,0
165.04,0.44247,7.5491e+06,190.12,1,3.5819,-4.5181,0,0
164.3,0.45292,7.4908e+06,189.68,1,3.655,-4.445,0,0
163.56,0.46337,7.4326e+06,189.25,1,3.7281,-4.3719,0,0
162.82,0.47382,7.3744e+06,188.81,1,3.8012,-4.2988,0,0
162.08,0.48427,7.3162e+06,188.38,1,3.8743,-4.2257,0,0
161.34,0.49472,7.2579e+06,187.94,1,3.9474,-4.1526,0,0
160.6,0.50517,7.1997e+06,187.51,1,4.0205,-4.0795,0,0
159.84,0.51583,7.1399e+06,187.06,1,4.0936,-4.0064,0,0
158.9,0.52802,7.0688e+06,186.49,1,4.1667,-3.9333,0,0
157.96,0.54021,6.9976e+06,185.93,1,4.2398,-3.8602,0,0
157.03,0.5524,6.9264e+06,185.37,1,4.3129,-3.7871,0,0
156.09,0.56459,6.8552e+06,184.81,1,4.386,-3.714,0,0
155.15,0.57678,6.784e+06,184.25,1,4.4591,-3.6409,0,0
154.21,0.58896,6.7128e+06,183.69,1,4.5322,-3.5678,0,0
153.28,0.60115,6.6416e+06,183.12,1,4.6053,-3.4947,0,0
152.18,0.61472,6.5617e+06,182.45,1,4.6784,-3.4216,0,0
151.06,0.62841,6.481e+06,181.77,1,4.7515,-3.3485,0,0
149.95,0.6421,6.4003e+06,181.09,1,4.8246,-3.2754,0,0
148.83,0.65578,6.3196e+06,180.41,1,4.8977,-3.2023,0,0
147.72,0.66947,6.2389e+06,179.73,1,4.9708,-3.1292,0,0
146.61,0.68316,6.1582e+06,179.05,1,5.0439,-3.0561,0,0
145.49,0.69684,6.0775e+06,178.38,1,5.117,-2.983,0,0
144.28,0.71143,5.9932e+06,177.62,1,5.1901,-2.9099,0,0
143.02,0.72645,5.9071e+06,176.84,1,5.2632,-2.8368,0,0
141.77,0.74146,5.821e+06,176.05,1,5.3363,-2.7637,0,0
140.51,0.75647,5.7349e+06,175.27,1,5.4094,-2.6906,0,0
139.25,0.77148,5.6489e+06,174.48,1,5.4825,-2.6175,0,0
138,0.7865,5.5628e+06,173.7,1,5.5556,-2.5444,0,0
136.74,0.80151,5.4767e+06,172.91,1,5.6287,-2.4713,0,0
135.44,0.817,5.3899e+06,172.09,1,5.7018,-2.3982,0,0
134.07,0.83328,5.3019e+06,171.21,1,5.7749,-2.3251,0,0
132.71,0.84956,5.2139e+06,170.33,1,5.848,-2.252,0,0
131.34,0.86585,5.1259e+06,169.45,1,5.9211,-2.1789,0,0
129.97,0.88213,5.038e+06,168.57,1,5.9942,-2.1058,0,0
128.6,0.89841,4.95e+06,167.69,1,6.0673,-2.0327,0,0
127.23,0.91469,4.862e+06,166.8,1,6.1404,-1.9596,0,0
125.86,0.93101,4.774e+06,165.92,1,6.2135,-1.8865,0,0
124.41,0.94854,4.6868e+06,164.95,1,6.2866,-1.8134,0,0
122.95,0.96608,4.5996e+06,163.98,1,6.3597,-1.7403,0,0
121.5,0.98362,4.5124e+06,163,1,6.4328,-1.6672,0,0
120.04,1.0012,4.4252e+06,162.03,1,6.5059,-1.5941,0,0
118.59,1.0187,4.338e+06,161.06,1,6.579,-1.521,0,0
117.13,1.0362,4.2508e+06,160.09,1,6.6521,-1.4479,0,0
115.68,1.0538,4.1636e+06,159.12,1,6.7252,-1.3748,0,0
114.19,1.0722,4.0787e+06,158.1,1,6.7983,-1.3017,0,0
112.68,1.0911,3.9952e+06,157.05,1,6.8714,-1.2286,0,0
111.18,1.11,3.9117e+06,156,1,6.9445,-1.1555,0,0
109.67,1.1289,3.8281e+06,154.94,1,7.0176,-1.0824,0,0
108.17,1.1478,3.7446e+06,153.89,1,7.0907,-1.0093,0,0
106.66,1.1667,3.661e+06,152.84,1,7.1638,-0.9362,0,0
105.16,1.1857,3.5775e+06,151.79,1,7.2369,-0.8631,0,0
103.65,1.2048,3.4951e+06,150.73,1,7.31,-0.79,0,0
102.13,1.2248,3.4181e+06,149.64,1,7.3831,-0.7169,0,0
100.61,1.2449,3.3411e+06,148.54,1,7.4562,-0.6438,0,0
99.086,1.2649,3.2641e+06,147.45,1,7.5293,-0.5707,0,0
97.566,1.285,3.187e+06,146.35,1,7.6024,-0.4976,0,0
96.045,1.305,3.11e+06,145.25,1,7.6755,-0.4245,0,0
94.524,1.3251,3.033e+06,144.16,1,7.7486,-0.3514,0,0
93.004,1.3451,2.956e+06,143.06,1,7.8217,-0.2783,0,0
91.532,1.3651,2.886e+06,141.98,1,7.8948,-0.2052,0,0
90.082,1.3852,2.8193e+06,140.9,1,7.9679,-0.1321,0,0
88.633,1.4052,2.7526e+06,139.82,1,8.041,-0.059,0,0
87.184,1.4252,2.6859e+06,138.74,1,8.1141,0.0141,0,0
85.735,1.4453,2.6192e+06,137.66,1,8.1872,0.0872,0,0
84.286,1.4653,2.5525e+06,136.58,1,8.2603,0.1603,0,0
82.836,1.4853,2.4859e+06,135.5,1,8.3334,0.2334,0,0
81.414,1.5052,2.421e+06,134.43,1,8.4065,0.3065,0,0
80.171,1.5237,2.3683e+06,133.46,1,8.4796,0.3796,0,0
78.927,1.5422,2.3156e+06,132.48,1,8.5527,0.4527,0,0
77.684,1.5607,2.263e+06,131.51,1,8.6258,0.5258,0,0
76.441,1.5792,2.2103e+06,130.53,1,8.6989,0.5989,0,0
75.197,1.5977,2.1577e+06,129.56,1,8.772,0.672,0,0
73.954,1.6163,2.105e+06,128.58,1,8.8451,0.7451,0,0
72.711,1.6348,2.0523e+06,127.61,1,8.9182,0.8182,0,0
71.598,1.6519,2.0067e+06,126.71,1,8.9913,0.8913,0,0
70.599,1.6679,1.9673e+06,125.89,1,9.0644,0.9644,0,0
69.601,1.6838,1.9279e+06,125.06,1,9.1375,1.0375,0,0
68.602,1.6998,1.8885e+06,124.24,1,9.2106,1.1106,0,0
67.603,1.7157,1.8491e+06,123.41,1,9.2837,1.1837,0,0
66.605,1.7317,1.8097e+06,122.59,1,9.3568,1.2568,0,0
65.606,1.7476,1.7703e+06,121.76,1,9.4299,1.3299,0,0
64.607,1.7635,1.7309e+06,120.93,1,9.503,1.403,0,0
63.829,1.7766,1.7017e+06,120.26,1,9.5761,1.4761,0,0
63.081,1.7892,1.6738e+06,119.61,1,9.6492,1.5492,0,0
62.333,1.8018,1.6459e+06,118.96,1,9.7223,1.6223,0,0
61.585,1.8145,1.618e+06,118.32,1,9.7954,1.6954,0,0
60.837,1.8271,1.5901e+06,117.67,1,9.8685,1.7685,0,0
60.089,1.8398,1.5623e+06,117.02,1,9.9416,1.8416,0,0
59.34,1.8524,1.5344e+06,116.37,1,10.015,1.9147,0,0
