"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
177.71,0.22708,8.5975e+06,197.38,1,0,-8.1,0,0
177.68,0.22781,8.594e+06,197.35,1,0.0731,-8.0269,0,0
177.64,0.22855,8.5906e+06,197.33,1,0.1462,-7.9538,0,0
177.6,0.22928,8.5872e+06,197.31,1,0.2193,-7.8807,0,0
177.56,0.23002,8.5838e+06,197.28,1,0.2924,-7.8076,0,0
177.52,0.23075,8.5804e+06,197.26,1,0.3655,-7.7345,0,0
177.48,0.23149,8.5769e+06,197.24,1,0.4386,-7.6614,0,0
177.43,0.23236,8.573e+06,197.21,1,0.5117,-7.5883,0,0
177.36,0.23393,8.5665e+06,197.17,1,0.5848,-7.5152,0,0
177.28,0.23549,8.56e+06,197.13,1,0.6579,-7.4421,0,0
177.2,0.23705,8.5535e+06,197.08,1,0.731,-7.369,0,0
177.13,0.23861,8.547e+06,197.04,1,0.8041,-7.2959,0,0
177.05,0.24017,8.5405e+06,197,1,0.8772,-7.2228,0,0
176.98,0.24173,8.534e+06,196.96,1,0.9503,-7.1497,0,0
176.88,0.24368,8.5259e+06,196.9,1,1.0234,-7.0766,0,0
176.75,0.24652,8.5142e+06,196.82,1,1.0965,-7.0035,0,0
176.61,0.24935,8.5026e+06,196.75,1,1.1696,-6.9304,0,0
176.47,0.25219,8.4909e+06,196.67,1,1.2427,-6.8573,0,0
176.34,0.25502,8.4793e+06,196.59,1,1.3158,-6.7842,0,0
176.2,0.25785,8.4676e+06,196.51,1,1.3889,-6.7111,0,0
176.06,0.26069,8.456e+06,196.44,1,1.462,-6.638,0,0
175.9,0.26405,8.442e+06,196.34,1,1.5351,-6.5649,0,0
175.69,0.2682,8.4245e+06,196.23,1,1.6082,-6.4918,0,0
175.48,0.27234,8.4071e+06,196.11,1,1.6813,-6.4187,0,0
175.28,0.27649,8.3897e+06,195.99,1,1.7544,-6.3456,0,0
175.07,0.28064,8.3722e+06,195.88,1,1.8275,-6.2725,0,0
174.87,0.28479,8.3548e+06,195.76,1,1.9006,-6.1994,0,0
174.66,0.28893,8.3373e+06,195.64,1,1.9737,-6.1263,0,0
174.42,0.29366,8.3168e+06,195.5,1,2.0468,-6.0532,0,0
174.12,0.29915,8.2922e+06,195.34,1,2.1199,-5.9801,0,0
173.83,0.30463,8.2676e+06,195.17,1,2.193,-5.907,0,0
173.54,0.31011,8.2431e+06,195,1,2.2661,-5.8339,0,0
173.24,0.3156,8.2185e+06,194.84,1,2.3392,-5.7608,0,0
172.95,0.32108,8.1939e+06,194.67,1,2.4123,-5.6877,0,0
172.66,0.32656,8.1693e+06,194.5,1,2.4854,-5.6146,0,0
172.33,0.33247,8.1418e+06,194.31,1,2.5585,-5.5415,0,0
171.95,0.33893,8.1103e+06,194.09,1,2.6316,-5.4684,0,0
171.57,0.3454,8.0788e+06,193.87,1,2.7047,-5.3953,0,0
171.19,0.35186,8.0473e+06,193.65,1,2.7778,-5.3222,0,0
170.81,0.35833,8.0158e+06,193.43,1,2.8509,-5.2491,0,0
170.43,0.3648,7.9844e+06,193.21,1,2.924,-5.176,0,0
170.05,0.37126,7.9529e+06,192.99,1,2.9971,-5.1029,0,0
169.63,0.37832,7.9184e+06,192.75,1,3.0702,-5.0298,0,0
169.15,0.38636,7.879e+06,192.47,1,3.1433,-4.9567,0,0
168.67,0.3944,7.8396e+06,192.19,1,3.2164,-4.8836,0,0
168.19,0.40243,7.8002e+06,191.91,1,3.2895,-4.8105,0,0
167.57,0.41169,7.7493e+06,191.55,1,3.3626,-4.7374,0,0
166.91,0.42119,7.696e+06,191.16,1,3.4357,-4.6643,0,0
166.25,0.4307,7.6426e+06,190.77,1,3.5088,-4.5912,0,0
165.59,0.44034,7.5895e+06,190.39,1,3.5819,-4.5181,0,0
164.93,0.45036,7.5367e+06,190,1,3.655,-4.445,0,0
164.26,0.46038,7.484e+06,189.61,1,3.7281,-4.3719,0,0
163.6,0.47039,7.4312e+06,189.23,1,3.8012,-4.2988,0,0
162.84,0.48122,7.3708e+06,188.77,1,3.8743,-4.2257,0,0
162.02,0.49241,7.3071e+06,188.29,1,3.9474,-4.1526,0,0
161.21,0.50359,7.2433e+06,187.81,1,4.0205,-4.0795,0,0
160.4,0.5149,7.1792e+06,187.33,1,4.0936,-4.0064,0,0
159.53,0.52717,7.1123e+06,186.81,1,4.1667,-3.9333,0,0
158.67,0.53945,7.0454e+06,186.29,1,4.2398,-3.8602,0,0
157.81,0.55172,6.9786e+06,185.77,1,4.3129,-3.7871,0,0
156.81,0.56457,6.9021e+06,185.16,1,4.386,-3.714,0,0
155.69,0.57796,6.8169e+06,184.47,1,4.4591,-3.6409,0,0
154.57,0.59135,6.7316e+06,183.78,1,4.5322,-3.5678,0,0
153.46,0.60475,6.6463e+06,183.09,1,4.6053,-3.4947,0,0
152.41,0.61776,6.571e+06,182.47,1,4.6784,-3.4216,0,0
151.38,0.63075,6.4965e+06,181.85,1,4.7515,-3.3485,0,0
150.35,0.64374,6.422e+06,181.23,1,4.8246,-3.2754,0,0
149.31,0.65672,6.3475e+06,180.61,1,4.8977,-3.2023,0,0
148.28,0.66971,6.273e+06,179.99,1,4.9708,-3.1292,0,0
147.24,0.68269,6.1986e+06,179.37,1,5.0439,-3.0561,0,0
146.21,0.69568,6.1241e+06,178.74,1,5.117,-2.983,0,0
145.05,0.70986,6.0431e+06,178.03,1,5.1901,-2.9099,0,0
143.82,0.72461,5.959e+06,177.27,1,5.2632,-2.8368,0,0
142.6,0.73936,5.8749e+06,176.51,1,5.3363,-2.7637,0,0
141.37,0.7541,5.7909e+06,175.76,1,5.4094,-2.6906,0,0
140.15,0.76885,5.7068e+06,175,1,5.4825,-2.6175,0,0
138.92,0.78359,5.6228e+06,174.24,1,5.5556,-2.5444,0,0
137.7,0.79834,5.5387e+06,173.48,1,5.6287,-2.4713,0,0
