"Density","Mach","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
177.7,0.22769,8.5964e+06,197.37,1,0,-8.1,0,0
177.66,0.22846,8.5926e+06,197.34,1,0.0731,-8.0269,0,0
177.61,0.22923,8.5888e+06,197.32,1,0.1462,-7.9538,0,0
177.57,0.23,8.5849e+06,197.29,1,0.2193,-7.8807,0,0
177.53,0.23077,8.5811e+06,197.27,1,0.2924,-7.8076,0,0
177.48,0.23154,8.5773e+06,197.24,1,0.3655,-7.7345,0,0
177.44,0.23231,8.5735e+06,197.22,1,0.4386,-7.6614,0,0
177.39,0.23319,8.5693e+06,197.19,1,0.5117,-7.5883,0,0
177.32,0.23465,8.5633e+06,197.15,1,0.5848,-7.5152,0,0
177.25,0.2361,8.5574e+06,197.11,1,0.6579,-7.4421,0,0
177.18,0.23755,8.5514e+06,197.07,1,0.731,-7.369,0,0
177.11,0.239,8.5455e+06,197.03,1,0.8041,-7.2959,0,0
177.04,0.24045,8.5395e+06,196.99,1,0.8772,-7.2228,0,0
176.97,0.2419,8.5335e+06,196.95,1,0.9503,-7.1497,0,0
176.89,0.24357,8.5263e+06,196.9,1,1.0234,-7.0766,0,0
176.77,0.24572,8.5161e+06,196.84,1,1.0965,-7.0035,0,0
176.65,0.24788,8.5059e+06,196.77,1,1.1696,-6.9304,0,0
176.53,0.25004,8.4957e+06,196.7,1,1.2427,-6.8573,0,0
176.4,0.253,8.4841e+06,196.62,1,1.3158,-6.7842,0,0
176.26,0.25609,8.4723e+06,196.54,1,1.3889,-6.7111,0,0
176.12,0.25919,8.4604e+06,196.47,1,1.462,-6.638,0,0
175.96,0.2626,8.4466e+06,196.37,1,1.5351,-6.5649,0,0
175.76,0.26647,8.4299e+06,196.26,1,1.6082,-6.4918,0,0
175.56,0.27034,8.4131e+06,196.15,1,1.6813,-6.4187,0,0
175.37,0.27421,8.3964e+06,196.04,1,1.7544,-6.3456,0,0
175.15,0.27848,8.3785e+06,195.92,1,1.8275,-6.2725,0,0
174.94,0.28278,8.3605e+06,195.79,1,1.9006,-6.1994,0,0
174.73,0.28708,8.3425e+06,195.67,1,1.9737,-6.1263,0,0
174.51,0.29157,8.3236e+06,195.55,1,2.0468,-6.0532,0,0
174.27,0.29629,8.3037e+06,195.41,1,2.1199,-5.9801,0,0
174.04,0.30101,8.2838e+06,195.27,1,2.193,-5.907,0,0
173.8,0.30574,8.2638e+06,195.14,1,2.2661,-5.8339,0,0
173.54,0.31075,8.2421e+06,194.99,1,2.3392,-5.7608,0,0
173.28,0.31598,8.2196e+06,194.84,1,2.4123,-5.6877,0,0
172.97,0.32217,8.1943e+06,194.66,1,2.4854,-5.6146,0,0
172.63,0.3289,8.1651e+06,194.46,1,2.5585,-5.5415,0,0
172.22,0.33635,8.1308e+06,194.22,1,2.6316,-5.4684,0,0
171.8,0.34368,8.0961e+06,193.98,1,2.7047,-5.3953,0,0
171.38,0.35096,8.0612e+06,193.74,1,2.7778,-5.3222,0,0
170.97,0.35823,8.027e+06,193.5,1,2.8509,-5.2491,0,0
170.56,0.36556,7.9925e+06,193.26,1,2.924,-5.176,0,0
170.11,0.37319,7.9556e+06,193,1,2.9971,-5.1029,0,0
169.65,0.38099,7.9175e+06,192.73,1,3.0702,-5.0298,0,0
169.16,0.38905,7.8773e+06,192.45,1,3.1433,-4.9567,0,0
168.64,0.39738,7.8352e+06,192.15,1,3.2164,-4.8836,0,0
168.12,0.40588,7.7919e+06,191.84,1,3.2895,-4.8105,0,0
167.55,0.41472,7.7462e+06,191.51,1,3.3626,-4.7374,0,0
166.98,0.42364,7.6998e+06,191.18,1,3.4357,-4.6643,0,0
166.37,0.43278,7.6505e+06,190.82,1,3.5088,-4.5912,0,0
165.77,0.44193,7.6014e+06,190.46,1,3.5819,-4.5181,0,0
165.16,0.45111,7.553e+06,190.11,1,3.655,-4.445,0,0
164.53,0.46094,7.5021e+06,189.73,1,3.7281,-4.3719,0,0
163.76,0.4719,7.4406e+06,189.28,1,3.8012,-4.2988,0,0
163,0.48255,7.3809e+06,188.83,1,3.8743,-4.2257,0,0
162.27,0.49301,7.3229e+06,188.4,1,3.9474,-4.1526,0,0
161.52,0.50351,7.2645e+06,187.95,1,4.0205,-4.0795,0,0
160.73,0.51485,7.202e+06,187.48,1,4.0936,-4.0064,0,0
159.84,0.52709,7.1331e+06,186.95,1,4.1667,-3.9333,0,0
158.95,0.53892,7.0647e+06,186.43,1,4.2398,-3.8602,0,0
158.07,0.55074,6.997e+06,185.9,1,4.3129,-3.7871,0,0
157.16,0.56291,6.9269e+06,185.35,1,4.386,-3.714,0,0
