"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7678,0.00018503,1.9528e+06,0,1.9989e-05,0.24019,694.46,0.91561,0,89321,7.6869e+05,-55911,0,0,0,333.19,2.1277,0,,0,-8.1,0,0
7.7654,0.0001828,1.9521e+06,0,1.9987e-05,0.24103,696.62,0.36699,0,77610,7.6835e+05,-56519,0,0,0,333.15,1.8461,0,,0.0731,-8.0269,0,0
7.7631,0.00018056,1.9515e+06,0,1.9985e-05,0.24187,698.78,-0.18162,0,65899,7.6801e+05,-57127,0,0,0,333.1,1.5645,0,,0.1462,-7.9538,0,0
7.7607,0.00017833,1.9508e+06,0,1.9983e-05,0.24271,700.94,-0.73023,0,54188,7.6767e+05,-57735,0,0,0,333.05,1.2829,0,,0.2193,-7.8807,0,0
7.7584,0.00017609,1.9502e+06,0,1.9981e-05,0.24355,703.1,-1.2788,0,42477,7.6733e+05,-58343,0,0,0,333.01,1.0013,0,,0.2924,-7.8076,0,0
7.756,0.00017386,1.9495e+06,0,1.9979e-05,0.24439,705.26,-1.8275,0,30765,7.6699e+05,-58951,0,0,0,332.96,0.71973,0,,0.3655,-7.7345,0,0
7.7536,0.00017162,1.9489e+06,0,1.9977e-05,0.24523,707.42,-2.3761,0,19054,7.6665e+05,-59558,0,0,0,332.91,0.43814,0,,0.4386,-7.6614,0,0
7.751,0.00016951,1.9482e+06,0,1.9974e-05,0.24622,710,-2.9228,0,9187.1,7.6627e+05,-60235,0,0,0,332.86,0.2011,0,,0.5117,-7.5883,0,0
7.7468,0.00016802,1.9472e+06,0,1.9971e-05,0.24799,714.6,-3.4606,0,8307.8,7.657e+05,-61247,0,0,0,332.8,0.18125,0,,0.5848,-7.5152,0,0
7.7426,0.00016652,1.9463e+06,0,1.9968e-05,0.24975,719.21,-3.9984,0,7428.5,7.6513e+05,-62260,0,0,0,332.73,0.16139,0,,0.6579,-7.4421,0,0
7.7384,0.00016502,1.9453e+06,0,1.9965e-05,0.25151,723.82,-4.5362,0,6549.1,7.6457e+05,-63272,0,0,0,332.66,0.14153,0,,0.731,-7.369,0,0
