"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.45513,7.6009e-06,1.4533e+05,0,7.3752e-06,3.2986,315.46,3.926,0,196.95,14393,-1.4029e+06,0,0,0,106.33,0.0032895,0,,0,10,0,0
0.45392,7.5827e-06,1.4493e+05,0,7.3693e-06,3.3002,314.63,4.364,0,197.34,14343,-1.403e+06,0,0,0,106.25,0.003297,0,,0.016,10,0.016,0
0.4527,7.5646e-06,1.4454e+05,0,7.3634e-06,3.3019,313.81,4.8021,0,197.72,14294,-1.403e+06,0,0,0,106.16,0.0033046,0,,0.032,10,0.032,0
0.45148,7.5465e-06,1.4415e+05,0,7.3576e-06,3.3035,312.98,5.2401,0,198.11,14244,-1.4031e+06,0,0,0,106.08,0.0033121,0,,0.048,10,0.048,0
0.45027,7.5283e-06,1.4376e+05,0,7.3517e-06,3.3052,312.16,5.6782,0,198.5,14195,-1.4032e+06,0,0,0,105.99,0.0033196,0,,0.064,10,0.064,0
0.44905,7.5102e-06,1.4336e+05,0,7.3458e-06,3.3068,311.33,6.1162,0,198.88,14145,-1.4033e+06,0,0,0,105.91,0.0033271,0,,0.08,10,0.08,0
0.44784,7.4921e-06,1.4297e+05,0,7.34e-06,3.3085,310.51,6.5542,0,199.27,14096,-1.4034e+06,0,0,0,105.83,0.0033346,0,,0.096,10,0.096,0
0.44662,7.4739e-06,1.4258e+05,0,7.3341e-06,3.3101,309.68,6.9923,0,199.65,14046,-1.4035e+06,0,0,0,105.74,0.0033421,0,,0.112,10,0.112,0
0.44541,7.4558e-06,1.4219e+05,0,7.3282e-06,3.3117,308.86,7.4303,0,200.04,13997,-1.4036e+06,0,0,0,105.66,0.0033496,0,,0.128,10,0.128,0
0.44419,7.4377e-06,1.4179e+05,0,7.3223e-06,3.3134,308.03,7.8684,0,200.43,13947,-1.4037e+06,0,0,0,105.58,0.0033572,0,,0.144,10,0.144,0
0.44298,7.4195e-06,1.414e+05,0,7.3165e-06,3.315,307.21,8.3064,0,200.81,13898,-1.4038e+06,0,0,0,105.49,0.0033647,0,,0.16,10,0.16,0
0.44176,7.4014e-06,1.4101e+05,0,7.3106e-06,3.3167,306.38,8.7444,0,201.2,13848,-1.4038e+06,0,0,0,105.41,0.0033722,0,,0.176,10,0.176,0
0.44055,7.3833e-06,1.4062e+05,0,7.3047e-06,3.3183,305.56,9.1825,0,201.58,13799,-1.4039e+06,0,0,0,105.32,0.0033797,0,,0.192,10,0.192,0
0.43933,7.3651e-06,1.4022e+05,0,7.2989e-06,3.32,304.73,9.6205,0,201.97,13749,-1.404e+06,0,0,0,105.24,0.0033872,0,,0.208,10,0.208,0
0.43811,7.347e-06,1.3983e+05,0,7.293e-06,3.3216,303.91,10.059,0,202.35,13700,-1.4041e+06,0,0,0,105.16,0.0033947,0,,0.224,10,0.224,0
0.4369,7.3289e-06,1.3944e+05,0,7.2871e-06,3.3232,303.08,10.497,0,202.74,13651,-1.4042e+06,0,0,0,105.07,0.0034022,0,,0.24,10,0.24,0
0.43568,7.3107e-06,1.3905e+05,0,7.2812e-06,3.3249,302.26,10.935,0,203.13,13601,-1.4043e+06,0,0,0,104.99,0.0034098,0,,0.256,10,0.256,0
0.43447,7.2926e-06,1.3866e+05,0,7.2754e-06,3.3265,301.43,11.373,0,203.51,13552,-1.4044e+06,0,0,0,104.9,0.0034173,0,,0.272,10,0.272,0
0.43325,7.2745e-06,1.3826e+05,0,7.2695e-06,3.3282,300.61,11.811,0,203.9,13502,-1.4045e+06,0,0,0,104.82,0.0034248,0,,0.288,10,0.288,0
0.43204,7.2563e-06,1.3787e+05,0,7.2636e-06,3.3298,299.78,12.249,0,204.28,13453,-1.4045e+06,0,0,0,104.74,0.0034323,0,,0.304,10,0.304,0
0.43082,7.2382e-06,1.3748e+05,0,7.2578e-06,3.3315,298.96,12.687,0,204.67,13403,-1.4046e+06,0,0,0,104.65,0.0034398,0,,0.32,10,0.32,0
0.42961,7.2201e-06,1.3709e+05,0,7.2519e-06,3.3331,298.13,13.125,0,205.06,13354,-1.4047e+06,0,0,0,104.57,0.0034473,0,,0.336,10,0.336,0
0.42839,7.202e-06,1.3669e+05,0,7.246e-06,3.3348,297.31,13.563,0,205.44,13304,-1.4048e+06,0,0,0,104.49,0.0034548,0,,0.352,10,0.352,0
0.42718,7.1838e-06,1.363e+05,0,7.2402e-06,3.3364,296.48,14.001,0,205.83,13255,-1.4049e+06,0,0,0,104.4,0.0034623,0,,0.368,10,0.368,0
0.42596,7.1657e-06,1.3591e+05,0,7.2343e-06,3.338,295.66,14.439,0,206.21,13205,-1.405e+06,0,0,0,104.32,0.0034699,0,,0.384,10,0.384,0
0.42474,7.1476e-06,1.3552e+05,0,7.2284e-06,3.3397,294.83,14.877,0,206.6,13156,-1.4051e+06,0,0,0,104.23,0.0034774,0,,0.4,10,0.4,0
0.42353,7.1294e-06,1.3512e+05,0,7.2225e-06,3.3413,294.01,15.315,0,206.99,13106,-1.4052e+06,0,0,0,104.15,0.0034849,0,,0.416,10,0.416,0
0.42231,7.1113e-06,1.3473e+05,0,7.2167e-06,3.343,293.18,15.753,0,207.37,13057,-1.4053e+06,0,0,0,104.07,0.0034924,0,,0.432,10,0.432,0
0.4211,7.0932e-06,1.3434e+05,0,7.2108e-06,3.3446,292.36,16.191,0,207.76,13007,-1.4053e+06,0,0,0,103.98,0.0034999,0,,0.448,10,0.448,0
