"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.39806,0.0030139,1.2873e+05,0,7.1329e-06,3.402,279.52,6.3514,0,242.82,12213,-1.4068e+06,0,0,0,102.9,1.8717,0,,0,10,0,0
0.39776,0.0030561,1.2861e+05,0,7.1326e-06,3.4014,279.26,6.7517,0,243.21,12202,-1.4068e+06,0,0,0,102.89,1.9023,0,,0.016,10,0.016,0
0.39747,0.0030984,1.2848e+05,0,7.1323e-06,3.4009,279,7.152,0,243.59,12191,-1.4068e+06,0,0,0,102.89,1.9329,0,,0.032,10,0.032,0
0.39718,0.0031406,1.2836e+05,0,7.132e-06,3.4003,278.74,7.5523,0,243.98,12180,-1.4068e+06,0,0,0,102.88,1.9635,0,,0.048,10,0.048,0
0.39688,0.0031828,1.2823e+05,0,7.1316e-06,3.3998,278.48,7.9526,0,244.37,12168,-1.4068e+06,0,0,0,102.88,1.9941,0,,0.064,10,0.064,0
0.39659,0.0032251,1.2811e+05,0,7.1313e-06,3.3992,278.22,8.3528,0,244.76,12157,-1.4069e+06,0,0,0,102.87,2.0247,0,,0.08,10,0.08,0
0.3963,0.0032673,1.2798e+05,0,7.131e-06,3.3987,277.96,8.7531,0,245.15,12146,-1.4069e+06,0,0,0,102.87,2.0552,0,,0.096,10,0.096,0
0.396,0.0033095,1.2786e+05,0,7.1307e-06,3.3982,277.7,9.1534,0,245.54,12135,-1.4069e+06,0,0,0,102.86,2.0858,0,,0.112,10,0.112,0
0.39571,0.0033518,1.2773e+05,0,7.1304e-06,3.3976,277.44,9.5537,0,245.92,12124,-1.4069e+06,0,0,0,102.86,2.1164,0,,0.128,10,0.128,0
0.39542,0.003394,1.2761e+05,0,7.13e-06,3.3971,277.18,9.954,0,246.31,12113,-1.4069e+06,0,0,0,102.85,2.147,0,,0.144,10,0.144,0
0.39512,0.0034362,1.2748e+05,0,7.1297e-06,3.3965,276.92,10.354,0,246.7,12102,-1.407e+06,0,0,0,102.85,2.1776,0,,0.16,10,0.16,0
0.39483,0.0034785,1.2736e+05,0,7.1294e-06,3.396,276.66,10.755,0,247.09,12090,-1.407e+06,0,0,0,102.84,2.2081,0,,0.176,10,0.176,0
0.39454,0.0035207,1.2723e+05,0,7.1291e-06,3.3954,276.4,11.155,0,247.48,12079,-1.407e+06,0,0,0,102.84,2.2387,0,,0.192,10,0.192,0
0.39424,0.0035629,1.2711e+05,0,7.1287e-06,3.3949,276.14,11.555,0,247.87,12068,-1.407e+06,0,0,0,102.83,2.2693,0,,0.208,10,0.208,0
0.39395,0.0036052,1.2698e+05,0,7.1284e-06,3.3944,275.88,11.955,0,248.25,12057,-1.407e+06,0,0,0,102.82,2.2999,0,,0.224,10,0.224,0
0.39366,0.0036474,1.2686e+05,0,7.1281e-06,3.3938,275.62,12.356,0,248.64,12046,-1.4071e+06,0,0,0,102.82,2.3305,0,,0.24,10,0.24,0
0.39336,0.0036896,1.2673e+05,0,7.1278e-06,3.3933,275.36,12.756,0,249.03,12035,-1.4071e+06,0,0,0,102.81,2.3611,0,,0.256,10,0.256,0
0.39307,0.0037319,1.2661e+05,0,7.1274e-06,3.3927,275.1,13.156,0,249.42,12024,-1.4071e+06,0,0,0,102.81,2.3916,0,,0.272,10,0.272,0
0.39278,0.0037741,1.2648e+05,0,7.1271e-06,3.3922,274.84,13.556,0,249.81,12012,-1.4071e+06,0,0,0,102.8,2.4222,0,,0.288,10,0.288,0
0.39248,0.0038163,1.2636e+05,0,7.1268e-06,3.3916,274.58,13.957,0,250.2,12001,-1.4071e+06,0,0,0,102.8,2.4528,0,,0.304,10,0.304,0
0.39219,0.0038586,1.2623e+05,0,7.1265e-06,3.3911,274.32,14.357,0,250.58,11990,-1.4072e+06,0,0,0,102.79,2.4834,0,,0.32,10,0.32,0
0.39189,0.0039008,1.261e+05,0,7.1261e-06,3.3905,274.06,14.757,0,250.97,11979,-1.4072e+06,0,0,0,102.79,2.514,0,,0.336,10,0.336,0
0.3916,0.003943,1.2598e+05,0,7.1258e-06,3.39,273.8,15.158,0,251.36,11968,-1.4072e+06,0,0,0,102.78,2.5446,0,,0.352,10,0.352,0
0.39131,0.0039853,1.2585e+05,0,7.1255e-06,3.3895,273.54,15.558,0,251.75,11957,-1.4072e+06,0,0,0,102.78,2.5751,0,,0.368,10,0.368,0
0.39101,0.0040275,1.2573e+05,0,7.1252e-06,3.3889,273.28,15.958,0,252.14,11946,-1.4072e+06,0,0,0,102.77,2.6057,0,,0.384,10,0.384,0
0.39072,0.0040697,1.256e+05,0,7.1248e-06,3.3884,273.02,16.358,0,252.53,11934,-1.4073e+06,0,0,0,102.77,2.6363,0,,0.4,10,0.4,0
0.39043,0.004112,1.2548e+05,0,7.1245e-06,3.3878,272.75,16.759,0,252.91,11923,-1.4073e+06,0,0,0,102.76,2.6669,0,,0.416,10,0.416,0
0.39013,0.0041542,1.2535e+05,0,7.1242e-06,3.3873,272.49,17.159,0,253.3,11912,-1.4073e+06,0,0,0,102.76,2.6975,0,,0.432,10,0.432,0
0.38984,0.0041964,1.2523e+05,0,7.1239e-06,3.3867,272.23,17.559,0,253.69,11901,-1.4073e+06,0,0,0,102.75,2.7281,0,,0.448,10,0.448,0
0.38989,0.0042607,1.2521e+05,0,7.1269e-06,3.385,272.18,17.912,0,254.07,11907,-1.4073e+06,0,0,0,102.79,2.7762,0,,0.464,10,0.464,0
0.39016,0.0043393,1.2525e+05,0,7.132e-06,3.3826,272.27,18.235,0,254.46,11923,-1.4073e+06,0,0,0,102.87,2.8357,0,,0.48,10,0.48,0
0.39043,0.0044178,1.2529e+05,0,7.1372e-06,3.3802,272.35,18.558,0,254.84,11939,-1.4073e+06,0,0,0,102.94,2.8952,0,,0.496,10,0.496,0
0.3907,0.0044964,1.2534e+05,0,7.1423e-06,3.3777,272.44,18.88,0,255.22,11956,-1.4072e+06,0,0,0,103.01,2.9548,0,,0.512,10,0.512,0
0.39242,0.0048584,1.2582e+05,0,7.1543e-06,3.3731,273.47,19.043,0,255.88,12029,-1.4071e+06,0,0,0,103.18,3.1812,0,,0.528,10,0.528,0
0.39449,0.0052893,1.2642e+05,0,7.1681e-06,3.3679,274.73,19.166,0,256.62,12117,-1.4069e+06,0,0,0,103.38,3.4482,0,,0.544,10,0.544,0
0.39656,0.0057202,1.2702e+05,0,7.1818e-06,3.3627,275.99,19.29,0,257.35,12204,-1.4068e+06,0,0,0,103.57,3.7153,0,,0.56,10,0.56,0
0.39863,0.0061511,1.2762e+05,0,7.1955e-06,3.3575,277.25,19.414,0,258.09,12292,-1.4066e+06,0,0,0,103.77,3.9823,0,,0.576,10,0.576,0
0.40038,0.0064934,1.2813e+05,0,7.2061e-06,3.3536,278.31,19.596,0,258.89,12365,-1.4065e+06,0,0,0,103.92,4.1966,0,,0.592,10,0.592,0
0.4021,0.0068269,1.2863e+05,0,7.2164e-06,3.3498,279.36,19.784,0,259.71,12438,-1.4064e+06,0,0,0,104.06,4.4057,0,,0.608,10,0.608,0
0.40383,0.0071603,1.2913e+05,0,7.2266e-06,3.346,280.41,19.973,0,260.53,12510,-1.4062e+06,0,0,0,104.21,4.6148,0,,0.624,10,0.624,0
0.40555,0.0074938,1.2964e+05,0,7.2369e-06,3.3422,281.46,20.161,0,261.34,12582,-1.4061e+06,0,0,0,104.36,4.8238,0,,0.64,10,0.64,0
0.40727,0.0078272,1.3014e+05,0,7.2471e-06,3.3383,282.51,20.349,0,262.16,12655,-1.406e+06,0,0,0,104.5,5.0329,0,,0.656,10,0.656,0
0.40899,0.0081606,1.3064e+05,0,7.2574e-06,3.3345,283.55,20.537,0,262.97,12727,-1.4058e+06,0,0,0,104.65,5.2419,0,,0.672,10,0.672,0
0.41071,0.0084941,1.3114e+05,0,7.2677e-06,3.3307,284.6,20.726,0,263.79,12799,-1.4057e+06,0,0,0,104.8,5.451,0,,0.688,10,0.688,0
0.41244,0.0088275,1.3165e+05,0,7.2779e-06,3.3269,285.65,20.914,0,264.61,12872,-1.4056e+06,0,0,0,104.94,5.6601,0,,0.704,10,0.704,0
0.41416,0.009161,1.3215e+05,0,7.2882e-06,3.3231,286.7,21.102,0,265.42,12944,-1.4055e+06,0,0,0,105.09,5.8691,0,,0.72,10,0.72,0
0.41588,0.0094944,1.3265e+05,0,7.2984e-06,3.3193,287.74,21.291,0,266.24,13016,-1.4053e+06,0,0,0,105.23,6.0782,0,,0.736,10,0.736,0
0.4176,0.0098279,1.3315e+05,0,7.3087e-06,3.3155,288.79,21.479,0,267.05,13089,-1.4052e+06,0,0,0,105.38,6.2873,0,,0.752,10,0.752,0
0.41932,0.010161,1.3365e+05,0,7.319e-06,3.3116,289.84,21.667,0,267.87,13161,-1.4051e+06,0,0,0,105.53,6.4963,0,,0.768,10,0.768,0
0.42105,0.010495,1.3416e+05,0,7.3292e-06,3.3078,290.89,21.856,0,268.69,13233,-1.4049e+06,0,0,0,105.67,6.7054,0,,0.784,10,0.784,0
0.42277,0.010828,1.3466e+05,0,7.3395e-06,3.304,291.94,22.044,0,269.5,13306,-1.4048e+06,0,0,0,105.82,6.9145,0,,0.8,10,0.8,0
0.42449,0.011162,1.3516e+05,0,7.3497e-06,3.3002,292.98,22.232,0,270.32,13378,-1.4047e+06,0,0,0,105.97,7.1235,0,,0.816,10,0.816,0
0.42621,0.011495,1.3566e+05,0,7.36e-06,3.2964,294.03,22.42,0,271.13,13450,-1.4046e+06,0,0,0,106.11,7.3326,0,,0.832,10,0.832,0
0.42793,0.011829,1.3616e+05,0,7.3702e-06,3.2926,295.08,22.609,0,271.95,13523,-1.4044e+06,0,0,0,106.26,7.5417,0,,0.848,10,0.848,0
0.42966,0.012162,1.3667e+05,0,7.3805e-06,3.2888,296.13,22.797,0,272.77,13595,-1.4043e+06,0,0,0,106.4,7.7507,0,,0.864,10,0.864,0
0.43138,0.012495,1.3717e+05,0,7.3908e-06,3.2849,297.18,22.985,0,273.58,13667,-1.4042e+06,0,0,0,106.55,7.9598,0,,0.88,10,0.88,0
0.4331,0.012829,1.3767e+05,0,7.401e-06,3.2811,298.22,23.174,0,274.4,13739,-1.404e+06,0,0,0,106.7,8.1689,0,,0.896,10,0.896,0
0.43482,0.013162,1.3817e+05,0,7.4113e-06,3.2773,299.27,23.362,0,275.21,13812,-1.4039e+06,0,0,0,106.84,8.3779,0,,0.912,10,0.912,0
0.43654,0.013496,1.3867e+05,0,7.4215e-06,3.2735,300.32,23.55,0,276.03,13884,-1.4038e+06,0,0,0,106.99,8.587,0,,0.928,10,0.928,0
0.43827,0.013829,1.3918e+05,0,7.4318e-06,3.2697,301.37,23.738,0,276.85,13956,-1.4036e+06,0,0,0,107.14,8.7961,0,,0.944,10,0.944,0
0.43999,0.014163,1.3968e+05,0,7.4421e-06,3.2659,302.41,23.927,0,277.66,14029,-1.4035e+06,0,0,0,107.28,9.0051,0,,0.96,10,0.96,0
