"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.774,0.00018547,1.9537e+06,0,1.9993e-05,0.23572,682.16,-0.10518,0,1.1741e+05,7.6951e+05,-54451,0,0,0,333.28,2.8011,0,,0,-8.1,0,0
7.7737,0.00018179,1.9537e+06,0,1.9993e-05,0.23609,683.2,-0.14987,0,89439,7.6946e+05,-54538,0,0,0,333.27,2.1234,0,,0.0731,-8.0269,0,0
7.7734,0.00017812,1.9537e+06,0,1.9992e-05,0.23646,684.24,-0.19455,0,61465,7.6941e+05,-54625,0,0,0,333.26,1.4457,0,,0.1462,-7.9538,0,0
7.7731,0.00017444,1.9536e+06,0,1.9992e-05,0.23683,685.28,-0.23924,0,33492,7.6936e+05,-54712,0,0,0,333.26,0.76803,0,,0.2193,-7.8807,0,0
7.7718,0.00016932,1.9533e+06,0,1.9991e-05,0.23743,686.89,-0.30917,0,17188,7.6919e+05,-55018,0,0,0,333.24,0.3786,0,,0.2924,-7.8076,0,0
7.7698,0.00016317,1.9529e+06,0,1.999e-05,0.2382,688.9,-0.39699,0,9159.4,7.6893e+05,-55479,0,0,0,333.21,0.19358,0,,0.3655,-7.7345,0,0
7.7677,0.00015862,1.9524e+06,0,1.9989e-05,0.23902,691.05,-0.54165,0,6345.2,7.6867e+05,-55946,0,0,0,333.19,0.13041,0,,0.4386,-7.6614,0,0
7.7659,0.00015447,1.952e+06,0,1.9988e-05,0.23988,693.35,-0.61729,0,4433.2,7.6843e+05,-56376,0,0,0,333.16,0.088232,0,,0.5117,-7.5883,0,0
7.7641,0.00015105,1.9517e+06,0,1.9986e-05,0.2411,696.68,-0.42736,0,3409.2,7.6818e+05,-56818,0,0,0,333.13,0.066402,0,,0.5848,-7.5152,0,0
7.7608,0.00014824,1.951e+06,0,1.9984e-05,0.2426,700.67,-0.52333,0,2741.1,7.6773e+05,-57619,0,0,0,333.08,0.052395,0,,0.6579,-7.4421,0,0
7.7578,0.00014657,1.9503e+06,0,1.9982e-05,0.24405,704.55,-0.67287,0,2415.4,7.6733e+05,-58331,0,0,0,333.03,0.04566,0,,0.731,-7.369,0,0
7.7554,0.00014473,1.9498e+06,0,1.998e-05,0.24564,708.86,-0.50079,0,2092.6,7.6698e+05,-58963,0,0,0,332.98,0.039058,0,,0.8041,-7.2959,0,0
7.7517,0.00014316,1.9491e+06,0,1.9977e-05,0.24763,714.18,-0.38782,0,1854.3,7.6647e+05,-59879,0,0,0,332.92,0.034247,0,,0.8772,-7.2228,0,0
7.7476,0.00014188,1.9482e+06,0,1.9974e-05,0.24987,720.19,-0.49984,0,1682.9,7.6589e+05,-60909,0,0,0,332.85,0.030821,0,,0.9503,-7.1497,0,0
7.7429,0.00014039,1.9472e+06,0,1.997e-05,0.25205,725.95,-0.65638,0,1504.8,7.6525e+05,-62051,0,0,0,332.77,0.027289,0,,1.0234,-7.0766,0,0
7.7394,0.00013928,1.9465e+06,0,1.9967e-05,0.25431,732.05,-0.49295,0,1381.5,7.6475e+05,-62951,0,0,0,332.7,0.024864,0,,1.0965,-7.0035,0,0
7.7343,0.00013831,1.9455e+06,0,1.9963e-05,0.25713,739.57,-0.34978,0,1284.4,7.6405e+05,-64195,0,0,0,332.62,0.022969,0,,1.1696,-6.9304,0,0
7.7274,0.00013715,1.944e+06,0,1.9959e-05,0.26004,747.16,-0.75244,0,1180.9,7.6314e+05,-65821,0,0,0,332.52,0.020962,0,,1.2427,-6.8573,0,0
7.7228,0.00013623,1.9431e+06,0,1.9955e-05,0.26286,754.73,-0.71942,0,1103.9,7.6248e+05,-67001,0,0,0,332.43,0.019472,0,,1.3158,-6.7842,0,0
7.7154,0.00013526,1.9414e+06,0,1.995e-05,0.26596,762.78,-0.89517,0,1030.8,7.615e+05,-68758,0,0,0,332.32,0.018071,0,,1.3889,-6.7111,0,0
7.7092,0.0001344,1.9402e+06,0,1.9945e-05,0.26912,771.09,-0.84719,0,969.57,7.6064e+05,-70284,0,0,0,332.21,0.016903,0,,1.462,-6.638,0,0
7.7022,0.0001336,1.9387e+06,0,1.994e-05,0.27247,779.83,-0.79624,0,916.35,7.5968e+05,-71996,0,0,0,332.09,0.015895,0,,1.5351,-6.5649,0,0
7.6949,0.00013292,1.9371e+06,0,1.9934e-05,0.27607,789.25,-0.80151,0,874.59,7.5867e+05,-73806,0,0,0,331.96,0.015108,0,,1.6082,-6.4918,0,0
7.6867,0.00013218,1.9355e+06,0,1.9928e-05,0.28017,799.95,-0.67376,0,831.84,7.5754e+05,-75824,0,0,0,331.83,0.014305,0,,1.6813,-6.4187,0,0
7.6772,0.00013145,1.9334e+06,0,1.9921e-05,0.2842,810.25,-1.0073,0,793.36,7.5626e+05,-78109,0,0,0,331.67,0.013585,0,,1.7544,-6.3456,0,0
7.6697,0.00013077,1.9319e+06,0,1.9915e-05,0.28831,821,-0.53422,0,758.26,7.5519e+05,-80012,0,0,0,331.53,0.012929,0,,1.8275,-6.2725,0,0
7.6591,0.00013008,1.9297e+06,0,1.9907e-05,0.29296,832.89,-0.68686,0,726.03,7.5377e+05,-82553,0,0,0,331.36,0.01233,0,,1.9006,-6.1994,0,0
7.6499,0.00012946,1.9278e+06,0,1.9899e-05,0.29777,845.3,-0.47764,0,698.1,7.5245e+05,-84905,0,0,0,331.18,0.011814,0,,1.9737,-6.1263,0,0
7.6392,0.00012883,1.9256e+06,0,1.9891e-05,0.30265,857.7,-0.47322,0,671.25,7.5098e+05,-87527,0,0,0,331,0.011321,0,,2.0468,-6.0532,0,0
7.6274,0.00012826,1.9232e+06,0,1.9881e-05,0.30801,871.27,-0.54522,0,649.13,7.4936e+05,-90437,0,0,0,330.79,0.010915,0,,2.1199,-5.9801,0,0
7.6154,0.00012766,1.9206e+06,0,1.9872e-05,0.3133,884.59,-0.56486,0,627.04,7.477e+05,-93389,0,0,0,330.58,0.010511,0,,2.193,-5.907,0,0
7.6017,0.00012707,1.9177e+06,0,1.9861e-05,0.31893,898.52,-0.77765,0,607.54,7.4583e+05,-96732,0,0,0,330.35,0.010156,0,,2.2661,-5.8339,0,0
7.589,0.00012651,1.9151e+06,0,1.9851e-05,0.32467,912.84,-0.57532,0,589.13,7.4406e+05,-99892,0,0,0,330.11,0.0098208,0,,2.3392,-5.7608,0,0
7.574,0.00012592,1.9118e+06,0,1.9839e-05,0.33069,927.58,-0.75336,0,572.18,7.4202e+05,-1.0354e+05,0,0,0,329.86,0.009513,0,,2.4123,-5.6877,0,0
7.5594,0.00012538,1.9088e+06,0,1.9827e-05,0.33702,943.14,-0.61217,0,557.16,7.3999e+05,-1.0716e+05,0,0,0,329.6,0.0092407,0,,2.4854,-5.6146,0,0
7.544,0.00012484,1.9056e+06,0,1.9816e-05,0.34326,958.26,-0.44447,0,543.28,7.3791e+05,-1.1088e+05,0,0,0,329.34,0.00899,0,,2.5585,-5.5415,0,0
7.5261,0.00012428,1.9019e+06,0,1.9801e-05,0.35053,975.79,-0.56155,0,530.82,7.3546e+05,-1.1525e+05,0,0,0,329.03,0.0087653,0,,2.6316,-5.4684,0,0
7.5083,0.00012371,1.8981e+06,0,1.9787e-05,0.35744,992.2,-0.48238,0,518.15,7.3303e+05,-1.196e+05,0,0,0,328.72,0.0085375,0,,2.7047,-5.3953,0,0
7.4893,0.00012316,1.894e+06,0,1.9772e-05,0.36449,1008.7,-0.51904,0,507.41,7.3043e+05,-1.2423e+05,0,0,0,328.39,0.0083446,0,,2.7778,-5.3222,0,0
7.4689,0.0001226,1.8896e+06,0,1.9756e-05,0.37194,1026,-0.41176,0,496.85,7.2766e+05,-1.2918e+05,0,0,0,328.03,0.0081559,0,,2.8509,-5.2491,0,0
7.4478,0.00012202,1.885e+06,0,1.974e-05,0.37948,1043.2,-0.42903,0,486.15,7.2479e+05,-1.3431e+05,0,0,0,327.66,0.0079647,0,,2.924,-5.176,0,0
7.4244,0.00012144,1.8798e+06,0,1.972e-05,0.38766,1061.7,-0.31763,0,476.87,7.2157e+05,-1.4005e+05,0,0,0,327.24,0.0078001,0,,2.9971,-5.1029,0,0
7.3985,0.00012081,1.874e+06,0,1.9699e-05,0.39621,1080.5,-0.36345,0,467.32,7.1804e+05,-1.4636e+05,0,0,0,326.77,0.0076307,0,,3.0702,-5.0298,0,0
7.3707,0.00012018,1.8679e+06,0,1.9677e-05,0.40544,1100.7,-0.55791,0,459.34,7.1427e+05,-1.5308e+05,0,0,0,326.29,0.0074892,0,,3.1433,-4.9567,0,0
