"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2159,5.1898e-06,1.5378e+06,0,2.5374e-05,2.5398,477.03,0.8925,0,92.857,28660,-2.3643e+06,0,0,0,464.15,0.00039634,0,,0,9,0,0
1.2141,5.182e-06,1.5355e+06,0,2.5373e-05,2.5401,476.38,1.6035,0,92.777,28617,-2.3644e+06,0,0,0,464.11,0.00039599,0,,0.016,9,0.016,0
1.212,5.1727e-06,1.5327e+06,0,2.5372e-05,2.5404,475.59,2.3215,0,92.67,28564,-2.3646e+06,0,0,0,464.07,0.00039552,0,,0.032,9,0.032,0
1.209,5.16e-06,1.5289e+06,0,2.537e-05,2.5408,474.49,3.0556,0,92.498,28493,-2.3648e+06,0,0,0,464.04,0.00039478,0,,0.048,9,0.048,0
1.2074,5.1529e-06,1.5267e+06,0,2.5369e-05,2.5412,473.92,3.7848,0,92.365,28453,-2.3649e+06,0,0,0,464.01,0.00039419,0,,0.064,9,0.064,0
1.2064,5.1484e-06,1.5254e+06,0,2.5368e-05,2.5417,473.61,4.5114,0,92.251,28429,-2.365e+06,0,0,0,463.98,0.00039369,0,,0.08,9,0.08,0
1.2061,5.1468e-06,1.525e+06,0,2.5368e-05,2.5421,473.55,5.2604,0,92.125,28421,-2.365e+06,0,0,0,463.97,0.00039313,0,,0.096,9,0.096,0
1.2057,5.1449e-06,1.5245e+06,0,2.5367e-05,2.5426,473.46,6.0046,0,91.994,28411,-2.365e+06,0,0,0,463.95,0.00039255,0,,0.112,9,0.112,0
1.2055,5.1439e-06,1.5243e+06,0,2.5367e-05,2.5429,473.45,6.8094,0,91.834,28406,-2.365e+06,0,0,0,463.94,0.00039185,0,,0.128,9,0.128,0
1.2054,5.1431e-06,1.5241e+06,0,2.5366e-05,2.5433,473.44,7.6428,0,91.683,28402,-2.365e+06,0,0,0,463.93,0.00039118,0,,0.144,9,0.144,0
1.2052,5.1421e-06,1.5239e+06,0,2.5366e-05,2.5436,473.42,8.5105,0,91.572,28398,-2.3651e+06,0,0,0,463.93,0.00039069,0,,0.16,9,0.16,0
1.2051,5.1414e-06,1.5238e+06,0,2.5366e-05,2.5438,473.4,9.3899,0,91.458,28395,-2.3651e+06,0,0,0,463.93,0.00039019,0,,0.176,9,0.176,0
1.2051,5.1411e-06,1.5238e+06,0,2.5366e-05,2.544,473.4,10.294,0,91.348,28394,-2.3651e+06,0,0,0,463.92,0.0003897,0,,0.192,9,0.192,0
1.2051,5.1408e-06,1.5237e+06,0,2.5366e-05,2.5441,473.4,11.193,0,91.218,28394,-2.3651e+06,0,0,0,463.92,0.00038913,0,,0.208,9,0.208,0
1.2051,5.1406e-06,1.5237e+06,0,2.5366e-05,2.5442,473.4,12.095,0,91.078,28394,-2.3651e+06,0,0,0,463.92,0.00038852,0,,0.224,9,0.224,0
1.2051,5.1406e-06,1.5238e+06,0,2.5366e-05,2.5443,473.4,12.994,0,90.938,28395,-2.3651e+06,0,0,0,463.92,0.0003879,0,,0.24,9,0.24,0
1.2051,5.1404e-06,1.5238e+06,0,2.5366e-05,2.5444,473.39,13.885,0,90.803,28394,-2.3651e+06,0,0,0,463.91,0.00038731,0,,0.256,9,0.256,0
1.2051,5.1401e-06,1.5238e+06,0,2.5365e-05,2.5445,473.37,14.771,0,90.686,28394,-2.3651e+06,0,0,0,463.91,0.0003868,0,,0.272,9,0.272,0
1.2051,5.1397e-06,1.5237e+06,0,2.5365e-05,2.5445,473.33,15.649,0,90.564,28392,-2.3651e+06,0,0,0,463.91,0.00038627,0,,0.288,9,0.288,0
1.2049,5.139e-06,1.5235e+06,0,2.5365e-05,2.5446,473.27,16.521,0,90.445,28389,-2.3651e+06,0,0,0,463.9,0.00038574,0,,0.304,9,0.304,0
1.2048,5.1381e-06,1.5233e+06,0,2.5365e-05,2.5448,473.19,17.386,0,90.328,28385,-2.3651e+06,0,0,0,463.9,0.00038524,0,,0.32,9,0.32,0
1.2045,5.137e-06,1.523e+06,0,2.5365e-05,2.5449,473.09,18.243,0,90.237,28379,-2.3651e+06,0,0,0,463.89,0.00038483,0,,0.336,9,0.336,0
1.2043,5.1357e-06,1.5227e+06,0,2.5365e-05,2.545,472.98,19.093,0,90.16,28373,-2.3651e+06,0,0,0,463.89,0.00038449,0,,0.352,9,0.352,0
1.2039,5.1342e-06,1.5223e+06,0,2.5364e-05,2.5452,472.85,19.937,0,90.056,28365,-2.3652e+06,0,0,0,463.88,0.00038404,0,,0.368,9,0.368,0
1.2036,5.1324e-06,1.5218e+06,0,2.5364e-05,2.5454,472.7,20.774,0,89.931,28356,-2.3652e+06,0,0,0,463.88,0.00038349,0,,0.384,9,0.384,0
1.2032,5.1305e-06,1.5213e+06,0,2.5364e-05,2.5456,472.53,21.608,0,89.818,28346,-2.3652e+06,0,0,0,463.87,0.000383,0,,0.4,9,0.4,0
1.2027,5.1285e-06,1.5207e+06,0,2.5364e-05,2.5458,472.36,22.439,0,89.719,28336,-2.3653e+06,0,0,0,463.87,0.00038257,0,,0.416,9,0.416,0
1.2023,5.1264e-06,1.5201e+06,0,2.5364e-05,2.546,472.17,23.266,0,89.622,28324,-2.3653e+06,0,0,0,463.86,0.00038214,0,,0.432,9,0.432,0
1.2017,5.1241e-06,1.5195e+06,0,2.5363e-05,2.5462,471.96,24.094,0,89.509,28312,-2.3653e+06,0,0,0,463.86,0.00038165,0,,0.448,9,0.448,0
1.2012,5.1217e-06,1.5188e+06,0,2.5363e-05,2.5464,471.76,24.918,0,89.381,28300,-2.3654e+06,0,0,0,463.85,0.0003811,0,,0.464,9,0.464,0
1.2007,5.1193e-06,1.5181e+06,0,2.5363e-05,2.5466,471.53,25.745,0,89.29,28286,-2.3654e+06,0,0,0,463.85,0.0003807,0,,0.48,9,0.48,0
