"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1889,5.1977e-06,1.5042e+06,0,2.5372e-05,2.5494,468.28,1.5195,0,100.94,28026,-2.3662e+06,0,0,0,464.08,0.00044129,0,,0,9,0,0
1.1872,5.1902e-06,1.5019e+06,0,2.5371e-05,2.5487,467.45,2.4535,0,100.7,27984,-2.3663e+06,0,0,0,464.06,0.00044023,0,,0.016,9,0.016,0
1.1859,5.1845e-06,1.5002e+06,0,2.537e-05,2.5483,466.85,3.3131,0,100.45,27952,-2.3664e+06,0,0,0,464.04,0.00043914,0,,0.032,9,0.032,0
1.1852,5.1818e-06,1.4993e+06,0,2.5369e-05,2.5485,466.61,4.0551,0,100.19,27936,-2.3665e+06,0,0,0,464.01,0.00043804,0,,0.048,9,0.048,0
1.1843,5.178e-06,1.4981e+06,0,2.5368e-05,2.5485,466.24,4.8131,0,99.968,27913,-2.3665e+06,0,0,0,463.98,0.00043706,0,,0.064,9,0.064,0
1.1831,5.1727e-06,1.4964e+06,0,2.5367e-05,2.5484,465.72,5.5878,0,99.794,27882,-2.3666e+06,0,0,0,463.95,0.0004363,0,,0.08,9,0.08,0
1.1847,5.18e-06,1.4984e+06,0,2.5367e-05,2.548,466.28,6.1409,0,99.49,27920,-2.3665e+06,0,0,0,463.94,0.000435,0,,0.096,9,0.096,0
1.1864,5.1874e-06,1.5004e+06,0,2.5366e-05,2.5476,466.83,6.694,0,99.186,27957,-2.3664e+06,0,0,0,463.93,0.00043369,0,,0.112,9,0.112,0
1.1883,5.1963e-06,1.5028e+06,0,2.5366e-05,2.5471,467.48,7.2784,0,98.898,28003,-2.3663e+06,0,0,0,463.94,0.00043246,0,,0.128,9,0.128,0
1.1907,5.2072e-06,1.5058e+06,0,2.5367e-05,2.5462,468.25,7.9244,0,98.603,28059,-2.3661e+06,0,0,0,463.96,0.00043122,0,,0.144,9,0.144,0
1.193,5.2181e-06,1.5088e+06,0,2.5368e-05,2.5454,469.02,8.5705,0,98.308,28116,-2.3659e+06,0,0,0,463.97,0.00042998,0,,0.16,9,0.16,0
1.1947,5.2262e-06,1.5109e+06,0,2.5368e-05,2.5449,469.56,9.3172,0,98.029,28156,-2.3658e+06,0,0,0,463.99,0.00042882,0,,0.176,9,0.176,0
1.196,5.2325e-06,1.5125e+06,0,2.5369e-05,2.5444,469.96,10.125,0,97.761,28186,-2.3657e+06,0,0,0,463.99,0.00042771,0,,0.192,9,0.192,0
1.1973,5.2389e-06,1.5141e+06,0,2.5369e-05,2.544,470.37,10.931,0,97.494,28216,-2.3656e+06,0,0,0,464,0.0004266,0,,0.208,9,0.208,0
1.1979,5.2427e-06,1.5149e+06,0,2.5369e-05,2.5439,470.57,11.821,0,97.283,28231,-2.3656e+06,0,0,0,464,0.00042576,0,,0.224,9,0.224,0
1.1985,5.2464e-06,1.5157e+06,0,2.5369e-05,2.5438,470.77,12.716,0,97.087,28245,-2.3655e+06,0,0,0,464,0.00042499,0,,0.24,9,0.24,0
1.1988,5.2491e-06,1.5161e+06,0,2.5369e-05,2.5438,470.88,13.621,0,96.884,28252,-2.3655e+06,0,0,0,463.99,0.00042421,0,,0.256,9,0.256,0
1.1991,5.2515e-06,1.5164e+06,0,2.5368e-05,2.544,470.96,14.531,0,96.68,28257,-2.3655e+06,0,0,0,463.99,0.00042342,0,,0.272,9,0.272,0
1.1993,5.2537e-06,1.5166e+06,0,2.5368e-05,2.5441,471.03,15.443,0,96.481,28262,-2.3655e+06,0,0,0,463.98,0.00042266,0,,0.288,9,0.288,0
1.1993,5.2554e-06,1.5166e+06,0,2.5368e-05,2.5443,471.05,16.352,0,96.283,28262,-2.3655e+06,0,0,0,463.97,0.00042191,0,,0.304,9,0.304,0
1.1993,5.257e-06,1.5166e+06,0,2.5367e-05,2.5445,471.05,17.258,0,96.092,28261,-2.3655e+06,0,0,0,463.96,0.00042121,0,,0.32,9,0.32,0
1.1991,5.2584e-06,1.5164e+06,0,2.5367e-05,2.5448,470.99,18.156,0,95.924,28257,-2.3655e+06,0,0,0,463.95,0.00042064,0,,0.336,9,0.336,0
1.199,5.26e-06,1.5162e+06,0,2.5367e-05,2.545,470.96,19.055,0,95.754,28254,-2.3655e+06,0,0,0,463.95,0.00042006,0,,0.352,9,0.352,0
1.1988,5.2612e-06,1.5159e+06,0,2.5366e-05,2.5452,470.87,19.942,0,95.622,28248,-2.3655e+06,0,0,0,463.94,0.00041965,0,,0.368,9,0.368,0
1.1986,5.2624e-06,1.5156e+06,0,2.5366e-05,2.5455,470.78,20.83,0,95.504,28242,-2.3655e+06,0,0,0,463.93,0.00041932,0,,0.384,9,0.384,0
1.1983,5.2635e-06,1.5152e+06,0,2.5366e-05,2.5458,470.66,21.707,0,95.36,28234,-2.3656e+06,0,0,0,463.92,0.00041888,0,,0.4,9,0.4,0
1.198,5.2646e-06,1.5148e+06,0,2.5365e-05,2.546,470.55,22.582,0,95.213,28226,-2.3656e+06,0,0,0,463.91,0.00041843,0,,0.416,9,0.416,0
1.1976,5.2655e-06,1.5144e+06,0,2.5365e-05,2.5463,470.41,23.452,0,95.038,28218,-2.3656e+06,0,0,0,463.9,0.00041785,0,,0.432,9,0.432,0
1.1972,5.2664e-06,1.5139e+06,0,2.5365e-05,2.5465,470.27,24.321,0,94.858,28209,-2.3656e+06,0,0,0,463.89,0.00041726,0,,0.448,9,0.448,0
1.1969,5.2678e-06,1.5134e+06,0,2.5364e-05,2.5468,470.12,25.181,0,94.661,28199,-2.3657e+06,0,0,0,463.88,0.00041663,0,,0.464,9,0.464,0
1.1964,5.2696e-06,1.5129e+06,0,2.5364e-05,2.547,469.95,26.042,0,94.49,28189,-2.3657e+06,0,0,0,463.87,0.00041616,0,,0.48,9,0.48,0
1.196,5.2715e-06,1.5123e+06,0,2.5364e-05,2.5473,469.77,26.898,0,94.44,28178,-2.3657e+06,0,0,0,463.87,0.00041625,0,,0.496,9,0.496,0
1.1956,5.2734e-06,1.5117e+06,0,2.5363e-05,2.5475,469.59,27.753,0,94.391,28167,-2.3658e+06,0,0,0,463.86,0.00041634,0,,0.512,9,0.512,0
1.1951,5.2748e-06,1.5111e+06,0,2.5363e-05,2.5478,469.39,28.604,0,94.248,28155,-2.3658e+06,0,0,0,463.85,0.00041599,0,,0.528,9,0.528,0
1.1946,5.276e-06,1.5105e+06,0,2.5363e-05,2.5481,469.19,29.454,0,94.069,28143,-2.3658e+06,0,0,0,463.84,0.00041547,0,,0.544,9,0.544,0
1.1941,5.2776e-06,1.5098e+06,0,2.5362e-05,2.5483,468.98,30.301,0,93.872,28131,-2.3659e+06,0,0,0,463.83,0.0004149,0,,0.56,9,0.56,0
1.1935,5.2795e-06,1.5092e+06,0,2.5362e-05,2.5486,468.76,31.143,0,93.652,28118,-2.3659e+06,0,0,0,463.82,0.00041426,0,,0.576,9,0.576,0
1.193,5.2821e-06,1.5085e+06,0,2.5362e-05,2.5488,468.54,31.984,0,93.509,28105,-2.366e+06,0,0,0,463.82,0.00041402,0,,0.592,9,0.592,0
1.1925,5.2848e-06,1.5078e+06,0,2.5362e-05,2.5491,468.31,32.822,0,93.376,28092,-2.366e+06,0,0,0,463.81,0.00041383,0,,0.608,9,0.608,0
1.1919,5.2875e-06,1.507e+06,0,2.5361e-05,2.5493,468.07,33.653,0,93.236,28078,-2.366e+06,0,0,0,463.8,0.00041362,0,,0.624,9,0.624,0
