"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.74,0.00024766,4.783e+07,0,2.6689e-05,0.25964,1275.6,0.18456,0,64800,7.7811e+05,-67094,0,0,0,499.57,0.42523,0,,0,-8.1,0,0
37.736,0.00023777,4.7825e+07,0,2.6688e-05,0.25994,1276.9,-0.146,0,33752,7.7804e+05,-67310,0,0,0,499.57,0.21841,0,,0.0731,-8.0269,0,0
37.732,0.00022883,4.782e+07,0,2.6688e-05,0.26031,1278.7,-0.38547,0,10589,7.7797e+05,-67520,0,0,0,499.57,0.064515,0,,0.1462,-7.9538,0,0
37.728,0.00022217,4.7815e+07,0,2.6688e-05,0.26087,1281.3,-0.40469,0,6492.6,7.7791e+05,-67717,0,0,0,499.57,0.038619,0,,0.2193,-7.8807,0,0
37.721,0.0002169,4.7806e+07,0,2.6688e-05,0.26156,1284.5,-0.56258,0,4188,7.7779e+05,-68071,0,0,0,499.57,0.024157,0,,0.2924,-7.8076,0,0
37.712,0.0002126,4.7794e+07,0,2.6688e-05,0.26234,1288.1,-0.81879,0,3154,7.7764e+05,-68537,0,0,0,499.57,0.017803,0,,0.3655,-7.7345,0,0
37.697,0.00020988,4.7777e+07,0,2.6688e-05,0.2632,1292,-1.4241,0,2589.3,7.7741e+05,-69229,0,0,0,499.57,0.014439,0,,0.4386,-7.6614,0,0
37.684,0.00020722,4.776e+07,0,2.6689e-05,0.26414,1296.2,-1.8632,0,2104.9,7.772e+05,-69879,0,0,0,499.57,0.011585,0,,0.5117,-7.5883,0,0
37.676,0.00020371,4.7752e+07,0,2.6689e-05,0.26542,1302.3,-1.2551,0,1693.3,7.7711e+05,-70172,0,0,0,499.58,0.0091796,0,,0.5848,-7.5152,0,0
37.661,0.00020038,4.7733e+07,0,2.6689e-05,0.26684,1308.9,-1.1242,0,1361.5,7.7686e+05,-70929,0,0,0,499.58,0.007255,0,,0.6579,-7.4421,0,0
37.636,0.00019727,4.7701e+07,0,2.6689e-05,0.26844,1316,-1.5678,0,1125.9,7.7643e+05,-72246,0,0,0,499.57,0.0059086,0,,0.731,-7.369,0,0
37.621,0.00019501,4.7681e+07,0,2.6688e-05,0.2702,1324.2,-1.3671,0,977.7,7.7616e+05,-73061,0,0,0,499.57,0.0050722,0,,0.8041,-7.2959,0,0
37.608,0.00019305,4.7665e+07,0,2.6688e-05,0.27204,1332.8,-0.95413,0,861.31,7.7595e+05,-73718,0,0,0,499.56,0.0044214,0,,0.8772,-7.2228,0,0
37.578,0.00019124,4.7626e+07,0,2.6688e-05,0.27431,1343.1,-1.3405,0,778.84,7.7543e+05,-75301,0,0,0,499.55,0.0039662,0,,0.9503,-7.1497,0,0
37.549,0.00018947,4.759e+07,0,2.6687e-05,0.27667,1353.8,-1.5577,0,701.41,7.7495e+05,-76781,0,0,0,499.54,0.0035404,0,,1.0234,-7.0766,0,0
37.525,0.0001878,4.756e+07,0,2.6687e-05,0.27923,1365.7,-1.3889,0,635.5,7.7455e+05,-78022,0,0,0,499.54,0.0031819,0,,1.0965,-7.0035,0,0
37.495,0.00018625,4.7522e+07,0,2.6687e-05,0.28211,1378.9,-1.4031,0,580.77,7.7404e+05,-79576,0,0,0,499.53,0.002886,0,,1.1696,-6.9304,0,0
37.461,0.0001848,4.7478e+07,0,2.6686e-05,0.28521,1393,-1.5503,0,534.18,7.7346e+05,-81357,0,0,0,499.51,0.0026356,0,,1.2427,-6.8573,0,0
37.422,0.00018348,4.7428e+07,0,2.6686e-05,0.28848,1407.8,-1.7782,0,497.02,7.7278e+05,-83418,0,0,0,499.5,0.0024377,0,,1.3158,-6.7842,0,0
37.382,0.00018222,4.7377e+07,0,2.6685e-05,0.29178,1422.6,-2.0642,0,463.2,7.721e+05,-85520,0,0,0,499.48,0.0022581,0,,1.3889,-6.7111,0,0
37.342,0.00018129,4.7327e+07,0,2.6685e-05,0.29503,1437.3,-2.6528,0,441.16,7.7143e+05,-87578,0,0,0,499.47,0.0021421,0,,1.462,-6.638,0,0
37.304,0.0001803,4.7278e+07,0,2.6684e-05,0.29853,1453.1,-2.6696,0,418.5,7.7077e+05,-89599,0,0,0,499.46,0.0020231,0,,1.5351,-6.5649,0,0
37.266,0.00017924,4.723e+07,0,2.6684e-05,0.30242,1470.9,-1.8371,0,394.91,7.7013e+05,-91563,0,0,0,499.44,0.0018997,0,,1.6082,-6.4918,0,0
37.217,0.00017828,4.7168e+07,0,2.6683e-05,0.30659,1489.6,-1.4469,0,376.22,7.693e+05,-94102,0,0,0,499.43,0.0018024,0,,1.6813,-6.4187,0,0
37.163,0.00017738,4.7099e+07,0,2.6683e-05,0.31091,1508.8,-1.2839,0,360.05,7.6837e+05,-96936,0,0,0,499.41,0.0017185,0,,1.7544,-6.3456,0,0
37.111,0.00017644,4.7032e+07,0,2.6682e-05,0.31572,1530.4,-0.87125,0,344.13,7.6748e+05,-99686,0,0,0,499.39,0.0016363,0,,1.8275,-6.2725,0,0
37.055,0.0001755,4.6962e+07,0,2.6681e-05,0.32063,1552.4,-0.59235,0,328.79,7.6653e+05,-1.0258e+05,0,0,0,499.37,0.0015572,0,,1.9006,-6.1994,0,0
36.987,0.00017458,4.6875e+07,0,2.668e-05,0.32582,1575.1,-1.0377,0,316.03,7.6536e+05,-1.0617e+05,0,0,0,499.35,0.0014918,0,,1.9737,-6.1263,0,0
36.919,0.00017369,4.6788e+07,0,2.668e-05,0.33127,1599.1,-1.5049,0,304.06,7.6419e+05,-1.0975e+05,0,0,0,499.32,0.0014305,0,,2.0468,-6.0532,0,0
36.851,0.00017283,4.6702e+07,0,2.6679e-05,0.33707,1624.7,-2.0003,0,293.11,7.6303e+05,-1.1331e+05,0,0,0,499.3,0.0013748,0,,2.1199,-5.9801,0,0
