"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.683,0.0002468,4.7756e+07,0,2.6688e-05,0.2648,1299.3,1.2699,0,40973,7.7712e+05,-70127,0,0,0,499.55,0.26835,0,,0,-8.1,0,0
37.671,0.00024379,4.7741e+07,0,2.6688e-05,0.26573,1303.5,0.34037,0,35544,7.7692e+05,-70736,0,0,0,499.55,0.23249,0,,0.0731,-8.0269,0,0
37.659,0.00024079,4.7726e+07,0,2.6687e-05,0.26666,1307.8,-0.58917,0,30115,7.7672e+05,-71345,0,0,0,499.54,0.19663,0,,0.1462,-7.9538,0,0
37.647,0.00023778,4.7711e+07,0,2.6687e-05,0.26759,1312,-1.5187,0,24686,7.7652e+05,-71954,0,0,0,499.54,0.16077,0,,0.2193,-7.8807,0,0
37.635,0.00023477,4.7696e+07,0,2.6687e-05,0.26852,1316.2,-2.4482,0,19257,7.7633e+05,-72563,0,0,0,499.54,0.12491,0,,0.2924,-7.8076,0,0
37.623,0.00023176,4.7681e+07,0,2.6687e-05,0.26944,1320.4,-3.3778,0,13828,7.7613e+05,-73172,0,0,0,499.53,0.089048,0,,0.3655,-7.7345,0,0
37.611,0.00022875,4.7666e+07,0,2.6687e-05,0.27037,1324.7,-4.3073,0,8398.8,7.7593e+05,-73781,0,0,0,499.53,0.053187,0,,0.4386,-7.6614,0,0
37.597,0.0002259,4.7648e+07,0,2.6687e-05,0.27146,1329.6,-5.2299,0,3830.9,7.757e+05,-74494,0,0,0,499.53,0.023039,0,,0.5117,-7.5883,0,0
37.574,0.00022384,4.7618e+07,0,2.6687e-05,0.27334,1338.1,-6.1184,0,3460.7,7.753e+05,-75715,0,0,0,499.52,0.020742,0,,0.5848,-7.5152,0,0
37.55,0.00022179,4.7588e+07,0,2.6686e-05,0.27521,1346.6,-7.0069,0,3090.4,7.749e+05,-76937,0,0,0,499.51,0.018445,0,,0.6579,-7.4421,0,0
37.527,0.00021973,4.7559e+07,0,2.6686e-05,0.27709,1355.1,-7.8955,0,2720.2,7.745e+05,-78158,0,0,0,499.51,0.016149,0,,0.731,-7.369,0,0
37.503,0.00021768,4.7529e+07,0,2.6686e-05,0.27896,1363.6,-8.784,0,2350,7.741e+05,-79379,0,0,0,499.5,0.013852,0,,0.8041,-7.2959,0,0
37.48,0.00021562,4.7499e+07,0,2.6686e-05,0.28084,1372,-9.6725,0,1979.7,7.737e+05,-80601,0,0,0,499.49,0.011555,0,,0.8772,-7.2228,0,0
37.456,0.00021357,4.7469e+07,0,2.6685e-05,0.28271,1380.5,-10.561,0,1609.5,7.7331e+05,-81822,0,0,0,499.48,0.0092578,0,,0.9503,-7.1497,0,0
37.428,0.00021169,4.7433e+07,0,2.6685e-05,0.2849,1390.4,-11.408,0,1325.1,7.7283e+05,-83276,0,0,0,499.47,0.0075005,0,,1.0234,-7.0766,0,0
37.39,0.00021023,4.7385e+07,0,2.6685e-05,0.28779,1403.3,-12.159,0,1236.6,7.7218e+05,-85259,0,0,0,499.46,0.0069743,0,,1.0965,-7.0035,0,0
37.352,0.00020877,4.7336e+07,0,2.6684e-05,0.29068,1416.2,-12.911,0,1148.1,7.7154e+05,-87243,0,0,0,499.45,0.0064482,0,,1.1696,-6.9304,0,0
37.314,0.00020731,4.7288e+07,0,2.6684e-05,0.29358,1429.1,-13.662,0,1059.7,7.7089e+05,-89226,0,0,0,499.44,0.0059221,0,,1.2427,-6.8573,0,0
37.276,0.00020585,4.724e+07,0,2.6683e-05,0.29647,1442,-14.413,0,971.19,7.7024e+05,-91210,0,0,0,499.42,0.005396,0,,1.3158,-6.7842,0,0
37.238,0.00020439,4.7191e+07,0,2.6683e-05,0.29936,1454.9,-15.165,0,882.72,7.696e+05,-93193,0,0,0,499.41,0.0048698,0,,1.3889,-6.7111,0,0
37.2,0.00020293,4.7143e+07,0,2.6682e-05,0.30225,1467.8,-15.916,0,794.25,7.6895e+05,-95177,0,0,0,499.4,0.0043437,0,,1.462,-6.638,0,0
