"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.73,0.00024685,4.7817e+07,0,2.6688e-05,0.2604,1279,0.52602,0,40604,7.7793e+05,-67636,0,0,0,499.57,0.26565,0,,0,-8.1,0,0
37.723,0.000244,4.7808e+07,0,2.6688e-05,0.26104,1282,-0.005326,0,35351,7.7782e+05,-67993,0,0,0,499.57,0.23093,0,,0.0731,-8.0269,0,0
37.716,0.00024115,4.7799e+07,0,2.6688e-05,0.26168,1284.9,-0.53667,0,30098,7.777e+05,-68351,0,0,0,499.57,0.19621,0,,0.1462,-7.9538,0,0
37.709,0.0002383,4.779e+07,0,2.6688e-05,0.26232,1287.9,-1.068,0,24845,7.7758e+05,-68709,0,0,0,499.56,0.16149,0,,0.2193,-7.8807,0,0
37.702,0.00023544,4.7781e+07,0,2.6688e-05,0.26296,1290.9,-1.5994,0,19592,7.7747e+05,-69067,0,0,0,499.56,0.12677,0,,0.2924,-7.8076,0,0
37.695,0.00023259,4.7772e+07,0,2.6688e-05,0.26361,1293.8,-2.1307,0,14339,7.7735e+05,-69425,0,0,0,499.56,0.092056,0,,0.3655,-7.7345,0,0
37.688,0.00022974,4.7764e+07,0,2.6688e-05,0.26425,1296.8,-2.6621,0,9086.5,7.7723e+05,-69782,0,0,0,499.56,0.057337,0,,0.4386,-7.6614,0,0
37.679,0.0002268,4.7752e+07,0,2.6688e-05,0.26503,1300.4,-3.1175,0,4591.4,7.7709e+05,-70230,0,0,0,499.56,0.027675,0,,0.5117,-7.5883,0,0
37.662,0.00022338,4.7731e+07,0,2.6688e-05,0.26647,1307,-3.2027,0,3790.1,7.768e+05,-71115,0,0,0,499.55,0.022666,0,,0.5848,-7.5152,0,0
37.645,0.00021997,4.7709e+07,0,2.6688e-05,0.26791,1313.6,-3.2879,0,2988.8,7.7651e+05,-72000,0,0,0,499.55,0.017657,0,,0.6579,-7.4421,0,0
37.627,0.00021655,4.7687e+07,0,2.6688e-05,0.26936,1320.2,-3.3731,0,2187.4,7.7622e+05,-72885,0,0,0,499.54,0.012648,0,,0.731,-7.369,0,0
37.604,0.00021376,4.7657e+07,0,2.6687e-05,0.27132,1329.1,-3.5711,0,1797.9,7.7582e+05,-74116,0,0,0,499.54,0.010251,0,,0.8041,-7.2959,0,0
37.578,0.0002112,4.7624e+07,0,2.6687e-05,0.27347,1338.9,-3.8094,0,1554.9,7.7538e+05,-75470,0,0,0,499.53,0.008785,0,,0.8772,-7.2228,0,0
