"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
37.737,0.00024708,4.7826e+07,0,2.6688e-05,0.25946,1274.6,0.46712,0,47487,7.7806e+05,-67247,0,0,0,499.57,0.31091,0,,0,-8.1,0,0
37.733,0.00024211,4.782e+07,0,2.6688e-05,0.25996,1276.9,0.15188,0,35855,7.7798e+05,-67486,0,0,0,499.57,0.23374,0,,0.0731,-8.0269,0,0
37.728,0.00023714,4.7814e+07,0,2.6688e-05,0.26045,1279.2,-0.16335,0,24224,7.779e+05,-67725,0,0,0,499.57,0.15657,0,,0.1462,-7.9538,0,0
37.724,0.00023217,4.7809e+07,0,2.6688e-05,0.26094,1281.5,-0.47859,0,12593,7.7783e+05,-67964,0,0,0,499.57,0.079398,0,,0.2193,-7.8807,0,0
37.716,0.00022783,4.7799e+07,0,2.6688e-05,0.26164,1284.7,-0.72617,0,6928.6,7.777e+05,-68357,0,0,0,499.57,0.042094,0,,0.2924,-7.8076,0,0
37.706,0.00022394,4.7786e+07,0,2.6688e-05,0.26248,1288.6,-0.92577,0,5495.4,7.7754e+05,-68858,0,0,0,499.56,0.03306,0,,0.3655,-7.7345,0,0
37.696,0.00022005,4.7774e+07,0,2.6688e-05,0.26332,1292.4,-1.1254,0,4062.1,7.7737e+05,-69359,0,0,0,499.56,0.024025,0,,0.4386,-7.6614,0,0
37.685,0.00021604,4.776e+07,0,2.6688e-05,0.26426,1296.8,-1.2915,0,2760.6,7.7718e+05,-69936,0,0,0,499.56,0.015847,0,,0.5117,-7.5883,0,0
37.666,0.00021145,4.7737e+07,0,2.6688e-05,0.26571,1303.4,-1.2942,0,2101.1,7.7688e+05,-70876,0,0,0,499.56,0.011845,0,,0.5848,-7.5152,0,0
37.646,0.00020717,4.771e+07,0,2.6688e-05,0.26727,1310.5,-1.4908,0,1593.8,7.7653e+05,-71946,0,0,0,499.55,0.0087894,0,,0.6579,-7.4421,0,0
