"Pressure","Points:0","Points:1","Points:2"
7.6819,-8.1,0,0
7.6789,-8.0269,0,0
7.6758,-7.9538,0,0
7.6728,-7.8807,0,0
7.6698,-7.8076,0,0
7.6668,-7.7345,0,0
7.6638,-7.6614,0,0
7.6603,-7.5883,0,0
7.6546,-7.5152,0,0
7.649,-7.4421,0,0
7.6433,-7.369,0,0
7.6376,-7.2959,0,0
7.6319,-7.2228,0,0
7.6263,-7.1497,0,0
7.6195,-7.0766,0,0
7.6103,-7.0035,0,0
7.601,-6.9304,0,0
7.5918,-6.8573,0,0
7.5826,-6.7842,0,0
7.5734,-6.7111,0,0
7.5641,-6.638,0,0
7.5538,-6.5649,0,0
7.5417,-6.4918,0,0
7.5296,-6.4187,0,0
7.5175,-6.3456,0,0
7.5054,-6.2725,0,0
7.4933,-6.1994,0,0
7.4812,-6.1263,0,0
7.4666,-6.0532,0,0
7.4488,-5.9801,0,0
7.431,-5.907,0,0
7.4132,-5.8339,0,0
7.3916,-5.7608,0,0
7.3697,-5.6877,0,0
7.3478,-5.6146,0,0
7.3241,-5.5415,0,0
7.298,-5.4684,0,0
7.2718,-5.3953,0,0
7.2457,-5.3222,0,0
7.2192,-5.2491,0,0
7.1926,-5.176,0,0
7.1661,-5.1029,0,0
7.1373,-5.0298,0,0
7.105,-4.9567,0,0
7.0686,-4.8836,0,0
7.0296,-4.8105,0,0
6.9914,-4.7374,0,0
6.9534,-4.6643,0,0
6.9146,-4.5912,0,0
6.8739,-4.5181,0,0
6.8284,-4.445,0,0
6.7821,-4.3719,0,0
6.7349,-4.2988,0,0
6.6862,-4.2257,0,0
6.637,-4.1526,0,0
6.5848,-4.0795,0,0
6.5319,-4.0064,0,0
6.4768,-3.9333,0,0
6.4208,-3.8602,0,0
6.3631,-3.7871,0,0
6.3045,-3.714,0,0
6.2453,-3.6409,0,0
6.1859,-3.5678,0,0
6.1266,-3.4947,0,0
6.0649,-3.4216,0,0
5.9986,-3.3485,0,0
5.9327,-3.2754,0,0
5.8636,-3.2023,0,0
5.7914,-3.1292,0,0
5.72,-3.0561,0,0
5.6484,-2.983,0,0
5.576,-2.9099,0,0
5.5033,-2.8368,0,0
5.4313,-2.7637,0,0
5.3557,-2.6906,0,0
5.2831,-2.6175,0,0
5.2089,-2.5444,0,0
5.132,-2.4713,0,0
5.0551,-2.3982,0,0
4.9786,-2.3251,0,0
4.902,-2.252,0,0
4.8252,-2.1789,0,0
4.7486,-2.1058,0,0
4.6714,-2.0327,0,0
4.594,-1.9596,0,0
4.5168,-1.8865,0,0
4.4406,-1.8134,0,0
4.3642,-1.7403,0,0
4.2876,-1.6672,0,0
4.211,-1.5941,0,0
4.1345,-1.521,0,0
4.0581,-1.4479,0,0
3.9819,-1.3748,0,0
3.9064,-1.3017,0,0
3.8313,-1.2286,0,0
3.7559,-1.1555,0,0
