,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,7.7527,1963600.0,0.24138,699.1,0.59869,0,772830.0,9.546e+18,335.64,,0.0,-8.1,0,0,805038.894355908,805038.894355908,6352.135676436638,351274.205975056,1.0004964107514143
1,7.7507,1963100.0,0.24215,701.09,0.15939,0,772560.0,9.5422e+18,335.61,,0.0731,-8.0269,0,0,804966.3319056601,804966.3319056601,6352.146916654938,351268.9316624007,1.0004950406321504
2,7.7488,1962600.0,0.24291,703.09,-0.27991,0,772290.0,9.5384e+18,335.57,,0.1462,-7.9538,0,0,804891.6107542863,804891.6107542863,6352.126890914022,351252.7690496269,1.0004932838307374
3,7.7469,1962100.0,0.24367,705.09,-0.71922,0,772020.0,9.5345e+18,335.54,,0.2193,-7.8807,0,0,804817.4209311194,804817.4209311194,6352.138185168958,351247.3078259289,1.0004919144020528
4,7.745,1961700.0,0.24444,707.09,-1.1585,0,771750.0,9.5307e+18,335.51,,0.2924,-7.8076,0,0,804746.5105120145,804746.5105120145,6352.149507842286,351242.2664559206,1.0004905453301995
5,7.743,1961200.0,0.2452,709.09,-1.5978,0,771480.0,9.5269e+18,335.47,,0.3655,-7.7345,0,0,804673.4161557109,804673.4161557109,6352.129555496277,351226.3313187941,1.0004887894593137
6,7.7411,1960700.0,0.24597,711.09,-2.0371,0,771210.0,9.523e+18,335.44,,0.4386,-7.6614,0,0,804603.6080111046,804603.6080111046,6352.140932347961,351221.4452139433,1.0004874210800179
7,7.739,1960200.0,0.24686,713.44,-2.4668,0,770920.0,9.5188e+18,335.4,,0.5117,-7.5883,0,0,804546.6649651164,804546.6649651164,6352.128831469242,351210.199553976,1.0004856505452102
8,7.7359,1959500.0,0.2484,717.52,-2.8492,0,770490.0,9.5128e+18,335.35,,0.5848,-7.5152,0,0,804524.8940069055,804524.8940069055,6352.14009554961,351211.2952335287,1.000483386530202
9,7.7328,1958800.0,0.24993,721.61,-3.2317,0,770060.0,9.5067e+18,335.3,,0.6579,-7.4421,0,0,804502.6614347548,804502.6614347548,6352.151430072607,351212.3568985684,1.0004811234066875
10,7.7298,1958200.0,0.25147,725.69,-3.6141,0,769640.0,9.5007e+18,335.25,,0.731,-7.369,0,0,804496.0035581677,804496.0035581677,6352.158926777615,351214.067706364,1.0004788687283201
11,7.7267,1957500.0,0.253,729.77,-3.9966,0,769210.0,9.4946e+18,335.19,,0.8041,-7.2959,0,0,804478.4057953057,804478.4057953057,6352.13907124371,351205.12039809517,1.000476219882192
12,7.7236,1956800.0,0.25454,733.86,-4.3791,0,768790.0,9.4886e+18,335.14,,0.8772,-7.2228,0,0,804476.4150508656,804476.4150508656,6352.146698271194,351207.46041319263,1.0004739668637899
13,7.7206,1956200.0,0.25607,737.94,-4.7615,0,768360.0,9.4825e+18,335.09,,0.9503,-7.1497,0,0,804463.4271854694,804463.4271854694,6352.1583066097455,351209.7737068267,1.0004717072207159
14,7.7162,1955200.0,0.25793,742.8,-5.0943,0,767770.0,9.4742e+18,335.02,,1.0234,-7.0766,0,0,804380.2516387998,804380.2516387998,6352.169976045985,351203.30914272554,1.0004685541479323
