"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1323,29546,0.1874,8.7248,-0.0014416,0,11703,-3.533e+16,297.85,,0,-0.02052,0,0
0.13229,29544,0.18785,8.7451,-0.0044979,0,11702,-3.5496e+16,297.84,,9.8519e-05,-0.020421,0,0
0.13227,29542,0.18831,8.7653,-0.0075542,0,11700,-3.5662e+16,297.83,,0.00019704,-0.020323,0,0
0.13226,29539,0.18876,8.7856,-0.01061,0,11699,-3.5828e+16,297.83,,0.00029556,-0.020224,0,0
0.13225,29537,0.18922,8.8058,-0.013667,0,11698,-3.5994e+16,297.82,,0.00039408,-0.020126,0,0
0.13224,29535,0.18967,8.8261,-0.016723,0,11696,-3.616e+16,297.81,,0.0004926,-0.020027,0,0
0.13221,29531,0.19049,8.8622,-0.018491,0,11694,-3.6456e+16,297.8,,0.00059112,-0.019929,0,0
0.13219,29528,0.19132,8.8993,-0.020191,0,11691,-3.676e+16,297.78,,0.00068964,-0.01983,0,0
0.13217,29524,0.19215,8.9363,-0.021891,0,11689,-3.7063e+16,297.77,,0.00078816,-0.019732,0,0
0.13215,29520,0.19299,8.9733,-0.023591,0,11686,-3.7366e+16,297.75,,0.00088668,-0.019633,0,0
0.13213,29516,0.19382,9.0103,-0.025291,0,11684,-3.7669e+16,297.74,,0.0009852,-0.019535,0,0
0.13208,29508,0.19518,9.0699,-0.027608,0,11679,-3.8259e+16,297.7,,0.0010837,-0.019436,0,0
0.13204,29499,0.19659,9.132,-0.029993,0,11673,-3.8882e+16,297.67,,0.0011822,-0.019337,0,0
0.132,29491,0.198,9.1941,-0.032379,0,11668,-3.9504e+16,297.64,,0.0012808,-0.019239,0,0
0.13195,29482,0.19942,9.2562,-0.034764,0,11663,-4.0127e+16,297.6,,0.0013793,-0.01914,0,0
0.13191,29473,0.20083,9.3183,-0.03715,0,11658,-4.0749e+16,297.57,,0.0014778,-0.019042,0,0
0.13185,29462,0.20259,9.3951,-0.039517,0,11651,-4.1547e+16,297.53,,0.0015763,-0.018943,0,0
0.13179,29451,0.20442,9.4746,-0.04188,0,11644,-4.2376e+16,297.48,,0.0016748,-0.018845,0,0
0.13173,29439,0.20624,9.554,-0.044244,0,11637,-4.3205e+16,297.44,,0.0017734,-0.018746,0,0
