,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
0,0.13229,29544.0,0.18775,8.7404,-0.0024163,0,11702.0,-3.5458e+16,297.85,,0.0,-0.02052,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465958562094
1,0.13227,29542.0,0.18824,8.7622,-0.0057518,0,11701.0,-3.5631e+16,297.84,,9.8519e-05,-0.020421,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465881784005
2,0.13226,29540.0,0.18873,8.784,-0.0090874,0,11699.0,-3.5804e+16,297.83,,0.00019704,-0.020323,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465850626773
3,0.13225,29538.0,0.18922,8.8058,-0.012423,0,11698.0,-3.5977e+16,297.82,,0.00029556,-0.020224,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465773867493
4,0.13224,29536.0,0.18971,8.8277,-0.015759,0,11696.0,-3.615e+16,297.81,,0.00039408,-0.020126,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465742750013
5,0.13222,29533.0,0.1902,8.8495,-0.019094,0,11695.0,-3.6323e+16,297.8,,0.0004926,-0.020027,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465666009555
6,0.1322,29528.0,0.191,8.8849,-0.021803,0,11692.0,-3.6682e+16,297.78,,0.00059112,-0.019929,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465558210218
7,0.13217,29523.0,0.19183,8.9211,-0.024479,0,11689.0,-3.7051e+16,297.77,,0.00068964,-0.01983,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465572851813
8,0.13214,29518.0,0.19265,8.9573,-0.027155,0,11686.0,-3.742e+16,297.75,,0.00078816,-0.019732,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465465171868
9,0.13212,29513.0,0.19347,8.9935,-0.02983,0,11683.0,-3.7789e+16,297.73,,0.00088668,-0.019633,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465357550612
10,0.13209,29507.0,0.1943,9.0296,-0.032506,0,11679.0,-3.8158e+16,297.71,,0.0009852,-0.019535,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465295730483
11,0.13206,29501.0,0.19554,9.0846,-0.03391,0,11675.0,-3.8644e+16,297.69,,0.0010837,-0.019436,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465234011053
12,0.13202,29495.0,0.19683,9.1416,-0.03517,0,11671.0,-3.9144e+16,297.66,,0.0011822,-0.019337,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999465050031099
13,0.13199,29488.0,0.19812,9.1986,-0.036431,0,11667.0,-3.9643e+16,297.63,,0.0012808,-0.019239,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999464866152048
14,0.13195,29482.0,0.19941,9.2556,-0.037691,0,11663.0,-4.0143e+16,297.6,,0.0013793,-0.01914,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999464682373985
15,0.13191,29475.0,0.2007,9.3126,-0.038952,0,11659.0,-4.0642e+16,297.58,,0.0014778,-0.019042,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999464621083197
16,0.13186,29464.0,0.20248,9.3901,-0.040913,0,11652.0,-4.1453e+16,297.53,,0.0015763,-0.018943,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999464330503977
17,0.13179,29452.0,0.20434,9.4713,-0.042999,0,11645.0,-4.232e+16,297.49,,0.0016748,-0.018845,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999464162631174
18,0.13173,29440.0,0.2062,9.5524,-0.045085,0,11637.0,-4.3187e+16,297.44,,0.0017734,-0.018746,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999463918721428
19,0.13167,29427.0,0.20807,9.6336,-0.047171,0,11630.0,-4.4054e+16,297.4,,0.0018719,-0.018648,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999463751538679
20,0.13161,29415.0,0.20993,9.7147,-0.049257,0,11623.0,-4.492e+16,297.35,,0.0019704,-0.018549,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.999946346230059
21,0.13154,29403.0,0.21208,9.8079,-0.051236,0,11615.0,-4.5868e+16,297.3,,0.0020689,-0.018451,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.999946321955407
22,0.13147,29390.0,0.21429,9.904,-0.053187,0,11607.0,-4.6837e+16,297.24,,0.0021674,-0.018352,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.999946285483908
23,0.1314,29377.0,0.2165,10.0,-0.055139,0,11598.0,-4.7806e+16,297.19,,0.002266,-0.018254,0,0,11937.524203874218,11937.524203874218,3139.453340470239,311382.87093152106,0.9999462659231129
