,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
0,7.7579,1964700.0,0.23868,691.82,0.70236,0,773560.0,9.5564e+18,335.73,,0.0,-8.1,0,0,805072.095834301,1.000500460826917
1,7.7558,1964200.0,0.23947,693.88,0.23161,0,773260.0,9.5522e+18,335.69,,0.0731,-8.0269,0,0,804971.6618718944,1.0004986795116257
2,7.7537,1963700.0,0.24026,695.93,-0.23915,0,772970.0,9.5479e+18,335.66,,0.1462,-7.9538,0,0,804882.2098787187,1.0004972932994176
3,7.7516,1963100.0,0.24104,697.99,-0.7099,0,772670.0,9.5437e+18,335.62,,0.2193,-7.8807,0,0,804780.223791241,1.0004955127887731
4,7.7495,1962600.0,0.24183,700.05,-1.1807,0,772370.0,9.5395e+18,335.58,,0.2924,-7.8076,0,0,804681.5056862385,1.0004937326619476
5,7.7474,1962000.0,0.24262,702.1,-1.6514,0,772080.0,9.5353e+18,335.54,,0.3655,-7.7345,0,0,804593.784920723,1.0004919606230196
6,7.7454,1961500.0,0.24341,704.16,-2.1222,0,771780.0,9.5311e+18,335.5,,0.4386,-7.6614,0,0,804496.2149314526,1.0004901812446334
7,7.743,1960900.0,0.24435,706.6,-2.5937,0,771450.0,9.5264e+18,335.46,,0.5117,-7.5883,0,0,804408.9805990304,1.0004883792651063
8,7.739,1960000.0,0.24599,710.92,-3.0693,0,770920.0,9.5189e+18,335.4,,0.5848,-7.5152,0,0,804306.4972376801,1.0004856505452102
9,7.7351,1959100.0,0.24764,715.23,-3.5449,0,770400.0,9.5115e+18,335.35,,0.6579,-7.4421,0,0,804219.7884453733,1.0004833180898876
10,7.7311,1958200.0,0.24928,719.55,-4.0205,0,769880.0,9.5041e+18,335.29,,0.731,-7.369,0,0,804132.9099653397,1.000480599701748
11,7.7272,1957300.0,0.25093,723.87,-4.4961,0,769360.0,9.4967e+18,335.23,,0.8041,-7.2959,0,0,804051.4139550765,1.0004778826248915
12,7.7233,1956400.0,0.25257,728.18,-4.9717,0,768840.0,9.4893e+18,335.18,,0.8772,-7.2228,0,0,803969.6893045114,1.0004755542654111
13,7.7193,1955500.0,0.25422,732.5,-5.4473,0,768310.0,9.4819e+18,335.12,,0.9503,-7.1497,0,0,803882.9192516536,1.0004728323872034
14,7.7148,1954500.0,0.25615,737.56,-5.9276,0,767710.0,9.4733e+18,335.05,,1.0234,-7.0766,0,0,803805.593379407,1.000469672260593
15,7.7088,1953200.0,0.25875,744.32,-6.419,0,766910.0,9.4619e+18,334.96,,1.0965,-7.0035,0,0,803715.7481463172,1.0004655906682385
