,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
0,7.7578,1964700.0,0.23875,692.01,0.67711,0,773520.0,9.5559e+18,335.72,,0.0,-8.1,0,0,804852.9327284397,804852.9327284397,6352.117507255548,1.0005000427511292
1,7.7557,1964100.0,0.23954,694.06,0.21649,0,773230.0,9.5517e+18,335.69,,0.0731,-8.0269,0,0,804801.5839786261,804801.5839786261,6352.13645641518,1.0004986561679172
2,7.7535,1963600.0,0.24032,696.11,-0.24413,0,772940.0,9.5476e+18,335.65,,0.1462,-7.9538,0,0,804834.925065744,804834.925065744,6352.124152462077,1.0004968830580059
3,7.7514,1963100.0,0.24111,698.16,-0.70474,0,772650.0,9.5434e+18,335.62,,0.2193,-7.8807,0,0,804783.4009487404,804783.4009487404,6352.143166764375,1.0004954972990088
4,7.7493,1962500.0,0.2419,700.21,-1.1654,0,772360.0,9.5393e+18,335.58,,0.2924,-7.8076,0,0,804816.5818925888,804816.5818925888,6352.130921629658,1.000493724937719
5,7.7471,1962000.0,0.24268,702.26,-1.626,0,772070.0,9.5352e+18,335.55,,0.3655,-7.7345,0,0,804764.8821206058,804764.8821206058,6352.150001192737,1.0004923400044659
6,7.745,1961500.0,0.24347,704.31,-2.0866,0,771780.0,9.531e+18,335.52,,0.4386,-7.6614,0,0,804713.0934378644,804713.0934378644,6352.169114791642,1.0004909554907846
7,7.7426,1960900.0,0.2444,706.74,-2.5491,0,771450.0,9.5264e+18,335.48,,0.5117,-7.5883,0,0,804703.7688784477,804703.7688784477,6352.172556328685,1.0004891535995204
8,7.7386,1960000.0,0.24605,711.06,-3.0209,0,770920.0,9.5189e+18,335.42,,0.5848,-7.5152,0,0,804652.5793005195,804652.5793005195,6352.191450245222,1.000486424977348
9,7.7346,1959100.0,0.24769,715.37,-3.4927,0,770400.0,9.5115e+18,335.37,,0.6579,-7.4421,0,0,804526.849656194,804526.849656194,6352.237861771147,1.0004840925260505
10,7.7306,1958200.0,0.24934,719.68,-3.9645,0,769880.0,9.5041e+18,335.31,,0.731,-7.369,0,0,804485.6575756386,804485.6575756386,6352.2530688872785,1.0004813742448513
11,7.7267,1957300.0,0.25098,724.0,-4.4362,0,769360.0,9.4967e+18,335.26,,0.8041,-7.2959,0,0,804359.3506712174,804359.3506712174,6352.299703184029,1.0004790445220608
12,7.7227,1956400.0,0.25263,728.31,-4.908,0,768840.0,9.4893e+18,335.2,,0.8772,-7.2228,0,0,804317.5900232326,804317.5900232326,6352.315123417884,1.0004763289182095
13,7.7187,1955600.0,0.25427,732.62,-5.3798,0,768310.0,9.4819e+18,335.15,,0.9503,-7.1497,0,0,804180.103847996,804180.103847996,6352.365896209222,1.0004739944331367
14,7.7141,1954500.0,0.2562,737.68,-5.8572,0,767710.0,9.4732e+18,335.08,,1.0234,-7.0766,0,0,804137.7550959081,804137.7550959081,6352.381537088393,1.0004708345013433
15,7.7081,1953200.0,0.2588,744.43,-6.3476,0,766900.0,9.4618e+18,334.99,,1.0965,-7.0035,0,0,804041.8049482135,804041.8049482135,6352.4169778876885,1.0004667457016971
16,7.7021,1951900.0,0.26139,751.18,-6.838,0,766100.0,9.4504e+18,334.9,,1.1696,-6.9304,0,0,803955.7906716808,803955.7906716808,6352.4487522982945,1.0004626675306947
17,7.6961,1950600.0,0.26399,757.94,-7.3284,0,765300.0,9.439e+18,334.81,,1.2427,-6.8573,0,0,803869.1025352123,803869.1025352123,6352.4807790754,1.0004585925345113
18,7.6902,1949300.0,0.26658,764.69,-7.8188,0,764490.0,9.4276e+18,334.72,,1.3158,-6.7842,0,0,803771.0912012669,803771.0912012669,6352.51699334535,1.0004545134489258
19,7.6842,1948000.0,0.26918,771.44,-8.3092,0,763690.0,9.4162e+18,334.63,,1.3889,-6.7111,0,0,803683.0408729203,803683.0408729203,6352.549530879725,1.0004504448737366
20,7.6782,1946700.0,0.27177,778.19,-8.7996,0,762890.0,9.4048e+18,334.54,,1.462,-6.638,0,0,803594.3121147666,803594.3121147666,6352.582322716702,1.0004463794972773
21,7.6708,1945000.0,0.27477,785.9,-9.1412,0,761910.0,9.3909e+18,334.43,,1.5351,-6.5649,0,0,803482.5690253911,803482.5690253911,6352.623625201784,1.0004414134774768
22,7.6613,1942900.0,0.27837,795.01,-9.2618,0,760660.0,9.3732e+18,334.3,,1.6082,-6.4918,0,0,803250.9959741544,803250.9959741544,6352.70923751441,1.0004354860457332
23,7.6518,1940800.0,0.28196,804.13,-9.3825,0,759420.0,9.3556e+18,334.16,,1.6813,-6.4187,0,0,803113.3971988406,803113.3971988406,6352.760119316316,1.0004291856947436
24,7.6423,1938700.0,0.28556,813.24,-9.5031,0,758170.0,9.3379e+18,334.03,,1.7544,-6.3456,0,0,802878.4417765335,802878.4417765335,6352.8470221722255,1.0004232742603762
25,7.6312,1936300.0,0.29027,825.2,-9.5386,0,756660.0,9.3164e+18,333.85,,1.8275,-6.2725,0,0,802787.4944125486,802787.4944125486,6352.88066765656,1.0004152529067127
26,7.62,1933900.0,0.29509,837.4,-9.5666,0,755120.0,9.2946e+18,333.66,,1.9006,-6.1994,0,0,802746.8987214523,802746.8987214523,6352.895687039859,1.0004068343873214
27,7.6087,1931400.0,0.2999,849.6,-9.5946,0,753590.0,9.2728e+18,333.48,,1.9737,-6.1263,0,0,802629.5315726326,802629.5315726326,6352.939114200238,1.0003988226808005
28,7.5961,1928700.0,0.30504,862.46,-9.6461,0,751880.0,9.2485e+18,333.27,,2.0468,-6.0532,0,0,802570.5011857791,802570.5011857791,6352.960958504683,1.0003895394261901
29,7.5817,1925500.0,0.3106,876.17,-9.7282,0,749940.0,9.221e+18,333.05,,2.1199,-5.9801,0,0,802344.3928180296,802344.3928180296,6353.044645175541,1.0003797348898469
