,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7532,1963600.0,0.24126,698.77,0.67672,0,772860.0,9.5465e+18,335.63,,0.0,-8.1,0,0,805037.6806451484,1.000496047008699
1,7.751,1963100.0,0.24203,700.77,0.23147,0,772580.0,9.5425e+18,335.6,,0.0731,-8.0269,0,0,804954.605845331,1.0004946690854672
2,7.7489,1962600.0,0.2428,702.77,-0.21378,0,772300.0,9.5384e+18,335.57,,0.1462,-7.9538,0,0,804872.0821175822,1.0004932915498135
3,7.7467,1962100.0,0.24357,704.77,-0.65902,0,772010.0,9.5344e+18,335.55,,0.2193,-7.8807,0,0,804779.6725899213,1.0004922937542273
4,7.7445,1961600.0,0.24434,706.76,-1.1043,0,771730.0,9.5304e+18,335.52,,0.2924,-7.8076,0,0,804698.2470234014,1.0004909170275385
5,7.7424,1961100.0,0.24511,708.76,-1.5495,0,771440.0,9.5263e+18,335.49,,0.3655,-7.7345,0,0,804606.9379911536,1.000489533012501
6,7.7402,1960500.0,0.24588,710.76,-1.9948,0,771160.0,9.5223e+18,335.46,,0.4386,-7.6614,0,0,804526.609016121,1.000488157078815
7,7.7378,1960000.0,0.24679,713.15,-2.4399,0,770840.0,9.5177e+18,335.42,,0.5117,-7.5883,0,0,804443.7750777395,1.0004863638537564
8,7.7339,1959100.0,0.24842,717.4,-2.8843,0,770330.0,9.5105e+18,335.37,,0.5848,-7.5152,0,0,804363.3164902318,1.0004840392276673
9,7.73,1958200.0,0.25004,721.66,-3.3286,0,769820.0,9.5032e+18,335.31,,0.6579,-7.4421,0,0,804282.6203316284,1.0004813287485685
10,7.7261,1957400.0,0.25166,725.92,-3.773,0,769300.0,9.4959e+18,335.26,,0.731,-7.369,0,0,804193.9733879085,1.000478999184483
11,7.7222,1956500.0,0.25329,730.17,-4.2174,0,768790.0,9.4887e+18,335.2,,0.8041,-7.2959,0,0,804121.1338784259,1.0004762912938339
12,7.7183,1955700.0,0.25491,734.43,-4.6618,0,768280.0,9.4814e+18,335.15,,0.8772,-7.2228,0,0,804047.9782921523,1.0004739719379816
13,7.7145,1954800.0,0.25653,738.69,-5.1062,0,767770.0,9.4742e+18,335.1,,0.9503,-7.1497,0,0,803977.3300794635,1.0004716539008014
14,7.71,1953800.0,0.25842,743.61,-5.5122,0,767180.0,9.4657e+18,335.03,,1.0234,-7.0766,0,0,803903.3251557945,1.0004685030611276
15,7.7041,1952500.0,0.2609,750.05,-5.8304,0,766400.0,9.4547e+18,334.94,,1.0965,-7.0035,0,0,803805.286206913,1.0004644386150647
16,7.6983,1951200.0,0.26339,756.49,-6.1486,0,765620.0,9.4436e+18,334.86,,1.1696,-6.9304,0,0,803716.0355771552,1.0004607646146508
17,7.6925,1950000.0,0.26587,762.94,-6.4668,0,764840.0,9.4325e+18,334.77,,1.2427,-6.8573,0,0,803629.7251132542,1.00045670621877
18,7.6867,1948700.0,0.26835,769.38,-6.785,0,764060.0,9.4214e+18,334.68,,1.3158,-6.7842,0,0,803549.2520362572,1.0004526508200304
19,7.6808,1947400.0,0.27083,775.82,-7.1032,0,763280.0,9.4103e+18,334.59,,1.3889,-6.7111,0,0,803474.6073872289,1.0004485984260427
20,7.675,1946100.0,0.27332,782.26,-7.4215,0,762500.0,9.3993e+18,334.51,,1.462,-6.638,0,0,803408.8207328891,1.000444936765937
21,7.6685,1944700.0,0.27635,790.15,-7.4737,0,761600.0,9.3865e+18,334.39,,1.5351,-6.5649,0,0,803388.5746388822,1.0004396417562678
22,7.6611,1943100.0,0.2802,800.19,-7.1309,0,760530.0,9.3714e+18,334.25,,1.6082,-6.4918,0,0,803453.262533318,1.0004334547642268
23,7.6537,1941600.0,0.28405,810.23,-6.788,0,759460.0,9.3562e+18,334.1,,1.6813,-6.4187,0,0,803532.3610102735,1.000426884733904
24,7.6464,1940000.0,0.2879,820.28,-6.4452,0,758400.0,9.3411e+18,333.95,,1.7544,-6.3456,0,0,803636.438551322,1.0004203263977136
25,7.6342,1937300.0,0.29256,831.95,-6.3873,0,756760.0,9.3178e+18,333.76,,1.8275,-6.2725,0,0,803402.5092839419,1.0004118247547351
26,7.6217,1934400.0,0.2973,843.77,-6.3545,0,755070.0,9.2939e+18,333.56,,1.9006,-6.1994,0,0,803161.4237768579,1.0004029145183728
27,7.6092,1931600.0,0.30203,855.58,-6.3217,0,753390.0,9.2699e+18,333.37,,1.9737,-6.1263,0,0,802947.7355435296,1.0003944142526966
28,7.597,1928900.0,0.30674,867.3,-6.1894,0,751750.0,9.2466e+18,333.18,,2.0468,-6.0532,0,0,802789.9412554959,1.0003859543580087
29,7.5852,1926300.0,0.31141,878.89,-5.928,0,750170.0,9.2242e+18,332.99,,2.1199,-5.9801,0,0,802702.4287799824,1.000377546386168
30,7.5731,1923800.0,0.31673,892.19,-5.8508,0,748490.0,9.2004e+18,332.78,,2.193,-5.907,0,0,802755.3602464084,1.0003683094643532
31,7.5609,1921200.0,0.32235,906.29,-5.8591,0,746770.0,9.1759e+18,332.55,,2.2661,-5.8339,0,0,802898.4494916941,1.0003582823389836
32,7.5445,1917700.0,0.32903,922.62,-5.8573,0,744520.0,9.144e+18,332.27,,2.3392,-5.7608,0,0,802884.7728129446,1.0003460011998073
33,7.5278,1914100.0,0.33577,939.06,-5.8653,0,742210.0,9.1112e+18,331.97,,2.4123,-5.6877,0,0,802868.3247798771,1.0003329297281374
34,7.5106,1910400.0,0.3425,955.24,-5.9222,0,739840.0,9.0776e+18,331.67,,2.4854,-5.6146,0,0,802823.071103775,1.0003198508433289
35,7.4933,1906600.0,0.34929,971.47,-5.9717,0,737450.0,9.0436e+18,331.36,,2.5585,-5.5415,0,0,802818.5665088516,1.00030639832634
36,7.4758,1902900.0,0.35615,987.78,-6.0114,0,735040.0,9.0093e+18,331.05,,2.6316,-5.4684,0,0,802859.5995886523,1.0002929640472735
37,7.4573,1898900.0,0.36324,1004.4,-6.043,0,732490.0,8.9731e+18,330.72,,2.7047,-5.3953,0,0,802879.7179707193,1.0002787036988063
38,7.4383,1894800.0,0.37045,1021.3,-6.0706,0,729870.0,8.936e+18,330.38,,2.7778,-5.3222,0,0,802914.3724149663,1.0002640498655728
39,7.4176,1890300.0,0.37801,1038.6,-6.0987,0,727030.0,8.8957e+18,330.02,,2.8509,-5.2491,0,0,802895.0122139957,1.0002485417939622
40,7.3964,1885700.0,0.38567,1056.0,-6.1238,0,724140.0,8.8546e+18,329.64,,2.924,-5.176,0,0,802909.4513609265,1.0002322675510764
41,7.3739,1880900.0,0.39365,1073.9,-6.1295,0,721060.0,8.8108e+18,329.24,,2.9971,-5.1029,0,0,802898.051193665,1.0002151679816087
42,7.3507,1875900.0,0.40179,1092.0,-6.1063,0,717890.0,8.7658e+18,328.83,,3.0702,-5.0298,0,0,802907.0972232705,1.0001976885553512
43,7.3265,1870600.0,0.41018,1110.4,-6.0359,0,714590.0,8.719e+18,328.4,,3.1433,-4.9567,0,0,802934.2744682519,1.0001794247652522
44,7.3011,1865100.0,0.41881,1129.1,-6.0227,0,711120.0,8.6697e+18,327.94,,3.2164,-4.8836,0,0,802933.7746050397,1.0001599744052196
