,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,s,Z
0,7.753,1963600.0,0.24134,698.99,0.67411,0,772840.0,9.5461e+18,335.63,,0.0,-8.1,0,0,3710.1072318526585,1.0000059536222163
1,7.7508,1963100.0,0.24211,700.99,0.22809,0,772550.0,9.5421e+18,335.6,,0.0731,-8.0269,0,0,3710.125150173587,1.0000038333458705
2,7.7487,1962600.0,0.24288,703.0,-0.21794,0,772270.0,9.538e+18,335.57,,0.1462,-7.9538,0,0,3710.139253563628,1.0000017041698406
3,7.7465,1962000.0,0.24366,705.0,-0.66396,0,771980.0,9.534e+18,335.54,,0.2193,-7.8807,0,0,3710.1572067982243,0.9999994803365481
4,7.7443,1961500.0,0.24443,707.01,-1.11,0,771700.0,9.53e+18,335.51,,0.2924,-7.8076,0,0,3710.175178052118,1.0000101625744444
5,7.7422,1961000.0,0.2452,709.01,-1.556,0,771420.0,9.5259e+18,335.48,,0.3655,-7.7345,0,0,3710.1893311941535,1.0000078854786847
6,7.74,1960500.0,0.24597,711.01,-2.002,0,771130.0,9.5219e+18,335.45,,0.4386,-7.6614,0,0,3710.2073374339207,1.0000055101259353
7,7.7375,1959900.0,0.24689,713.4,-2.4477,0,770810.0,9.5173e+18,335.42,,0.5117,-7.5883,0,0,3710.2368768541537,1.0000029342595924
8,7.7336,1959000.0,0.24852,717.67,-2.8918,0,770300.0,9.51e+18,335.37,,0.5848,-7.5152,0,0,3710.2759237291584,0.9999943174359005
9,7.7297,1958200.0,0.25014,721.93,-3.3359,0,769780.0,9.5027e+18,335.31,,0.6579,-7.4421,0,0,3710.2928862729586,1.000002370840145
10,7.7258,1957300.0,0.25177,726.19,-3.78,0,769270.0,9.4955e+18,335.26,,0.731,-7.369,0,0,3710.3320479699814,0.9999934259196991
11,7.7219,1956500.0,0.2534,730.46,-4.2241,0,768760.0,9.4882e+18,335.2,,0.8041,-7.2959,0,0,3710.3491182110497,1.0000141510925966
12,7.718,1955600.0,0.25502,734.72,-4.6682,0,768250.0,9.4809e+18,335.15,,0.8772,-7.2228,0,0,3710.388395011664,1.000004885282571
13,7.7141,1954700.0,0.25665,738.99,-5.1123,0,767730.0,9.4737e+18,335.1,,0.9503,-7.1497,0,0,3710.4277311227797,0.9999824312804912
14,7.7096,1953700.0,0.25854,743.91,-5.5192,0,767140.0,9.4652e+18,335.03,,1.0234,-7.0766,0,0,3710.4459166905085,1.0000060686344767
15,7.7037,1952500.0,0.26102,750.36,-5.841,0,766360.0,9.4541e+18,334.94,,1.0965,-7.0035,0,0,3710.4738052154426,1.0000230294384278
16,7.6979,1951200.0,0.26351,756.8,-6.1629,0,765570.0,9.443e+18,334.86,,1.1696,-6.9304,0,0,3710.5201298922366,0.999983696311898
17,7.692,1949900.0,0.26599,763.25,-6.4847,0,764790.0,9.4319e+18,334.77,,1.2427,-6.8573,0,0,3710.5482628480163,0.9999998699250944
18,7.6862,1948600.0,0.26848,769.69,-6.8066,0,764010.0,9.4208e+18,334.68,,1.3158,-6.7842,0,0,3710.5726527817887,1.0000026537000566
19,7.6803,1947300.0,0.27096,776.14,-7.1284,0,763230.0,9.4096e+18,334.59,,1.3889,-6.7111,0,0,3710.6010251510493,1.0000180573088837
20,7.6744,1946000.0,0.27345,782.58,-7.4502,0,762440.0,9.3985e+18,334.51,,1.462,-6.638,0,0,3710.6517160441613,0.9999900680803867
21,7.6679,1944600.0,0.27649,790.49,-7.5223,0,761540.0,9.3857e+18,334.39,,1.5351,-6.5649,0,0,3710.636965704683,1.0000150788089255
22,7.6605,1943000.0,0.28035,800.58,-7.2233,0,760470.0,9.3705e+18,334.25,,1.6082,-6.4918,0,0,3710.612797901894,0.9999933316354572
23,7.6531,1941400.0,0.28422,810.66,-6.9243,0,759390.0,9.3552e+18,334.1,,1.6813,-6.4187,0,0,3710.5665534312698,0.9999874758017829
24,7.6456,1939900.0,0.28809,820.74,-6.6253,0,758320.0,9.34e+18,333.95,,1.7544,-6.3456,0,0,3710.5243215359064,1.0000070002072472
