,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
0,7.7533,1963800.0,0.24158,699.73,0.5926,0,772890.0,9.5469e+18,335.64,,0.0,-8.1,0,0,805155.5922518543,1.0004964572837287
1,7.7516,1963400.0,0.24224,701.45,0.18453,0,772670.0,9.5437e+18,335.62,,0.0731,-8.0269,0,0,805105.4232923952,1.0004955127887731
2,7.75,1963000.0,0.2429,703.17,-0.22354,0,772440.0,9.5405e+18,335.59,,0.1462,-7.9538,0,0,805045.2516882389,1.0004941737929407
3,7.7483,1962600.0,0.24355,704.9,-0.63161,0,772220.0,9.5373e+18,335.57,,0.2193,-7.8807,0,0,804993.177494111,1.0004932297981697
4,7.7466,1962200.0,0.24421,706.62,-1.0397,0,771990.0,9.5341e+18,335.54,,0.2924,-7.8076,0,0,804933.819723211,1.0004918912920349
5,7.7449,1961800.0,0.24487,708.34,-1.4477,0,771770.0,9.531e+18,335.52,,0.3655,-7.7345,0,0,804885.2946320649,1.0004909477980664
6,7.7432,1961400.0,0.24553,710.07,-1.8558,0,771550.0,9.5278e+18,335.49,,0.4386,-7.6614,0,0,804837.1916804914,1.0004896174595581
7,7.7413,1961000.0,0.2463,712.11,-2.2261,0,771290.0,9.5241e+18,335.47,,0.5117,-7.5883,0,0,804778.1013872097,1.0004886437902896
8,7.7382,1960300.0,0.24767,715.71,-2.4123,0,770890.0,9.5184e+18,335.43,,0.5848,-7.5152,0,0,804739.7230934078,1.0004867891796383
9,7.735,1959600.0,0.24903,719.31,-2.5984,0,770480.0,9.5126e+18,335.39,,0.6579,-7.4421,0,0,804689.9409831213,1.0004849277490873
10,7.7319,1959000.0,0.25039,722.92,-2.7845,0,770080.0,9.5069e+18,335.35,,0.731,-7.369,0,0,804652.4042269439,1.0004830747691935
11,7.7269,1957800.0,0.25201,727.06,-3.2708,0,769440.0,9.4979e+18,335.28,,0.8041,-7.2959,0,0,804439.0361901372,1.00047987939301
12,7.7213,1956500.0,0.25373,731.4,-3.864,0,768720.0,9.4877e+18,335.21,,0.8772,-7.2228,0,0,804172.6978308645,1.000476625810871
13,7.7157,1955100.0,0.25545,735.74,-4.4572,0,768010.0,9.4776e+18,335.14,,0.9503,-7.1497,0,0,803919.431615692,1.0004733823468077
14,7.7107,1953900.0,0.25746,740.96,-4.8711,0,767330.0,9.4679e+18,335.07,,1.0234,-7.0766,0,0,803783.6344106871,1.000470163805316
15,7.7069,1953200.0,0.26014,748.19,-4.876,0,766750.0,9.4596e+18,334.98,,1.0965,-7.0035,0,0,803951.0896888146,1.0004662471374517
16,7.7031,1952500.0,0.26282,755.42,-4.8809,0,766160.0,9.4513e+18,334.89,,1.1696,-6.9304,0,0,804115.4264860163,1.0004623242092987
