"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7402,1.9611e+06,0,2.009e-05,0.24859,718.58,0.59701,0,7.7109e+05,9.5213e+18,0,0,0,335.43,0,,0,-8.1,0,0
7.7386,1.9607e+06,0,2.0088e-05,0.24922,720.23,0.20972,0,7.7087e+05,9.5182e+18,0,0,0,335.4,0,,0.0731,-8.0269,0,0
7.737,1.9603e+06,0,2.0087e-05,0.24985,721.87,-0.17756,0,7.7065e+05,9.515e+18,0,0,0,335.37,0,,0.1462,-7.9538,0,0
7.7354,1.9599e+06,0,2.0086e-05,0.25048,723.52,-0.56483,0,7.7042e+05,9.5118e+18,0,0,0,335.34,0,,0.2193,-7.8807,0,0
7.7339,1.9595e+06,0,2.0084e-05,0.25112,725.16,-0.95211,0,7.702e+05,9.5087e+18,0,0,0,335.31,0,,0.2924,-7.8076,0,0
7.7323,1.9591e+06,0,2.0083e-05,0.25175,726.81,-1.3394,0,7.6998e+05,9.5055e+18,0,0,0,335.29,0,,0.3655,-7.7345,0,0
7.7307,1.9587e+06,0,2.0082e-05,0.25238,728.45,-1.7267,0,7.6976e+05,9.5024e+18,0,0,0,335.26,0,,0.4386,-7.6614,0,0
7.7289,1.9583e+06,0,2.008e-05,0.2531,730.33,-2.0917,0,7.6951e+05,9.4988e+18,0,0,0,335.23,0,,0.5117,-7.5883,0,0
7.726,1.9576e+06,0,2.0079e-05,0.25426,733.34,-2.348,0,7.6912e+05,9.4933e+18,0,0,0,335.18,0,,0.5848,-7.5152,0,0
7.7231,1.9569e+06,0,2.0077e-05,0.25542,736.36,-2.6044,0,7.6873e+05,9.4879e+18,0,0,0,335.14,0,,0.6579,-7.4421,0,0
7.7201,1.9563e+06,0,2.0075e-05,0.25658,739.38,-2.8608,0,7.6835e+05,9.4824e+18,0,0,0,335.1,0,,0.731,-7.369,0,0
7.7165,1.9555e+06,0,2.0072e-05,0.25826,743.81,-2.9827,0,7.6786e+05,9.4754e+18,0,0,0,335.04,0,,0.8041,-7.2959,0,0
7.7127,1.9547e+06,0,2.0069e-05,0.26013,748.76,-3.0568,0,7.6733e+05,9.4679e+18,0,0,0,334.98,0,,0.8772,-7.2228,0,0
7.7089,1.9538e+06,0,2.0067e-05,0.262,753.7,-3.131,0,7.668e+05,9.4604e+18,0,0,0,334.92,0,,0.9503,-7.1497,0,0
7.7044,1.9529e+06,0,2.0063e-05,0.26411,759.23,-3.2007,0,7.6619e+05,9.4517e+18,0,0,0,334.84,0,,1.0234,-7.0766,0,0
7.6986,1.9516e+06,0,2.0059e-05,0.26674,766.11,-3.2603,0,7.6539e+05,9.4404e+18,0,0,0,334.75,0,,1.0965,-7.0035,0,0
7.6927,1.9503e+06,0,2.0055e-05,0.26938,772.98,-3.32,0,7.6459e+05,9.429e+18,0,0,0,334.65,0,,1.1696,-6.9304,0,0
7.6869,1.9491e+06,0,2.0051e-05,0.27201,779.85,-3.3796,0,7.638e+05,9.4177e+18,0,0,0,334.56,0,,1.2427,-6.8573,0,0
7.6798,1.9475e+06,0,2.0046e-05,0.27474,786.82,-3.3154,0,7.6286e+05,9.4044e+18,0,0,0,334.46,0,,1.3158,-6.7842,0,0
7.6726,1.9459e+06,0,2.0041e-05,0.27757,794.06,-3.2381,0,7.619e+05,9.3908e+18,0,0,0,334.35,0,,1.3889,-6.7111,0,0
7.6664,1.9446e+06,0,2.0036e-05,0.281,803.08,-3.216,0,7.6102e+05,9.3783e+18,0,0,0,334.23,0,,1.462,-6.638,0,0
7.6586,1.943e+06,0,2.003e-05,0.28468,812.61,-3.2556,0,7.5994e+05,9.363e+18,0,0,0,334.1,0,,1.5351,-6.5649,0,0
7.6482,1.9407e+06,0,2.0023e-05,0.28874,822.89,-3.3867,0,7.5857e+05,9.3434e+18,0,0,0,333.95,0,,1.6082,-6.4918,0,0
7.6389,1.9387e+06,0,2.0017e-05,0.29257,832.61,-3.4735,0,7.5732e+05,9.3258e+18,0,0,0,333.81,0,,1.6813,-6.4187,0,0
7.6301,1.9368e+06,0,2.0011e-05,0.29629,842.06,-3.5376,0,7.5615e+05,9.3091e+18,0,0,0,333.67,0,,1.7544,-6.3456,0,0
7.6207,1.9349e+06,0,2.0003e-05,0.3009,853.86,-3.534,0,7.5481e+05,9.2901e+18,0,0,0,333.49,0,,1.8275,-6.2725,0,0
7.6108,1.9328e+06,0,1.9994e-05,0.30559,865.83,-3.5435,0,7.5341e+05,9.2702e+18,0,0,0,333.3,0,,1.9006,-6.1994,0,0
7.5987,1.9301e+06,0,1.9985e-05,0.31034,877.6,-3.6423,0,7.5175e+05,9.2466e+18,0,0,0,333.1,0,,1.9737,-6.1263,0,0
7.5867,1.9274e+06,0,1.9975e-05,0.31534,890.05,-3.722,0,7.5008e+05,9.223e+18,0,0,0,332.89,0,,2.0468,-6.0532,0,0
7.5749,1.9249e+06,0,1.9966e-05,0.32068,903.4,-3.777,0,7.4841e+05,9.1992e+18,0,0,0,332.67,0,,2.1199,-5.9801,0,0
7.5617,1.922e+06,0,1.9955e-05,0.32597,916.38,-3.8736,0,7.466e+05,9.1735e+18,0,0,0,332.44,0,,2.193,-5.907,0,0
7.5478,1.919e+06,0,1.9945e-05,0.33124,929.2,-3.9896,0,7.4472e+05,9.1468e+18,0,0,0,332.21,0,,2.2661,-5.8339,0,0
7.5347,1.9162e+06,0,1.9934e-05,0.33665,942.37,-4.0478,0,7.4289e+05,9.1209e+18,0,0,0,331.97,0,,2.3392,-5.7608,0,0
7.5214,1.9133e+06,0,1.9924e-05,0.34214,955.72,-4.0607,0,7.4105e+05,9.0947e+18,0,0,0,331.74,0,,2.4123,-5.6877,0,0
7.5058,1.91e+06,0,1.9912e-05,0.3483,970.54,-3.9274,0,7.3892e+05,9.0644e+18,0,0,0,331.47,0,,2.4854,-5.6146,0,0
7.488,1.9062e+06,0,1.9898e-05,0.35505,986.53,-3.6324,0,7.3648e+05,9.0299e+18,0,0,0,331.16,0,,2.5585,-5.5415,0,0
