,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7387,1960800.0,0,2.0089e-05,0.24921,720.23,0.53748,0,770900.0,9.5186e+18,0,0,0,335.41,0,,0.0,-8.1,0,0,805178.9840002902,1.0004860225158236
1,7.7371,1960400.0,0,2.0087e-05,0.24987,721.95,0.14548,0,770680.0,9.5155e+18,0,0,0,335.38,0,,0.0731,-8.0269,0,0,805133.7333225193,1.0004846930150573
2,7.7356,1960000.0,0,2.0086e-05,0.25053,723.66,-0.24652,0,770460.0,9.5123e+18,0,0,0,335.35,0,,0.1462,-7.9538,0,0,805088.8949171654,1.0004833637164532
3,7.7341,1959600.0,0,2.0085e-05,0.25118,725.38,-0.63851,0,770240.0,9.5092e+18,0,0,0,335.32,0,,0.2193,-7.8807,0,0,805041.6539064839,1.0004820346202132
4,7.7325,1959200.0,0,2.0083e-05,0.25184,727.1,-1.0305,0,770020.0,9.506e+18,0,0,0,335.29,0,,0.2924,-7.8076,0,0,804997.6323714558,1.0004807057265395
5,7.731,1958800.0,0,2.0082e-05,0.25249,728.81,-1.4225,0,769790.0,9.5029e+18,0,0,0,335.26,0,,0.3655,-7.7345,0,0,804940.7336144358,1.0004793694777643
6,7.7294,1958500.0,0,2.0081e-05,0.25315,730.53,-1.8145,0,769570.0,9.4998e+18,0,0,0,335.23,0,,0.4386,-7.6614,0,0,804897.5256950877,1.00047804100539
7,7.7276,1958000.0,0,2.0079e-05,0.25389,732.46,-2.1844,0,769320.0,9.4962e+18,0,0,0,335.2,0,,0.5117,-7.5883,0,0,804846.0776122252,1.0004766901561777
8,7.7246,1957300.0,0,2.0077e-05,0.25505,735.45,-2.4463,0,768910.0,9.4904e+18,0,0,0,335.16,0,,0.5848,-7.5152,0,0,804747.4998166255,1.0004748319433394
9,7.7215,1956600.0,0,2.0075e-05,0.2562,738.44,-2.7083,0,768500.0,9.4846e+18,0,0,0,335.11,0,,0.6579,-7.4421,0,0,804647.3115695993,1.0004725870362405
10,7.7184,1955900.0,0,2.0073e-05,0.25736,741.43,-2.9702,0,768100.0,9.4788e+18,0,0,0,335.07,0,,0.731,-7.369,0,0,804561.6949067863,1.0004707379816233
