"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -3.759496622,     -0.8443911361,      -1.354595448,       1.790600052,     -0.1350426252,       2.778668241
          0,           0,           1,      -3.916223601,      -1.004346047,      -1.524109085,       1.634902697,     -0.2634637744,       3.001469475
          0,           0,           2,      -4.071277841,       -1.16459395,      -1.691492029,       1.480639724,     -0.4055219028,       2.893605131
          0,           0,           3,      -4.223037146,      -1.324001321,      -1.839445979,       1.329485377,     -0.5560689667,       2.794658029
          0,           0,           4,      -4.359930821,      -1.478374817,      -1.899135347,       1.194200759,      -0.706035189,       2.696280316
          0,           0,           5,      -4.456790294,      -1.620757513,       -1.70000237,       1.108526979,     -0.8451338063,       2.594573629
          0,           0,           6,       -4.53968848,      -1.716873458,      -1.950712978,       1.042197991,     -0.9675490736,       2.486209607
          0,           0,           7,      -4.630275762,      -1.758698805,        -2.0982601,      0.9634865453,      -1.071958318,        2.37091826
          0,           0,           8,      -4.692725168,      -1.762983584,      -2.190170135,      0.9322073163,      -1.161102792,        2.23945557
          0,           0,           9,      -4.767366088,      -1.831878997,      -2.221300345,        0.85957288,      -1.227229043,       2.110086589
          0,           0,          10,      -4.777604256,      -1.833304648,      -2.105422422,      0.8097817669,      -1.273489156,       1.992358405
          0,           0,          11,      -4.829542582,      -1.871335875,      -2.090036375,      0.7628015081,      -1.307739066,       1.890010345
          0,           0,          12,      -4.759053949,      -1.722661616,      -2.029075961,      0.8456694508,      -1.321586861,       1.803887266
          0,           0,          13,       -4.73589022,      -1.810033858,      -1.775989449,      0.8471673707,      -1.338185437,       1.730816563
          0,           0,          14,      -4.776371387,      -1.862883848,      -1.972938863,       0.842587673,      -1.366068824,       1.666829654
          0,           0,          15,      -4.896959524,      -1.899479598,       -2.07766459,      0.7462857353,      -1.385550661,       1.611423392
          0,           0,          16,      -4.900230028,      -1.877881255,      -2.212010793,      0.7986646001,      -1.396211715,       1.557057655
          0,           0,          17,      -4.905846723,      -1.872450085,      -2.288479515,      0.7804817789,       -1.40187847,        1.50932319
          0,           0,          18,      -4.757501173,        -1.7120628,      -2.096881994,      0.8325091281,      -1.386569136,       1.467080783
          0,           0,          19,      -4.801540681,      -1.802429271,      -2.187587507,      0.7748087869,      -1.395690997,       1.422135796
          0,           0,          20,      -4.908301771,      -1.859505262,      -2.229114743,      0.7673292912,      -1.415565803,       1.388010044
          0,           0,          21,      -4.859200953,      -1.904994511,      -1.819014325,      0.7908640558,      -1.421643441,       1.355503566
          0,           0,          22,      -4.810807453,      -1.876913708,      -1.951589038,      0.8322706704,       -1.41893136,       1.315266737
          0,           0,          23,      -4.904565154,      -1.863098169,       -2.13094538,       0.770962537,      -1.418126221,       1.273975965
          0,           0,          24,      -4.953675865,      -1.871624266,        -2.1757459,      0.7168427257,      -1.417576029,       1.250789915
          0,           0,          25,      -4.931972702,      -1.867437436,      -2.208811431,      0.7250731679,      -1.421974447,       1.223169605
          0,           0,          26,      -4.958181616,      -1.870932302,      -2.310075407,      0.7178517482,      -1.423401829,       1.202195208
          0,           0,          27,      -4.949649058,      -1.877456394,      -2.346240582,      0.7522696475,      -1.427901221,       1.187030551
          0,           0,          28,      -4.890607431,      -1.875624258,       -2.02660231,      0.7828287112,      -1.426443955,       1.167488412
          0,           0,          29,      -4.780545192,      -1.870594541,      -1.720389694,      0.8106855812,      -1.430766023,       1.152035497
          0,           0,          30,      -4.755420896,      -1.834986992,      -1.931292015,      0.8662808662,      -1.430421971,       1.129911697
          0,           0,          31,      -4.880469155,      -1.850856966,      -2.099319243,      0.7637158697,      -1.435222156,       1.105006022
          0,           0,          32,       -4.79955298,      -1.841145099,      -1.875224559,      0.7844381802,      -1.435018527,       1.093857831
          0,           0,          33,      -4.889033197,      -1.871572713,      -2.103683853,      0.7470576772,      -1.449086997,       1.063004872
          0,           0,          34,      -4.948766734,      -1.873487831,      -2.279013625,      0.7465611158,       -1.45715809,       1.052538377
          0,           0,          35,      -4.948636785,      -1.861792797,      -2.306608061,      0.7343998711,      -1.459972891,       1.028357362
          0,           0,          36,      -4.884968726,      -1.854254955,      -2.152057222,       0.792276367,      -1.455847611,       1.031691242
          0,           0,          37,      -4.895232185,      -1.870187683,      -2.019681501,      0.8165313842,      -1.461807432,       1.007376524
          0,           0,          38,      -4.816495711,      -1.870373064,       -1.74189783,      0.8147838012,      -1.464722234,       1.005227144
          0,           0,          39,      -4.820164665,       -1.85362818,      -1.993268887,      0.8349808968,      -1.467152519,      0.9802081427
          0,           0,          40,      -4.948572653,      -1.870398974,      -2.117272882,      0.7594773438,        -1.4712758,       1.000325932
          0,           0,          41,      -4.947681483,      -1.884567278,       -2.21780679,      0.7497886068,      -1.473416152,      0.9981484886
          0,           0,          42,      -4.953666288,      -1.876333934,      -2.247210674,      0.7161957785,      -1.478112523,       1.007035582
          0,           0,          43,       -4.96873619,      -1.859512628,      -2.292033794,      0.7402095529,      -1.485920991,      0.9821413443
          0,           0,          44,      -4.983052885,      -1.874536354,      -2.313253613,      0.7419848338,      -1.494248352,      0.9535552885
          0,           0,          45,      -4.902015953,      -1.874328618,      -2.146349812,      0.7499946184,      -1.497423273,      0.9377227896
          0,           0,          46,      -4.834686298,      -1.864318228,      -1.809654326,      0.8145965894,      -1.504577149,      0.9498052506
          0,           0,          47,      -4.801426118,      -1.843433147,      -1.959896328,      0.8502034901,      -1.515198454,       0.922113598
          0,           0,          48,       -4.94373176,       -1.87568104,      -2.151438381,      0.7739857737,       -1.52499786,      0.9063230761
