"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7624,0.00019796,1.9657e+06,0,2.0106e-05,0.23583,684.04,2.1016,0,9.1464e+05,7.7416e+05,-46150,0,0,0,335.8,23.325,0,,0,-0.0081,0,0
7.7602,0.00019728,1.9651e+06,0,2.0104e-05,0.23667,686.21,1.3685,0,8.7874e+05,7.7385e+05,-46698,0,0,0,335.76,22.356,0,,7.31e-05,-0.0080269,0,0
7.758,0.00019661,1.9646e+06,0,2.0103e-05,0.2375,688.39,0.63536,0,8.4284e+05,7.7354e+05,-47246,0,0,0,335.72,21.387,0,,0.0001462,-0.0079538,0,0
7.7557,0.00019593,1.964e+06,0,2.0101e-05,0.23833,690.57,-0.097748,0,8.0694e+05,7.7324e+05,-47794,0,0,0,335.69,20.417,0,,0.0002193,-0.0078807,0,0
7.7535,0.00019525,1.9634e+06,0,2.0099e-05,0.23917,692.74,-0.83084,0,7.7104e+05,7.7293e+05,-48341,0,0,0,335.65,19.448,0,,0.0002924,-0.0078076,0,0
7.7513,0.00019458,1.9629e+06,0,2.0098e-05,0.24,694.92,-1.5639,0,7.3514e+05,7.7262e+05,-48889,0,0,0,335.61,18.479,0,,0.0003655,-0.0077345,0,0
7.7491,0.0001939,1.9623e+06,0,2.0096e-05,0.24083,697.1,-2.297,0,6.9924e+05,7.7232e+05,-49437,0,0,0,335.57,17.509,0,,0.0004386,-0.0076614,0,0
7.747,0.00019329,1.9618e+06,0,2.0094e-05,0.24181,699.69,-2.8805,0,6.6842e+05,7.7202e+05,-49963,0,0,0,335.54,16.679,0,,0.0005117,-0.0075883,0,0
7.7453,0.0001929,1.9615e+06,0,2.0093e-05,0.24322,703.58,-2.9983,0,6.5343e+05,7.7176e+05,-50421,0,0,0,335.5,16.279,0,,0.0005848,-0.0075152,0,0
7.7436,0.00019252,1.9612e+06,0,2.0091e-05,0.24463,707.46,-3.1162,0,6.3843e+05,7.7151e+05,-50879,0,0,0,335.46,15.879,0,,0.0006579,-0.0074421,0,0
