"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7393,1.9609e+06,0,2.0088e-05,0.24933,720.62,0.61341,0,7.7094e+05,9.5192e+18,0,0,0,335.4,0,,0,-8.1,0,0
7.7376,1.9605e+06,0,2.0087e-05,0.24998,722.31,0.21698,0,7.7071e+05,9.516e+18,0,0,0,335.37,0,,0.0731,-8.0269,0,0
7.736,1.9601e+06,0,2.0086e-05,0.25063,724,-0.17946,0,7.7049e+05,9.5127e+18,0,0,0,335.35,0,,0.1462,-7.9538,0,0
7.7344,1.9597e+06,0,2.0085e-05,0.25128,725.69,-0.57589,0,7.7026e+05,9.5095e+18,0,0,0,335.32,0,,0.2193,-7.8807,0,0
7.7328,1.9593e+06,0,2.0083e-05,0.25193,727.38,-0.97232,0,7.7004e+05,9.5063e+18,0,0,0,335.29,0,,0.2924,-7.8076,0,0
7.7311,1.9589e+06,0,2.0082e-05,0.25258,729.08,-1.3688,0,7.6981e+05,9.5031e+18,0,0,0,335.26,0,,0.3655,-7.7345,0,0
7.7295,1.9585e+06,0,2.0081e-05,0.25323,730.77,-1.7652,0,7.6958e+05,9.4999e+18,0,0,0,335.23,0,,0.4386,-7.6614,0,0
7.7276,1.9581e+06,0,2.0079e-05,0.25399,732.77,-2.1213,0,7.6933e+05,9.4963e+18,0,0,0,335.2,0,,0.5117,-7.5883,0,0
7.7247,1.9574e+06,0,2.0078e-05,0.25532,736.25,-2.2811,0,7.6894e+05,9.4908e+18,0,0,0,335.16,0,,0.5848,-7.5152,0,0
7.7217,1.9568e+06,0,2.0076e-05,0.25664,739.73,-2.4409,0,7.6855e+05,9.4853e+18,0,0,0,335.12,0,,0.6579,-7.4421,0,0
7.7188,1.9562e+06,0,2.0074e-05,0.25796,743.21,-2.6007,0,7.6816e+05,9.4797e+18,0,0,0,335.08,0,,0.731,-7.369,0,0
7.7139,1.955e+06,0,2.0071e-05,0.25952,747.15,-3.0286,0,7.6753e+05,9.4708e+18,0,0,0,335.02,0,,0.8041,-7.2959,0,0
7.7084,1.9537e+06,0,2.0068e-05,0.26116,751.25,-3.552,0,7.6682e+05,9.4606e+18,0,0,0,334.94,0,,0.8772,-7.2228,0,0
7.7029,1.9523e+06,0,2.0065e-05,0.2628,755.35,-4.0753,0,7.661e+05,9.4505e+18,0,0,0,334.87,0,,0.9503,-7.1497,0,0
7.6981,1.9512e+06,0,2.0061e-05,0.26468,760.2,-4.3836,0,7.6545e+05,9.4413e+18,0,0,0,334.8,0,,1.0234,-7.0766,0,0
7.6947,1.9506e+06,0,2.0058e-05,0.26711,766.74,-4.2009,0,7.6495e+05,9.4341e+18,0,0,0,334.72,0,,1.0965,-7.0035,0,0
7.6914,1.95e+06,0,2.0054e-05,0.26953,773.29,-4.0183,0,7.6445e+05,9.427e+18,0,0,0,334.65,0,,1.1696,-6.9304,0,0
7.6881,1.9494e+06,0,2.0051e-05,0.27196,779.83,-3.8356,0,7.6395e+05,9.4199e+18,0,0,0,334.57,0,,1.2427,-6.8573,0,0
7.6807,1.9478e+06,0,2.0046e-05,0.27524,788.32,-3.8028,0,7.6294e+05,9.4055e+18,0,0,0,334.45,0,,1.3158,-6.7842,0,0
7.6726,1.946e+06,0,2.004e-05,0.27867,797.15,-3.7956,0,7.6184e+05,9.3899e+18,0,0,0,334.32,0,,1.3889,-6.7111,0,0
7.6645,1.9442e+06,0,2.0034e-05,0.28211,805.97,-3.7885,0,7.6074e+05,9.3743e+18,0,0,0,334.19,0,,1.462,-6.638,0,0
7.6566,1.9425e+06,0,2.0028e-05,0.28556,814.85,-3.7351,0,7.5966e+05,9.3591e+18,0,0,0,334.06,0,,1.5351,-6.5649,0,0
7.649,1.9409e+06,0,2.0023e-05,0.28903,823.8,-3.6132,0,7.5862e+05,9.3442e+18,0,0,0,333.94,0,,1.6082,-6.4918,0,0
7.6405,1.9391e+06,0,2.0016e-05,0.29293,833.78,-3.5587,0,7.5745e+05,9.3276e+18,0,0,0,333.79,0,,1.6813,-6.4187,0,0
7.6315,1.9372e+06,0,2.0009e-05,0.29703,844.28,-3.5388,0,7.5622e+05,9.3101e+18,0,0,0,333.64,0,,1.7544,-6.3456,0,0
7.6204,1.9348e+06,0,2.0002e-05,0.3015,855.52,-3.5201,0,7.5472e+05,9.2889e+18,0,0,0,333.47,0,,1.8275,-6.2725,0,0
7.6095,1.9325e+06,0,1.9994e-05,0.30601,866.83,-3.4844,0,7.5324e+05,9.2678e+18,0,0,0,333.29,0,,1.9006,-6.1994,0,0
7.6004,1.9306e+06,0,1.9985e-05,0.31048,878.2,-3.3694,0,7.5193e+05,9.2492e+18,0,0,0,333.11,0,,1.9737,-6.1263,0,0
7.5898,1.9283e+06,0,1.9977e-05,0.31518,889.99,-3.3037,0,7.5045e+05,9.2282e+18,0,0,0,332.92,0,,2.0468,-6.0532,0,0
7.5774,1.9256e+06,0,1.9968e-05,0.32017,902.34,-3.3017,0,7.4876e+05,9.2043e+18,0,0,0,332.71,0,,2.1199,-5.9801,0,0
7.565,1.923e+06,0,1.9958e-05,0.32522,914.76,-3.2825,0,7.4706e+05,9.1801e+18,0,0,0,332.5,0,,2.193,-5.907,0,0
7.5525,1.9203e+06,0,1.9948e-05,0.33029,927.22,-3.2553,0,7.4535e+05,9.1558e+18,0,0,0,332.29,0,,2.2661,-5.8339,0,0
7.5397,1.9176e+06,0,1.9938e-05,0.33593,941.12,-2.7374,0,7.4355e+05,9.1302e+18,0,0,0,332.04,0,,2.3392,-5.7608,0,0
7.5244,1.9144e+06,0,1.9925e-05,0.3423,956.62,-2.8107,0,7.4142e+05,9.1e+18,0,0,0,331.77,0,,2.4123,-5.6877,0,0
7.5072,1.9106e+06,0,1.9912e-05,0.34885,972.26,-2.8423,0,7.3907e+05,9.0667e+18,0,0,0,331.48,0,,2.4854,-5.6146,0,0
7.4908,1.9071e+06,0,1.9899e-05,0.35533,987.71,-2.8687,0,7.3681e+05,9.0345e+18,0,0,0,331.19,0,,2.5585,-5.5415,0,0
7.4733,1.9034e+06,0,1.9885e-05,0.36195,1003.3,-2.8491,0,7.3441e+05,9.0005e+18,0,0,0,330.88,0,,2.6316,-5.4684,0,0
7.4553,1.8995e+06,0,1.9871e-05,0.3687,1019.1,-2.8255,0,7.3194e+05,8.9653e+18,0,0,0,330.56,0,,2.7047,-5.3953,0,0
7.4364,1.8954e+06,0,1.9856e-05,0.37576,1035.4,-2.7985,0,7.2934e+05,8.9285e+18,0,0,0,330.23,0,,2.7778,-5.3222,0,0
7.4159,1.891e+06,0,1.9839e-05,0.3833,1052.7,-2.7271,0,7.2652e+05,8.8884e+18,0,0,0,329.86,0,,2.8509,-5.2491,0,0
7.396,1.8868e+06,0,1.9823e-05,0.3906,1069.3,-2.6294,0,7.2378e+05,8.8495e+18,0,0,0,329.5,0,,2.924,-5.176,0,0
7.3741,1.8821e+06,0,1.9805e-05,0.39854,1087.1,-2.6122,0,7.2076e+05,8.8067e+18,0,0,0,329.1,0,,2.9971,-5.1029,0,0
7.3509,1.877e+06,0,1.9786e-05,0.40652,1104.7,-2.6037,0,7.176e+05,8.7617e+18,0,0,0,328.69,0,,3.0702,-5.0298,0,0
7.3277,1.872e+06,0,1.9767e-05,0.41456,1122.3,-2.5468,0,7.1443e+05,8.7167e+18,0,0,0,328.27,0,,3.1433,-4.9567,0,0
7.3033,1.8668e+06,0,1.9747e-05,0.42312,1140.9,-2.5024,0,7.1107e+05,8.669e+18,0,0,0,327.82,0,,3.2164,-4.8836,0,0
7.2765,1.861e+06,0,1.9725e-05,0.43194,1159.5,-2.444,0,7.0743e+05,8.6173e+18,0,0,0,327.34,0,,3.2895,-4.8105,0,0
7.2503,1.8554e+06,0,1.9703e-05,0.44102,1178.8,-2.3882,0,7.0381e+05,8.566e+18,0,0,0,326.85,0,,3.3626,-4.7374,0,0
7.2212,1.849e+06,0,1.968e-05,0.4502,1197.5,-2.318,0,6.9989e+05,8.5102e+18,0,0,0,326.34,0,,3.4357,-4.6643,0,0
7.1928,1.8429e+06,0,1.9657e-05,0.45917,1215.6,-2.2715,0,6.9607e+05,8.456e+18,0,0,0,325.83,0,,3.5088,-4.5912,0,0
7.1638,1.8367e+06,0,1.9632e-05,0.46878,1235.1,-2.0377,0,6.9211e+05,8.3997e+18,0,0,0,325.29,0,,3.5819,-4.5181,0,0
7.1305,1.8295e+06,0,1.9605e-05,0.47902,1255,-1.8289,0,6.8762e+05,8.3359e+18,0,0,0,324.69,0,,3.655,-4.445,0,0
7.0967,1.8221e+06,0,1.9577e-05,0.48935,1274.8,-1.8591,0,6.8305e+05,8.2711e+18,0,0,0,324.07,0,,3.7281,-4.3719,0,0
7.0618,1.8146e+06,0,1.9547e-05,0.49999,1294.8,-2.0361,0,6.7834e+05,8.2043e+18,0,0,0,323.43,0,,3.8012,-4.2988,0,0
7.026,1.8067e+06,0,1.9518e-05,0.5104,1313.7,-2.0924,0,6.7355e+05,8.1362e+18,0,0,0,322.78,0,,3.8743,-4.2257,0,0
6.9904,1.799e+06,0,1.9488e-05,0.52092,1332.7,-1.9707,0,6.6877e+05,8.0683e+18,0,0,0,322.12,0,,3.9474,-4.1526,0,0
6.9514,1.7904e+06,0,1.9455e-05,0.53208,1352.1,-1.9084,0,6.6356e+05,7.9943e+18,0,0,0,321.4,0,,4.0205,-4.0795,0,0
6.9119,1.7817e+06,0,1.9421e-05,0.54337,1371.4,-1.8641,0,6.5827e+05,7.9193e+18,0,0,0,320.67,0,,4.0936,-4.0064,0,0
6.8705,1.7727e+06,0,1.9386e-05,0.55493,1390.5,-1.8358,0,6.5278e+05,7.8412e+18,0,0,0,319.9,0,,4.1667,-3.9333,0,0
6.828,1.7633e+06,0,1.935e-05,0.56667,1409.4,-1.8025,0,6.4713e+05,7.761e+18,0,0,0,319.11,0,,4.2398,-3.8602,0,0
6.7839,1.7536e+06,0,1.9312e-05,0.57873,1428.3,-1.7735,0,6.4129e+05,7.678e+18,0,0,0,318.29,0,,4.3129,-3.7871,0,0
6.7391,1.7437e+06,0,1.9274e-05,0.59063,1446.1,-1.7637,0,6.354e+05,7.5945e+18,0,0,0,317.46,0,,4.386,-3.714,0,0
6.6921,1.7332e+06,0,1.9232e-05,0.60331,1464.7,-1.7317,0,6.2916e+05,7.5058e+18,0,0,0,316.55,0,,4.4591,-3.6409,0,0
6.6445,1.7226e+06,0,1.919e-05,0.61576,1482.2,-1.6855,0,6.229e+05,7.4169e+18,0,0,0,315.65,0,,4.5322,-3.5678,0,0
6.5952,1.7116e+06,0,1.9147e-05,0.62856,1499.6,-1.6379,0,6.1645e+05,7.3253e+18,0,0,0,314.71,0,,4.6053,-3.4947,0,0
6.5443,1.7002e+06,0,1.9102e-05,0.64166,1516.7,-1.5921,0,6.0979e+05,7.2308e+18,0,0,0,313.74,0,,4.6784,-3.4216,0,0
6.4921,1.6886e+06,0,1.9056e-05,0.65492,1533.2,-1.5572,0,6.0301e+05,7.1345e+18,0,0,0,312.74,0,,4.7515,-3.3485,0,0
6.4386,1.6766e+06,0,1.9008e-05,0.66839,1549.3,-1.517,0,5.9607e+05,7.0359e+18,0,0,0,311.71,0,,4.8246,-3.2754,0,0
6.3837,1.6643e+06,0,1.8959e-05,0.68207,1564.9,-1.4819,0,5.8898e+05,6.9352e+18,0,0,0,310.65,0,,4.8977,-3.2023,0,0
6.3275,1.6516e+06,0,1.8908e-05,0.69596,1579.9,-1.4454,0,5.8175e+05,6.8325e+18,0,0,0,309.56,0,,4.9708,-3.1292,0,0
6.2701,1.6387e+06,0,1.8856e-05,0.71007,1594.4,-1.4187,0,5.7439e+05,6.728e+18,0,0,0,308.44,0,,5.0439,-3.0561,0,0
6.2124,1.6257e+06,0,1.8803e-05,0.72416,1608.1,-1.4027,0,5.6702e+05,6.6234e+18,0,0,0,307.31,0,,5.117,-2.983,0,0
6.1532,1.6124e+06,0,1.8748e-05,0.73863,1621.6,-1.1339,0,5.5948e+05,6.5163e+18,0,0,0,306.14,0,,5.1901,-2.9099,0,0
6.0945,1.5991e+06,0,1.8693e-05,0.75292,1634,-1.1631,0,5.5202e+05,6.4104e+18,0,0,0,304.97,0,,5.2632,-2.8368,0,0
6.0349,1.5856e+06,0,1.8637e-05,0.76736,1645.9,-0.83598,0,5.4449e+05,6.3034e+18,0,0,0,303.78,0,,5.3363,-2.7637,0,0
5.9759,1.5723e+06,0,1.8581e-05,0.78172,1657,-0.74569,0,5.3703e+05,6.1976e+18,0,0,0,302.58,0,,5.4094,-2.6906,0,0
5.9136,1.5581e+06,0,1.8521e-05,0.79679,1667.8,-0.68653,0,5.2919e+05,6.0862e+18,0,0,0,301.3,0,,5.4825,-2.6175,0,0
5.8513,1.5439e+06,0,1.846e-05,0.81173,1677.6,-0.66591,0,5.2139e+05,5.9754e+18,0,0,0,300.02,0,,5.5556,-2.5444,0,0
5.7876,1.5294e+06,0,1.8398e-05,0.82692,1686.6,-0.61138,0,5.1346e+05,5.8628e+18,0,0,0,298.71,0,,5.6287,-2.4713,0,0
5.723,1.5146e+06,0,1.8334e-05,0.84227,1695,-0.55524,0,5.0545e+05,5.749e+18,0,0,0,297.37,0,,5.7018,-2.3982,0,0
5.6577,1.4996e+06,0,1.8269e-05,0.85776,1702.5,-0.50044,0,4.9738e+05,5.6345e+18,0,0,0,296,0,,5.7749,-2.3251,0,0
5.5917,1.4844e+06,0,1.8203e-05,0.87338,1709.3,-0.44468,0,4.8927e+05,5.5193e+18,0,0,0,294.61,0,,5.848,-2.252,0,0
5.5253,1.4691e+06,0,1.8136e-05,0.88906,1715.2,-0.3783,0,4.8116e+05,5.4041e+18,0,0,0,293.21,0,,5.9211,-2.1789,0,0
5.4587,1.4537e+06,0,1.8068e-05,0.90479,1720.3,-0.25943,0,4.7305e+05,5.289e+18,0,0,0,291.79,0,,5.9942,-2.1058,0,0
5.3899,1.4378e+06,0,1.7997e-05,0.921,1724.7,-0.24339,0,4.6473e+05,5.1708e+18,0,0,0,290.31,0,,6.0673,-2.0327,0,0
5.3222,1.422e+06,0,1.7926e-05,0.93696,1728.2,-0.21071,0,4.5658e+05,5.0551e+18,0,0,0,288.84,0,,6.1404,-1.9596,0,0
5.2536,1.406e+06,0,1.7854e-05,0.95316,1730.9,-0.14919,0,4.4835e+05,4.9383e+18,0,0,0,287.35,0,,6.2135,-1.8865,0,0
5.1849,1.39e+06,0,1.7781e-05,0.96941,1732.8,-0.10094,0,4.4017e+05,4.822e+18,0,0,0,285.84,0,,6.2866,-1.8134,0,0
5.1161,1.3738e+06,0,1.7707e-05,0.98574,1733.9,-0.047353,0,4.32e+05,4.7061e+18,0,0,0,284.31,0,,6.3597,-1.7403,0,0
5.047,1.3576e+06,0,1.7632e-05,1.0022,1734.3,0.0027294,0,4.2386e+05,4.5904e+18,0,0,0,282.77,0,,6.4328,-1.6672,0,0
4.9779,1.3414e+06,0,1.7556e-05,1.0186,1733.9,0.060927,0,4.1576e+05,4.4754e+18,0,0,0,281.21,0,,6.5059,-1.5941,0,0
4.9086,1.325e+06,0,1.7479e-05,1.0352,1732.8,0.11904,0,4.0767e+05,4.3606e+18,0,0,0,279.64,0,,6.579,-1.521,0,0
4.8394,1.3086e+06,0,1.7401e-05,1.0519,1730.9,0.17038,0,3.9963e+05,4.2464e+18,0,0,0,278.05,0,,6.6521,-1.4479,0,0
