,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
0,7.7632,0.000198,1966100.0,0,2.0107e-05,0.23601,684.62,2.0944,0,916860.0,774270.0,-45938.0,0,0,0,335.81,23.384,0,,0.0,-0.0081,0,0,804880.1056511647,1.0005041108811425
1,7.7608,0.00019731,1965400.0,0,2.0105e-05,0.23683,686.77,1.3626,0,880490.0,773940.0,-46530.0,0,0,0,335.77,22.402,0,,7.31e-05,-0.0080269,0,0,804871.6090479945,1.000502305106144
2,7.7584,0.00019662,1964800.0,0,2.0103e-05,0.23766,688.91,0.63068,0,844120.0,773610.0,-47122.0,0,0,0,335.73,21.421,0,,0.0001462,-0.0079538,0,0,804863.004488633,1.0005004998369873
3,7.756,0.00019594,1964100.0,0,2.0101e-05,0.23849,691.06,-0.1012,0,807740.0,773280.0,-47714.0,0,0,0,335.69,20.439,0,,0.0002193,-0.0078807,0,0,804854.2918435046,1.0004986950742703
4,7.7536,0.00019525,1963500.0,0,2.01e-05,0.23932,693.2,-0.83307,0,771370.0,772950.0,-48307.0,0,0,0,335.65,19.457,0,,0.0002924,-0.0078076,0,0,804845.4710084628,1.0004968908185907
5,7.7513,0.00019456,1962900.0,0,2.0098e-05,0.24015,695.34,-1.5649,0,735000.0,772620.0,-48899.0,0,0,0,335.61,18.475,0,,0.0003655,-0.0077345,0,0,804836.5418764061,1.0004950870705467
6,7.7489,0.00019388,1962200.0,0,2.0096e-05,0.24097,697.49,-2.2968,0,698630.0,772290.0,-49491.0,0,0,0,335.57,17.493,0,,0.0004386,-0.0076614,0,0,804827.5043259811,1.0004932838307374
7,7.7467,0.00019327,1961700.0,0,2.0094e-05,0.24194,700.04,-2.875,0,667480.0,771980.0,-50039.0,0,0,0,335.53,16.653,0,,0.0005117,-0.0075883,0,0,804839.4763673972,1.0004914964963718
8,7.7452,0.00019289,1961500.0,0,2.0092e-05,0.24333,703.89,-2.9748,0,652570.0,771750.0,-50451.0,0,0,0,335.49,16.256,0,,0.0005848,-0.0075152,0,0,804935.8649708576,1.0004897710103524
9,7.7437,0.0001925,1961300.0,0,2.0091e-05,0.24472,707.73,-3.0747,0,637670.0,771520.0,-50863.0,0,0,0,335.46,15.859,0,,0.0006579,-0.0074421,0,0,804947.3837886045,1.000488432900626
10,7.7423,0.00019212,1961000.0,0,2.0089e-05,0.24611,711.57,-3.1745,0,622760.0,771290.0,-51276.0,0,0,0,335.42,15.461,0,,0.000731,-0.007369,0,0,805043.7104750951,1.0004867077026833
11,7.7408,0.00019174,1960800.0,0,2.0088e-05,0.2475,715.41,-3.2743,0,607860.0,771050.0,-51688.0,0,0,0,335.38,15.064,0,,0.0008041,-0.0072959,0,0,805129.4406163874,1.0004849749811513
12,7.7393,0.00019136,1960600.0,0,2.0086e-05,0.24889,719.25,-3.3742,0,592960.0,770820.0,-52100.0,0,0,0,335.35,14.667,0,,0.0008772,-0.0072228,0,0,805140.8241986453,1.0004836375019461
13,7.7378,0.00019098,1960400.0,0,2.0084e-05,0.25027,723.1,-3.474,0,578050.0,770590.0,-52512.0,0,0,0,335.31,14.269,0,,0.0009503,-0.0071497,0,0,805237.0633314282,1.0004819127119238
14,7.7337,0.00019052,1959500.0,0,2.0081e-05,0.25217,728.12,-3.5651,0,562560.0,770030.0,-53512.0,0,0,0,335.25,13.859,0,,0.0010234,-0.0070766,0,0,805153.6996440345,1.000479163298234
15,7.7269,0.00018995,1957800.0,0,2.0077e-05,0.25461,734.4,-3.647,0,546450.0,769130.0,-55131.0,0,0,0,335.15,13.436,0,,0.0010965,-0.0070035,0,0,805049.3593156429,1.000474609421199
16,7.7201,0.00018939,1956200.0,0,2.0072e-05,0.25705,740.67,-3.7288,0,530330.0,768220.0,-56750.0,0,0,0,335.05,13.012,0,,0.0011696,-0.0069304,0,0,804933.5572395149,1.0004700520987728
17,7.7134,0.00018884,1954600.0,0,2.0068e-05,0.25954,747.11,-3.7477,0,514480.0,767330.0,-58341.0,0,0,0,334.95,12.595,0,,0.0012427,-0.0068573,0,0,804838.1266552181,1.0004655136881355
18,7.7078,0.00018833,1953500.0,0,2.0064e-05,0.26247,754.87,-3.2477,0,500720.0,766570.0,-59704.0,0,0,0,334.86,12.235,0,,0.0013158,-0.0067842,0,0,804795.1216660502,1.0004614626000459
19,7.701,0.00018783,1952000.0,0,2.0059e-05,0.2656,763.09,-3.0734,0,487130.0,765630.0,-61366.0,0,0,0,334.75,11.881,0,,0.0013889,-0.0067111,0,0,804729.925278814,1.000456506965193
20,7.6924,0.00018734,1950000.0,0,2.0053e-05,0.26904,771.93,-3.3508,0,473790.0,764470.0,-63446.0,0,0,0,334.61,11.539,0,,0.001462,-0.006638,0,0,804684.3858892096,1.0004502322835662
21,7.6843,0.00018686,1948200.0,0,2.0047e-05,0.27264,781.28,-3.3502,0,462100.0,763360.0,-65425.0,0,0,0,334.48,11.237,0,,0.0015351,-0.0065649,0,0,804605.791279473,1.0004443881095004
22,7.6764,0.0001864,1946500.0,0,2.0041e-05,0.27631,790.83,-3.2654,0,451150.0,762270.0,-67374.0,0,0,0,334.35,10.955,0,,0.0016082,-0.0064918,0,0,804547.2876871165,1.000438564158529
23,7.6677,0.00018606,1944600.0,0,2.0035e-05,0.28009,800.57,-3.6284,0,443190.0,761090.0,-69480.0,0,0,0,334.21,10.755,0,,0.0016813,-0.0064187,0,0,804476.3165224078,1.0004322943983526
24,7.6595,0.00018572,1942900.0,0,2.0029e-05,0.28401,810.75,-3.7353,0,433860.0,759970.0,-71489.0,0,0,0,334.07,10.52,0,,0.0017544,-0.0063456,0,0,804468.2117233378,1.0004260730860897
25,7.6492,0.0001853,1940700.0,0,2.0021e-05,0.28846,822.15,-3.5311,0,420850.0,758570.0,-73980.0,0,0,0,333.91,10.195,0,,0.0018275,-0.0062725,0,0,804328.5328570413,1.000418888191885
26,7.6382,0.00018494,1938300.0,0,2.0013e-05,0.29329,834.47,-3.5145,0,411570.0,757050.0,-76694.0,0,0,0,333.72,9.965,0,,0.0019006,-0.0061994,0,0,804313.2578740438,1.0004104651284331
27,7.6283,0.00018464,1936200.0,0,2.0004e-05,0.29818,847.06,-3.5132,0,404740.0,755650.0,-79196.0,0,0,0,333.53,9.7966,0,,0.0019737,-0.0061263,0,0,804424.9842522425,1.0004021329599597
28,7.6156,0.00018433,1933400.0,0,1.9995e-05,0.30342,860.22,-3.647,0,396970.0,753910.0,-82308.0,0,0,0,333.32,9.6083,0,,0.0020468,-0.0060532,0,0,804338.1745713148,1.0003928081047913
29,7.6031,0.00018403,1930700.0,0,1.9985e-05,0.30861,873.24,-3.7524,0,389500.0,752200.0,-85357.0,0,0,0,333.11,9.4275,0,,0.0021199,-0.0059801,0,0,804280.6431957966,1.0003835176496843
30,7.5916,0.00018376,1928300.0,0,1.9976e-05,0.31364,885.85,-3.7767,0,382850.0,750600.0,-88206.0,0,0,0,332.91,9.2671,0,,0.002193,-0.005907,0,0,804253.9893088613,1.0003747011631097
31,7.5791,0.0001835,1925600.0,0,1.9967e-05,0.31894,899.04,-3.8172,0,376790.0,748880.0,-91289.0,0,0,0,332.69,9.1228,0,,0.0022661,-0.0058339,0,0,804265.0772464009,1.0003650424331891
32,7.5659,0.00018325,1922800.0,0,1.9956e-05,0.32444,912.63,-3.8687,0,371140.0,747060.0,-94530.0,0,0,0,332.46,8.9895,0,,0.0023392,-0.0057608,0,0,804249.6107741136,1.0003549469008577
33,7.5512,0.00018304,1919600.0,0,1.9945e-05,0.3302,926.67,-3.9256,0,365250.0,745060.0,-98102.0,0,0,0,332.22,8.8536,0,,0.0024123,-0.0056877,0,0,804119.5188478883,1.0003443700778805
34,7.5368,0.00018284,1916500.0,0,1.9934e-05,0.33602,940.9,-3.6482,0,359610.0,743100.0,-101610.0,0,0,0,331.97,8.724,0,,0.0024854,-0.0056146,0,0,804114.5068301765,1.0003334461444178
35,7.5228,0.00018271,1913600.0,0,1.9922e-05,0.34225,956.17,-2.7288,0,354480.0,741120.0,-105140.0,0,0,0,331.7,8.6095,0,,0.0025585,-0.0055415,0,0,804254.8580115268,1.0003217473125674
36,7.5052,0.00018264,1909800.0,0,1.9908e-05,0.34927,973.02,-2.758,0,349150.0,738660.0,-109530.0,0,0,0,331.38,8.4967,0,,0.0026316,-0.0054684,0,0,804291.163065948,1.000307843995238
37,7.4865,0.00018252,1905800.0,0,1.9892e-05,0.35669,990.71,-2.766,0,345210.0,736070.0,-114170.0,0,0,0,331.04,8.4161,0,,0.0027047,-0.0053953,0,0,804349.0069862035,1.0002931175861898
38,7.466,0.00018238,1901300.0,0,1.9877e-05,0.36414,1008.1,-2.7691,0,340080.0,733270.0,-119150.0,0,0,0,330.69,8.3078,0,,0.0027778,-0.0053222,0,0,804252.5104753856,1.000277925025778
39,7.448,0.00018229,1897500.0,0,1.9862e-05,0.37103,1024.2,-2.6182,0,335730.0,730800.0,-123570.0,0,0,0,330.37,8.2167,0,,0.0028509,-0.0052491,0,0,804256.9716402265,1.0002641151796985
40,7.4273,0.0001822,1893000.0,0,1.9845e-05,0.37871,1041.9,-2.641,0,331910.0,727950.0,-128660.0,0,0,0,330.0,8.1422,0,,0.002924,-0.005176,0,0,804260.4778664949,1.0002481898535578
41,7.4053,0.0001821,1888200.0,0,1.9828e-05,0.38656,1059.7,-2.583,0,328160.0,724940.0,-134040.0,0,0,0,329.61,8.0695,0,,0.0029971,-0.0051029,0,0,804247.8273711385,1.0002314471189764
42,7.3832,0.00018202,1883500.0,0,1.981e-05,0.39457,1077.8,-2.5047,0,324750.0,721890.0,-139480.0,0,0,0,329.21,8.0063,0,,0.0030702,-0.0050298,0,0,804266.3214163374,1.000214340963359
